ECG,EDA,RR
33548,28964,37492
33564,29023,37393
33556,29102,37383
33564,29188,37622
33584,29233,37633
33556,29232,37577
33556,29170,37751
33548,29076,37578
33528,28999,37792
33536,28953,37703
33564,28957,37917
33600,29009,37767
33612,29101,37922
33612,29183,37847
33636,29228,38045
33660,29225,37964
33652,29162,37813
33660,29076,38016
33708,28991,38149
33720,28946,38024
33756,28948,38176
33768,29002,38117
33808,29092,38140
33880,29172,38005
33928,29217,38287
33932,29216,38311
33924,29156,38325
33904,29071,38310
33888,28991,38328
33880,28935,38284
33848,28940,38442
33844,29004,38460
33848,29095,38450
33864,29167,38340
33932,29221,38241
34020,29208,38484
34064,29148,38277
34060,29063,38229
34096,28980,38503
34112,28935,38521
34156,28934,38321
34204,28992,38389
34268,29089,38291
34332,29161,38557
34344,29217,38532
34344,29215,38567
34368,29149,38572
34438,29060,38589
34469,28976,38496
34512,28928,38329
34608,28934,38564
34692,28997,38532
34764,29087,38438
34816,29165,38512
34856,29207,38572
34904,29204,38543
34892,29141,38416
34880,29052,38292
34863,28970,38534
34884,28924,38508
34952,28927,38405
35052,28988,38552
35136,29079,38460
35188,29159,38367
35213,29200,38489
35228,29204,38456
35268,29128,38397
35297,29052,38396
35340,28969,38544
35400,28921,38368
35440,28929,38473
35528,28987,38484
35580,29073,38364
35621,29152,38551
35656,29202,38402
35712,29191,38340
35693,29132,38269
35692,29046,38255
35752,28966,38288
35770,28921,38529
35788,28916,38489
35804,28984,38445
35844,29071,38500
35880,29151,38600
35852,29196,38580
35860,29197,38477
35808,29134,38465
35796,29040,38463
35764,28964,38396
35732,28919,38384
35652,28920,38655
35560,28983,38668
35472,29070,38684
35372,29155,38684
35288,29200,38700
35140,29196,38617
34920,29130,38740
34736,29052,38815
34544,28969,38733
34368,28921,38668
34208,28931,38553
34028,28994,38824
33796,29076,38848
33572,29159,38859
33372,29209,38844
33152,29191,38776
32916,29136,38861
32676,29053,38965
32457,28972,38997
32220,28927,39005
32037,28932,39046
31884,28992,39004
31764,29079,38948
31572,29151,38887
31444,29215,38799
31297,29206,39066
31093,29143,39047
30928,29057,39008
30800,28975,39089
30732,28925,39129
30712,28935,38876
30672,28996,38919
30644,29076,38901
30624,29173,38919
30596,29202,39198
30558,29197,39172
30520,29148,39229
30476,29060,39108
30464,28967,39071
30425,28924,39052
30424,28929,39245
30428,28988,39271
30480,29076,39269
30472,29165,39268
30453,29213,39036
30452,29191,39298
30464,29148,39300
30502,29052,39300
30536,28965,39274
30532,28925,39325
30577,28927,39317
30653,28992,39315
30696,29076,39211
30708,29159,39241
30752,29210,39364
30756,29209,39352
30720,29140,39332
30696,29054,39340
30728,28975,39349
30768,28924,39362
30796,28925,39376
30844,28991,39385
30872,29081,39365
30949,29154,39344
30929,29206,39364
30932,29206,39367
30949,29148,39342
30941,29062,39351
30940,28980,39376
30996,28928,39364
31060,28927,39367
31108,28994,39060
31124,29076,39086
31188,29164,39204
31209,29215,39249
31180,29208,39312
31159,29149,39340
31160,29061,39353
31140,28965,39316
31176,28933,39276
31184,28932,39277
31232,28996,39292
31308,29076,39256
31326,29161,39201
31320,29214,39116
31304,29209,39056
31304,29140,39023
31320,29060,38964
31300,28976,38808
31324,28929,38837
31360,28932,38834
31396,28999,38740
31428,29084,38983
31448,29168,38943
31428,29220,38910
31425,29215,38884
31436,29151,38775
31456,29063,38736
31468,28981,38714
31520,28925,38730
31568,28948,38632
31596,28999,38628
31648,29093,38760
31632,29173,38724
31614,29221,38608
31624,29218,38561
31622,29156,38639
31620,29070,38501
31624,28992,38252
31624,28935,38212
31636,28942,38180
31660,29006,38193
31676,29093,38100
31708,29182,38313
31712,29224,38253
31704,29233,38136
31680,29172,38235
31660,29084,38192
31656,28988,38124
31640,28950,38064
31604,28963,37900
31664,29013,37829
31716,29102,37767
31712,29191,37760
31732,29237,37724
31712,29229,37679
31704,29172,37609
31712,29088,37561
31724,29015,37537
31748,28962,37394
31824,28960,37364
31860,29031,37540
31904,29116,37480
31944,29191,37456
31936,29246,37414
31941,29244,37143
31933,29185,37148
31916,29096,37157
31951,29017,37108
32016,28969,37062
32064,28974,37076
32074,29036,37127
32078,29125,37104
32098,29211,37044
32124,29256,36888
32112,29257,36772
32092,29200,36720
32094,29108,36681
32108,29031,36829
32120,28985,36784
32156,28993,36748
32168,29052,36711
32172,29142,36664
32136,29225,36625
32108,29268,36551
32056,29264,36508
32040,29213,36408
32004,29127,36374
31988,29045,36404
31972,28999,36328
32000,29000,36272
32046,29063,36205
32092,29153,36143
32116,29244,36204
32112,29294,36172
32109,29284,36134
32168,29226,36084
32200,29143,35844
32181,29054,35806
32172,29011,35780
32174,29020,35924
32246,29076,35888
32253,29167,35844
32276,29255,35760
32332,29302,35696
32340,29309,35751
32356,29247,35702
32373,29159,35655
32392,29072,35604
32360,29025,35536
32332,29037,35449
32360,29095,35351
32356,29179,35357
32364,29270,35373
32328,29314,35336
32292,29316,35297
32260,29256,35080
32268,29169,35063
32292,29087,35174
32308,29044,35040
32356,29045,34997
32360,29109,35019
32385,29191,34980
32381,29284,34854
32392,29337,34852
32384,29334,34821
32368,29283,34788
32340,29191,34755
32301,29116,34719
32320,29058,34718
32344,29066,34503
32352,29127,34476
32392,29220,34432
32388,29297,34407
32392,29345,34533
32400,29344,34455
32412,29295,34346
32440,29215,34374
32444,29124,34372
32460,29079,34348
32448,29081,34140
32488,29147,34108
32520,29230,34117
32524,29319,34180
32572,29360,34160
32548,29365,34128
32560,29316,34070
32572,29228,33940
32588,29147,33887
32584,29095,33848
32620,29100,33814
32648,29164,33765
32672,29252,33732
32680,29335,33692
32692,29385,33655
32696,29385,33620
32676,29333,33585
32688,29257,33528
32712,29164,33498
32704,29125,33628
32712,29122,33572
32756,29189,33487
32752,29270,33391
32757,29358,33385
32720,29414,33420
32604,29404,33287
