ECG,EDA,RR
32172,26692,33327
32182,26684,33452
32240,26735,33404
32228,26818,33244
32272,26930,33333
32268,26988,33348
32346,27000,33324
32336,26944,33097
32324,26856,33212
32297,26757,33239
32348,26695,33028
32328,26683,33028
32364,26727,33020
32400,26820,33060
32449,26921,32912
32480,26985,33041
32480,26998,32928
32448,26940,32935
32444,26849,32973
32416,26749,32836
32416,26691,32814
32412,26676,32885
32396,26726,32800
32456,26820,32668
32464,26919,32810
32396,26978,32660
32444,26995,32596
32464,26935,32724
32484,26847,32661
32497,26738,32513
32460,26676,32516
32412,26665,32604
32452,26724,32521
32448,26812,32574
32543,26913,32396
32576,26980,32349
32528,26988,32484
32520,26933,32349
32508,26836,32409
32492,26735,32244
32416,26676,32367
32468,26665,32300
32493,26716,32151
32512,26814,32292
32576,26913,32207
32568,26977,32216
32596,26981,32060
32536,26921,32038
32524,26829,32127
32512,26732,32041
32556,26669,32079
32576,26660,31901
32676,26721,32034
32692,26812,31986
32668,26908,31889
32668,26970,31928
32648,26979,31820
32632,26921,31738
32596,26833,31862
32586,26725,31745
32508,26663,31798
32520,26656,31639
32493,26717,31740
32556,26806,31629
32558,26905,31697
32538,26973,31525
32504,26972,31622
32528,26916,31638
32468,26818,31435
32424,26725,31564
32456,26661,31449
32448,26649,31480
32548,26708,31366
32608,26804,31456
32694,26901,31341
32736,26968,31430
32772,26972,31231
32740,26911,31249
32668,26821,31335
32668,26721,31222
32686,26660,31230
32732,26653,31239
32736,26708,31206
32748,26799,31081
32872,26901,31204
32988,26960,31137
32936,26964,31131
32848,26909,31137
32765,26813,31100
32716,26719,30909
32792,26647,30914
32760,26649,31048
32745,26697,30947
32804,26797,31008
32876,26893,30831
32864,26956,30817
32881,26958,30933
32864,26898,30884
32869,26812,30808
32880,26712,30877
32864,26649,30698
32897,26632,30839
32917,26700,30724
32904,26798,30800
32884,26893,30624
32940,26954,30777
32902,26956,30748
32856,26905,30661
32864,26804,30748
32884,26704,30591
32924,26647,30569
32872,26634,30710
32936,26703,30607
32964,26788,30599
32972,26885,30544
32980,26949,30644
32920,26955,30672
32895,26897,30538
32864,26798,30511
32809,26702,30604
32859,26632,30634
32892,26631,30456
32924,26688,30496
32940,26788,30581
32977,26884,30605
32993,26943,30436
32981,26948,30444
32992,26895,30580
