ECG,EDA,RR
37328,16068,36700
35912,16039,36436
34400,16130,36708
32640,16175,36610
31084,16185,36625
30448,16239,36676
30676,16273,36612
30964,16233,36388
31097,16171,36429
31304,16121,36255
31333,16120,36452
31308,16078,36220
31428,16092,36215
31852,16144,36103
32344,16175,36215
32772,16325,35986
33028,16276,35884
32952,16222,35644
32648,16169,35865
32272,16142,35791
31936,16083,35661
31700,16047,35757
31700,16071,35572
31917,16226,35316
32142,16238,35473
32372,16290,35429
32472,16271,35412
32308,16254,35146
32150,16188,35227
31932,16129,35112
31668,16123,35049
31504,16069,35133
31620,16081,35103
32072,16135,34951
32500,16231,34764
32872,16261,34668
33206,16258,34530
33200,16319,34677
32956,16209,34391
32576,16142,34333
32132,16165,34280
31912,16089,34444
32105,16087,34412
32316,16135,34265
32572,16184,34363
32860,16314,34311
33036,16287,34149
33073,16254,34060
32548,16196,33890
32138,16169,33818
31900,16083,33977
31698,16066,33888
31793,16148,33799
32185,16156,33847
32580,16194,33782
32952,16295,33846
33221,16315,33609
33180,16260,33669
32933,16195,33601
32664,16204,33564
32352,16127,33422
32076,16085,33496
31936,16093,33493
32000,16146,33460
32420,16300,33277
32838,16320,33272
33080,16317,33244
32980,16279,33241
32684,16225,33127
32328,16167,32996
32124,16116,32903
32004,16077,33007
32196,16090,32967
32617,16244,32919
33116,16271,32808
33518,16313,32900
33773,16330,32708
33718,16293,32761
33360,16236,32625
32885,16157,32799
32436,16094,32583
32128,16080,32493
32300,16096,32556
32676,16233,32526
33088,16266,32527
33532,16289,32502
33824,16297,32343
33796,16263,32405
33572,16213,32361
33312,16146,32404
32988,16094,32358
32588,16147,32201
32708,16159,32268
33104,16196,32277
33608,16236,32167
33816,16277,32016
34092,16308,32134
34192,16279,32200
33856,16209,32216
33520,16152,32028
33223,16100,32119
33184,16179,32012
33448,16146,32039
33864,16170,32139
34264,16222,32075
34485,16260,31903
34420,16279,32031
34081,16295,31900
33604,16215,32083
33205,16150,32045
32929,16176,31909
32785,16103,31805
32887,16119,31903
33152,16183,31865
33416,16221,31764
33820,16271,31700
34133,16361,31808
34128,16285,31803
33880,16241,31751
33565,16189,31735
33164,16125,31521
32840,16093,31701
32852,16128,31645
33056,16179,31664
33289,16231,31534
33430,16287,31396
33492,16282,31575
33428,16340,31347
33120,16269,31527
32804,16228,31396
32376,16150,31546
32156,16134,31475
32220,16146,31332
32472,16181,31205
32808,16234,31396
32948,16295,31362
32956,16307,31427
32864,16263,31439
32496,16276,31384
32104,16184,31206
31646,16111,31209
31428,16084,31254
31589,16173,31156
31912,16183,31124
32197,16217,31122
32540,16285,31159
32804,16329,31077
32672,16286,31115
32420,16216,31136
32120,16161,31125
31660,16134,30943
31263,16098,30924
31324,16112,31085
31504,16226,31074
31678,16256,30950
32033,16285,30835
32360,16293,30816
32392,16260,30839
32188,16213,30981
31796,16194,30829
31333,16152,31084
31008,16124,31017
31120,16124,30909
31508,16234,30863
31892,16295,31023
32224,16341,30993
32448,16315,30934
32408,16292,30781
32144,16239,30764
32008,16169,30673
31631,16120,30860
31504,16140,30852
31638,16149,30828
32060,16173,30823
32432,16301,30804
32840,16293,30605
33124,16293,30778
33028,16344,30783
32724,16245,30781
32424,16179,30772
32080,16117,30760
31836,16088,30664
31844,16173,30765
32128,16193,30757
32418,16227,30682
32836,16390,30724
33120,16327,30604
33072,16284,30614
32626,16223,30573
32176,16205,30565
31888,16127,30548
31808,16102,30575
32012,16117,30611
32429,16178,30586
32753,16233,30636
33020,16390,30596
33264,16359,30452
33173,16300,30420
32960,16252,30334
32748,16175,30304
32412,16182,30465
32089,16153,30446
32048,16143,30433
32188,16181,30428
32444,16303,30383
