ECG,EDA,RR
29581,19792,33317
30040,19783,33270
30644,19796,33269
31414,19837,33355
32142,19877,33464
32604,19919,33532
32801,19940,33513
32733,19927,33508
32472,19866,33461
32172,19831,33405
31892,19813,33413
31776,19775,33384
31936,19788,33385
32156,19823,33372
32436,19863,33373
32656,19923,33367
32736,19943,33264
32658,19902,33309
32468,19869,33295
32210,19834,33342
31876,19794,33324
31764,19777,33316
31884,19799,33327
32148,19836,33316
32484,19877,33325
32768,19924,33311
32884,19940,33305
32832,19904,33253
32608,19865,33211
32308,19841,33300
32072,19792,33325
31975,19783,33365
32100,19801,33372
32360,19850,33234
32653,19856,33097
32922,19917,33301
32972,19920,33300
32920,19898,33302
32664,19875,33268
32340,19823,33275
32128,19792,33212
31956,19781,33338
32060,19803,33391
32328,19839,33365
32608,19859,33398
32880,19900,33296
32996,19908,33191
32920,19894,33218
32724,19867,33183
32532,19820,33177
32289,19775,33159
32184,19766,33074
32329,19783,33267
32623,19830,33268
32884,19884,33268
33062,19893,33247
33200,19912,33183
33100,19909,33352
32896,19881,33135
32656,19835,33111
32368,19770,33208
32236,19772,33207
32352,19791,33117
32556,19826,33112
32820,19873,33266
33104,19925,33284
33232,19903,33276
33133,19887,33296
32946,19856,33284
32732,19823,33261
32512,19762,33084
32420,19749,33092
32580,19781,33101
32832,19805,33108
33109,19843,33101
33300,19902,32961
33469,19920,32946
33413,19892,32941
33160,19864,33157
32848,19823,33133
32660,19785,33141
32520,19753,33113
32748,19775,33189
33045,19825,33052
33408,19881,33026
33684,19892,33031
33764,19899,33026
33660,19889,33028
33400,19854,32948
33152,19828,32961
32969,19761,33127
32848,19759,33100
33020,19781,33093
33324,19829,33073
33548,19842,33014
33796,19885,33020
33929,19909,33140
33900,19892,33188
33721,19868,33160
33517,19828,33089
33304,19756,32994
33140,19748,32933
33216,19767,32893
33436,19799,32948
33766,19855,32858
34004,19909,33029
34140,19909,33042
34080,19890,33023
33780,19883,32988
33453,19815,33012
33216,19770,33094
33020,19756,32965
33072,19773,32959
33336,19812,32970
33596,19852,32981
33784,19901,32960
33808,19919,32922
33644,19876,32869
33353,19838,32875
33068,19796,32873
32780,19765,33014
32624,19749,33037
32641,19768,33029
32740,19809,32957
32880,19858,33013
33056,19905,32988
33052,19895,32963
32892,19876,32961
32636,19846,32916
32288,19820,32804
32002,19792,32789
31836,19735,32718
31953,19750,32684
32120,19794,32753
32330,19836,32685
32582,19885,32669
32660,19897,32672
32487,19881,32870
32192,19855,32876
31908,19815,32881
31644,19772,32871
31564,19733,32866
31660,19752,32860
31936,19785,32867
32184,19828,32857
32472,19879,32815
32538,19893,32956
32456,19880,32869
32212,19846,32748
31920,19809,32736
31680,19766,32750
31568,19748,32740
31672,19765,32743
31909,19815,32708
32180,19822,32632
32404,19868,32825
32509,19876,32823
32444,19861,32616
32248,19828,32817
32020,19805,32836
31708,19753,32817
31528,19739,32797
31632,19754,32775
31984,19800,32813
32233,19847,32868
32545,19888,32909
32661,19892,32870
32558,19870,32866
32298,19844,32919
32136,19802,32838
31964,19752,32711
31852,19728,32637
31960,19741,32831
32160,19780,32813
32424,19822,32820
32725,19871,32752
32805,19891,32805
32676,19873,32808
32440,19851,32689
32168,19782,32692
31956,19762,32740
31876,19725,32724
32024,19745,32733
32292,19797,32637
32598,19838,32833
32872,19878,32840
32958,19886,32825
32813,19876,32833
32588,19835,32850
32333,19785,32869
32088,19737,32864
31973,19725,32859
32148,19738,32865
32452,19781,32673
32724,19814,32687
32940,19860,32679
33060,19871,32892
32956,19870,32890
32748,19828,32805
32456,19791,32969
32172,19748,33001
32072,19740,32969
32216,19741,32775
32481,19785,32920
32805,19831,32854
33022,19883,32902
33152,19902,33031
33061,19853,32849
32720,19813,32775
32360,19776,32987
32129,19732,32957
31989,19713,32959
32140,19737,33039
32472,19773,33108
32797,19812,33097
33084,19882,33004
33196,19887,33013
33036,19864,32956
32724,19827,32917
32386,19768,33031
32149,19727,32847
32024,19713,33055
32144,19732,33059
32420,19777,32992
32724,19823,33199
32988,19867,33180
33128,19879,33047
33040,19858,32989
32740,19825,32918
32462,19765,32908
32246,19731,33092
32116,19730,33236
32192,19731,33204
32464,19777,33181
32728,19805,33164
32869,19877,33100
32956,19879,33055
32804,19861,32972
32624,19828,33156
32320,19800,33156
32148,19738,33116
32074,19724,33095
32212,19741,33220
32444,19781,33263
32770,19801,33204
32961,19846,33093
33032,19852,33090
32933,19848,33215
32736,19806,33231
32476,19763,33223
32220,19711,33242
32109,19706,33212
32201,19741,33151
32460,19773,33164
32728,19812,33185
32988,19858,33229
33100,19866,33172
32974,19847,33311
32732,19828,33300
32460,19759,33189
32216,19717,33090
32168,19720,33113
32268,19737,33093
32512,19766,33108
32736,19812,33125
32992,19870,33121
33108,19848,33342
32976,19835,33263
32766,19803,33309
32464,19773,33337
32192,19735,33311
32056,19730,33431
32214,19745,33469
32484,19779,33512
32769,19820,33476
33104,19865,33460
33192,19876,33476
33060,19836,33445
32848,19791,33468
32601,19756,33416
32284,19711,33505
32180,19693,33588
32276,19716,33623
32520,19754,33592
32784,19836,33609
32996,19877,33595
33088,19865,33597
32972,19853,33470
32732,19814,33481
32461,19771,33500
32212,19700,33604
32068,19685,33633
32192,19711,33632
32484,19746,33549
32804,19796,33718
33016,19840,33693
33112,19866,33569
33020,19820,33671
32792,19779,33655
32517,19749,33597
32264,19702,33644
32192,19693,33647
32329,19707,33763
32548,19745,33721
32844,19794,33799
33128,19839,33820
33206,19854,33646
33124,19847,33592
32864,19804,33740
32608,19764,33756
32360,19725,33729
32268,19684,33751
32348,19712,33874
32637,19754,33777
32928,19811,33767
33160,19830,33694
33266,19847,33864
33092,19829,33652
32788,19807,33765
32488,19743,33661
32333,19713,33824
32228,19698,33643
32265,19705,33740
32534,19741,33649
32820,19801,33756
33092,19840,33705
33234,19860,33609
33144,19839,33465
32892,19831,33668
32604,19738,33601
32356,19705,33574
32292,19691,33641
32452,19714,33572
32748,19751,33500
32949,19791,33351
33164,19845,33352
33196,19858,33543
33064,19810,33489
32836,19795,33501
32586,19760,33487
32296,19713,33268
32257,19683,33452
32376,19698,33397
32632,19755,33437
32804,19786,33461
33016,19834,33276
33156,19854,33166
33080,19811,33318
32856,19793,33436
32608,19753,33254
32348,19688,33095
32268,19687,33255
32364,19721,33254
32576,19737,33205
32824,19772,33191
33049,19822,33188
33132,19829,33161
32964,19813,33137
32720,19786,33119
32428,19732,33044
32188,19687,33079
32128,19683,33061
32324,19713,32980
32584,19751,33018
32860,19795,32991
33133,19853,33108
33272,19820,33089
33148,19804,33050
32868,19766,33069
32576,19733,33005
32320,19700,32931
32192,19668,32761
32296,19698,32884
32541,19755,32949
32837,19766,32757
33136,19808,32655
33244,19825,32838
33108,19818,32808
32852,19776,32725
32608,19751,32806
32413,19677,32826
32297,19667,32629
32488,19691,32528
32784,19737,32726
33053,19790,32676
33381,19811,32623
33588,19817,32693
33548,19805,32740
33424,19769,32653
33600,19734,32575
33880,19701,32497
34244,19662,32389
34828,19685,32568
35648,19743,32526
36420,19778,32484
37081,19830,32628
37548,19824,32446
37816,19797,32393
38116,19788,32289
38572,19741,32482
38980,19697,32472
38984,19687,32465
38461,19719,32442
37388,19766,32425
36332,19768,32540
34944,19817,32349
32868,19839,32287
30716,19809,32256
29552,19776,32436
29516,19735,32420
29870,19695,32240
30320,19655,32436
30984,19684,32453
31656,19719,32460
32144,19772,32429
32492,19812,32422
32668,19827,32552
32536,19814,32530
32276,19786,32373
32004,19712,32284
31724,19682,32453
31576,19684,32501
31684,19716,32388
31972,19714,32501
32280,19759,32500
32501,19815,32595
32596,19833,32499
32495,19820,32428
32276,19795,32536
32044,19704,32534
31753,19662,32519
31638,19658,32596
31804,19693,32577
32100,19739,32460
32348,19766,32585
32584,19806,32591
32684,19831,32532
32508,19811,32677
32308,19774,32706
32120,19705,32676
31916,19660,32622
31817,19658,32460
31913,19683,32670
32164,19730,32487
32421,19766,32677
32620,19812,32702
32680,19823,32692
32613,19815,32713
32396,19764,32726
32220,19738,32717
32004,19681,32719
31944,19681,32720
32016,19673,32689
32352,19709,32694
32637,19754,32647
32908,19791,32788
33056,19804,32644
32980,19780,32652
32732,19741,32708
32440,19701,32681
32204,19659,32655
32121,19647,32663
32184,19665,32694
32468,19716,32676
32720,19759,32715
32948,19812,32599
33016,19847,32570
32865,19773,32556
32616,19743,32459
32348,19711,32604
32148,19670,32615
32072,19661,32612
32216,19687,32635
32542,19725,32644
32832,19770,32625
33164,19782,32516
33268,19793,32377
33184,19783,32495
