ECG,EDA,RR
32965,23230,37732
32812,23194,37823
32640,23164,37881
32464,23105,37944
32332,23073,37917
32356,23087,38055
32528,23107,38098
32708,23159,37944
32840,23218,37895
32968,23230,37895
32940,23225,37891
32820,23188,37967
32620,23167,37984
32460,23099,37942
32332,23073,37967
32392,23073,37960
32508,23112,37723
32728,23156,37704
32928,23205,37885
33093,23227,37919
33068,23239,37973
32900,23200,38071
32668,23156,38031
32460,23108,38071
32329,23068,38002
32376,23072,37941
32521,23104,37965
32744,23164,37988
32888,23215,37985
33008,23245,37751
32964,23238,37844
32756,23192,37839
32616,23152,37977
32484,23097,38116
32324,23076,37975
32318,23079,37999
32444,23108,37767
32612,23165,37942
32796,23206,38035
32928,23239,38093
32908,23238,38047
32720,23193,38133
32545,23159,38015
32288,23101,38076
32144,23070,37806
32196,23078,37967
32429,23119,38175
32676,23164,38185
32880,23203,38101
32996,23253,38064
32956,23236,38052
32789,23196,38101
32556,23153,38110
32364,23096,38133
32236,23073,38127
32304,23083,37937
32476,23114,37981
32702,23158,38066
32972,23215,38151
33180,23240,38196
33176,23231,38125
33040,23191,38165
32804,23163,38181
32596,23111,38198
32366,23077,38199
32416,23087,38116
32680,23119,38195
32926,23157,38164
33176,23218,38188
33349,23237,38264
33453,23231,38286
33437,23191,38127
33360,23158,38180
33678,23106,38215
34084,23070,38192
34624,23086,38005
35497,23115,38212
36188,23182,38319
36968,23227,38241
37668,23243,38153
38092,23233,37932
38416,23199,38132
38812,23175,38309
39488,23113,38273
39910,23083,38103
39880,23077,38148
39148,23150,38183
38108,23177,38175
36808,23225,38158
34828,23254,38148
32456,23243,38088
30444,23207,38068
29686,23160,38103
29752,23108,38104
30137,23081,38130
30732,23087,38133
31416,23125,38136
31936,23171,38048
32284,23212,38205
32512,23239,38044
32496,23239,38063
32288,23196,37989
32028,23164,38048
31832,23105,38056
31742,23079,37972
31652,23077,38100
31840,23124,37953
32126,23167,37975
32316,23215,37983
32438,23237,37955
32385,23238,38073
32228,23199,37895
32033,23151,37917
31788,23095,37764
31652,23071,37888
31712,23084,37804
31896,23119,37634
32116,23159,37828
32298,23220,37892
32441,23239,37863
32412,23228,37788
32248,23204,37991
32092,23149,37852
31864,23095,37804
31693,23071,37883
31744,23079,37674
31924,23123,37649
32160,23173,37768
32438,23220,37815
32576,23240,37804
32588,23233,37833
32428,23186,37895
32192,23145,37910
32024,23095,37983
31916,23073,37980
31932,23072,37848
32104,23119,37889
32356,23160,37886
32562,23207,37752
32756,23244,37833
32784,23241,37916
32612,23199,37967
