ECG,EDA,RR
31489,10795,33845
31520,10852,33780
31588,10794,33817
31732,10743,33701
32024,10738,33780
32420,10743,33961
32996,10728,33820
33716,10732,33856
34593,10769,33948
35497,10908,33828
36016,10846,33949
36136,10811,33708
36436,10817,33829
37068,10761,33860
37660,10815,33856
38044,10762,33822
38432,10785,33600
39008,10745,33760
39416,10789,33820
39332,10857,33935
38836,10823,33733
38144,10802,33748
37708,10789,33783
37236,10801,33440
36377,10747,33653
35512,10736,33745
34818,10767,33816
34248,10748,33796
33728,10767,33554
33260,10796,33669
32897,10882,33644
32528,10789,33343
32160,10833,33551
31918,10784,33607
31740,10733,33639
31628,10735,33511
31504,10731,33584
31392,10770,33486
31352,10785,33639
31284,10816,33668
31192,10791,33468
31140,10839,33521
31100,10811,33220
31100,10758,33496
31116,10741,33572
31156,10721,33327
31190,10774,33470
31216,10751,33133
31192,10783,33279
31132,10791,33456
31056,10824,33415
31061,10791,33293
31073,10842,33342
31084,10763,33044
31140,10731,33150
31192,10723,33167
31204,10756,33257
31240,10736,33142
31260,10819,32935
31272,10807,33103
31248,10793,32878
31232,10821,32976
31228,10796,32641
31316,10751,32882
31408,10723,32824
31512,10755,32717
31596,10747,32730
31640,10732,32578
31640,10817,32723
31600,10823,32429
31540,10791,32549
31532,10834,32222
31568,10797,32444
31624,10748,32557
31696,10772,32293
31796,10745,32404
31812,10733,32391
31874,10780,32263
31880,10803,32326
31848,10815,32424
31814,10824,32464
31788,10786,32263
31756,10853,32328
31748,10763,32161
31800,10741,32263
31872,10725,32456
31880,10740,32395
31892,10764,32316
31888,10804,32351
31828,10799,32167
31768,10800,32304
31732,10819,32361
31692,10819,32496
31756,10753,32540
31802,10731,32495
31848,10751,32365
31824,10771,32423
31868,10742,32525
31844,10852,32277
31818,10835,32404
31764,10823,32439
31784,10815,32450
31788,10788,32621
31773,10816,32733
31856,10765,32805
31873,10748,32621
31900,10791,32424
31912,10758,32812
31872,10781,32769
31804,10843,32729
31768,10812,32830
31712,10788,32755
31709,10885,32819
31708,10796,32867
31768,10756,32767
31792,10735,32913
31831,10746,32993
31845,10786,33001
31829,10807,32836
31800,10813,33039
31750,10805,33189
31760,10820,33072
31804,10796,32940
31869,10752,33223
31928,10757,33108
32000,10754,33121
32040,10778,33268
32058,10750,33120
32064,10816,33317
31988,10834,33513
31964,10805,33445
31992,10870,33351
32024,10830,33378
32093,10780,33487
32156,10752,33559
32240,10764,33604
32300,10745,33364
32352,10816,33581
32392,10831,33605
32424,10842,33671
32430,10825,33705
32428,10828,33749
32448,10791,33956
32496,10755,34015
32608,10755,33878
32740,10781,33824
32788,10778,33994
32841,10782,33727
32869,10788,34089
32860,10853,34197
32844,10821,34089
32836,10797,34183
32812,10796,34180
32836,10746,34236
32940,10766,33933
33088,10747,34223
33116,10801,34331
33121,10766,34324
33106,10825,34439
33084,10838,34288
32984,10802,34425
32972,10811,34510
32952,10797,34604
32992,10754,34468
33060,10735,34493
33105,10769,34564
33120,10758,34532
33144,10748,34740
33124,10831,34583
33056,10831,34656
33004,10820,34687
32969,10811,34369
32937,10789,34638
32934,10799,34836
32989,10748,34633
33016,10741,34447
33016,10743,34776
32964,10788,34946
32912,10816,34693
32876,10807,34860
32828,10852,34725
32816,10829,34868
32784,10817,35029
32828,10749,34854
32916,10796,34951
32972,10749,34882
33014,10750,35069
33060,10826,34980
33020,10801,35047
32956,10813,34844
32940,10797,34951
32900,10839,35142
32924,10815,35252
32932,10767,35055
32956,10731,35103
32972,10736,35171
33008,10813,35148
33057,10772,35124
33017,10812,35316
32921,10808,35029
32832,10846,35190
32812,10823,34900
32812,10797,35273
32824,10801,35079
32837,10743,34913
32892,10734,35188
32980,10746,35256
33006,10786,35196
32988,10809,35222
32924,10839,34927
32884,10805,35156
32840,10797,35293
32792,10831,35393
32800,10790,35335
32868,10748,35374
32928,10740,35271
32976,10792,34934
32960,10770,35264
32948,10789,35229
32892,10828,35216
32868,10807,34921
32856,10817,35207
32824,10790,35320
32880,10751,35280
32928,10785,35384
32956,10759,35101
32976,10768,35241
33030,10754,35240
33010,10836,35200
32968,10822,35173
32928,10803,35255
32876,10796,35235
32876,10825,35148
32948,10766,35306
33004,10741,35335
33037,10735,35172
33037,10799,35189
33068,10769,35169
33040,10789,35184
32973,10892,35140
32912,10851,35156
32900,10815,35177
32864,10801,34961
32917,10763,35228
33012,10730,34992
33017,10743,35125
33056,10746,35116
33012,10791,35046
32968,10817,35096
32936,10812,35103
32856,10851,34872
32814,10815,35092
32833,10792,35220
32906,10753,35116
32976,10772,35012
32996,10757,35092
33036,10751,34757
33064,10761,34997
33060,10836,35152
33002,10826,34949
32964,10803,35048
32948,10847,34836
32941,10815,35121
32980,10770,35196
33092,10747,34932
33128,10749,35068
33124,10757,35076
33160,10759,34727
33112,10788,34991
33092,10858,35068
33068,10820,35140
33025,10796,35030
33008,10789,35069
33044,10772,34991
33093,10735,35204
33168,10790,34924
33222,10761,35100
33201,10757,34892
33156,10822,35068
33100,10821,35037
33084,10823,35079
33084,10800,35109
33020,10886,35193
33036,10779,35199
33124,10745,35052
33168,10742,35140
33198,10780,34783
33220,10791,35056
33236,10793,35254
33176,10847,35015
33128,10833,35124
33124,10792,35157
33104,10850,34951
33125,10787,35089
33208,10749,35293
33229,10746,35012
33236,10753,35140
33204,10790,35189
33180,10812,35189
33144,10821,35181
33108,10832,35150
33072,10864,34985
33028,10815,35119
33052,10752,35305
33104,10773,35223
33152,10751,35079
33180,10850,35180
33192,10788,35207
33172,10818,35175
33142,10836,35221
33128,10830,35108
33104,10815,35313
33094,10814,35223
33072,10750,35229
33146,10779,34895
33189,10780,35300
33196,10780,35374
33268,10791,35181
33260,10799,34994
33189,10836,35319
33113,10810,35154
33100,10805,35256
33104,10824,34980
33134,10759,35367
33216,10740,35264
33220,10760,35316
33216,10757,35244
33224,10762,35426
33216,10829,35282
33120,10827,35346
33092,10827,35023
33060,10799,35296
33009,10836,35457
33012,10773,35269
33072,10749,35390
33128,10777,35364
33132,10748,35335
33176,10763,35521
33168,10861,35280
33104,10839,35425
33045,10818,35348
33000,10796,35528
32992,10827,35365
33018,10769,35456
33080,10744,35344
33097,10745,35553
33084,10793,35317
33116,10788,35484
33077,10815,35493
33044,10814,35417
32988,10854,35485
32969,10812,35526
32972,10789,35492
32984,10752,35656
33076,10733,35647
33140,10742,35657
33148,10745,35484
33140,10806,35662
33136,10813,35532
33112,10810,35524
33072,10848,35585
33012,10818,35581
33004,10784,35588
33068,10788,35677
33132,10759,35568
33148,10757,35617
33140,10750,35637
33174,10810,35444
33172,10819,35581
33124,10820,35773
33084,10859,35581
33068,10830,35358
33044,10800,35612
33084,10756,35704
33120,10739,35812
33172,10775,35564
33196,10773,35730
33172,10761,35680
33168,10833,35862
33088,10825,35581
33040,10808,35743
33036,10800,35416
33014,10805,35847
33054,10762,35631
33112,10735,35772
33148,10745,35796
33152,10804,35801
33200,10787,35445
33172,10824,35808
33112,10812,35869
33048,10851,35897
33028,10824,35719
33040,10798,35679
33048,10753,35792
33100,10739,35823
33152,10747,35833
33148,10849,35836
33160,10787,35695
33144,10812,35761
33124,10834,35698
33048,10805,35730
32965,10844,35846
32993,10798,35972
33056,10773,36013
33101,10737,35945
33110,10742,35991
33124,10793,35825
33127,10788,35895
33056,10799,35907
32988,10814,35577
32944,10845,35847
32936,10814,35943
32972,10789,36070
33014,10807,35818
33049,10771,35795
33073,10757,35925
33096,10753,35949
33113,10761,35719
33048,10887,35929
32994,10839,36032
32916,10820,36076
32932,10799,36061
