ECG,EDA,RR
31129,17425,30827
31113,17476,30524
31140,17480,30692
31084,17514,30804
31100,17511,30587
31072,17501,30700
31076,17501,30624
31080,17476,30566
31148,17437,30620
31236,17432,30654
31288,17455,30372
31324,17457,30434
31324,17476,30453
31316,17524,30485
31177,17540,30337
31144,17534,30398
31180,17512,30339
31201,17487,30372
31372,17454,30353
31492,17445,30327
31482,17471,30239
31512,17469,30276
31540,17488,30229
31484,17525,30215
31284,17530,30274
31268,17525,30008
31352,17548,30159
31452,17502,30091
31560,17467,30199
31580,17478,30228
31568,17481,30232
31624,17485,30309
31664,17511,30062
31640,17551,30116
31605,17551,30237
31520,17536,30272
31444,17534,30349
31440,17511,30099
31512,17497,30218
31600,17482,30198
31592,17493,30284
31560,17502,30208
31528,17530,30244
31460,17557,30298
31384,17578,30414
31372,17548,30436
31400,17550,30258
31404,17521,30396
31474,17511,30543
31504,17495,30308
31476,17506,30460
31476,17506,30408
31508,17531,30516
31400,17575,30570
31137,17603,30538
31044,17594,30565
31092,17583,30574
31193,17551,30710
31400,17511,30733
31552,17506,30761
31590,17517,30672
31702,17521,30812
31768,17543,30887
31724,17580,30900
31630,17593,30969
31610,17585,30945
31533,17572,30830
31564,17544,30887
31656,17514,30984
31792,17535,31060
31872,17538,30841
31972,17541,31004
32022,17565,30968
31964,17599,31124
31892,17605,31109
31816,17596,31207
31808,17600,31248
31820,17559,31136
31964,17524,31252
32072,17521,31363
32136,17530,31180
32125,17559,31334
32176,17583,31416
32200,17616,31396
32128,17620,31474
32063,17623,31430
32100,17610,31534
32113,17576,31488
32133,17543,31376
32252,17535,31388
32412,17548,31401
32500,17553,31440
32500,17570,31476
32502,17608,31588
32508,17618,31597
32588,17611,31652
32631,17604,31585
32644,17583,31572
32690,17580,31615
32756,17557,31601
32788,17561,31650
32804,17571,31776
32864,17585,31847
32748,17620,31815
32488,17652,31916
32463,17639,31751
32504,17622,31855
32472,17593,31818
32524,17575,31653
32668,17556,31782
32740,17573,31903
32700,17564,31955
32742,17589,32031
32677,17648,31764
32500,17642,31936
32516,17649,31893
32538,17619,32002
32513,17607,32101
32524,17577,31791
32770,17567,31992
32776,17572,31831
32857,17573,31901
33024,17596,31967
