ECG,EDA,RR
30108,20057,35231
30036,20053,35172
30036,20061,35127
30120,20011,35207
30218,19991,35305
30288,19980,35021
30281,19987,35188
30308,20005,35244
30332,20039,35053
30320,20065,35125
30264,20055,35135
30244,20048,35061
30276,20060,35120
30228,20014,34796
30285,19983,34855
30344,19981,34977
30316,19991,34933
30228,19995,34991
30176,20037,34897
30128,20063,34975
30064,20065,34681
30000,20056,34791
30016,20061,34820
30108,20009,34925
30280,19974,35017
30492,19993,34816
30572,19996,34913
30530,19999,35124
30493,20037,34844
30440,20069,35020
30448,20066,35100
30425,20046,35241
30384,20049,35219
30404,20013,35348
30517,19988,35400
30560,19986,35512
30636,20001,35405
30766,19997,35568
30760,20030,35689
30700,20061,35689
30626,20072,35758
30554,20062,35629
30484,20052,35847
30540,20013,35928
30650,19975,35884
30644,19999,36036
30652,20003,36148
30684,20007,36096
30703,20033,36201
30760,20073,36273
30788,20061,36142
30780,20052,36348
30768,20056,36324
30752,20006,36508
30733,19982,36383
30692,19989,36514
30736,19997,36447
30856,19996,36703
30964,20055,36471
31005,20069,36656
30944,20060,36680
30900,20050,36751
30876,20047,36860
30928,20028,36807
31038,19989,36805
31112,19984,36861
31156,19993,36903
31170,19999,36806
31160,20045,36992
31124,20070,37013
31064,20057,36921
30992,20053,37087
30956,20061,37141
30952,20016,37255
31048,19989,36888
31108,19985,37290
31170,20000,37273
31212,19992,37351
31261,20032,36999
31246,20063,37388
31212,20077,37393
31216,20065,37468
31237,20063,37375
31316,20015,37277
31392,19985,37383
31488,19996,37370
31546,20000,37578
31616,19995,37266
31592,20036,37487
31576,20063,37624
31648,20075,37656
31768,20061,37601
31820,20048,37617
31888,20011,37702
32032,19975,37799
32104,19981,37754
32116,19997,37843
32129,20004,37740
32152,20038,37709
32108,20060,37452
32072,20057,37760
32006,20061,37512
32032,20052,37655
32100,20004,37479
32172,19983,37916
32248,19983,37805
32324,19984,37890
32380,19993,37764
32388,20036,37604
32396,20062,37889
32364,20058,37751
32328,20046,37788
32281,20039,37645
32289,19995,37596
32397,19973,37647
32448,19987,37565
32494,19991,37411
32476,19998,37791
32432,20033,37676
32376,20066,37585
32308,20058,37489
32280,20045,37276
32285,20044,37696
32328,20022,37423
32416,19998,37548
32496,19983,37569
32572,19989,37476
32616,19991,37465
32636,20030,37444
32652,20048,37426
32644,20055,37306
