ECG,EDA,RR
31636,15297,33268
31664,15279,33268
31648,15270,33057
31604,15297,33156
31576,15289,33077
31612,15316,32980
31592,15347,33199
31540,15347,33081
31488,15343,32848
31452,15365,33047
31440,15303,33047
31488,15275,32895
31546,15277,33047
31552,15294,32713
31540,15299,32933
31561,15336,32932
31550,15348,32805
31524,15340,32895
31529,15334,32807
31528,15332,32860
31552,15322,32696
31612,15299,32460
31673,15285,32684
31732,15298,32510
31728,15317,32607
31678,15325,32353
31588,15351,32506
31509,15362,32286
31492,15349,32508
31492,15356,32199
31466,15339,32324
31524,15314,32156
31584,15277,32263
31632,15285,32000
31680,15298,32216
31664,15340,32174
31604,15359,32134
31560,15363,31919
31564,15357,32155
31565,15381,32244
31520,15309,32057
31566,15279,32159
31640,15280,32002
31720,15301,32215
31724,15306,32039
31718,15348,32159
31670,15364,32093
31660,15383,32236
31660,15343,32000
31684,15340,32204
31688,15311,32184
31760,15289,32263
31796,15286,32237
31820,15298,32044
31808,15300,32095
31840,15326,32354
31848,15357,32319
31796,15357,32513
31720,15357,32401
31716,15367,32476
31680,15322,32517
31704,15300,32536
31737,15311,32492
31748,15314,32372
31712,15325,32673
31712,15361,32700
31664,15364,32815
31600,15376,32714
31572,15372,32544
31586,15356,32855
31604,15333,32730
31677,15311,32996
31776,15301,32896
31796,15313,33031
31794,15322,32903
31798,15353,33025
31789,15383,32960
31758,15385,33121
31752,15378,33088
31760,15373,33039
31800,15343,32902
31892,15321,33132
32014,15324,33268
32058,15333,33231
32085,15336,33119
32100,15364,33262
32052,15394,33287
32021,15399,33183
32000,15389,33410
32017,15380,33316
32052,15357,33228
32128,15306,33383
32204,15300,33506
32224,15317,33326
32296,15333,33437
32328,15353,33405
32332,15386,33562
32316,15384,33415
32300,15385,33208
32320,15390,33444
32364,15357,33511
32464,15320,33538
32564,15327,33496
32600,15343,33506
32638,15367,33511
32616,15348,33516
32592,15370,33565
32554,15374,33317
32548,15390,33543
32528,15367,33482
32552,15354,33481
32608,15341,33549
32668,15300,33415
32689,15315,33628
32700,15327,33281
32724,15375,33567
32670,15392,33445
32609,15378,33465
32604,15364,33548
32588,15359,33476
32548,15333,33647
32623,15304,33493
32688,15308,33522
32716,15339,33398
32736,15327,33605
32752,15361,33408
32720,15398,33511
32654,15413,33543
32608,15398,33396
32640,15397,33469
32640,15381,33473
32720,15335,33385
32748,15332,33469
32788,15341,33543
32820,15345,33409
32804,15380,33213
32736,15380,33391
32676,15383,33468
32624,15397,33128
32668,15368,33396
32684,15346,33391
32709,15326,33446
32764,15323,33276
32820,15330,33071
32836,15343,33308
32864,15375,33213
32801,15404,33281
32760,15412,32963
32736,15375,33042
32704,15367,33220
32692,15351,32969
32736,15320,33102
32781,15327,33105
32816,15339,33064
32820,15357,32789
32804,15361,32975
32770,15384,32823
32752,15406,32844
32728,15391,32866
32741,15380,32823
32753,15367,32818
32788,15373,32676
32820,15311,32748
32840,15323,32668
32848,15341,32759
32881,15365,32396
32828,15411,32535
32792,15403,32631
32756,15378,32560
32706,15389,32397
32704,15346,32589
32796,15341,32372
32876,15338,32198
32912,15335,32284
32920,15349,32420
32917,15391,32316
32844,15391,32135
32797,15391,32194
32742,15388,32228
32728,15396,32247
32724,15386,31992
32780,15319,32064
32852,15316,32207
32870,15355,31846
32901,15343,31986
32892,15374,32076
32836,15401,31893
32789,15402,31950
32792,15394,31927
32780,15389,31798
32776,15369,31924
32812,15347,31601
32844,15351,31829
32836,15355,31664
32840,15391,31848
32820,15362,31517
32736,15395,31612
32716,15397,31679
32718,15387,31476
32685,15390,31652
32712,15366,31757
32820,15341,31647
32860,15333,31461
32872,15360,31619
32889,15341,31692
32864,15382,31621
32840,15415,31589
32800,15415,31509
32744,15419,31615
32740,15428,31626
32749,15365,31445
32796,15330,31604
32812,15328,31689
32812,15345,31517
32808,15365,31635
32804,15398,31505
32816,15419,31732
32768,15407,31656
32741,15412,31413
32709,15391,31675
32732,15360,31655
32781,15337,31652
32830,15332,31628
32836,15341,31748
32808,15353,31493
32776,15386,31766
32750,15423,31634
32672,15415,31799
32636,15422,31837
32668,15421,31714
32672,15391,31591
32734,15346,31855
32773,15350,31741
32804,15372,31919
32804,15376,31801
32824,15405,31703
32769,15432,31934
32704,15412,31810
32688,15418,31908
32684,15406,31735
32680,15383,31988
32740,15360,31904
32777,15356,32044
32816,15378,32021
32820,15420,31812
32832,15379,32055
32774,15414,31957
32693,15412,32172
32660,15418,32046
32640,15407,31863
32672,15370,31900
32698,15342,32146
32736,15340,32128
32780,15351,32097
32789,15361,32216
32797,15396,32084
32764,15437,32181
32725,15435,32023
32684,15460,32239
32640,15403,32039
32660,15393,32158
32724,15350,32231
32777,15361,32153
32804,15370,32048
32826,15378,32222
32850,15426,32109
32820,15441,32124
32768,15433,32164
32748,15430,32300
32704,15447,32016
32660,15378,32207
32720,15351,32329
32760,15369,32131
32820,15373,32090
32840,15373,32247
32876,15405,32181
32824,15431,32284
32768,15434,32293
32752,15420,32240
32720,15429,32183
32736,15388,32007
32798,15375,32213
32868,15374,32202
32932,15385,32100
32940,15389,32261
32960,15417,32300
32920,15452,32172
32884,15423,32268
32849,15412,32104
32824,15409,32360
32844,15387,32286
32896,15371,32252
32968,15359,32152
33036,15367,32031
33064,15373,32260
33068,15401,32228
33060,15432,32105
33004,15431,32316
32969,15424,32319
32961,15420,32055
32976,15399,32223
33004,15380,32108
33062,15374,32312
33049,15392,32103
33068,15372,32207
33080,15404,32153
33069,15428,32279
33008,15431,32160
32960,15417,31909
32940,15412,32140
32936,15388,31987
32968,15380,32225
32988,15366,32007
32996,15377,31841
32994,15387,31837
33020,15408,32061
32964,15444,32073
32864,15436,32074
32784,15430,31900
32725,15429,31990
32725,15414,31844
32825,15388,31860
32877,15403,31945
32906,15373,31717
32916,15378,31876
32940,15427,31959
32889,15460,31761
32852,15448,31726
32836,15428,31706
32826,15421,31769
32832,15401,31709
32900,15381,31714
32917,15376,31797
32950,15385,31732
32988,15389,31588
33008,15422,31679
33004,15462,31548
32960,15436,31628
32972,15425,31384
32980,15426,31520
33016,15405,31714
33036,15396,31492
33080,15375,31588
33084,15391,31528
33109,15403,31593
33108,15436,31440
33041,15469,31296
32997,15481,31527
33012,15429,31376
33040,15424,31549
33064,15408,31357
33100,15397,31493
33137,15389,31408
33110,15391,31414
33112,15391,31545
33100,15432,31351
33044,15457,31433
33016,15465,31405
32993,15456,31463
33024,15457,31364
33032,15433,31303
33084,15377,31405
33144,15372,31283
33168,15378,31492
33184,15386,31427
33192,15413,31291
33156,15444,31140
33104,15445,31345
33064,15437,31407
33048,15439,31272
33070,15401,31248
33144,15379,31383
33220,15381,31251
33192,15390,31463
33200,15412,31271
33216,15433,31359
33181,15471,31471
33132,15474,31320
33096,15466,31144
33065,15476,31375
33061,15407,31394
33132,15376,31440
33136,15391,31276
33124,15408,31372
33145,15425,31512
33157,15423,31235
33088,15449,31400
33012,15470,31537
32952,15455,31360
32952,15468,31465
32944,15476,31344
33008,15383,31425
33068,15397,31493
33060,15397,31565
32940,15408,31412
32800,15447,31514
32580,15493,31414
32372,15455,31609
32164,15446,31442
31964,15444,31561
31856,15413,31511
31852,15396,31655
31900,15399,31468
31916,15422,31599
31964,15440,31553
32132,15479,31630
32396,15527,31609
32788,15467,31375
33392,15461,31635
34228,15453,31588
35192,15500,31637
36268,15442,31731
36852,15438,31589
37085,15452,31401
37568,15486,31633
38324,15514,31716
38832,15483,31560
39148,15492,31655
39512,15491,31607
40048,15495,31620
40320,15484,31559
40148,15458,31676
39640,15455,31644
38936,15459,31513
38508,15458,31698
37860,15478,31612
36804,15506,31476
35792,15505,31548
34972,15491,31552
34328,15479,31503
33716,15454,31470
33361,15421,31452
33056,15425,31580
32653,15433,31453
32304,15438,31311
32016,15463,31503
31776,15489,31516
31548,15501,31470
31384,15468,31457
31268,15468,31511
31184,15445,31361
31184,15423,31541
31180,15423,31284
31165,15439,31460
31128,15476,31604
31136,15450,31397
31096,15483,31506
31052,15487,31486
