ECG,EDA,RR
32820,8880,29988
32844,8898,29988
32820,8946,29848
32820,8903,29678
32788,8976,29940
32776,8998,29918
32772,8945,29894
32764,8972,29848
32676,8984,29760
32672,8900,29953
32734,8898,29863
32788,8956,29721
32780,8899,29793
32760,8919,29794
32750,9002,29703
32708,8986,29863
32644,8993,29613
32632,8945,29702
32644,8977,29525
32726,8900,29743
32760,8915,29479
32768,8892,29612
32724,8908,29441
32688,8959,29677
32680,8945,29437
32609,8982,29482
32532,8956,29369
32480,8965,29474
32500,8941,29247
32556,8913,29404
32668,8929,29270
32737,8892,29364
32760,8915,29232
32772,9029,29285
32692,8954,29289
32660,8978,29276
32656,9002,29166
32688,8949,29236
32700,8969,29204
32740,8903,29076
32820,8918,28925
32852,8938,29103
32840,8899,29092
32884,8929,29148
32896,9028,28972
32884,8960,28800
32828,8969,29029
32788,9002,28935
32777,8942,29044
32780,8925,28943
32818,8935,28863
32768,8908,28955
32813,8941,28807
32796,8916,29035
32821,8965,28861
32736,9006,28786
32632,8959,28679
32644,8953,28844
32612,8955,28836
32684,8951,28676
32784,8887,28937
32900,8920,28610
32916,8903,28751
32932,8918,28836
32864,8997,28760
32780,8965,28732
32748,8983,28880
32724,8951,28662
32728,8958,28751
32788,8910,28599
32869,8924,28663
32920,8925,28708
32940,8899,28583
32941,8941,28745
32904,8942,28480
32784,8978,28559
32732,9057,28650
32727,8975,28708
32748,8989,28679
32796,8908,28818
32924,8921,28543
32988,8918,28648
32988,8987,28788
33000,8927,28484
32976,9066,28644
32876,8976,28753
32760,9010,28619
32628,8950,28737
32544,8961,28692
32424,8964,28808
32364,8901,28634
32168,8898,28732
32004,8935,28692
31904,8965,28869
31777,8963,28653
31588,9003,28775
31524,8964,28745
31560,8990,28609
31612,8981,28772
31788,8913,28805
32106,8917,28679
32613,8919,28632
33026,8955,28812
33676,8919,28764
34628,8962,28649
35488,9013,28837
36025,8974,28710
36365,8976,28836
36372,8983,28813
36240,8939,28815
36216,8929,28709
36337,8966,28856
36656,8926,28727
37124,8954,28967
37333,9019,28751
37088,8993,28843
36672,9016,28855
35984,8982,28730
35524,9001,28839
35150,8927,28739
34744,8924,28820
34516,8901,28809
34332,8947,28813
34144,8954,28641
33932,8951,28911
33780,8988,28692
33582,8975,28809
33306,8973,28715
33084,8959,28855
32958,8930,28732
32881,8900,28854
32740,8934,28727
32612,8976,28911
32484,8944,28916
32386,9005,28768
32236,8976,29055
32096,8968,29071
31972,8978,28889
31905,9002,29008
31890,8948,28927
31948,8936,29074
32008,8895,28807
31996,8929,29093
31960,9029,29031
31932,8956,29197
31932,9013,28891
31880,8971,29166
31832,8997,29063
31912,8953,29212
31964,8939,28951
32048,8899,29066
32128,8945,29168
32104,8908,29015
32112,8945,29055
32116,8959,29176
32024,9041,29220
32021,8996,29151
32005,9010,29268
31944,8963,29076
32022,8953,29164
32108,8896,29007
32148,8922,29173
32168,8960,28951
32224,8919,29103
32200,8978,28960
32164,8979,29188
32120,8999,28988
32008,8999,28813
31952,8958,29037
32025,8951,28893
32120,8935,29013
32236,8904,29001
32320,8926,28908
32352,8916,29055
32364,8967,28726
32368,8983,28876
32348,8993,29007
32288,8966,28973
32209,8976,28954
32228,8927,28977
32284,8915,29036
32264,8901,29052
32281,8928,28986
32296,8918,29076
32337,8970,28933
32324,8981,29044
32277,8994,29152
32280,8971,29248
32208,8996,29004
32164,8972,29197
32208,8926,29340
32256,8948,29133
32280,8912,29328
32356,8937,29232
32368,9011,29458
32341,8981,29289
32320,9006,29453
32300,9007,29318
32348,8960,29596
32388,8947,29287
32404,8976,29581
32412,8907,29553
32430,8945,29757
32472,8958,29596
32536,8959,29733
32522,9009,29732
32476,9024,29836
32460,8969,29551
32441,8983,29759
32448,8930,29884
32544,8940,29922
32632,8909,30030
32672,8954,29932
32776,8958,29953
32773,8957,29923
32716,9001,30132
32660,9021,29959
32617,8975,29818
32580,8989,30112
32588,8961,30093
32652,8907,30260
32732,8932,30070
32768,8919,30195
32857,8957,30191
32916,8995,30050
32904,8989,30244
32905,8999,30013
32984,9026,30280
33057,9005,30148
33113,8967,30409
33196,8909,30146
33296,8930,30350
33306,8922,30455
33289,8951,30276
33268,9001,30398
33224,8989,30384
33164,8997,30305
33172,9005,30519
33125,8976,30313
33180,8972,30458
33248,8949,30467
33369,8921,30417
33424,8926,30581
33457,8932,30496
33416,9013,30235
33212,8987,30509
33024,9009,30385
33032,9001,30623
33036,9024,30637
33088,8935,30444
33124,8924,30282
33146,8962,30583
33216,8918,30468
33140,8955,30677
33028,8983,30727
32945,8989,30599
32872,8986,30515
32864,9010,30634
32869,8973,30695
32924,8950,30584
32984,8956,30475
32984,8906,30662
32968,8932,30652
32956,9039,30493
32948,8965,30717
32844,9012,30586
32736,8983,30685
32644,8991,30684
32656,8997,30613
32652,8929,30815
32696,8919,30628
32788,8948,30756
32812,8918,30599
32829,8938,30897
32856,8992,30672
32792,8981,30771
32741,8999,30926
32728,9045,30724
32677,8989,30837
32669,8952,30700
32760,8957,30960
32812,8918,30780
32820,8953,30837
32804,8919,30665
32761,8969,30940
32700,9034,30727
32596,8987,30812
32532,8996,30692
32532,8971,30893
32548,8945,30680
32636,8960,30469
32660,8909,30769
32564,8952,30674
32512,8959,30860
32536,8959,30727
32564,9014,30446
32588,9006,30727
32537,8973,30708
32584,9005,30530
32629,9036,30716
32680,8921,30680
32689,8913,30556
32676,8949,30696
32696,8973,30648
32708,8971,30641
32644,9023,30684
32652,8985,30724
32596,8976,30549
32572,8992,30343
32576,8935,30480
32709,8924,30471
32856,8954,30560
32824,8923,30651
32873,8951,30266
32860,8960,30408
32824,8983,30592
32712,8999,30213
32656,9039,30402
32689,8984,30439
32716,8978,30439
32776,8911,30268
32862,8925,30437
32948,8953,30282
32968,8921,30402
33016,8960,30308
33022,9006,30495
32964,8988,30095
32929,9010,30272
32877,9001,30447
32848,8938,30239
32892,8925,30328
32940,8975,30285
32956,8938,30404
32920,8968,30126
32904,8958,30305
32833,9009,30265
32736,8982,30212
32736,8991,30285
32748,9014,30262
32796,8932,30233
32834,8941,30328
32956,8951,30164
33068,8917,30280
33120,8936,30133
33057,8959,30324
32984,8997,30148
32928,9037,30261
32804,9001,30135
32754,9017,30356
32796,8939,30060
32918,8944,30245
32944,8950,30315
32980,8920,30329
32996,8938,30220
32980,9065,30300
32910,9010,30241
32817,9008,30335
32796,9025,30448
32828,8976,30234
32860,8962,30098
32909,8927,30060
32936,8945,30365
32960,8979,30340
32924,8927,30246
32908,8960,30352
32940,9016,30343
33036,9012,30169
33064,8975,30377
33012,8997,30398
32972,8975,30335
32968,8916,30510
32932,8946,30321
32836,8947,30180
32768,8988,30410
32826,8957,30403
32844,9000,30527
32801,9086,30317
32756,9006,30422
32696,9022,30243
32680,8939,30441
32784,8929,30441
32864,8949,30305
32880,8922,30400
32920,8956,30375
32872,8999,30480
32812,8991,30500
32820,9021,30162
32768,9018,30415
32708,8978,30298
32626,8962,30317
32680,8960,30127
32804,8911,30420
32900,8930,30240
32917,8956,30368
32904,8960,30415
32892,9003,30359
32816,9012,30407
32748,8981,30408
32728,9009,30540
32780,8995,30405
32844,8937,30297
32804,8966,30421
32776,8934,30401
32768,8961,30359
32772,8961,30372
32784,9017,30476
32768,9044,30134
32696,8995,30407
32656,9002,30259
32684,8941,30471
32789,8930,30177
32856,8915,30349
32904,8935,30421
32916,9023,30129
32880,8983,30352
32821,9026,30482
32756,8993,30301
32681,9011,30377
32648,9024,30413
32644,8941,30265
32697,8934,30359
32748,9018,30177
32752,8927,30451
32820,8965,30037
32848,8954,30304
32816,9006,30417
32788,8989,30021
32816,8992,30140
32823,9012,30385
32864,8946,30139
32920,8933,30240
32960,8964,30120
32964,8923,30140
33004,8937,30196
33092,9026,30041
33046,8992,30121
32880,9012,30140
32824,9031,30126
32804,8980,30255
32740,8981,30117
32741,8954,29860
32800,8915,30028
32801,8953,30184
32840,8981,30049
32805,8975,29993
32744,9011,29997
32740,9052,30148
32764,8983,30087
32740,8975,30049
32684,8975,29972
32713,8937,29870
32780,8954,29860
32820,8983,29717
32825,8927,29937
32820,8972,29943
32760,9031,29786
32704,8990,30008
32705,9014,29924
32748,9017,29739
32813,8943,29871
32980,8921,29844
33073,8938,29838
33085,8926,29741
33028,8948,29836
32988,8994,29806
32880,8987,29750
32805,9013,29829
32788,9087,29804
32768,8981,29892
32744,8972,29801
32824,8938,29571
32956,8919,29796
33036,8937,29858
33072,8965,29638
33072,8956,29768
32968,9007,29607
32864,9044,29800
32840,8983,29501
32816,8997,29605
32804,8948,29860
32828,8942,29532
32820,8915,29730
32740,8927,29823
32768,8943,29744
32798,8957,29785
32741,8997,29743
32710,9022,29906
32612,8980,29541
32548,9006,29788
32532,8974,29679
32593,8922,29800
32712,8929,29613
32792,8951,29793
32810,8932,29976
32757,8989,29780
32706,9018,29905
32645,8993,29765
32632,8990,30004
32606,9029,29959
32676,8951,30045
32800,8953,29896
32869,8916,30012
32884,8939,29980
32860,8927,30061
32848,8992,29823
32714,9103,30076
32604,9028,30016
32592,8984,30119
32576,8991,30301
32577,9013,29978
32660,8924,30200
32665,8927,30340
32689,9001,30099
32756,8930,30279
32754,8975,30406
32688,8993,30236
32616,9013,30340
32508,8981,30463
32396,8996,30301
32248,8955,30399
32144,8927,30370
32037,8936,30492
31848,9028,30178
31644,8955,30452
31468,9005,30487
31375,9000,30510
31340,9033,30372
31376,8983,30653
31480,9001,30284
31708,8957,30421
32160,8933,30703
32640,8981,30586
33300,8945,30709
34212,9014,30517
35152,9003,30621
35684,9094,30743
35968,9025,30596
35960,9054,30669
35824,9025,30714
35793,9026,30469
36024,8962,30703
36336,8935,30677
36876,9000,30807
37164,8973,30711
37012,8985,30821
36648,9028,30442
35980,9046,30684
35536,8996,30710
35228,9022,30789
34712,8997,30500
34484,8931,30727
34356,8948,30739
34108,8973,30671
33804,8937,30745
