ECG,EDA,RR
32968,28540,35534
33116,28455,35636
33064,28384,35492
32992,28349,35397
32928,28361,35582
32868,28424,35533
32801,28513,35620
32812,28581,35420
32784,28613,35558
32788,28596,35480
32900,28536,35564
32996,28456,35373
33100,28378,35530
33008,28340,35479
32937,28356,35523
32745,28416,35380
32656,28508,35529
32668,28580,35591
32668,28617,35356
32684,28612,35532
32752,28541,35521
32876,28455,35461
32934,28376,35591
32854,28340,35412
32860,28357,35380
32860,28410,35455
32620,28498,35596
32504,28581,35425
32500,28613,35568
32596,28604,35469
32652,28539,35626
32688,28453,35445
32690,28372,35588
32712,28338,35573
32656,28356,35427
32448,28415,35486
32540,28503,35512
32520,28561,35421
32572,28608,35580
32604,28602,35496
32637,28529,35632
32706,28450,35508
32800,28368,35599
32760,28340,35628
32660,28348,35426
32580,28410,35607
32576,28496,35526
32568,28562,35634
32676,28613,35548
32796,28598,35425
32933,28532,35580
32996,28444,35607
33008,28368,35660
32912,28329,35576
32788,28341,35444
32740,28404,35601
32528,28491,35575
32396,28557,35628
32484,28604,35489
32624,28597,35436
32760,28527,35637
32864,28436,35615
32952,28366,35536
32864,28320,35574
32712,28329,35588
32672,28404,35452
32572,28486,35456
32684,28562,35644
32676,28602,35641
32732,28589,35596
32790,28527,35604
32900,28436,35621
32744,28367,35501
32760,28326,35505
32829,28332,35521
32812,28393,35513
32728,28482,35516
32588,28556,35576
32580,28597,35623
32624,28582,35620
32657,28517,35530
32742,28438,35499
32724,28364,35492
32568,28317,35519
32472,28333,35492
32212,28395,35504
31588,28485,35490
30792,28556,35508
29672,28615,35664
28416,28600,35489
27146,28542,35489
25872,28482,35468
24860,28409,35661
24153,28378,35652
23330,28388,35620
22905,28448,35608
24196,28525,35566
27172,28584,35516
30885,28598,35532
34848,28570,35504
38136,28512,35580
39616,28433,35630
39746,28336,35559
38852,28306,35421
37728,28324,35404
36677,28380,35380
35712,28463,35535
34992,28536,35516
34464,28581,35476
33992,28575,35500
33788,28519,35453
33528,28428,35316
33652,28356,35306
33620,28311,35469
33524,28317,35364
33412,28380,35423
33356,28460,35455
33296,28545,35460
33184,28580,35418
33224,28573,35269
33304,28504,35236
33236,28434,35397
33216,28352,35366
33292,28309,35396
33172,28319,35365
33044,28374,35311
32956,28455,35287
32964,28532,35188
33016,28571,35349
33052,28574,35349
33072,28504,35172
33116,28423,35334
33120,28342,35281
33132,28303,35365
33084,28311,35166
33092,28368,35128
32916,28454,35280
32952,28526,35225
32813,28566,35169
32880,28559,35104
32964,28499,35264
33012,28422,35223
32936,28336,35272
32940,28300,35140
32780,28302,35039
32672,28368,35185
32500,28444,35244
32548,28524,35022
32693,28556,35156
32768,28561,35170
32804,28500,34988
32864,28417,35172
32892,28343,35079
32768,28289,35103
32668,28305,35152
32680,28361,35099
32632,28444,34997
32576,28511,34950
32596,28562,35116
32612,28557,35113
32692,28498,35064
32744,28416,34932
32720,28335,35109
32696,28292,35005
32588,28300,35148
32476,28349,34972
32332,28440,34951
32336,28512,35060
32308,28557,35128
32508,28551,34928
32480,28494,35080
32544,28413,35137
32560,28335,34935
32512,28290,35073
32348,28288,35133
32220,28356,34950
32111,28435,34940
32008,28514,35088
32120,28564,35060
32120,28548,35036
32128,28488,34916
32232,28410,34988
32312,28332,35096
32140,28295,35044
32064,28292,34951
32020,28345,34919
31946,28436,34909
31887,28514,35072
31998,28552,35078
31877,28551,35063
31820,28493,35079
31928,28407,34905
32064,28331,35041
32021,28284,35111
31984,28283,35127
31848,28348,34960
31744,28439,34944
31704,28509,34944
31648,28559,35103
31736,28551,35078
31976,28493,35078
32100,28398,35016
32064,28328,35169
31892,28287,35148
32036,28284,35044
31984,28342,35020
31960,28436,34999
31993,28509,35026
32096,28551,35079
32266,28547,35189
32312,28482,35175
32381,28405,35156
32472,28321,35124
32536,28276,35205
32520,28282,35272
32469,28337,35065
32412,28421,35252
32421,28501,35210
32536,28544,35292
32724,28537,35105
32801,28480,35246
32956,28399,35236
32928,28319,35305
32933,28273,35165
32978,28279,35092
32896,28332,35223
32908,28417,35172
32960,28492,35096
33020,28535,35246
33036,28537,35252
33296,28471,35165
33456,28391,35086
33404,28317,35252
33512,28272,35188
33460,28268,35300
33524,28327,35217
33384,28409,35105
33318,28485,35232
33284,28533,35210
33324,28533,35276
33454,28470,35135
33512,28395,35038
33532,28303,35196
33644,28260,35114
33444,28261,35116
33453,28319,35228
33476,28396,35057
33504,28480,35196
33452,28525,35096
33512,28517,35236
33472,28472,35049
33692,28381,35020
33856,28303,35183
33596,28260,35175
33556,28261,35124
33438,28310,35138
33460,28397,35184
33364,28474,35012
33340,28517,34984
33388,28519,35164
33504,28460,35150
33664,28373,35133
33669,28295,35141
33508,28255,35208
33644,28256,35124
33484,28317,35024
33352,28391,35180
33280,28476,35132
33228,28519,35144
33381,28514,35220
33376,28459,35032
33464,28377,35189
33504,28300,35153
33376,28253,35209
33348,28255,35029
33312,28303,35100
33168,28391,35102
33104,28468,35142
33113,28514,35025
33172,28525,35036
33248,28463,35173
33344,28379,35111
33368,28295,35248
33308,28250,35092
33164,28257,35206
33041,28305,35192
32928,28386,35093
32880,28462,35114
32980,28513,35094
33068,28510,35094
33120,28449,35141
33181,28383,35112
33248,28293,35132
33212,28252,35200
33144,28244,35018
33053,28294,35001
32992,28372,34964
32925,28455,34975
32900,28516,34948
32928,28508,35109
33060,28452,35087
33157,28366,35076
33124,28287,34993
33032,28244,35060
32972,28245,35033
32864,28295,35075
32856,28366,34916
32653,28453,35057
32728,28502,35050
32820,28505,34983
33032,28446,35062
33072,28364,34925
33160,28287,34875
32984,28238,35020
33022,28232,34958
32892,28295,35055
32828,28367,35020
32892,28455,34873
32909,28496,34821
32880,28501,35004
32864,28452,34993
33156,28367,34948
33164,28287,34844
33188,28236,34993
33068,28228,34927
32956,28287,34960
32652,28364,34823
32730,28447,34967
32852,28492,34940
32924,28503,34841
32988,28444,34988
32984,28361,34900
