ECG,EDA,RR
33148,32134,29974
32869,32197,30052
32800,32255,30018
32960,32252,29916
33544,32181,30005
33012,32100,29971
32884,32028,29869
33028,31979,29940
33361,31981,29891
33021,32047,29836
32748,32133,29889
32397,32215,29845
32784,32250,29857
32672,32252,29789
32710,32199,29728
33020,32103,29698
32940,32026,29764
33073,31972,29740
32948,31962,29614
33228,32041,29694
32172,32125,29640
32636,32219,29552
32776,32258,29592
32860,32247,29569
33300,32188,29457
33004,32116,29470
32952,32037,29445
32744,31980,29393
32864,31984,29337
33192,32055,29332
32512,32135,29293
32552,32215,29188
32840,32256,29220
32748,32252,29132
32836,32205,29132
33340,32125,29080
33124,32036,28965
32936,31982,28980
32700,31997,28930
32950,32050,28828
32793,32134,28836
32920,32215,28799
32688,32263,28685
32676,32261,28700
32532,32204,28640
32881,32111,28538
32693,32034,28548
32820,31988,28497
32608,31988,28439
32508,32053,28404
32356,32142,28368
32396,32229,28329
32396,32263,28312
32480,32263,28253
32349,32206,28261
32628,32100,28233
32602,32045,28176
32476,31988,28190
32396,31985,28167
32464,32044,28153
32444,32126,28135
32364,32217,28143
32320,32272,28133
32440,32263,28124
32532,32212,28146
32644,32118,28177
32716,32028,28142
32676,31998,28185
32696,31999,28164
32721,32057,28220
32672,32147,28209
32796,32217,28276
32856,32268,28284
32892,32263,28336
32896,32215,28328
33039,32123,28420
33168,32040,28472
33236,31996,28449
33268,32003,28550
33172,32063,28557
33040,32135,28641
32996,32221,28706
33016,32263,28737
33040,32258,28824
32996,32200,28848
33020,32119,28988
33052,32037,29072
33000,31998,29148
32960,31996,29219
33040,32050,29314
32864,32145,29400
32932,32228,29501
32960,32276,29524
33057,32263,29701
33080,32215,29741
33200,32135,29916
33186,32045,29954
33160,31996,30156
33197,31997,30232
33172,32052,30403
33164,32147,30512
33148,32224,30586
33028,32263,30776
33084,32261,30841
33300,32207,31053
33560,32125,31188
32996,32039,31216
33144,31975,31429
33136,31997,31468
33012,32057,31735
32852,32143,31788
32717,32228,31962
32841,32263,32036
33048,32260,32272
33380,32210,32319
33552,32123,32549
33516,32032,32656
33390,31992,32839
33197,32000,32981
33044,32057,33036
33112,32143,33281
32828,32223,33297
32800,32263,33517
32700,32262,33561
32764,32208,33815
32968,32120,33935
33124,32037,34111
33180,31994,34280
33112,31998,34280
33102,32052,34479
32881,32145,34536
32992,32221,34756
33052,32260,34799
32896,32263,35021
33012,32204,35070
33012,32117,35296
33108,32036,35357
33032,31994,35596
32924,31996,35732
32856,32056,35862
32884,32145,35988
32836,32229,35943
32824,32268,36132
32896,32272,36231
32976,32204,36449
32884,32117,36422
32841,32038,36636
33068,32002,36792
32864,31997,36905
32814,32054,37050
32776,32147,37111
32596,32226,37233
32853,32268,37164
32932,32260,37374
32901,32205,37487
33005,32127,37432
32996,32044,37678
32996,31995,37814
32920,31990,37748
32740,32052,37960
32725,32138,38087
32788,32228,38160
32792,32268,38244
32860,32263,38144
32932,32212,38361
32892,32124,38271
32800,32024,38551
32702,31997,38444
32588,31994,38653
32469,32061,38623
32356,32141,38839
32388,32228,38895
32456,32252,38864
32616,32270,39021
32804,32189,39109
32932,32112,39020
32964,32040,39108
32908,31977,39241
32728,32005,39319
32543,32061,39396
32852,32136,39212
32988,32220,39390
32876,32248,39580
32949,32253,39373
33020,32205,39545
33120,32104,39702
33124,32036,39535
33204,31988,39679
33192,31983,39741
33072,32054,39847
33033,32120,39932
33065,32222,39916
33108,32260,40012
33177,32256,39753
32952,32204,39921
33236,32116,40028
33348,32032,39847
33316,31985,40008
33324,31989,39988
33670,32048,40108
33470,32128,40160
33284,32207,40213
33236,32263,40213
33196,32261,40250
33240,32205,40101
33468,32103,40272
33608,32039,40194
33636,31988,40349
33644,31988,40104
33632,32049,40215
33576,32126,40378
33468,32209,40109
33360,32260,40292
33304,32258,40357
33404,32207,40304
33444,32111,40101
33360,32031,40300
33220,31990,40396
33100,31991,40204
32996,32046,40351
33064,32125,40360
33084,32213,40241
33153,32260,40349
32909,32244,40333
32224,32206,40343
31141,32124,40369
30064,32058,40152
28624,32024,40329
26833,32026,40380
25156,32107,40228
23974,32201,40133
22944,32241,40256
22000,32329,40236
22394,32334,40116
24912,32255,40292
28816,32134,40320
33164,32036,40181
37376,31966,40349
39932,31951,40297
40449,32013,40367
39710,32100,40137
38532,32193,40380
37293,32236,40335
36345,32236,40396
35600,32185,40246
34920,32096,40404
34360,32012,40314
34156,31981,40455
34220,31989,40228
34152,32044,40428
34020,32132,40525
33832,32207,40297
33632,32260,40469
33668,32253,40432
