ECG,EDA,RR
32948,32095,23630
32974,32044,23631
32932,31954,23719
32884,31871,23690
32892,31821,23758
32865,31818,23748
32952,31881,23832
32944,31972,23788
32860,32047,23840
32900,32096,23879
32780,32080,23821
32676,32044,23842
32430,31951,23949
32172,31877,23873
32180,31824,23908
31984,31841,24002
32145,31887,23973
32616,31974,24023
33320,32037,23984
33440,32094,24020
33156,32092,24070
32900,32031,24081
32720,31951,24142
32660,31876,24130
32789,31824,24210
32976,31826,24197
33074,31887,24204
32932,31967,24308
32796,32045,24262
32752,32103,24276
32772,32087,24345
33008,32014,24346
33236,31946,24399
33216,31865,24366
33240,31808,24403
33264,31829,24478
33020,31871,24445
32817,31964,24484
32858,32020,24476
33156,32087,24551
33232,32081,24521
33057,32021,24537
32828,31937,24621
32757,31861,24589
33004,31804,24629
33369,31818,24625
33377,31878,24650
33656,31958,24636
33804,32029,24714
33620,32082,24671
33732,32077,24685
33653,32013,24764
33500,31933,24745
33488,31845,24729
33428,31796,24726
33404,31808,24778
33404,31868,24744
33256,31956,24800
33116,32037,24760
32752,32079,24774
32528,32077,24764
32445,32020,24813
32540,31922,24796
32604,31855,24849
32616,31799,24806
32598,31793,24824
32040,31879,24838
30748,31949,24815
28916,32054,24836
26688,32116,24828
24992,32134,24834
23905,32066,24841
22880,31967,24866
21400,31934,24839
20232,31889,24865
21093,31825,24869
24180,31934,24886
28440,31980,24868
33104,32033,24856
38004,32045,24902
40596,32028,24884
40920,31972,24877
40084,31892,24916
39104,31814,24894
38272,31766,24876
37400,31780,24932
36384,31849,24897
35452,31929,24899
34700,32020,24866
34168,32057,24922
33660,32062,24869
33415,31991,24873
33328,31914,24880
33284,31828,24893
33468,31799,24863
33684,31786,24832
33632,31852,24869
33495,31937,24823
33452,32013,24820
33520,32060,24821
33972,32041,24801
33940,31997,24784
33860,31908,24804
33684,31822,24777
33476,31767,24781
33549,31781,24752
33497,31841,24807
33256,31943,24738
33200,32012,24746
33088,32052,24733
33084,32038,24792
33036,31981,24735
33020,31893,24741
33180,31828,24716
33216,31781,24742
33060,31763,24724
33040,31842,24708
33084,31925,24761
33336,32003,24725
33264,32047,24702
33180,32039,24769
33188,31985,24721
33109,31901,24702
33032,31812,24702
32948,31764,24700
32964,31780,24759
32920,31828,24716
32740,31925,24697
32744,32000,24757
32940,32036,24688
32988,32038,24685
32912,31977,24722
32774,31887,24694
32656,31796,24682
32661,31771,24686
32512,31765,24684
32408,31815,24717
32336,31918,24670
32164,31988,24706
32000,32043,24639
31781,32041,24651
31844,31975,24623
32148,31886,24644
32652,31807,24627
32692,31768,24671
32528,31768,24632
32592,31828,24644
32788,31917,24620
32592,31985,24685
32340,32029,24640
32140,32039,24640
32084,31975,24629
31808,31892,24632
31452,31800,24687
31204,31751,24646
30980,31783,24673
31161,31833,24637
31776,31923,24650
32352,31991,24714
32337,32036,24676
32476,32020,24716
32616,31965,24685
32328,31876,24712
31924,31793,24758
31740,31764,24716
31800,31779,24733
31734,31834,24756
31628,31916,24817
31564,31985,24792
31469,32038,24821
31788,32023,24897
31972,31937,24861
31957,31885,24941
31833,31799,24926
31812,31760,24903
31865,31756,25022
32108,31827,24997
31984,31904,25008
32081,31985,25095
32188,32020,25076
32176,32015,25095
32428,31948,25174
32740,31876,25151
32764,31791,25166
32596,31743,25232
32174,31756,25228
32196,31820,25238
32329,31905,25308
32128,31987,25286
32013,32031,25312
32524,32007,25361
32980,31949,25358
32920,31863,25380
32840,31768,25442
32903,31735,25429
32940,31751,25441
32872,31807,25449
32869,31878,25496
32920,31967,25485
32928,32014,25512
33000,32001,25524
33248,31948,25536
33308,31860,25549
33357,31775,25572
33412,31737,25577
33308,31740,25574
33080,31801,25619
32912,31893,25604
32940,31964,25637
32904,32007,25607
32884,31998,25618
33136,31940,25616
33324,31852,25620
33080,31760,25653
33000,31735,25623
33260,31743,25620
33360,31801,25644
33316,31887,25628
33352,31971,25624
33708,32000,25655
34344,31991,25620
34340,31929,25614
34377,31844,25652
34472,31765,25614
34116,31727,25607
33892,31741,25631
33476,31805,25614
33076,31887,25600
32838,31957,25638
32976,31996,25606
33012,31999,25637
33128,31932,25614
33564,31845,25617
33860,31775,25604
33732,31716,25625
33256,31721,25620
32768,31796,25652
32860,31878,25630
33060,31956,25620
33020,32000,25640
32928,31997,25653
33100,31930,25644
33532,31845,25664
33472,31767,25652
33340,31724,25675
33181,31741,25668
33228,31799,25700
33012,31882,25701
32820,31954,25735
32868,31999,25705
32732,31999,25744
32821,31935,25712
33008,31845,25741
32900,31767,25743
32924,31725,25762
33132,31740,25766
33256,31802,25812
32965,31879,25796
32541,31957,25824
32136,31996,25817
32360,31988,25828
33028,31932,25852
33328,31840,25861
33268,31759,25895
32812,31724,25892
32592,31739,25893
32352,31799,25915
32552,31879,25918
32896,31969,25940
32997,31993,25936
32980,31988,25941
33036,31929,25944
33158,31837,25941
33052,31765,25965
32925,31732,25964
32792,31736,25975
32560,31807,25975
32496,31889,25992
32592,31962,25974
32828,32004,25998
33116,31989,25984
33424,31935,25974
33276,31847,26005
32996,31765,25990
32832,31729,26004
32636,31741,25998
32917,31798,26016
33330,31879,26010
33440,31956,25999
33352,31996,26032
33296,31988,26020
32982,31920,26016
33020,31839,26043
33300,31767,26032
33472,31727,26044
33216,31725,26040
33001,31783,26071
33100,31869,26084
33244,31956,26061
33204,32005,26100
33128,31983,26097
33293,31918,26125
33456,31832,26119
33508,31751,26127
33545,31716,26137
33552,31725,26141
33232,31796,26177
32852,31873,26174
32756,31941,26180
32925,31991,26188
33120,31983,26184
33212,31930,26203
33252,31837,26201
33056,31751,26225
32816,31711,26222
32900,31716,26232
33308,31786,26239
33460,31876,26255
33212,31956,26265
32642,31985,26285
31604,31989,26281
30196,31928,26302
28652,31860,26309
26998,31800,26320
25104,31772,26318
23060,31776,26321
21572,31812,26340
19944,31952,26341
18635,31976,26368
19449,32058,26375
22780,32053,26401
27584,31964,26390
32744,31836,26422
38308,31727,26424
41364,31672,26408
41884,31684,26449
40804,31749,26456
39456,31841,26485
38264,31924,26487
37084,31973,26509
36268,31975,26516
35660,31902,26528
35172,31818,26553
34876,31733,26562
34480,31710,26580
33724,31721,26588
33364,31783,26593
33496,31867,26624
33648,31948,26631
33808,31980,26644
33828,31967,26647
33808,31910,26676
33936,31816,26689
