ECG,EDA,RR
33236,35129,19782
33184,35168,19905
33044,35234,19713
32960,35308,19780
32880,35380,19946
32920,35399,19780
33004,35367,19874
32996,35300,19924
33020,35212,19852
33160,35156,19872
33392,35132,19924
33556,35160,19937
33552,35226,20027
33373,35312,19907
33241,35361,20000
33160,35409,20009
33072,35364,20049
33156,35293,20081
33272,35216,20004
33376,35153,20093
33520,35124,20046
33501,35161,20125
33369,35228,20262
33264,35312,20180
33144,35379,20296
33072,35397,20148
33124,35367,20228
33330,35269,20194
33612,35207,20260
33736,35124,20344
33684,35120,20350
33505,35157,20334
33253,35228,20425
33108,35312,20372
32902,35380,20364
32856,35388,20585
32856,35356,20379
32972,35277,20445
33192,35207,20478
33244,35154,20492
33092,35124,20474
33012,35148,20539
32988,35235,20534
32877,35314,20582
32754,35372,20780
32680,35393,20580
32720,35364,20689
32801,35286,20768
32988,35207,20672
33164,35150,20716
33373,35112,20902
33240,35149,20735
32824,35221,20801
32496,35311,20802
32452,35369,20860
32564,35392,21052
32685,35356,20900
32804,35287,21029
32814,35197,20919
32802,35134,21006
32776,35089,20966
32701,35156,21029
32496,35224,21232
32376,35313,21064
32440,35369,21255
32632,35396,21190
32744,35357,21334
32852,35286,21148
32940,35199,21268
33025,35137,21224
33025,35116,21330
32856,35155,21472
32672,35220,21326
32608,35300,21382
32616,35379,21543
32706,35380,21429
32708,35365,21479
32852,35287,21559
33024,35181,21560
33070,35128,21557
32934,35115,21714
32717,35156,21600
32556,35229,21664
32440,35308,21855
32544,35369,21795
32725,35384,21925
32821,35335,21828
32880,35283,21877
32940,35192,22060
32916,35121,21984
32768,35112,22139
32712,35150,22048
32728,35207,22158
32700,35316,22098
32652,35365,22239
32812,35384,22135
32812,35352,22244
32776,35274,22284
32836,35164,22271
32976,35134,22317
33076,35112,22502
33088,35119,22448
32925,35220,22586
32624,35300,22453
32466,35335,22510
32524,35393,22645
32796,35343,22652
33040,35280,22789
33208,35192,22721
33116,35130,22825
32969,35105,22805
