ECG,EDA,RR
32673,31946,26792
32404,32039,26822
32316,32108,26838
32344,32143,26865
32341,32127,26868
32273,32067,26900
32277,31995,26916
32312,31900,26945
32408,31871,26967
32484,31879,27004
32356,31934,27031
32152,32034,27044
32036,32105,27075
31936,32151,27108
31932,32131,27150
31936,32068,27166
32048,31982,27191
32088,31916,27243
32012,31868,27277
31908,31855,27302
31840,31943,27341
31660,32033,27400
31728,32105,27454
31612,32135,27494
31608,32135,27513
31652,32071,27561
31736,31973,27631
31556,31901,27705
31568,31872,27741
31648,31879,27814
31704,31929,27837
31592,32017,27929
31456,32084,27981
31420,32135,28060
31532,32129,28072
31708,32063,28177
31888,31958,28249
32008,31892,28295
31432,31860,28357
31576,31866,28455
31488,31939,28521
31508,32007,28539
32020,32079,28640
31636,32127,28743
31640,32125,28807
31844,32048,28885
31948,31965,28882
32332,31885,29029
32024,31845,29092
32335,31858,29141
32100,31916,29216
31894,31999,29300
32076,32061,29348
32156,32119,29400
32216,32112,29484
32221,32052,29508
32436,31949,29505
32405,31879,29602
32324,31843,29680
32521,31852,29767
32553,31908,29725
32429,31988,29868
32576,32067,29909
32556,32117,29979
32772,32097,29914
32680,32044,30072
32548,31938,30116
32540,31872,30088
32676,31839,30189
32816,31841,30301
32640,31904,30329
32324,31990,30390
32252,32070,30440
32696,32097,30433
32996,32078,30549
33086,32020,30609
33400,31949,30546
33208,31871,30683
32944,31823,30702
32960,31828,30762
32953,31889,30724
32840,31974,30701
33285,32047,30845
33424,32099,30836
32908,32078,30896
33144,32022,30789
33124,31933,30902
33084,31851,30892
33189,31812,30880
33216,31823,30932
33017,31879,30960
32916,31965,30879
32932,32040,30991
32941,32078,30992
33012,32062,30908
33316,32015,30984
33008,31927,30954
32908,31854,31031
33140,31802,31024
33016,31809,30958
32840,31872,31039
32809,31965,30948
32760,32034,30991
32796,32076,31073
32840,32071,31092
33052,32007,31015
33164,31928,31076
33188,31847,31026
33172,31813,31129
33073,31809,31141
32652,31860,31101
32672,31950,31182
32292,32030,31050
32249,32074,31173
32528,32060,31172
32884,31996,31143
33408,31908,31201
32948,31836,31158
32808,31791,31184
32620,31793,31111
32320,31863,31204
32428,31944,31228
32400,32025,31138
32444,32069,31204
32552,32059,31082
32704,31992,31181
32704,31909,31184
32812,31821,31120
32692,31780,31168
32536,31801,31100
32380,31860,31172
32328,31948,31168
32520,32013,31033
32564,32060,31140
32720,32050,31034
32804,31981,31132
32912,31895,31085
32916,31815,31007
32840,31767,31086
32789,31783,31038
32716,31849,31076
32612,31941,31070
32692,32007,30937
32604,32055,31026
32672,32020,31020
32816,31981,30892
32956,31879,30988
33088,31814,30976
32872,31780,30847
32736,31788,30963
32720,31855,30910
32872,31933,30892
32948,32005,30905
32952,32051,30880
33040,32036,30754
33212,31972,30863
33008,31892,30836
32852,31812,30825
32988,31762,30744
32976,31772,30721
32716,31845,30788
32696,31924,30756
32688,32003,30761
32745,32036,30644
32736,32025,30676
32900,31952,30717
33004,31884,30708
33028,31812,30724
32844,31769,30604
32684,31776,30604
32644,31840,30704
32420,31910,30690
32644,32002,30564
32768,32036,30626
33008,32006,30644
32840,31971,30660
32724,31879,30555
32709,31804,30652
32656,31759,30620
32524,31765,30624
32496,31839,30535
32416,31916,30620
32412,31988,30644
32392,32032,30529
32486,32016,30645
32349,31960,30623
32469,31879,30536
32680,31807,30660
32500,31756,30636
32182,31769,30671
32764,31828,30636
32460,31909,30648
32441,31972,30708
32576,32031,30704
32508,32021,30748
32340,31959,30653
32428,31871,30787
32608,31793,30816
32736,31756,30742
32340,31764,30863
32400,31812,30876
32406,31896,30885
32620,31973,30916
32860,32023,30853
33096,32007,30983
33216,31935,31040
33116,31874,30950
32910,31786,31103
32784,31741,31114
32778,31760,31140
32570,31809,31145
32648,31902,31129
32752,31975,31276
32848,32015,31301
32748,32013,31222
32812,31947,31373
33041,31841,31433
33108,31773,31368
33308,31734,31481
33329,31746,31537
32984,31812,31505
32800,31889,31644
32821,31964,31655
32740,32004,31667
32832,31999,31728
33192,31934,31808
33158,31860,31784
33396,31764,31828
33297,31732,31994
33064,31741,32003
32992,31791,32100
32640,31870,32083
32588,31954,32117
32568,32002,32272
32504,31990,32332
32400,31932,32380
32332,31847,32495
32604,31776,32399
31796,31725,32516
30881,31748,32686
29416,31818,32712
27712,31905,32807
26300,31992,32820
24796,32052,32943
23316,32068,32953
22525,32004,33167
21629,31943,33204
20950,31861,33343
22037,31809,33332
25536,31789,33380
29900,31823,33484
34460,31878,33632
38252,31924,33788
40432,31964,33824
40888,31957,33804
40152,31888,34049
39356,31820,34097
37944,31746,34151
36820,31703,34284
36032,31727,34408
34952,31783,34506
34581,31866,34486
34224,31940,34534
33892,31988,34743
33596,31985,34772
33736,31921,34864
33856,31839,35012
33940,31743,35040
33824,31710,35056
33653,31719,35205
33772,31772,35365
33584,31844,35317
33652,31937,35400
33678,31983,35616
33348,31967,35640
33324,31919,35828
33584,31828,35822
33932,31747,35837
33532,31711,35924
33356,31716,36168
33368,31771,36252
33248,31860,36320
33056,31925,36364
32712,31977,36476
33280,31975,36596
33220,31915,36537
33396,31828,36761
33444,31748,36769
33428,31704,36965
33176,31711,36862
32852,31761,37086
33028,31846,37079
33004,31927,37280
32848,31971,37321
33168,31972,37276
33212,31905,37316
33196,31830,37546
33112,31735,37577
33184,31687,37712
33148,31707,37749
33052,31751,37664
32940,31836,37867
32776,31919,38056
32796,31957,37957
32788,31949,38167
32888,31895,38165
33132,31814,38352
33536,31733,38255
32804,31682,38261
32700,31696,38533
32200,31751,38612
32992,31824,38673
32956,31919,38596
32620,31961,38829
32452,31954,38956
32480,31889,39007
32686,31802,38919
33048,31724,38953
33076,31669,39241
32988,31689,39325
32608,31748,39393
32212,31819,39450
32684,31913,39492
32388,31950,39553
32736,31943,39728
32612,31878,39615
32796,31800,39580
32700,31720,39623
32568,31668,39669
32493,31685,39757
32412,31749,40044
32080,31832,40095
32036,31905,40092
32112,31948,40228
32100,31940,40336
32238,31887,40353
32244,31797,40264
32940,31717,40193
32920,31676,40504
32440,31676,40533
32224,31747,40604
32124,31826,40580
31968,31903,40720
31816,31955,40689
31448,31941,40724
32153,31879,40716
32512,31800,40965
32344,31712,40967
32372,31680,41108
32288,31676,41068
32424,31729,40932
32176,31820,41223
32256,31885,41247
32309,31936,41236
32472,31941,41441
32596,31879,41396
32660,31801,41268
32708,31719,41529
32568,31676,41548
32480,31673,41668
32293,31732,41489
32660,31815,41709
32533,31894,41828
32488,31932,41796
32640,31943,41888
32734,31861,41716
32848,31774,41935
33092,31706,41893
33188,31663,42058
32965,31647,41773
32844,31721,42093
32632,31808,42075
32876,31892,42092
32912,31927,41935
33080,31921,42220
33329,31860,42317
33300,31789,42225
33312,31696,42092
33268,31671,42413
33220,31669,42316
33184,31720,42498
33152,31807,42400
33142,31879,42308
33308,31919,42608
33352,31919,42561
33436,31864,42697
33452,31772,42527
33428,31682,42752
33512,31657,42744
33513,31652,42756
33404,31717,42614
33304,31796,42887
33316,31872,42850
33445,31910,42948
33656,31911,42777
33768,31860,42985
33782,31769,43044
33761,31690,42956
33732,31643,42991
33736,31651,43133
33677,31700,43160
33557,31781,42969
33452,31870,43192
33512,31908,43092
33672,31900,43158
33708,31847,43268
33420,31760,43226
33708,31685,43071
33804,31636,43324
33568,31647,43308
33396,31703,43101
33276,31777,43256
33440,31856,43122
33600,31901,43239
33736,31887,43200
