ECG,EDA,RR
32208,16383,43188
32264,16342,43391
32320,16329,43455
32360,16303,43472
32422,16260,43228
32452,16251,43482
32412,16170,43685
32364,16180,43788
32284,16231,43821
32248,16295,43856
32278,16363,43904
32345,16406,43989
32372,16329,44076
32432,16279,44130
32476,16223,44052
32496,16186,44308
32532,16185,44379
32560,16201,44433
32544,16311,44421
32524,16278,44509
32488,16326,44615
32504,16345,44465
32481,16339,44636
32488,16299,44756
32537,16284,44799
32544,16183,44759
32525,16172,44921
32532,16240,44935
32492,16229,45005
32476,16290,45108
32460,16379,45191
32436,16412,45149
32465,16323,45265
32548,16300,45340
32616,16245,45484
32668,16202,45540
32732,16215,45572
32748,16253,45632
32728,16229,45702
32700,16279,45371
32680,16337,45552
32676,16352,45759
32666,16337,45878
32692,16330,45872
32732,16295,45952
32766,16269,46087
32820,16169,46144
32808,16207,46193
32805,16274,46245
32774,16353,45909
32732,16418,46007
32772,16340,46236
32812,16325,46429
32832,16279,46471
32880,16227,46432
32930,16181,46596
32920,16182,46668
32840,16205,46708
32804,16242,46722
32768,16313,46529
32744,16324,46521
32733,16341,46751
32756,16325,46902
32852,16280,46975
32928,16245,47005
32960,16200,46983
32945,16193,47116
32960,16215,47153
32932,16245,47140
32864,16306,47144
32812,16345,47330
32809,16405,47044
32836,16319,47087
32932,16284,47391
33012,16252,47464
33057,16207,47524
33056,16198,47548
33064,16221,47524
33024,16276,47636
32944,16332,47728
32904,16323,47781
32904,16343,47804
32848,16327,47856
32864,16284,47845
32924,16234,47572
32904,16198,47733
32876,16182,47879
32848,16230,47892
32836,16305,47989
32800,16279,47989
32804,16346,47932
32732,16356,48057
32704,16357,48237
32692,16346,48301
32716,16229,48263
32736,16202,48356
32720,16186,48468
32704,16219,48504
32692,16298,48532
32616,16358,48508
32576,16398,48624
32538,16409,48447
32552,16415,48669
32608,16341,48645
32630,16293,48808
32673,16248,48639
32688,16265,48796
32697,16188,48903
32648,16303,48895
32586,16351,49007
32588,16380,48789
32581,16405,49068
32564,16388,49031
32621,16368,49156
32636,16207,49204
32637,16262,48912
32657,16265,49255
32636,16185,49304
32612,16236,49269
32536,16287,49372
32465,16325,49415
32476,16409,49389
32500,16365,49521
32536,16311,49159
32652,16245,49247
32653,16201,49497
32660,16182,49636
32644,16212,49700
32616,16253,49720
32544,16303,49709
32476,16351,49804
32444,16395,49842
32495,16322,49853
32569,16274,49932
32638,16228,49927
32709,16200,49708
32760,16183,49704
32708,16245,49821
32656,16229,49997
32612,16291,50044
32580,16337,50054
32566,16369,50164
32588,16383,50172
32662,16272,50284
32704,16226,50308
32744,16199,50244
32784,16205,50353
32768,16233,50365
32701,16264,50388
32665,16334,50484
32632,16369,50409
32604,16372,50552
32606,16349,50439
32618,16343,50592
32648,16225,50658
32696,16191,50680
32694,16172,50684
32673,16191,50671
32652,16239,50708
32640,16293,50799
32600,16332,50741
32616,16357,50871
32612,16334,50892
32636,16319,50932
32700,16289,50900
32736,16184,50562
32704,16195,50917
32736,16252,50965
32668,16229,51028
32568,16303,50596
