ECG,EDA,RR
32788,16722,49457
32704,16830,49511
32630,16801,49494
32644,16868,49600
32704,16792,49595
32752,16789,49647
32756,16694,49581
32742,16676,49533
32760,16713,49575
32806,16666,49604
32728,16720,49476
32636,16786,49689
32576,16795,49660
32636,16828,49696
32780,16838,49671
32872,16749,49424
32948,16714,49707
32948,16725,49712
32888,16650,49248
32841,16672,49704
32756,16753,49710
32701,16757,49696
32660,16820,49717
32656,16866,49687
32724,16811,49735
32760,16821,49661
32772,16710,49601
32812,16704,49624
32836,16645,49498
32820,16693,49608
32784,16786,49588
32672,16764,49684
32580,16819,49635
32556,16898,49685
32676,16807,49639
32817,16817,49576
32980,16698,49612
33112,16684,49636
33148,16648,49607
33036,16705,49617
32852,16715,49572
32768,16778,49567
32608,16802,49478
32576,16829,49521
32684,16870,49516
32885,16772,49521
33012,16764,49465
32972,16665,49281
32809,16677,49461
32676,16753,49444
32620,16735,49428
32576,16831,49378
32544,16815,49150
32556,16851,49257
32580,16802,49215
32696,16775,49244
32840,16779,49191
32948,16671,49234
33024,16673,49156
33020,16733,49159
32900,16813,49097
32788,16773,49129
32748,16823,49080
32720,16862,48957
32741,16871,49032
32856,16772,48975
32932,16724,48892
33004,16741,48916
33024,16661,48880
32936,16697,48560
32796,16782,48742
32729,16774,48684
32752,16831,48700
32788,16825,48644
32736,16827,48578
32724,16807,48492
32753,16707,48327
32896,16682,48444
32976,16678,48420
32997,16724,48413
32904,16796,48349
32736,16776,47873
32648,16829,48169
32640,16882,48157
32732,16810,48169
32817,16799,48135
32924,16804,48068
32986,16683,47637
32932,16688,47852
32892,16687,47556
32834,16749,47845
32832,16852,47362
32852,16836,47678
32900,16929,47639
32917,16833,47623
32948,16772,47540
32944,16748,47495
32972,16680,47465
33064,16692,47381
33038,16752,47317
32980,16732,47200
32860,16805,47047
32704,16868,47056
32644,16833,46997
32652,16828,47007
32720,16791,46928
32808,16785,46740
32948,16687,46829
32998,16681,46740
32984,16709,46676
32904,16782,46599
32868,16843,46325
32860,16823,46408
32836,16849,46300
32840,16854,46327
32824,16774,46215
32920,16752,46180
33044,16684,46105
33098,16689,46067
33087,16746,46028
32960,16733,45895
32828,16819,45773
32716,16824,45540
32700,16854,45597
32700,16816,45629
32830,16796,45548
32944,16733,45540
33020,16707,45420
33060,16706,45004
33100,16703,45183
32948,16758,45204
32841,16853,45101
32740,16837,45063
32744,16898,44964
32832,16836,44583
32964,16828,44696
33060,16732,44700
33032,16716,44716
33020,16754,44542
33016,16727,44473
32968,16836,44269
32873,16836,44367
32852,16837,44321
32748,16870,44199
32704,16881,44129
32714,16806,44055
32868,16719,43992
33012,16722,43888
33008,16741,43421
32884,16705,43564
32704,16770,43505
32484,16859,43542
32360,16844,43484
32452,16861,43399
32652,16830,43268
32932,16816,43143
33302,16832,42940
33616,16713,42941
33892,16756,42896
34216,16720,42756
34508,16801,42789
34716,16804,42740
35068,16866,42489
35644,16892,42503
36300,16940,42356
36804,16799,42232
36944,16780,42211
36904,16764,42175
36640,16792,42062
36044,16729,41948
35400,16793,41933
34860,16898,41468
34244,16862,41685
33502,16880,41619
32592,16875,41455
32104,16846,40973
32150,16755,41335
32312,16741,40996
32484,16770,41040
32578,16727,41018
32576,16837,40868
32460,16827,40797
32341,16898,40762
32360,16930,40775
32424,16844,40583
32537,16828,40528
32581,16815,40561
32581,16714,40005
32540,16729,40256
32448,16780,40129
32332,16773,40093
32240,16839,40020
32176,16871,39880
32101,16871,39815
32132,16859,39739
32301,16838,39597
32480,16823,39573
32668,16727,39591
32652,16732,39232
32544,16820,39292
32420,16793,39333
32312,16910,38750
32252,16871,38950
32228,16869,38868
32248,16862,38846
32384,16841,38865
32522,16763,38716
32532,16757,38580
32480,16774,38543
32373,16732,38129
32328,16791,38324
32284,16879,38358
32278,16858,38181
32284,16894,38108
32392,16919,37925
32572,16811,37940
32696,16772,37744
32800,16788,37750
32776,16709,37713
32740,16751,37612
32596,16868,37396
32444,16842,37334
32358,16935,37320
32368,16892,37277
32405,16932,37213
32484,16817,37127
32623,16782,37127
32712,16789,36887
32768,16721,36826
32741,16751,36916
32668,16783,36717
32616,16848,36599
32593,16922,36480
32568,16884,36469
32628,16921,36423
32720,16833,36341
32824,16821,36124
32852,16735,36141
32941,16755,36112
33016,16738,36124
33140,16803,35636
33149,16832,35744
32916,16890,35708
32668,16941,35663
32628,16866,35540
32796,16829,35533
32944,16817,35564
33020,16731,35207
33084,16728,35248
33060,16763,35236
32944,16849,35129
32788,16838,35049
32762,16892,34894
32804,16935,34866
32944,16869,34885
33072,16845,34424
33124,16832,34564
33152,16734,34438
33148,16757,34293
33108,16748,34256
33000,16820,34249
32904,16894,34225
32828,16882,34078
32756,16890,33733
32780,16897,33757
32854,16878,33749
32941,16776,33734
33062,16766,33725
33080,16735,33559
33041,16769,33508
32932,16858,33383
32864,16858,33309
32826,16928,33196
32864,16893,33076
32924,16890,32994
33032,16902,32842
33124,16781,32812
33136,16767,32756
33162,16795,32684
33136,16765,32508
33072,16823,32474
33004,16916,32439
32880,16887,32356
32812,16932,32284
32840,16887,32172
32920,16933,32079
32940,16807,31916
33012,16815,31884
33108,16747,31828
33084,16785,31760
32980,16807,31469
32828,16869,31684
32684,16945,31535
32608,16919,31461
32641,16939,31345
32874,16837,31173
33105,16820,31068
33132,16753,30999
32949,16758,30976
32696,16820,30852
32620,16813,30871
32613,16911,30717
32568,16896,30748
32508,16955,30724
32476,16882,30606
32545,16849,30452
32665,16860,30344
32780,16765,30265
32748,16805,30197
32661,16788,30204
32496,16866,30062
32412,16863,30109
32416,16921,30103
32460,16967,29845
32534,16890,29801
32608,16863,29740
32672,16843,29758
32720,16846,29703
32720,16754,29447
32676,16808,29473
32580,16815,29465
32551,16877,29228
32496,16935,29306
32476,16978,29156
32428,16909,29102
32437,16844,29031
32568,16815,28988
32656,16844,28903
32656,16762,28845
32604,16831,28778
32524,16825,28821
32496,16919,28796
32472,16903,28707
32464,16934,28701
32544,16924,28452
32612,16847,28535
32696,16820,28507
32780,16797,28397
32848,16751,28397
32840,16792,28287
32776,16876,28269
32672,16873,28004
32501,16931,28116
32416,16984,27860
32400,16909,27924
32532,16848,27732
32656,16820,27788
32668,16768,27629
32608,16778,27632
32548,16806,27663
32492,16822,27623
32528,16884,27638
32528,16952,27528
32480,17009,27463
32512,16910,27415
32616,16852,27398
32748,16819,27181
32768,16822,27319
32808,16758,27216
32800,16796,27098
32660,16830,27065
32503,16897,26908
32288,16938,26893
32324,16986,26808
32472,16902,26813
32600,16870,26709
32728,16893,26712
32756,16781,26599
32737,16795,26660
32593,16789,26511
32504,16840,26573
32452,16942,26397
32446,16926,26551
32584,16959,26465
32748,16902,26369
32840,16888,26247
32828,16805,26247
32764,16799,26276
32732,16821,26212
32700,16801,25986
32588,16857,26082
32488,16959,25900
32388,16919,26020
32364,16937,25976
32416,16967,25762
32464,16855,25792
32624,16830,25665
32732,16775,25756
32708,16776,25685
32624,16856,25628
32542,16846,25484
32484,16927,25572
32352,16924,25390
32328,16965,25476
32440,16906,25292
32640,16876,25400
32816,16882,25380
32881,16774,25311
32897,16782,25309
32804,16857,25108
32628,16839,25197
32424,16901,24974
32392,16966,24980
32404,16933,24862
32504,16917,24968
32613,16885,24852
32776,16877,24906
32886,16776,24843
32892,16799,24686
32788,16860,24653
32649,16850,24573
32580,16918,24632
32528,16991,24593
32562,16935,24487
32676,16933,24528
32868,16925,24453
33052,16912,24364
33072,16783,24340
32936,16796,24269
32776,16822,24357
32698,16916,24300
32644,16896,24120
32613,16945,24212
32548,16976,24109
32609,16915,24152
32720,16886,24108
32868,16916,23919
33000,16786,24024
33021,16791,23973
32860,16818,23788
32672,16898,23908
32566,16989,23876
32558,16933,23689
32636,16960,23706
32733,16980,23588
32816,16875,23669
32844,16842,23590
32848,16851,23575
32932,16776,23507
32940,16826,23424
32876,16911,23436
32714,16903,23348
32592,16963,23370
32556,17007,23262
32621,16928,23285
32768,16927,23233
32878,16824,23337
32924,16804,23156
32934,16776,23271
32828,16828,23214
32776,16849,23168
32696,16904,23007
32676,16965,23108
32732,16944,23064
32720,16940,23048
32728,16932,22995
32804,16823,22984
32916,16804,22800
32976,16872,22792
32988,16832,22775
32888,16920,22826
32741,16916,22692
32704,16958,22711
32676,17008,22586
32737,16917,22634
32832,16882,22585
32960,16888,22485
33061,16810,22516
33106,16817,22390
33068,16906,22540
32948,16866,22534
32820,16946,22335
32764,16940,22425
32700,16957,22434
32700,16975,22308
32760,16941,22345
32864,16915,22270
32932,16795,22110
32956,16799,22276
32932,16831,22166
32812,16873,22179
32604,16941,22056
32456,16996,22145
32512,17009,22084
32660,16926,21928
32840,16899,22078
32969,16844,22014
33049,16844,22013
32984,16788,21818
32880,16836,21964
32784,16895,21950
32690,16985,21741
32552,17026,21885
32524,16951,21817
32648,16934,21641
32824,16954,21794
32968,16830,21767
33036,16815,21753
32972,16845,21688
32848,16818,21529
32736,16925,21625
32687,16918,21637
32672,16983,21518
32644,16956,21526
32657,16956,21437
32752,16975,21538
32880,16836,21444
33020,16836,21297
33038,16789,21436
32964,16833,21250
32868,16924,21404
32704,16920,21380
32588,16985,21365
32608,16954,21353
32709,16954,21243
32840,16925,21221
32980,16839,21114
33020,16860,21167
32985,16793,21058
32884,16855,21169
32740,16865,21021
32644,16935,21125
32600,16948,20952
32640,16967,21024
32722,16997,20967
32816,16902,20996
32908,16931,20923
32985,16819,21020
32972,16796,20989
32924,16834,20949
32912,16865,20907
32832,16938,20742
32784,16975,20872
32828,16972,20729
32924,16993,20825
33016,16887,20772
33068,16847,20753
33132,16804,20800
33177,16814,20647
33196,16828,20699
33114,16930,20669
32996,16939,20721
32944,17020,20613
32928,16969,20664
32912,16985,20640
33004,16886,20624
33077,16864,20604
33076,16801,20564
33012,16863,20556
33032,16848,20505
33029,16872,20484
32976,16958,20321
32972,16948,20466
32964,16986,20357
32942,16930,20415
32948,16922,20348
33064,16841,20408
33172,16831,20380
33164,16800,20284
33108,16846,20308
32964,16877,20336
32864,16962,20316
32865,16960,20294
32921,17016,20298
33024,16946,20260
33175,16884,20173
33288,16879,20164
33280,16806,20072
33184,16870,20168
33044,16848,20128
32852,16889,20187
32728,16984,20156
32688,16956,20164
32672,17001,20129
32772,16934,20067
32952,16911,19937
33088,16935,20072
33100,16828,19912
33048,16877,20074
32904,16846,20046
32870,16929,20050
32804,16922,20044
32704,16973,20026
32648,17044,20024
32716,16965,20005
32816,16969,19905
32912,16852,19985
32920,16856,19932
32916,16803,19924
32864,16852,19933
32800,16948,19889
32704,16941,19920
32684,16990,19815
32660,16980,19860
32788,16960,19814
32900,16956,19882
32992,16844,19794
33084,16828,19861
33100,16884,19805
33088,16859,19876
33072,16931,19769
32996,16939,19796
32801,16993,19727
32592,17031,19768
32484,16945,19682
32540,16950,19825
32676,16849,19798
32797,16858,19649
32932,16813,19748
33088,16866,19609
33160,16932,19758
33376,16938,19668
33684,16994,19743
34109,17061,19591
34520,16965,19714
35000,16903,19610
35660,16902,19681
36264,16825,19678
36656,16857,19738
36780,16854,19631
36696,16927,19685
36464,16951,19613
35996,16998,19708
35552,17042,19699
35036,17052,19556
34570,16929,19664
34017,16892,19589
33148,16921,19697
32384,16850,19644
32120,16921,19695
32113,16921,19556
32160,16996,19685
32224,16989,19647
32320,16994,19695
32420,16988,19688
32580,16994,19620
32677,16875,19642
32648,16880,19532
32592,16833,19680
32484,16875,19538
32328,16905,19653
32204,16972,19631
32144,17038,19668
32116,16988,19568
32168,16969,19696
32224,16973,19667
32308,16868,19704
32416,16858,19564
32388,16895,19718
32321,16860,19685
32197,16928,19745
32132,16997,19729
32124,16990,19752
32172,17026,19663
32204,17020,19717
32292,16917,19749
32392,16875,19653
32448,16868,19813
32440,16831,19696
32344,16863,19843
32205,16921,19876
32144,17026,19787
32172,16987,19876
32212,17009,19744
32292,17042,19916
32332,16937,19832
32326,16921,19962
32352,16836,19996
32320,16848,19909
32268,16892,19975
32196,16975,19895
32120,16964,20059
32116,16997,20032
32184,17020,19934
32168,17015,20119
32176,16919,20096
32277,16873,20020
32424,16857,20187
32500,16877,20175
32500,16952,20196
32448,16914,20295
32360,16977,20225
32344,17059,20377
32404,16996,20363
32468,16974,20286
32596,16946,20492
32680,16897,20562
32704,16896,20504
32696,16839,20569
32616,16876,20553
32440,16942,20694
32348,17028,20606
32296,17002,20786
32372,17015,20700
32501,17026,20932
32692,16925,20948
32797,16927,21034
32813,16852,20958
32800,16861,21126
32724,16937,21068
32631,16927,21232
32588,16986,21192
32524,17071,21311
32528,17016,21296
32639,17011,21435
32796,16989,21373
32900,16877,21465
32890,16861,21519
32839,16908,21641
32784,16876,21681
32780,16947,21737
32740,16989,21651
32644,17037,21741
32648,17004,21755
32660,16981,21839
32724,16946,21842
32832,16902,22028
32924,16874,22095
