ECG,EDA,RR
32764,17981,27282
32652,18017,27224
32576,18096,27392
32570,18045,27190
32620,18073,27252
32789,17981,27184
32984,17927,27224
33160,17945,27154
33145,17913,27255
32988,17989,27150
32796,17989,27271
32548,18071,27266
32464,18060,27240
32512,18094,27174
32664,18025,27052
32852,17972,27118
33044,17937,27146
33128,17897,27150
33100,17954,27026
32958,17936,26953
32725,18056,27027
32596,18037,27015
32528,18100,26887
32485,18058,27012
32612,18016,27004
32753,18006,26824
32893,17927,26893
32940,17948,26916
32940,17908,26925
32844,18005,26818
32728,17999,26769
32620,18021,26857
32536,18069,26777
32568,18044,26751
32612,18071,26784
32768,17993,26721
32952,17935,26592
33033,17892,26660
33044,17946,26592
32908,17949,26689
32720,18047,26549
32602,18039,26660
32572,18116,26446
32548,18059,26578
32669,18015,26591
32832,18022,26544
32996,17924,26399
33116,17914,26519
33092,17954,26333
32996,17935,26305
32744,18021,26400
32488,18020,26405
32316,18061,26244
32253,18041,26345
32325,18031,26277
32500,17972,26132
32684,17958,26182
32740,17897,26213
32768,17942,26032
32697,17943,26068
32476,18031,26100
32328,18045,26005
32296,18053,25932
32356,18055,25993
32501,18042,25789
32628,18035,25900
32740,17940,25738
32804,17900,25636
32700,17916,25687
32572,17932,25591
32509,18032,25609
32560,18034,25551
32572,18047,25351
32560,18084,25325
32500,18025,25175
32500,18033,25253
32632,17953,25011
32772,17913,25104
32816,17959,24922
32784,17956,24960
32720,17986,24724
32644,18023,24711
32568,18072,24575
32536,18051,24551
32572,18081,24431
32712,17986,24471
32880,17932,24436
32948,17939,24261
32957,17908,24156
32846,17957,24108
32712,18055,24132
32572,18049,24053
32456,18057,24060
32429,18097,24018
32568,18021,23788
32772,18025,23894
32920,17945,23854
33036,17970,23828
33080,17918,23687
32957,17996,23713
32732,17996,23624
32480,18089,23630
32304,18078,23551
32352,18055,23644
32527,18079,23540
32756,17993,23748
32788,18010,23732
32716,17936,23668
32604,17916,23757
32484,18025,23752
32372,18012,23849
32316,18041,23873
32360,18119,23992
32517,18070,24023
