ECG,EDA,RR
32596,17821,31540
32749,17767,31716
32872,17716,31780
33004,17703,31949
33016,17796,32028
32900,17793,32471
32704,17835,32560
32504,17868,32760
32516,17876,32885
32602,17861,33005
32720,17810,33313
32808,17759,33398
32884,17725,33749
32936,17712,33717
32896,17732,34032
32784,17766,34117
32640,17814,34461
32521,17913,34576
32524,17917,34673
32580,17902,35045
32700,17844,35073
32805,17793,35111
32884,17735,35588
32868,17749,35510
32820,17781,35847
32748,17820,35883
32644,17867,36245
32585,17874,36261
32514,17883,36559
32568,17860,36661
32628,17812,37028
32679,17766,37031
32752,17733,37284
32852,17713,37452
32856,17739,37552
32856,17782,37927
32788,17814,37964
32608,17852,37960
32493,17859,38476
32536,17841,38372
32612,17796,38688
32704,17748,38868
32744,17709,38998
32804,17693,39356
32896,17717,39388
32972,17763,39548
32904,17853,39780
32672,17846,39705
32512,17858,40133
32493,17901,40185
32632,17853,40504
32820,17785,40772
32916,17764,40727
32896,17788,41020
32764,17717,41245
32644,17830,41308
32458,17793,41716
32405,17845,41671
32420,17927,41961
32480,17837,41815
32612,17796,42264
32772,17745,42631
32892,17716,42567
32916,17701,42944
32840,17717,43036
32689,17814,43156
32526,17862,43482
32452,17884,43296
32428,17909,43684
32496,17892,44048
32644,17791,44209
32684,17739,44407
32720,17700,44630
32692,17693,44536
32712,17724,44964
32676,17761,45143
32600,17813,45332
32561,17843,45422
32561,17927,45700
32677,17883,45943
32801,17812,46012
32940,17744,46204
32968,17702,46452
32936,17755,46540
32858,17775,46796
32673,17816,47057
32528,17828,47133
32449,17864,47367
32549,17867,47623
32660,17850,47780
32774,17790,47980
32877,17742,47767
32968,17711,48353
33040,17694,48549
32976,17769,48748
32880,17782,48949
32778,17828,49000
32668,17847,49296
32604,17848,49504
32596,17898,49530
32672,17849,49877
32813,17790,50039
32924,17721,50105
32944,17692,50308
32892,17707,50567
32808,17816,50709
32708,17848,50927
32652,17881,51125
32592,17890,51288
32572,17876,51463
32588,17820,51620
32680,17759,51780
32800,17700,52073
32872,17683,52174
32748,17708,52328
32640,17757,52588
32528,17802,52677
32500,17898,52909
32612,17890,53071
32756,17876,53318
32820,17838,53372
32847,17774,53636
32876,17728,53541
32820,17714,53884
32709,17734,54100
32616,17775,54232
32576,17802,54328
32560,17902,54468
32560,17895,54728
32653,17844,54780
32720,17792,55038
32821,17750,55039
32980,17701,55332
33140,17706,55380
33072,17722,55588
32864,17760,55644
32628,17806,55744
32448,17837,55983
32460,17849,56052
32560,17879,56262
32750,17802,56297
32924,17751,56415
33121,17697,56646
33182,17684,56648
33125,17767,56880
32904,17792,56967
32656,17822,57077
32550,17855,57121
32608,17860,57348
32712,17821,57349
32856,17829,57508
32986,17736,57573
33080,17695,57801
33072,17687,57812
32992,17705,57932
32816,17745,57967
32612,17863,58221
32541,17890,58276
32576,17864,57975
32773,17831,58503
33212,17774,58525
33708,17721,58613
34172,17685,58716
34516,17725,58768
34712,17716,58916
34853,17749,59055
35116,17796,59024
35536,17829,59142
36024,17917,59237
36408,17869,59345
36532,17804,59449
36458,17748,59399
36213,17700,59623
35652,17693,59588
34938,17797,59596
34360,17797,59817
33824,17830,59859
32972,17842,59847
31911,17906,59893
31452,17880,60033
31536,17801,60100
31864,17730,60060
32136,17749,60185
32332,17705,60240
32449,17711,60204
32388,17752,60268
32340,17852,60263
32264,17845,60423
32176,17867,60436
32128,17828,60368
32241,17773,60423
32352,17767,60384
32464,17703,60567
32452,17680,60548
32428,17700,60557
32326,17809,60548
32236,17809,60512
32184,17828,60573
32196,17891,60508
32280,17826,60572
32464,17783,60633
32586,17724,60604
32669,17751,60588
