ECG,EDA,RR
32822,17173,55796
32792,17085,55752
32744,17119,55888
32634,17129,55980
32476,17219,56039
32496,17220,55989
32608,17267,56103
32653,17237,56137
32828,17228,56183
32904,17154,56160
32974,17127,56327
33014,17157,56380
32964,17101,56412
32862,17177,56352
32716,17181,56500
32606,17241,56551
32588,17305,56583
32662,17244,56675
32764,17234,56198
32852,17145,56711
32896,17135,56728
32896,17089,56760
32836,17112,56748
32804,17127,56924
32732,17201,56836
32664,17284,56943
32632,17251,56967
32660,17259,57087
32672,17211,57000
32760,17164,57128
32904,17146,57113
32960,17086,56893
32932,17121,57212
32808,17129,57340
32668,17205,56829
32536,17224,57292
32476,17261,57440
32406,17301,57340
32452,17205,57488
32592,17181,57444
32704,17188,57535
32736,17093,57396
32730,17107,57633
32697,17224,57679
32544,17200,57612
32408,17285,57671
32340,17250,57724
32320,17278,57836
32416,17207,57756
32472,17155,57780
32544,17126,57876
32633,17154,57828
32712,17097,57981
32624,17173,57981
32420,17183,57556
32320,17262,57992
32253,17250,58117
32268,17264,57956
32368,17201,58116
32448,17188,58164
32556,17108,57975
32572,17103,58241
32620,17099,58247
32592,17185,58003
32484,17184,58212
32325,17231,58324
32224,17271,58274
32292,17304,58375
32372,17204,58342
32413,17166,58247
32444,17152,58399
32472,17086,58375
32520,17111,58500
32500,17164,58484
32468,17268,58368
32453,17233,58464
32432,17264,58516
32381,17330,58566
32360,17224,58493
32404,17205,58556
32448,17113,58564
32557,17104,58628
32644,17159,58607
32548,17135,58557
32444,17199,58568
32372,17292,58596
32332,17253,58701
32388,17273,58588
32480,17270,58119
32544,17160,58724
32564,17151,58628
32600,17177,58759
32580,17105,58593
32545,17159,58740
32472,17241,58669
32444,17229,58767
32416,17268,58759
32429,17313,58300
32524,17214,58788
32626,17228,58688
32700,17127,58841
32705,17108,58788
32656,17148,58756
32582,17134,58308
32469,17199,58788
32360,17271,58749
32324,17252,58852
32376,17261,58765
32456,17237,58725
32644,17152,58826
32788,17125,58744
32905,17109,58887
32832,17115,58868
32692,17158,58828
32532,17228,58788
32356,17283,58767
32288,17252,58695
32368,17245,58300
32520,17216,58700
32653,17200,58764
32809,17113,58808
32885,17108,58772
32844,17159,58180
32761,17136,58759
32520,17215,58653
32400,17295,58711
32393,17261,58580
32444,17279,58684
32480,17285,58563
32608,17153,58655
32700,17118,58527
32814,17103,58088
32836,17161,58532
32728,17143,58518
32570,17215,58367
32516,17231,58444
32440,17256,58308
32409,17262,58348
32420,17233,58336
32496,17230,58188
32636,17132,58151
32716,17137,58152
32752,17096,58103
32622,17138,58087
32497,17197,57873
32348,17251,57824
32304,17308,57904
32320,17242,57724
32428,17208,57777
32548,17169,57460
32672,17169,57614
32740,17086,57520
32752,17117,57465
32664,17171,57308
32600,17188,57199
32524,17227,57248
32568,17264,57048
32600,17265,56920
32652,17236,56888
32784,17217,56856
32920,17109,56676
32960,17093,56641
32932,17131,56452
32864,17200,56416
32676,17187,56300
32540,17255,56256
32516,17305,56004
32561,17239,56022
32592,17209,55868
32652,17160,55805
32752,17140,55607
32812,17156,55472
32788,17100,55391
32716,17162,55204
32664,17203,55104
32596,17260,55060
32556,17316,54887
32576,17242,54728
32540,17214,54629
32588,17173,54472
32684,17139,54352
32872,17148,54087
32768,17100,54140
32629,17161,53964
32552,17212,53767
32440,17237,53738
32372,17269,53524
32388,17294,53415
32489,17209,53303
32688,17164,53063
32872,17168,53021
32906,17097,52908
32852,17132,52628
32676,17140,52615
32548,17197,52401
32464,17255,52336
32449,17275,52116
32456,17292,52000
32520,17280,51884
32636,17161,51679
32700,17110,51568
32736,17107,51479
32752,17109,51164
32725,17166,51207
32688,17245,50991
32576,17231,50933
32552,17257,50436
32556,17268,50684
32592,17240,50529
32645,17211,50438
32743,17194,50244
32776,17088,49996
32700,17110,50020
32560,17183,49892
32464,17204,49769
32404,17255,49655
32338,17319,49287
32380,17244,49447
32417,17222,49300
32508,17177,49108
32624,17187,49076
32660,17092,48844
32668,17125,48359
32630,17201,48719
32457,17194,48504
32300,17252,48492
32236,17313,48263
32352,17251,48284
32472,17255,48085
32592,17169,47709
32712,17155,47940
32788,17095,47828
32748,17125,47464
32696,17183,47621
32524,17199,47440
32416,17253,47402
32416,17310,47312
32512,17245,47189
32632,17221,46972
32728,17219,47016
32776,17108,46823
32764,17119,46817
32820,17169,46332
32758,17143,46581
32720,17199,46440
32653,17254,46465
32616,17286,46132
32644,17293,45901
32784,17201,46128
32926,17172,46105
33032,17132,45960
33032,17153,45596
32928,17100,45916
32788,17143,45788
32704,17207,45645
32648,17253,45540
32584,17305,45564
32640,17245,45433
32756,17225,45220
32828,17205,45380
32908,17125,45204
32904,17125,45156
32892,17185,44992
32781,17136,44735
32625,17208,45039
32564,17297,44813
32548,17257,44844
32604,17268,44756
32740,17264,44501
32845,17156,44712
32980,17143,44572
33036,17093,44260
32925,17169,44372
32760,17153,44411
32720,17241,44018
32728,17238,44282
32676,17263,44197
32732,17261,44199
32845,17237,44049
32933,17205,43964
32984,17110,43669
32964,17109,44004
32888,17135,43783
32816,17208,43780
32741,17277,43797
32688,17238,43748
32640,17268,43525
32657,17286,43623
32684,17269,43618
32785,17149,43492
32876,17132,43364
32950,17121,43471
32912,17201,43270
32825,17164,43320
32713,17257,43182
32644,17236,43216
32586,17259,43188
32653,17260,42932
32672,17241,43036
32712,17216,43033
32832,17110,42865
32884,17100,42985
32932,17121,42773
33096,17190,42375
33316,17192,42775
33576,17239,42524
33864,17270,42686
34337,17245,42479
34780,17204,42461
35232,17154,42486
35820,17141,42412
