ECG,EDA,RR
32668,16802,30332
32632,16846,30332
32608,16797,30109
32560,16868,30143
32512,16968,30062
32496,16876,29784
32544,16842,29895
32624,16801,29677
32704,16743,29499
32790,16809,29702
32820,16770,29524
32740,16789,29268
32660,16845,29268
32576,16911,29168
32544,16942,29284
32584,16965,29060
32649,16915,29050
32736,16862,28798
32796,16820,28861
32836,16717,28767
32860,16724,28769
32816,16773,28644
32748,16822,28545
32724,16868,28316
32704,16883,28438
32728,16881,28260
32800,16868,28209
32912,16823,27940
32932,16769,28036
32872,16724,27847
32832,16721,27840
32776,16755,27684
32720,16796,27585
32708,16846,27588
32709,16942,27332
32673,16920,27421
32717,16908,27218
32812,16860,27237
32881,16820,26980
32896,16719,26988
32928,16721,26868
32884,16751,26872
32800,16801,26615
32720,16940,26748
32696,16946,26601
32724,16948,26375
32776,16844,26356
32820,16799,26319
32864,16820,26264
32912,16783,25996
32908,16750,25968
32896,16788,26009
32852,16827,25761
32788,16891,25860
32694,16943,25641
32678,16932,25549
32672,16902,25408
32744,16832,25526
32828,16771,25428
32872,16752,25199
32901,16768,25173
32872,16813,25096
32796,16868,25145
32690,16847,24922
32669,16873,24967
32640,16876,24893
32632,16848,24658
32660,16815,24599
32732,16774,24643
32780,16725,24583
32764,16728,24424
32700,16761,24261
32620,16817,24388
32584,16859,24290
32508,16887,24181
32468,16900,24022
32487,16849,24118
32528,16809,23992
32596,16764,23972
32592,16721,23861
32604,16725,23838
32492,16764,23784
32424,16797,23577
32340,16847,23636
32304,16973,23585
32248,16961,23445
32268,16848,23298
32348,16794,23413
32444,16748,23279
32568,16730,23304
32592,16734,23105
32472,16756,23228
32324,16804,23052
32238,16869,23073
32248,16888,22924
32340,16912,22802
32432,16885,22957
32476,16846,22800
32524,16815,22825
32524,16785,22687
32524,16775,22628
32472,16789,22586
32424,16835,22645
32413,16869,22448
32424,16897,22524
32457,16908,22407
32444,16897,22436
32460,16850,22410
32480,16799,22241
32520,16756,22170
32532,16764,22298
32480,16807,22137
32402,16858,22190
32340,16910,22008
32308,16942,21948
32365,16934,22058
32456,16917,21964
32548,16862,21967
32600,16802,21857
32568,16756,21909
32464,16777,21799
32368,16805,21816
32312,16838,21651
32229,16871,21719
32232,16902,21658
32308,16917,21636
32377,16888,21636
32487,16817,21454
32580,16766,21521
32564,16744,21567
32580,16746,21428
32564,16767,21486
32517,16816,21338
32440,16862,21369
32392,16887,21340
32372,16889,21369
32401,16846,21252
32457,16797,21201
32540,16748,21106
32560,16717,21271
32620,16719,21156
32576,16814,21145
32468,16863,21020
32369,16932,20991
32277,16873,21129
32334,16876,21060
32425,16841,21046
32548,16796,21033
32592,16747,20871
32580,16724,20801
32620,16737,20852
32552,16765,20937
32444,16836,20816
32358,16877,20870
32293,16913,20768
32272,16930,20724
32360,16887,20613
32488,16827,20655
32609,16772,20754
32704,16775,20653
32752,16775,20681
32677,16809,20570
32593,16845,20477
32544,16894,20546
32508,16908,20558
32484,16895,20548
32468,16858,20549
32541,16807,20383
32618,16767,20349
32662,16729,20487
32662,16728,20385
32628,16764,20432
32572,16820,20332
32520,16860,20225
32493,16884,20378
32532,16885,20296
32572,16850,20300
32640,16805,20306
32720,16759,20197
32756,16745,20101
32736,16765,20214
32704,16775,20236
32624,16805,20032
32520,16858,20124
32480,16873,20169
32488,16954,20149
32576,16905,20125
32656,16855,19996
32696,16792,20084
32722,16765,20015
32732,16759,20048
32682,16784,19928
32612,16860,19940
32513,16913,19981
32496,16879,19943
32536,16895,19959
32680,16856,19872
32776,16806,19812
32768,16754,19900
32716,16732,19892
32672,16732,19844
32624,16764,19737
32588,16816,19724
32512,16849,19806
32464,16876,19841
32465,16938,19676
32456,16873,19822
32584,16812,19733
32708,16758,19780
32732,16726,19716
32680,16734,19590
32652,16760,19690
32613,16821,19744
32590,16868,19654
32512,16899,19695
32538,16888,19695
32624,16857,19528
32684,16802,19659
32777,16744,19593
32788,16722,19634
32788,16731,19628
32708,16767,19556
32644,16810,19529
32628,16900,19535
32600,16941,19540
32604,16866,19505
32641,16837,19422
32724,16788,19403
32784,16757,19400
32804,16725,19516
32736,16741,19512
32664,16764,19492
32608,16810,19516
32576,16868,19510
32588,16925,19503
32628,16930,19503
32656,16925,19418
32712,16791,19346
32809,16742,19403
32841,16711,19473
32852,16735,19476
32824,16770,19463
32708,16811,19451
32624,16867,19410
32621,16902,19410
32668,16910,19455
32716,16869,19459
32788,16837,19367
32836,16789,19298
32868,16731,19440
32904,16736,19393
32893,16805,19402
32820,16843,19444
32770,16880,19390
32664,16923,19292
32592,16903,19425
32624,16894,19458
32668,16852,19400
32740,16804,19435
32793,16782,19444
32793,16789,19364
32708,16824,19349
32636,16869,19466
32576,16884,19443
32560,16926,19455
32604,16927,19365
32680,16879,19388
32732,16805,19428
32793,16752,19477
32876,16741,19418
