ECG,EDA,RR
31536,29175,64576
31548,29172,64572
31520,29167,64519
31464,29149,64628
31429,29132,64596
31424,29117,64646
31432,29112,64511
31428,29124,64643
31456,29156,64620
31456,29148,64672
31484,29167,64684
31461,29165,64676
31416,29159,64613
31364,29151,64742
31304,29131,64732
31264,29120,64452
31164,29126,64751
31072,29124,64729
30888,29145,64764
30688,29160,64684
30392,29164,64756
30032,29182,64796
29644,29168,64708
29148,29162,64800
28604,29130,64756
28216,29145,64372
27952,29145,64742
27866,29140,64767
28108,29172,64716
28384,29191,64740
28544,29200,64732
28620,29200,64628
29080,29198,64701
30200,29164,64670
31564,29143,64684
32856,29114,64572
33788,29111,64636
34532,29110,64646
35124,29116,64576
35309,29128,64584
35264,29140,64532
35052,29137,64420
34692,29132,64473
34188,29122,64480
33752,29110,64421
33388,29103,64007
32968,29096,64292
32588,29111,64332
32344,29124,64263
32153,29144,63796
32024,29148,64196
31892,29146,64124
31728,29148,63751
31628,29132,63956
31516,29124,63840
31424,29104,63808
31356,29108,63620
31336,29117,63680
31332,29124,63548
31252,29137,63188
31222,29149,63276
31184,29156,63228
31156,29146,63108
31173,29130,62868
31164,29125,62900
31188,29108,62749
31198,29104,62471
31228,29113,62532
31296,29124,62350
31276,29135,61916
31300,29149,62152
31312,29148,61934
31284,29133,61884
31284,29121,61648
31272,29112,61692
31280,29097,61541
31300,29098,61447
31284,29108,61297
31253,29117,61136
31301,29134,60967
31336,29143,60744
31332,29140,60807
31312,29140,60632
31256,29126,60580
31164,29098,60423
31184,29100,60212
31224,29103,60085
31228,29104,59559
31240,29115,59919
31260,29132,59760
31308,29136,59592
31276,29136,59399
31272,29139,59244
31280,29120,59237
31276,29103,59029
31268,29094,58949
31296,29086,58781
31320,29097,58452
31316,29100,58628
31256,29127,58472
31220,29135,58270
31180,29143,58188
31126,29120,57846
31084,29119,57999
31112,29104,57541
31134,29096,57673
31148,29079,57568
31164,29105,57529
31156,29111,57409
31188,29120,57220
31188,29142,57172
31184,29132,57048
31201,29132,56856
31192,29102,56739
31140,29102,56480
31108,29094,56565
31144,29092,56421
31172,29092,56144
31200,29112,56164
31222,29124,55972
31224,29133,55860
31184,29141,55712
31208,29128,55559
31188,29116,55472
31210,29100,55400
31268,29086,55253
31264,29087,54949
31284,29094,54918
31308,29109,54744
31348,29120,54639
31372,29128,54432
31364,29132,54356
31380,29132,54309
31396,29118,54084
31444,29094,54001
31458,29088,53863
31492,29087,53593
31488,29100,53581
31480,29112,53429
31476,29116,53212
31464,29132,53068
31456,29129,52860
31418,29125,52743
31422,29110,52343
31504,29097,52516
31560,29095,52297
31584,29078,52135
31624,29101,51988
31672,29108,51860
31692,29125,51632
31632,29130,51536
31568,29132,51249
31476,29129,51192
31388,29100,50951
31348,29100,50855
31357,29088,50641
31404,29095,50415
31432,29086,50041
31468,29108,50167
31536,29117,49909
31584,29137,49815
31576,29140,49384
31588,29124,49478
31596,29112,49276
31628,29084,48948
31669,29081,48944
31716,29081,48708
31744,29092,48244
31744,29101,48344
31816,29118,48209
31904,29124,48069
31968,29124,47591
31973,29120,47695
31928,29109,47516
31912,29096,47253
31988,29088,46855
32016,29082,46944
32060,29084,46700
32065,29098,46588
32021,29116,46334
31984,29126,46168
32004,29130,45908
31968,29127,45776
31900,29108,45688
31880,29097,45288
31916,29084,45204
31968,29082,45132
32020,29084,44752
32076,29096,44729
32098,29117,44500
32121,29125,44097
32136,29130,44169
32108,29121,44000
32066,29106,43655
32056,29101,43527
32076,29092,43149
32120,29088,43185
32172,29092,43045
32192,29101,42660
32212,29121,42525
32196,29124,42437
32184,29137,42236
32208,29128,41918
32216,29114,41849
32209,29096,41324
32196,29088,41543
32216,29086,41228
32224,29092,40933
32232,29108,40824
32272,29118,40356
32268,29129,40553
32208,29136,40252
32180,29133,39901
32137,29117,39956
32128,29102,39680
32160,29090,39396
32168,29089,39214
32168,29095,39105
32204,29104,38951
32200,29124,38724
32196,29135,38436
32152,29137,38365
32128,29130,38176
32104,29123,37964
32080,29108,37733
32048,29097,37604
32056,29095,37216
32136,29101,37213
32136,29108,36932
32152,29121,36657
32184,29139,36712
32228,29138,36366
32200,29140,36292
32212,29124,35898
32216,29105,35760
32224,29104,35702
32238,29100,35540
32312,29097,35292
32368,29118,34964
32416,29133,34812
32456,29137,34781
32488,29144,34544
32496,29135,34340
32532,29127,34007
32544,29116,33964
32500,29104,33761
32488,29101,33584
32488,29102,33437
32440,29117,33092
32422,29130,33050
32378,29143,32808
32392,29151,32669
32385,29144,32360
32386,29131,32268
32448,29115,32084
32472,29111,31840
32520,29102,31694
32520,29110,31556
32516,29126,31404
32500,29141,31142
32501,29151,30988
32528,29157,30852
32484,29143,30672
32445,29127,30413
32424,29126,30393
32445,29123,30180
32485,29112,30068
32488,29125,29752
32492,29130,29684
32389,29145,29578
32236,29160,29353
32172,29168,29217
32048,29153,28995
31840,29151,28932
31580,29140,28765
31297,29132,28461
30986,29127,28428
30572,29151,28261
30032,29160,28119
29544,29191,27844
29168,29208,27734
28909,29190,27607
28924,29210,27485
29248,29191,27244
29512,29191,27156
29436,29183,26972
29372,29183,26781
29788,29184,26673
31056,29191,26540
32544,29190,26408
33856,29191,26200
34872,29183,26121
35644,29170,25904
36156,29157,25820
36380,29142,25677
36280,29128,25486
36016,29126,25407
35668,29145,25252
35325,29153,25081
35012,29174,24989
34656,29191,24844
34312,29191,24698
33988,29191,24557
33696,29184,24460
33516,29169,24324
33408,29148,24191
33280,29167,24060
33112,29163,23938
32976,29186,23825
32853,29197,23698
32762,29208,23592
32704,29220,23438
32617,29200,23317
32584,29199,23226
32584,29185,23077
32584,29175,22967
32586,29172,22856
32608,29182,22754
32613,29191,22641
32594,29217,22504
32617,29220,22456
32614,29229,22368
32625,29221,22188
32600,29205,22116
32600,29191,22004
32580,29188,21912
32618,29180,21886
32654,29191,21735
32676,29206,21644
32644,29225,21543
32696,29234,21489
32696,29240,21438
32664,29240,21292
32660,29223,21219
32632,29215,21105
32636,29204,21116
32664,29200,20980
32688,29216,20894
32728,29218,20772
32732,29240,20784
32704,29252,20606
32672,29260,20577
32652,29260,20464
32636,29240,20495
32676,29221,20309
32704,29220,20316
32696,29216,20151
32740,29224,20115
32784,29237,20032
32792,29252,20032
32780,29260,20005
32781,29272,19809
32752,29260,19780
32733,29252,19672
32728,29253,19667
32752,29239,19631
32764,29242,19458
32740,29252,19404
32676,29260,19425
32660,29272,19261
32645,29292,19207
32672,29298,19168
32636,29300,19175
32576,29287,18959
32588,29273,18936
32608,29264,18929
32620,29248,18737
32636,29269,18717
32656,29276,18635
32644,29297,18618
32600,29309,18423
32576,29313,18420
32564,29309,18334
32564,29307,18265
32584,29287,18212
32600,29289,18169
32612,29283,18040
32656,29286,17953
32704,29308,18015
32664,29327,17797
32668,29340,17698
32677,29342,17789
32708,29334,17540
32748,29328,17508
32800,29306,17496
32800,29298,17493
32816,29298,17300
32789,29304,17345
32784,29327,17148
32808,29340,17102
32840,29348,17147
32840,29352,16902
32824,29356,16824
32768,29359,16906
32760,29343,16773
32772,29317,16645
32820,29316,16620
32880,29333,16490
32924,29351,16594
32928,29365,16461
32938,29372,16504
32928,29382,16323
32892,29381,16312
32864,29369,16273
32816,29361,16098
32790,29344,16077
32760,29348,15948
32780,29358,15920
32772,29371,15882
32788,29382,15830
32784,29396,15864
32776,29399,15637
32760,29405,15595
32780,29385,15529
32800,29383,15583
32800,29370,15382
32804,29367,15340
32860,29376,15301
32916,29387,15169
32920,29409,15260
32929,29422,15167
32936,29429,15110
32940,29420,15049
32968,29415,14992
32952,29405,14926
32970,29396,14820
33024,29393,14813
33064,29399,14871
33088,29412,14661
33040,29424,14608
33032,29440,14623
33032,29453,14530
32976,29447,14655
32980,29436,14444
32968,29424,14384
32994,29414,14521
33044,29413,14321
33056,29426,14247
33104,29438,14385
33160,29462,14298
33116,29464,14261
33060,29476,14255
33020,29473,14188
32972,29461,14150
32944,29444,14070
32920,29440,13986
32932,29434,14086
33005,29440,13997
33028,29463,14052
33056,29474,13938
33072,29488,13896
33062,29500,13918
33020,29492,13933
33012,29484,13784
32984,29472,13716
33024,29461,13758
33060,29457,13831
33068,29468,13700
33120,29484,13668
33160,29509,13684
33172,29517,13714
33172,29526,13626
33124,29516,13695
33064,29508,13544
33040,29497,13561
33004,29488,13561
32976,29489,13450
33016,29496,13377
33020,29508,13589
33009,29524,13401
32984,29535,13332
33004,29544,13485
32972,29549,13342
32948,29537,13327
32956,29516,13380
32968,29509,13313
32976,29514,13238
32976,29516,13397
33000,29528,13323
33016,29549,13302
33040,29557,13205
33028,29572,13397
33033,29572,13232
33036,29560,13208
32984,29548,13220
33021,29540,13277
33092,29532,13316
33132,29541,13197
33224,29569,13130
33248,29583,13301
33280,29596,13246
33272,29604,13174
33236,29595,13178
33158,29589,13108
33172,29575,13260
33156,29569,13196
33196,29569,13168
33256,29575,13188
33292,29586,13146
33300,29607,13103
33272,29615,13117
33172,29629,13028
33088,29623,13243
33036,29620,13074
33018,29601,12992
33025,29591,13184
33036,29585,13106
33020,29596,13084
33084,29609,13069
33080,29629,13073
33128,29647,12955
33128,29644,13151
33152,29655,12992
33129,29636,12984
33089,29628,12983
33108,29620,12986
33212,29617,12938
33152,29625,12956
33160,29640,12977
33204,29646,12965
33160,29671,12823
33084,29671,13020
33020,29671,12896
32916,29665,12888
32824,29648,12793
32704,29642,12896
32636,29644,12874
32472,29637,12804
32215,29668,12740
31928,29686,12845
31566,29705,12823
31132,29724,12735
30544,29722,12685
30012,29716,12689
29588,29714,12854
29316,29708,12677
29256,29703,12653
29544,29720,12573
29841,29727,12741
29972,29743,12693
30048,29763,12583
30544,29762,12581
31724,29744,12553
33168,29738,12544
34496,29708,12516
