ECG,EDA,RR
30929,37632,25774
30304,37631,25836
29664,37625,25697
29140,37568,25585
28840,37592,25601
28736,37581,25504
28880,37561,25614
29048,37596,25444
29112,37614,25348
29192,37624,25361
29680,37637,25272
30980,37620,25265
32586,37604,25212
33980,37572,25324
35120,37524,25140
36080,37524,25084
36704,37527,25164
36980,37516,25045
37076,37545,25132
36884,37567,24992
36440,37564,25020
36000,37577,24894
35472,37563,24972
35016,37541,24861
34636,37532,24870
34300,37524,24740
34016,37511,24735
33744,37532,24701
33456,37544,24726
33336,37526,24612
33264,37565,24580
33156,37569,24560
33041,37519,24514
32980,37532,24492
32988,37484,24473
32980,37501,24401
33000,37506,24492
33060,37509,24431
32956,37528,24420
32864,37540,24334
32828,37551,24297
32828,37540,24347
32800,37518,24273
32788,37516,24397
32832,37492,24316
32884,37485,24242
32820,37484,24269
32800,37487,24260
32832,37511,24333
32798,37527,24328
32748,37532,24263
32680,37492,24396
32644,37516,24231
32600,37501,24185
32520,37485,24352
32576,37421,24246
32664,37473,24168
32724,37471,24289
32728,37463,24240
32704,37510,24163
32596,37517,24204
32660,37511,24173
32644,37499,24318
32652,37487,24205
32564,37466,24230
32636,37454,24160
32660,37447,24132
32640,37449,24225
32524,37479,24182
32416,37488,24337
32360,37468,24225
32308,37506,24340
32348,37476,24238
32436,37464,24281
32576,37408,24205
32648,37440,24202
32636,37432,24252
32640,37417,24252
32644,37463,24445
32592,37476,24325
32600,37447,24295
32688,37486,24420
32752,37471,24360
32872,37414,24573
32920,37424,24516
32952,37412,24669
32980,37392,24607
32876,37428,24725
32756,37452,24712
32724,37457,24858
32720,37438,24789
32764,37469,24846
32768,37449,24949
32872,37403,24992
32832,37421,25181
32792,37396,25154
32852,37396,25248
32832,37411,25455
32848,37434,25445
32790,37436,25577
32776,37424,25773
32756,37453,25777
32789,37437,25926
32720,37424,25964
32680,37408,26118
32713,37383,26198
32800,37377,26345
32817,37401,26572
32856,37414,26584
32824,37433,26729
32700,37432,26932
32628,37412,27068
32604,37421,27180
32688,37364,27298
32772,37383,27536
32804,37333,27673
32932,37374,27804
33016,37382,27944
33052,37407,28092
32960,37412,28270
32838,37416,28481
32760,37428,28609
32657,37413,28801
32676,37397,28950
32672,37369,29129
32788,37367,29262
32844,37365,29440
32869,37356,29615
32968,37383,29792
33076,37404,29964
33116,37404,30132
33072,37401,30320
33072,37359,30485
33018,37372,30672
32960,37353,30848
33020,37345,31001
33052,37336,31204
33062,37312,31348
32976,37364,31544
32992,37383,31686
33028,37383,31896
33053,37398,32062
33100,37375,32184
