ECG,EDA,RR
30974,38095,35164
30609,38113,35160
30180,38147,35132
29792,38151,35120
29504,38151,35156
29328,38118,35084
29432,38048,35194
29753,38089,35176
30020,38087,35108
29994,38060,35204
30092,38137,35188
30676,38165,35079
31792,38180,35173
32924,38172,35076
33844,38112,35181
34608,38125,35132
35140,38089,35101
35512,38055,35157
35708,38044,35079
35572,38068,35173
35344,38105,35092
35036,38132,35188
34792,38145,35179
34568,38164,35156
34292,38132,35183
33972,38116,35182
33776,38069,35177
33608,38074,35096
33505,38076,35173
33420,38084,35137
33324,38108,35204
33216,38118,35204
33112,38163,35116
33016,38156,35207
32968,38132,35200
32892,38121,35172
32864,38095,35129
32844,38087,35175
32840,38084,35231
32852,38068,35272
32780,38119,35150
32760,38148,35284
32744,38127,35264
32705,38191,35173
32708,38173,35292
32644,38134,35276
32638,38092,35212
32644,38052,35288
32644,38095,35286
32648,38117,35200
32672,38140,35309
32672,38148,35260
32640,38189,35334
32632,38204,35331
32676,38189,35260
32645,38151,35333
32644,38125,35248
32648,38112,35349
32685,38112,35388
32694,38117,35308
32685,38151,35378
32672,38180,35380
32640,38191,35416
32604,38217,35340
32568,38169,35300
32592,38180,35384
32612,38121,35404
32612,38137,35396
32608,38120,35364
32628,38141,35328
32652,38168,35428
32625,38202,35421
32600,38224,35316
32564,38236,35392
32568,38199,35408
32564,38188,35438
32586,38148,35324
32600,38151,35327
32646,38144,35413
32640,38135,35388
32652,38183,35392
32661,38196,35408
32620,38239,35331
32592,38228,35360
32584,38239,35396
32604,38205,35388
32588,38160,35321
32608,38156,35276
32628,38127,35304
32596,38175,35368
32600,38196,35351
32600,38224,35380
32632,38250,35284
32604,38253,35252
32608,38247,35353
32608,38222,35320
32572,38191,35351
32580,38175,35277
32590,38175,35237
32640,38188,35238
32636,38213,35315
32620,38260,35316
32588,38263,35308
32576,38273,35261
32580,38265,35200
32608,38221,35244
32596,38213,35286
32616,38188,35312
32616,38167,35295
32648,38210,35284
32688,38232,35260
32700,38261,35278
32712,38261,35210
32704,38296,35148
32682,38279,35268
32704,38252,35233
32724,38228,35132
32728,38215,35223
32748,38192,35204
32764,38217,35157
32764,38255,35154
32768,38276,35168
32752,38290,35115
32762,38300,35160
32772,38293,35144
32788,38265,35036
32773,38244,35109
32784,38213,35102
32796,38224,34996
32780,38233,35079
32760,38257,35052
32724,38300,35010
32712,38317,34951
32700,38319,35038
32700,38308,34997
32694,38277,34997
32696,38259,35013
32704,38233,34911
32712,38196,34927
32692,38248,34960
32688,38271,34964
32697,38264,34881
32716,38320,34980
32704,38334,34932
32720,38316,34956
32720,38287,34849
32736,38249,34908
32776,38252,34932
32832,38251,34901
32916,38252,34929
32972,38288,34832
32990,38319,34892
33001,38300,34880
33000,38348,34791
32968,38333,34868
32988,38300,34863
32988,38240,34763
32980,38254,34861
33028,38248,34840
33068,38268,34732
33116,38268,34828
33112,38324,34797
33100,38344,34788
33140,38357,34800
33120,38340,34685
33144,38317,34769
33160,38285,34758
33168,38279,34748
33188,38263,34656
33200,38241,34751
33200,38309,34743
33208,38340,34640
33165,38340,34741
33152,38365,34700
33128,38357,34636
33104,38321,34725
33080,38300,34731
33048,38276,34672
33056,38276,34693
33112,38298,34606
33104,38331,34684
33085,38352,34625
33028,38368,34700
33024,38356,34672
32984,38369,34610
32976,38342,34676
32997,38318,34657
33048,38301,34676
33052,38295,34572
33068,38310,34660
33076,38324,34660
33080,38365,34567
33068,38390,34637
33034,38392,34596
33034,38372,34645
33016,38353,34612
33016,38324,34588
33000,38316,34632
33032,38311,34626
33056,38328,34544
33088,38348,34596
33068,38368,34591
33040,38393,34627
33056,38367,34613
33045,38391,34620
33020,38372,34583
33040,38332,34586
33040,38313,34608
33069,38279,34540
33068,38328,34567
33080,38365,34536
33065,38388,34544
33028,38401,34576
32968,38420,34501
32924,38406,34588
32916,38380,34555
32908,38354,34508
32909,38309,34558
32952,38337,34517
32993,38348,34567
33016,38381,34560
33024,38382,34532
33032,38429,34564
33000,38440,34528
32986,38436,34549
32984,38407,34465
32964,38372,34550
32992,38372,34548
32980,38356,34535
32972,38373,34456
32968,38404,34526
32940,38439,34493
32944,38456,34540
32940,38465,34540
32932,38456,34500
32904,38437,34524
32888,38372,34457
32900,38382,34510
32936,38367,34461
32964,38389,34542
32964,38429,34532
32996,38468,34461
33036,38480,34528
33044,38491,34537
33024,38477,34516
32992,38440,34518
33004,38427,34449
33024,38406,34516
33028,38404,34439
33032,38407,34517
33028,38392,34439
33024,38451,34512
33000,38476,34446
32976,38492,34528
33002,38476,34524
32956,38449,34440
32912,38407,34516
32896,38400,34429
32936,38391,34512
32932,38407,34468
32944,38432,34532
32912,38471,34525
32893,38485,34470
32853,38500,34504
32800,38484,34524
32780,38464,34441
32768,38429,34516
32768,38417,34512
32784,38405,34444
32844,38415,34484
32840,38444,34495
32824,38469,34448
32825,38484,34505
32816,38500,34502
32788,38484,34433
32844,38468,34489
32869,38436,34439
32932,38416,34490
32948,38407,34436
32985,38428,34493
33024,38453,34492
33016,38480,34401
32996,38504,34472
32960,38503,34428
32988,38501,34476
32980,38477,34425
33040,38407,34468
33104,38398,34465
33112,38420,34420
33088,38428,34433
33056,38456,34377
33056,38492,34439
33008,38505,34384
32948,38509,34424
32892,38513,34370
32828,38477,34417
32840,38447,34360
32880,38430,34436
32894,38425,34417
32952,38438,34357
32985,38460,34396
32988,38486,34336
32960,38508,34409
32924,38527,34344
32932,38471,34380
32964,38492,34330
32960,38465,34377
32964,38436,34311
32996,38432,34375
33000,38452,34308
32984,38476,34356
32964,38505,34293
32912,38484,34344
32872,38535,34324
32792,38527,34340
32636,38503,34352
32460,38468,34288
32284,38406,34328
32152,38444,34284
31984,38468,34324
31796,38495,34272
31540,38516,34341
31248,38510,34309
30780,38561,34260
30264,38564,34340
29869,38535,34320
29624,38472,34252
29576,38480,34320
29878,38492,34320
30320,38505,34287
30552,38534,34311
30628,38572,34260
31000,38593,34304
31972,38545,34252
33100,38550,34304
34232,38548,34248
35136,38481,34302
35872,38486,34241
36412,38472,34299
36536,38501,34244
36480,38512,34308
36312,38545,34244
36000,38573,34304
35528,38551,34264
35164,38568,34311
34840,38551,34272
34497,38518,34303
34148,38509,34302
33900,38497,34247
33700,38525,34288
33536,38501,34231
33396,38582,34289
33236,38599,34224
33078,38601,34280
32980,38585,34228
32912,38569,34276
32896,38508,34212
32900,38531,34293
32904,38512,34292
32888,38520,34254
32880,38535,34256
32852,38556,34196
32813,38597,34261
32804,38615,34270
32798,38609,34247
32772,38572,34244
32752,38549,34166
32753,38530,34228
32756,38519,34196
32796,38535,34252
32812,38564,34164
32772,38585,34248
32768,38621,34232
32757,38617,34175
32732,38608,34232
32696,38587,34168
32720,38560,34223
32728,38519,34194
32712,38535,34238
32697,38548,34168
32708,38564,34236
32720,38596,34208
32681,38615,34223
32653,38627,34234
32664,38617,34172
32638,38593,34240
32624,38568,34161
32648,38544,34232
32664,38535,34189
32660,38540,34189
32624,38576,34213
32612,38612,34153
32608,38629,34214
32620,38637,34224
32576,38639,34204
32528,38576,34212
32524,38591,34172
32558,38556,34209
32585,38556,34210
32584,38569,34168
32561,38584,34209
32564,38621,34136
32525,38640,34183
32496,38653,34116
32488,38644,34176
32464,38614,34192
32456,38596,34124
32456,38567,34177
32460,38561,34110
32452,38573,34152
32412,38599,34111
32425,38628,34149
32452,38649,34169
32464,38663,34151
32460,38647,34121
32436,38628,34157
32440,38599,34110
32448,38589,34137
32425,38540,34064
32400,38578,34112
32388,38608,34060
32412,38636,34100
32460,38660,34046
32436,38660,34092
32432,38655,34028
32444,38632,34092
32432,38600,34070
32448,38556,34084
32504,38580,34052
32532,38592,34054
32532,38613,33988
32544,38647,34029
32540,38676,33974
32516,38682,34036
32488,38676,33992
32524,38652,34004
32536,38600,34000
32556,38569,33950
32576,38589,33983
32592,38599,33992
32588,38618,33932
32612,38647,34005
32628,38676,33974
32612,38685,33916
32601,38685,33978
32620,38660,33973
32636,38623,33892
32644,38607,33967
32652,38601,33904
32664,38601,33957
32692,38630,33902
32692,38663,33929
32724,38647,33892
32716,38650,33927
32676,38644,33908
32640,38620,33875
32620,38600,33892
32618,38596,33848
32640,38576,33869
32720,38568,33866
32756,38631,33844
32788,38652,33826
32812,38681,33828
32800,38684,33799
32788,38678,33814
32808,38648,33815
32832,38580,33799
32832,38597,33784
32868,38592,33789
32904,38597,33761
32928,38617,33783
32936,38647,33773
32924,38650,33776
32932,38652,33765
32956,38670,33761
32976,38648,33777
32988,38572,33718
32992,38596,33759
33056,38594,33703
33056,38598,33756
33056,38615,33705
33048,38649,33760
33056,38663,33701
33089,38679,33751
33081,38663,33678
33088,38647,33748
33076,38617,33734
33080,38596,33720
33092,38581,33727
33100,38591,33685
33060,38623,33701
33049,38644,33669
33061,38672,33718
33064,38671,33714
33056,38663,33653
33040,38638,33718
33060,38606,33722
33048,38581,33664
33080,38535,33717
33088,38584,33719
33072,38604,33660
33056,38637,33716
33008,38660,33685
33012,38672,33735
32968,38628,33692
32964,38632,33738
32972,38609,33726
32960,38593,33684
32972,38578,33756
32968,38576,33751
32973,38601,33711
32970,38624,33772
32952,38657,33760
32932,38660,33732
32916,38652,33772
32900,38631,33737
32900,38606,33768
32904,38591,33744
32908,38574,33796
32964,38556,33790
32972,38604,33764
32964,38631,33790
32924,38652,33756
32940,38660,33799
32932,38649,33796
32912,38616,33808
32908,38588,33788
32912,38556,33799
32916,38529,33786
32932,38556,33823
32932,38543,33768
32952,38572,33836
32916,38615,33784
32888,38605,33812
32888,38633,33820
32880,38612,33828
32884,38573,33780
32880,38556,33826
32908,38541,33776
32948,38548,33846
32956,38568,33828
32968,38596,33856
32932,38623,33863
32924,38615,33826
32892,38596,33877
32885,38588,33848
32904,38553,33877
32889,38535,33873
32892,38532,33833
32904,38526,33881
32876,38564,33840
32876,38588,33885
32864,38604,33843
32840,38613,33916
32832,38615,33912
32804,38581,33848
32796,38556,33901
32824,38525,33868
32816,38516,33940
32892,38527,33926
32920,38551,33905
32896,38577,33924
32856,38592,33937
32824,38608,33889
32812,38588,33937
32788,38580,33900
32781,38548,33928
32763,38487,33880
32764,38513,33927
32756,38524,33882
32756,38535,33933
32756,38580,33876
32764,38599,33941
32764,38604,33917
32752,38596,33956
32716,38535,33913
32744,38540,33949
32780,38517,33918
32737,38516,33945
32780,38512,33924
32792,38535,33927
32816,38567,33972
32868,38592,33916
32884,38592,33989
32900,38599,33988
32880,38535,33961
32879,38535,33968
32920,38513,33932
32932,38505,33992
32976,38508,33994
32992,38513,33924
32988,38565,33988
33025,38586,34000
33056,38599,33973
33049,38566,33989
33028,38577,33944
32996,38540,34016
32961,38508,34011
32932,38495,33949
32912,38496,34009
32869,38500,33948
32872,38556,34021
32882,38574,34032
32884,38589,34008
32904,38584,34032
32948,38556,34017
32940,38532,34028
32989,38468,33989
32992,38485,34036
33016,38498,33988
33009,38512,34063
32996,38516,34048
32996,38535,34032
32978,38557,34048
32956,38552,34055
32924,38513,34087
32956,38496,34023
32945,38461,34085
32936,38457,34084
32916,38455,34005
32876,38508,34100
32728,38535,34092
32578,38556,34045
32416,38548,34085
32224,38564,34104
32009,38541,34047
31764,38516,34092
31488,38488,34054
31128,38460,34084
30688,38488,34112
30208,38509,34092
29860,38544,34104
