ECG,EDA,RR
32564,34961,37048
32464,34972,37088
32424,34965,37005
32390,34949,37137
32404,34924,37068
32404,34896,37208
32428,34888,37172
32428,34881,37295
32392,34905,37351
32420,34932,37354
32424,34948,37264
32368,34962,37364
32364,34936,37322
32408,34930,37487
32456,34908,37524
32448,34885,37559
32420,34868,37560
32472,34868,37604
32545,34900,37636
32526,34924,37672
32432,34945,37697
32352,34951,37716
32288,34951,37748
32212,34932,37776
32224,34908,37823
32320,34880,37837
32368,34876,37828
32397,34852,37824
32421,34872,37774
32448,34918,37886
32452,34948,37812
32453,34958,38032
32444,34940,38028
32440,34920,37944
32352,34908,38045
32292,34885,38068
32324,34872,38134
32352,34872,38196
32309,34888,38009
32304,34900,38176
32304,34932,38260
32264,34943,38101
32232,34940,38263
32212,34917,38328
32212,34898,38174
32264,34864,38252
32296,34855,38212
32312,34831,38336
32388,34882,38336
32456,34912,38238
32500,34892,38382
32428,34937,38468
32384,34933,38308
32384,34884,38448
32354,34884,38524
32320,34862,38372
32372,34822,38496
32328,34854,38470
32300,34878,38404
32332,34875,38503
32300,34919,38468
32280,34935,38592
32325,34928,38640
32388,34905,38661
32368,34856,38700
32304,34856,38516
32260,34833,38688
32208,34845,38760
32160,34876,38597
32172,34894,38735
32168,34925,38722
32172,34935,38772
32196,34909,38805
32212,34894,38663
32160,34877,38804
32112,34852,38724
32119,34823,38800
32160,34844,38764
32288,34864,38879
32368,34893,38867
32352,34881,38928
32392,34912,38972
32424,34916,38975
32480,34902,39004
32484,34868,38994
32476,34848,39044
32480,34823,38820
32476,34832,38996
32456,34838,38901
32472,34862,39028
32436,34896,39095
32436,34905,38919
32466,34916,39068
32472,34883,39078
32432,34853,39102
32449,34833,38970
32448,34835,39110
32384,34821,39124
32292,34838,39140
32236,34876,39032
32248,34897,39190
32292,34908,39111
32352,34862,39161
32408,34848,39197
32449,34848,39104
32472,34798,39209
32516,34812,39245
32476,34820,39136
32444,34847,39284
32400,34864,39277
32381,34897,39188
32320,34892,39224
32281,34882,39124
32272,34872,39280
32312,34841,39174
32336,34804,39290
