ECG,EDA,RR
33040,30432,32668
32986,30414,32676
33004,30409,32508
33057,30385,32635
33052,30374,32566
33056,30384,32518
33108,30380,32445
33096,30404,32548
33028,30420,32464
33032,30429,32490
33020,30430,32359
32984,30424,32448
32912,30410,32445
32896,30398,32295
32940,30389,32388
33012,30382,32414
33029,30385,32239
32972,30400,32335
32812,30422,32345
32668,30430,32197
32512,30439,32291
32332,30426,32228
32072,30428,32184
31788,30408,32108
31420,30404,32224
30936,30408,32220
30288,30422,32054
29676,30438,32156
29240,30471,32168
28892,30484,32026
28808,30484,32145
29020,30484,32100
29088,30470,32096
29016,30436,31972
29064,30444,32089
29792,30434,32066
31298,30424,32024
32953,30410,31933
34408,30431,32008
35524,30425,31964
36452,30425,32000
36996,30405,31872
37192,30396,31856
37152,30383,31936
36912,30367,31935
36512,30372,31812
36024,30380,31876
35584,30394,31824
35164,30416,31894
34744,30425,31857
34298,30436,31852
33976,30429,31790
33768,30421,31681
33616,30405,31768
33480,30380,31783
33408,30396,31604
33336,30402,31744
33317,30404,31664
33280,30433,31685
33184,30436,31677
33108,30437,31536
32992,30439,31532
32928,30418,31606
32928,30406,31604
32928,30394,31430
32921,30380,31580
32928,30396,31509
32980,30400,31437
32976,30428,31529
32952,30434,31495
32872,30445,31372
32864,30432,31416
32876,30425,31461
32856,30406,31392
32864,30388,31397
32872,30388,31447
32904,30404,31456
32920,30404,31325
32900,30428,31401
32892,30429,31420
32848,30441,31244
32790,30434,31361
32788,30428,31335
32804,30404,31237
32804,30396,31284
32836,30388,31239
32852,30400,31212
32840,30412,31228
32816,30424,31201
32848,30441,31256
32821,30439,31201
32776,30438,31133
32740,30421,31216
32736,30415,31180
32800,30397,31057
32840,30385,31178
32856,30401,31116
32848,30416,31030
32836,30428,31064
32748,30441,31105
32680,30449,31109
32644,30430,31024
32620,30437,31032
32652,30408,30937
32669,30404,31028
32704,30397,31004
32716,30407,30953
32704,30420,30981
32664,30437,30904
32604,30444,31001
32528,30452,30956
32497,30442,30862
32476,30430,30916
32500,30409,30821
32544,30407,30861
32532,30402,30744
32552,30404,30860
32536,30421,30780
32544,30437,30823
32504,30448,30821
32484,30452,30725
32448,30447,30746
32408,30433,30644
32368,30416,30756
32396,30404,30687
32444,30406,30640
32452,30408,30556
32428,30422,30670
32442,30439,30617
32432,30455,30500
32408,30442,30617
32376,30463,30572
32380,30436,30468
32432,30417,30460
32428,30406,30512
32420,30404,30493
32436,30412,30416
32450,30416,30380
32480,30445,30448
32460,30446,30415
32472,30461,30328
32484,30445,30399
32460,30444,30392
32417,30425,30308
32384,30412,30329
32432,30401,30276
32472,30414,30272
32544,30425,30288
32620,30450,30237
32708,30452,30197
32716,30454,30245
32716,30457,30248
32708,30428,30112
32673,30421,30229
32656,30407,30222
32676,30400,30111
32768,30408,30164
32848,30420,30120
32876,30439,30116
32924,30449,30117
32936,30452,30133
32948,30441,30049
32974,30432,30031
33012,30412,30105
33048,30397,30080
33052,30397,29958
33104,30405,30070
33173,30421,30069
33204,30437,29916
33288,30441,30004
33344,30455,29910
33340,30440,30020
33324,30430,29985
33304,30423,29904
33290,30401,29940
33364,30405,29854
33404,30408,29958
33396,30417,29912
33336,30440,29901
33345,30447,29932
33342,30447,29884
33328,30446,29797
33308,30424,29872
33320,30414,29761
33332,30407,29854
33386,30396,29796
33460,30404,29800
33525,30416,29842
33552,30436,29777
33532,30445,29796
33476,30455,29723
33464,30447,29801
33460,30432,29732
33445,30405,29740
33436,30397,29758
33468,30398,29642
33484,30398,29768
33452,30416,29724
33412,30436,29612
33428,30444,29740
33421,30444,29690
33448,30444,29626
33469,30429,29700
33452,30414,29633
33536,30397,29693
33472,30400,29686
33404,30396,29548
33384,30420,29637
33312,30434,29540
33269,30436,29634
33288,30449,29524
33296,30441,29613
33262,30428,29558
33272,30409,29604
33244,30401,29588
33212,30388,29465
33200,30404,29569
33240,30420,29561
33252,30421,29430
33196,30436,29493
33164,30449,29501
33140,30436,29519
33108,30424,29390
33146,30405,29479
33220,30405,29474
33248,30400,29420
33236,30404,29424
33188,30405,29328
33160,30434,29422
33112,30439,29412
33108,30442,29308
33128,30436,29373
33120,30422,29305
33124,30409,29332
33116,30396,29358
33092,30391,29368
33116,30388,29252
33140,30404,29324
33196,30433,29246
33172,30447,29348
33140,30432,29340
33148,30434,29264
33156,30422,29281
33172,30410,29180
33232,30398,29298
33248,30404,29287
33220,30388,29281
33244,30408,29254
33204,30432,29132
33132,30436,29220
33148,30441,29220
33150,30436,29109
33176,30422,29205
33216,30418,29199
33284,30393,29133
33280,30388,29154
33216,30398,29053
33152,30413,29140
33072,30416,29164
33024,30436,29063
33000,30433,29108
33024,30432,29071
33068,30423,29053
33016,30406,29077
32968,30388,29060
32960,30384,29004
32968,30395,29068
33028,30404,29074
33080,30426,28961
33065,30432,29068
33028,30441,29026
33052,30439,28946
33092,30420,29042
33096,30405,29008
33080,30393,28940
33060,30389,28921
33112,30393,29012
33132,30408,28976
33124,30430,28900
33088,30433,28982
33056,30441,28967
33196,30436,28884
33228,30428,28910
33200,30412,28951
33108,30397,28929
33148,30390,28875
33156,30396,28869
33168,30416,28892
33124,30426,28908
33104,30436,28873
33124,30439,28826
33144,30439,28890
33196,30434,28884
33244,30412,28820
33246,30396,28833
33216,30397,28868
33172,30396,28868
33120,30400,28812
33076,30425,28832
33005,30433,28744
32960,30437,28833
32976,30434,28820
32976,30418,28772
32996,30401,28807
33008,30382,28821
32984,30384,28741
32996,30383,28788
33004,30401,28807
33036,30416,28730
33076,30432,28773
33104,30437,28678
33108,30427,28788
33124,30416,28769
33125,30407,28708
33144,30397,28701
33220,30376,28752
33252,30396,28745
33176,30404,28652
33052,30416,28753
32884,30432,28728
32792,30436,28734
32669,30429,28669
32544,30422,28717
32328,30405,28708
31968,30392,28684
31604,30396,28703
31239,30404,28638
30772,30408,28697
30160,30445,28606
29580,30469,28681
29168,30478,28638
28864,30471,28705
28796,30439,28694
28876,30447,28638
28924,30431,28664
28996,30439,28649
29364,30410,28690
30578,30436,28661
32212,30436,28695
33784,30438,28665
35032,30435,28572
36076,30416,28679
36816,30388,28653
37176,30376,28677
37240,30364,28564
37128,30356,28660
36784,30360,28660
36313,30376,28583
35820,30400,28660
35388,30412,28628
34952,30416,28585
34512,30412,28647
34192,30408,28623
33872,30393,28540
33644,30385,28629
33528,30380,28596
33416,30385,28540
33320,30407,28542
33220,30408,28578
33144,30420,28589
33096,30428,28545
33068,30413,28572
33020,30409,28580
32980,30384,28479
32960,30376,28560
32968,30372,28572
32919,30387,28470
32824,30391,28564
32812,30412,28581
32836,30420,28504
32832,30431,28564
32800,30422,28521
32780,30407,28594
32753,30388,28591
32772,30377,28532
32828,30377,28572
32868,30372,28533
32864,30388,28593
32852,30404,28596
32836,30415,28501
32820,30426,28593
32796,30415,28552
32752,30409,28536
32685,30396,28589
32672,30380,28587
32692,30372,28552
32744,30383,28586
32720,30377,28509
32716,30407,28578
32756,30420,28512
32744,30428,28584
32736,30410,28534
32736,30407,28605
32680,30388,28607
32660,30376,28605
32628,30369,28589
32601,30380,28615
32628,30373,28616
32684,30405,28575
32716,30420,28592
32720,30420,28534
32784,30423,28616
32788,30402,28612
32716,30382,28589
32632,30381,28626
32568,30365,28566
32576,30377,28636
32585,30391,28566
32588,30417,28644
32580,30420,28573
32576,30426,28668
32524,30414,28620
32444,30409,28700
32408,30392,28676
32396,30375,28624
32452,30373,28718
32480,30367,28685
32480,30391,28721
32464,30397,28613
32400,30423,28712
32352,30417,28720
32320,30416,28636
32325,30412,28708
32284,30388,28661
32252,30380,28645
32248,30375,28701
32236,30373,28676
32200,30389,28709
32192,30404,28644
32176,30428,28677
32180,30424,28705
32208,30428,28672
32174,30417,28688
32176,30399,28693
32236,30372,28592
32288,30368,28668
32285,30377,28636
32260,30396,28664
32192,30408,28652
32152,30428,28679
32112,30437,28608
32144,30430,28691
32208,30414,28625
32228,30392,28674
32255,30384,28604
32321,30372,28686
32310,30376,28641
32328,30388,28688
32268,30415,28697
32252,30422,28636
32256,30432,28692
32245,30421,28644
32328,30412,28696
32424,30390,28677
32520,30373,28718
32568,30373,28696
32608,30380,28713
32644,30376,28672
32684,30401,28677
32664,30417,28700
32648,30423,28629
32624,30425,28720
32588,30401,28732
32656,30388,28657
32694,30372,28721
32776,30366,28644
32840,30375,28744
32880,30380,28754
33024,30398,28703
33084,30410,28740
33148,30414,28696
33116,30414,28724
33072,30400,28766
33056,30381,28704
33088,30367,28760
33116,30364,28713
33156,30372,28754
33216,30384,28700
33229,30396,28766
33224,30410,28770
33264,30417,28760
33272,30416,28816
33248,30404,28772
33240,30373,28801
33244,30369,28725
33229,30357,28809
33257,30364,28736
33332,30380,28829
33376,30399,28773
33424,30410,28853
33432,30412,28777
33368,30405,28856
33284,30392,28828
33228,30381,28896
33208,30368,28911
33210,30365,28844
33236,30360,28923
33280,30374,28941
33304,30388,28853
33289,30405,28944
33240,30419,28904
