ECG,EDA,RR
34176,54053,34829
33578,54015,35077
33320,53996,35005
33140,53919,35012
32936,53949,34982
32788,53969,35073
32608,53877,35084
32308,54023,34943
31988,54045,35121
31700,54076,35040
31420,54053,35256
31246,53991,35164
31128,53978,35028
31054,54017,35280
30964,54007,35220
30948,53917,35188
30898,53933,35172
30856,53997,35135
30840,54087,35231
30848,54063,35350
30824,54092,35335
30816,54087,35236
30864,54047,35495
30912,54055,35392
30942,53945,35429
30948,54023,35373
30980,54068,35311
30989,54100,35383
31012,54068,35524
31056,54119,35607
31036,54119,35620
31101,53996,35565
31152,54023,35540
31200,54096,35588
31270,54052,35591
31268,54065,35561
31248,53985,35487
31304,54143,35613
31389,54151,35773
31420,54119,35660
31416,54143,35663
31432,54135,35680
31488,54134,35572
31512,54020,35621
31557,54018,35844
31620,54023,35853
31618,54119,35780
31656,54161,35759
31652,54180,35789
31696,54175,35740
31736,54087,35752
31790,54188,35677
31860,54151,35881
31904,54092,35770
31950,54141,35879
32020,54084,35764
32081,54181,35705
32156,54151,35715
32136,54205,35916
32160,54182,35772
32148,54127,35748
32208,54198,35749
32288,54095,35786
32340,54204,35717
32296,54169,35924
32440,54057,35789
32505,54151,35780
32552,54188,35731
32580,54245,35921
32609,54265,35782
32584,54245,35740
32628,54141,35884
32652,54239,35790
32729,54204,35693
32784,54175,35868
32896,54215,35791
32980,54204,35716
33040,54143,35929
33048,54274,35813
33072,54275,35655
33108,54300,35783
33205,54256,35676
33292,54151,35823
33364,54260,35791
33449,54215,35679
33533,54239,35868
33604,54149,35800
33640,54279,35804
33652,54279,35661
33656,54276,35833
33668,54316,35770
33692,54271,35866
33765,54278,35835
33856,54275,35804
33920,54189,35812
33982,54268,35766
34001,54250,35764
34056,54300,35876
34044,54343,35820
34017,54324,35764
33966,54327,35708
33964,54212,35799
33932,54322,35941
33904,54279,35828
33868,54279,35847
33824,54237,35797
33684,54264,35793
33524,54215,35842
33368,54235,35815
33164,54357,35712
32976,54349,35892
32858,54355,35847
32764,54319,35820
32672,54308,35719
32565,54324,35892
32496,54275,35860
32356,54293,35727
32172,54279,35828
32032,54359,35940
31908,54357,35872
31866,54308,35879
31776,54349,35776
31712,54319,35927
31668,54324,35869
31648,54319,35809
31668,54168,35804
31617,54311,35960
31602,54247,35890
31616,54374,35749
31584,54383,35951
31546,54365,35924
31524,54363,35916
31570,54359,35821
31572,54316,35964
31576,54327,35925
31668,54207,35885
31724,54340,35957
31740,54343,36049
31720,54374,35984
31756,54399,35988
31727,54288,35967
31726,54349,35960
31756,54364,36052
31776,54343,35973
31780,54325,36126
31788,54325,36156
31832,54240,36116
31804,54391,36001
31812,54404,36261
31854,54399,36151
31872,54399,36175
31896,54279,36231
31889,54391,36192
31900,54335,36135
31993,54345,36343
32042,54244,36244
32052,54308,36263
32028,54399,36209
32021,54366,36400
32017,54407,36305
32012,54315,36218
32045,54407,36310
32077,54388,36205
32145,54276,36383
