ECG,EDA,RR
32800,40447,32362
32788,40467,32350
32776,40455,32373
32748,40452,32365
32788,40455,32367
32754,40438,32380
32756,40401,32385
32776,40422,32388
32792,40452,32420
32780,40455,32412
32782,40517,32399
32760,40478,32454
32752,40524,32425
32733,40480,32473
32732,40490,32450
32720,40455,32442
32740,40391,32461
32800,40455,32467
32860,40495,32503
32868,40485,32484
32837,40516,32487
32780,40495,32522
32732,40519,32502
32736,40437,32511
32720,40455,32517
32736,40489,32550
32724,40423,32536
32741,40447,32533
32790,40441,32559
32832,40487,32559
32860,40541,32588
32920,40519,32591
32976,40476,32627
33004,40527,32610
33036,40487,32647
33056,40504,32629
33088,40478,32647
33104,40511,32671
33104,40471,32671
33084,40468,32643
33084,40502,32718
33076,40524,32708
33084,40519,32717
33062,40524,32740
33052,40496,32743
33037,40511,32757
33048,40485,32768
33088,40519,32799
33112,40503,32795
33072,40503,32820
33060,40549,32829
33000,40477,32817
32944,40492,32865
32908,40511,32870
32920,40481,32876
32864,40455,32866
32826,40489,32909
32808,40511,32903
32764,40471,32935
32768,40508,32929
32796,40564,32919
32788,40551,32961
32809,40517,32964
32848,40471,32978
32929,40500,32973
32996,40533,32983
32992,40487,33002
33020,40475,33020
33005,40516,33016
32948,40524,33026
32922,40569,33047
32877,40548,33067
32896,40566,33059
32928,40513,33073
32928,40492,33082
32913,40485,33108
32949,40520,33124
32965,40536,33124
32948,40465,33134
32888,40509,33164
32752,40550,33169
32592,40564,33172
32332,40581,33216
32004,40492,33211
31660,40502,33216
31536,40527,33241
31668,40557,33264
31944,40527,33284
32376,40564,33295
32892,40549,33297
33352,40520,33321
34004,40564,33345
34964,40600,33362
36196,40556,33366
37636,40529,33388
39300,40568,33392
41144,40550,33415
43112,40548,33425
45124,40537,33449
46844,40565,33448
47968,40580,33452
48708,40581,33480
48932,40583,33488
48484,40582,33489
46848,40575,33492
44396,40583,33511
41840,40569,33512
39236,40604,33513
36520,40596,33517
34724,40649,33524
33920,40628,33524
33512,40653,33558
33232,40623,33535
32964,40635,33483
32704,40565,33546
32481,40567,33543
32224,40580,33541
31918,40573,33556
31636,40623,33559
31400,40622,33565
31220,40594,33597
31069,40622,33604
30960,40628,33623
30864,40570,33621
30808,40583,33633
30778,40583,33663
30752,40610,33668
30732,40537,33687
30740,40531,33703
30704,40615,33707
30656,40655,33716
30624,40572,33747
30656,40642,33757
30716,40644,33764
30824,40628,33788
30884,40636,33799
30886,40615,33806
30960,40625,33844
31012,40614,33853
31040,40665,33866
31018,40572,33897
31024,40644,33915
31048,40685,33927
31112,40638,33951
31145,40650,33955
31182,40567,33993
31192,40613,34001
31228,40641,34004
31265,40583,34033
31268,40642,34030
31280,40697,34068
31312,40655,34079
31372,40692,34085
31400,40660,34113
31404,40670,34117
31428,40575,34127
31508,40615,34138
31568,40669,34144
31596,40655,34177
31628,40687,34164
31612,40615,34207
31628,40685,34189
31628,40663,34244
31632,40699,34251
31688,40639,34264
31752,40658,34265
31796,40607,34268
31824,40605,34303
31872,40652,34308
31888,40699,34333
31876,40644,34343
31868,40684,34340
31860,40729,34383
31924,40681,34384
32016,40615,34386
32040,40639,34420
32084,40640,34431
32148,40612,34420
32200,40668,34460
32228,40735,34466
32224,40724,34460
32220,40753,34500
32262,40694,34501
32330,40684,34474
32392,40649,34518
32454,40676,34524
32492,40708,34501
32544,40629,34516
32580,40688,34493
32632,40757,34531
32705,40724,34510
32741,40773,34479
32784,40735,34500
32845,40744,34476
32900,40711,34497
32976,40695,34482
33012,40679,34452
33092,40685,34462
33104,40711,34431
33120,40775,34440
33124,40751,34424
33161,40676,34426
33172,40727,34410
33212,40733,34379
33268,40671,34384
33301,40729,34361
33368,40711,34356
