ECG,EDA,RR
32206,47812,31329
32148,47855,31199
32096,47889,31092
32048,47865,31200
32056,47809,31141
32068,47853,31176
32076,47847,31140
32088,47817,31119
32108,47799,31232
32128,47814,31093
32116,47764,31059
32112,47816,31148
32088,47879,31092
32060,47854,31069
32042,47863,30969
32076,47864,31093
32084,47781,31053
32073,47764,31044
32077,47809,31024
32126,47711,30940
32143,47824,31062
32160,47834,30991
32188,47823,31112
32136,47849,31004
32116,47871,31008
32125,47825,30983
32172,47836,30866
32180,47743,30991
32204,47783,30862
32219,47794,30961
32237,47718,30932
32204,47841,30960
32176,47829,30992
32144,47765,30932
32145,47838,30828
32124,47788,30924
32132,47807,30809
32136,47826,30900
32160,47796,30876
32224,47796,30874
32273,47788,30807
32324,47823,30940
32308,47828,30859
32260,47829,30918
32204,47759,30791
32196,47819,30884
32222,47820,30813
32256,47789,30971
32284,47797,30775
32324,47701,30830
32352,47756,30703
32321,47727,30782
32296,47812,30821
32320,47836,30780
32297,47819,30806
32292,47784,30761
32308,47710,30877
32370,47775,30719
32392,47745,30823
32448,47766,30684
32448,47767,30591
32444,47764,30822
32433,47807,30669
32400,47812,30624
32364,47820,30620
32376,47828,30543
32422,47788,30599
32444,47775,30479
32445,47711,30561
32476,47750,30477
32485,47744,30647
32473,47772,30551
32468,47733,30414
32453,47796,30663
32436,47810,30516
32441,47809,30509
32501,47773,30372
32524,47719,30610
32520,47740,30471
32533,47751,30554
32552,47764,30414
32524,47774,30484
32488,47812,30396
32442,47825,30341
32428,47815,30536
32481,47783,30380
32496,47767,30513
32512,47749,30377
32524,47751,30485
32636,47660,30345
32668,47743,30471
32620,47709,30335
32540,47783,30450
32528,47812,30318
32500,47796,30397
32540,47788,30195
32552,47764,30327
32576,47751,30168
32564,47683,30265
32553,47732,30208
32580,47653,30263
32584,47749,30168
32552,47783,30272
32464,47805,30252
32458,47791,30158
32446,47788,30358
32400,47717,30183
32448,47711,30369
32484,47657,30236
32509,47653,30188
32560,47671,30186
32608,47727,30310
32652,47725,30215
32680,47767,30335
32672,47695,30185
32700,47781,30140
32684,47679,30276
32708,47711,30188
32711,47660,30292
32772,47711,30125
32837,47737,30221
32892,47729,30185
32892,47745,30284
32864,47765,30183
32805,47796,30300
32804,47749,30164
32808,47663,30037
32821,47726,30165
32824,47711,30052
32844,47718,30178
32822,47716,30048
32748,47687,30164
32688,47748,30049
32648,47717,30149
32584,47751,30049
32552,47748,30180
32532,47735,30033
32552,47725,30177
32620,47711,30028
32640,47711,30160
32648,47703,30052
32638,47660,30215
32572,47764,30133
32564,47764,30261
32520,47772,30108
32503,47741,30204
32548,47748,30090
32564,47719,30239
32576,47673,30180
32608,47679,30248
32632,47623,30177
32600,47732,30148
32588,47735,30172
32576,47670,30144
32557,47751,30206
32536,47732,30208
32557,47735,30072
32584,47709,30182
32608,47679,30141
32652,47687,30194
32688,47708,30140
32648,47711,30203
32551,47740,30109
32361,47737,30279
32112,47767,30259
31780,47743,30356
31444,47717,30278
31268,47717,30340
31352,47699,30223
31614,47692,30372
32049,47692,30310
32538,47720,30343
33044,47727,30300
33652,47735,30201
34628,47734,30324
35872,47729,30257
37308,47704,30361
39016,47703,30244
40877,47678,30372
42884,47636,30319
44868,47700,30517
46500,47687,30372
47529,47732,30271
48192,47724,30405
48308,47733,30308
47816,47713,30514
46161,47692,30423
43804,47713,30468
41264,47700,30428
38613,47713,30536
36032,47694,30372
34420,47735,30535
33697,47733,30409
33308,47751,30453
32968,47751,30424
32684,47677,30481
32440,47724,30404
32148,47691,30324
31856,47687,30424
31548,47676,30364
31272,47701,30441
31032,47709,30343
30798,47725,30468
30652,47740,30340
30512,47727,30500
30452,47701,30396
30477,47708,30436
30436,47680,30346
30436,47687,30479
30458,47695,30308
30488,47684,30460
30460,47725,30365
30408,47732,30527
30416,47765,30427
30388,47733,30599
30416,47740,30457
30460,47703,30549
30512,47708,30437
30520,47686,30561
30568,47695,30397
30620,47695,30498
30641,47740,30405
30644,47735,30529
30686,47750,30481
30704,47743,30657
30720,47732,30565
30782,47708,30695
30833,47700,30597
30885,47682,30647
30921,47692,30629
30964,47674,30710
30992,47703,30636
31012,47733,30724
30992,47759,30644
31032,47677,30655
31028,47719,30814
31106,47663,30693
31144,47639,30839
31205,47684,30716
31298,47607,30689
31364,47708,30751
31365,47705,30711
31336,47665,30855
31320,47741,30703
31346,47751,30880
31392,47751,30788
31430,47639,30673
31481,47677,30876
31556,47692,30816
31612,47601,30804
31688,47707,30969
31680,47698,30855
31656,47749,30846
31652,47679,30790
31658,47751,30897
31702,47728,30912
31744,47725,30883
31796,47702,30979
31852,47623,30964
31936,47684,30881
31946,47612,31101
31977,47741,31001
32026,47743,31018
32060,47751,30925
