ECG,EDA,RR
33120,40008,38236
33158,40004,38128
33312,39990,38109
33390,40016,38129
33128,40054,38136
32973,40085,38145
32852,40100,38239
32836,40100,38209
32904,40071,38220
32996,40018,38172
33036,39984,38168
33088,39959,38160
33032,39973,38164
32972,39996,38175
32896,40038,38180
32832,40060,38192
32860,40086,38201
33414,40073,38232
33772,40036,38256
33668,40009,38240
33480,39974,38326
33198,39943,38391
33004,39943,38407
32744,39980,38432
32428,40012,38461
32388,40036,38470
32460,40060,38474
32576,40053,38481
32716,40020,38487
32836,39943,38508
32848,39943,38518
32912,39932,38535
32816,39928,38601
32676,39943,38617
32648,39994,38556
32676,40026,38509
32640,40039,38564
32648,40039,38692
32684,40004,38700
32720,39967,38713
32716,39920,38759
32679,39903,38759
32644,39919,38792
32576,39943,38828
32556,39981,38858
32504,40006,38900
32488,40022,38828
32540,40009,38837
32614,39972,38860
32684,39942,38892
32752,39911,38919
32748,39881,38967
32736,39898,39038
32664,39892,39166
32580,39909,39157
32542,39935,39241
32508,40009,39248
32530,39991,39310
32600,39961,39361
32661,39927,39404
32716,39824,39393
32800,39861,39477
32812,39872,39516
32652,39869,39540
32468,39917,39592
32412,39917,39631
32408,39989,39649
32448,39969,39655
32720,39935,39733
33172,39897,39668
33249,39869,39684
33112,39855,39696
32748,39831,39732
32400,39892,39766
32260,39926,39791
32264,39943,39844
32364,39950,40004
32344,39943,40028
32401,39924,40044
32453,39880,40101
32480,39855,40133
32480,39831,40156
32468,39836,40152
32404,39860,40172
32344,39907,40199
32321,39931,40248
32304,39941,40296
32376,39940,40329
32472,39903,40362
32544,39864,40410
32556,39833,40281
32580,39816,40398
32556,39784,40483
32560,39804,40469
32600,39849,40534
32468,39937,40616
32453,39940,40573
32604,39928,40632
32724,39879,40644
32740,39873,40733
32808,39828,40786
32856,39815,40765
32840,39824,40774
32770,39840,40808
32693,39885,40838
32840,39917,40879
33120,39925,40936
33064,39908,40966
32896,39885,41004
32716,39849,41069
32604,39808,41095
32560,39813,41125
32528,39813,41160
32488,39832,41220
32476,39883,41252
32424,39893,41334
32436,39921,41343
32482,39923,41375
32540,39888,41413
32568,39792,41452
32572,39783,41533
32637,39777,41596
32644,39809,41646
32460,39827,41700
32390,39865,41564
32344,39888,41607
32380,39927,41824
32412,39906,41862
32500,39874,41911
32761,39836,41951
32673,39796,41991
32496,39789,41845
32480,39805,42017
32460,39780,42164
32416,39875,42204
32348,39904,42145
32332,39918,42244
32348,39899,42304
32402,39871,42156
32464,39834,42244
32542,39799,42288
32536,39781,42429
32509,39796,42503
32452,39831,42609
32397,39866,42660
32356,39900,42709
32348,39910,42759
32408,39898,42808
32484,39869,42847
32576,39844,42916
32644,39813,42943
32612,39796,42974
32632,39796,42988
32656,39828,43044
32728,39860,43074
32864,39903,43156
33160,39912,43216
33852,39901,43271
34728,39874,43305
35304,39828,43174
35604,39803,43225
35412,39796,43264
35044,39799,43332
34376,39838,43380
33296,39878,43638
31592,39917,43684
29473,39943,43740
27216,39940,43777
24285,39878,43840
20852,39904,43876
17568,39880,43908
14591,39876,43936
11968,39888,43988
10565,39919,44053
10421,39943,44112
10853,39981,44158
12236,40007,44167
14560,40007,44216
17916,39972,44257
22220,39854,44316
25952,39836,44344
28636,39817,44401
30424,39857,44453
31840,39908,44551
32920,39936,44576
33760,39963,44592
34296,39988,44640
34652,39968,44637
34944,39941,44727
35220,39921,44639
35452,39887,44585
35568,39872,44633
35604,39853,44846
35612,39912,44869
35602,39959,44912
35608,40003,44935
35576,40010,44988
35573,40005,45016
35688,39968,45020
35852,39929,45062
35708,39860,45098
35608,39900,44973
35556,39898,44989
35484,39943,45188
35424,39979,45191
35368,40020,45191
35324,40044,45257
35260,40033,45300
35356,40008,45174
35557,39972,45352
35984,39932,45364
35948,39929,45368
35800,39934,45391
35620,39982,45397
35200,39996,45431
34832,40057,45432
34624,40071,45448
34656,40070,45476
34796,40040,45501
34888,40011,45516
34884,39933,45568
34900,39942,45601
34848,39997,45598
34816,40028,45429
34860,40055,45492
35082,40092,45574
35064,40111,45558
34928,40104,45568
34804,40084,45625
34752,40047,45650
34660,40029,45669
34781,39966,45700
34848,39978,45703
34568,40021,45660
34460,40068,45685
34436,40103,45664
34556,40150,45670
34656,40116,45676
34776,40088,45640
34796,40048,45617
34941,40070,45572
34709,40071,45561
34436,40071,45528
34392,40108,45526
34460,40152,45545
34405,40173,45526
34364,40201,45605
34304,40212,45687
34268,40135,45728
34188,40134,45668
34216,40124,45681
34272,40102,45691
34358,40081,45687
34480,40124,45700
34296,40212,45743
34168,40245,45703
34084,40228,45721
34205,40261,45702
34344,40228,45767
34128,40196,45772
34172,40166,45590
34116,40168,45669
34060,40176,45681
33980,40223,45732
33908,40229,45791
33888,40306,45796
33812,40321,45784
33800,40318,45760
33840,40293,45764
33852,40260,45764
33804,40218,45792
33760,40216,45818
33688,40233,45824
33608,40280,45636
33500,40285,45724
33436,40357,45815
33408,40377,45770
33518,40376,45709
33536,40356,45774
33445,40308,45844
33388,40276,45852
33344,40284,45870
33256,40294,45818
33172,40327,45765
33092,40375,45679
33048,40408,45684
33056,40429,45735
33072,40392,45794
33081,40350,45812
33116,40367,45789
33156,40303,45853
33248,40293,45824
33148,40357,45797
32961,40391,45831
32920,40445,45828
32864,40471,45823
32876,40468,45813
32893,40479,45793
32984,40444,45782
33072,40431,45745
33128,40389,45740
33160,40389,45680
33232,40397,45589
33220,40445,45522
33124,40491,45476
33112,40536,45641
33127,40552,45572
33312,40551,45540
33308,40516,45509
33396,40495,45484
33848,40471,45468
33901,40455,45494
33644,40487,45456
33450,40511,45265
33264,40533,45398
33080,40557,45384
32944,40613,45353
32897,40548,45284
32984,40578,45313
33072,40545,45159
33124,40520,45084
33116,40492,45076
33076,40525,45229
33068,40565,45172
33280,40612,45223
33985,40644,45132
34016,40668,45092
33509,40647,44968
33025,40645,44968
32800,40604,44967
32822,40583,44935
32976,40581,44932
33301,40596,44929
33476,40634,44920
33432,40669,44928
33240,40706,44924
33080,40724,45105
32900,40711,45093
32792,40693,45093
32836,40660,45087
32925,40645,45104
33076,40636,45183
33260,40666,45113
33185,40702,45092
32980,40749,45056
32880,40782,45237
32880,40786,45264
33124,40769,45287
33128,40735,45262
33336,40727,45324
34096,40701,45304
34437,40692,45191
34040,40700,45396
33508,40764,45389
32852,40804,45381
32548,40839,45401
32504,40839,45417
32828,40836,45512
33433,40812,45522
33516,40796,45493
33228,40772,45476
32940,40766,45489
32756,40791,45466
32688,40772,45442
32788,40871,45424
32889,40884,45429
32893,40908,45429
32900,40885,45620
32892,40892,45628
32936,40860,45638
32965,40828,45652
32924,40834,45641
32916,40844,45477
33072,40895,45516
33436,40928,45591
33368,40944,45647
33152,40967,45668
32976,40960,45608
32824,40939,45628
32797,40906,45633
32920,40884,45664
32904,40839,45524
32964,40893,45603
32908,40944,45628
32776,40992,45599
32896,41031,45562
32800,41055,45605
32780,41043,45552
32768,40992,45575
32797,40967,45552
32825,40940,45572
32840,40947,45572
32804,40965,45633
32720,40993,45725
32693,41037,45781
32708,41063,45784
32717,41092,45799
32760,41092,45805
32808,41068,45831
32864,41036,45826
32856,41025,45824
32872,40961,45765
32885,41031,45701
33304,41065,45888
33500,41108,45888
33192,41132,45881
32704,41143,45921
32421,41158,45977
32568,41120,45958
32840,41101,45996
32724,41016,45934
32668,41061,45884
32568,41085,45892
32500,41121,45935
32560,41168,45924
32612,41196,45951
32484,41221,45940
32544,41220,45956
32584,41132,46004
32608,41151,46013
32684,41112,46026
32700,41093,46064
32748,41145,46143
32628,41193,46180
32541,41223,46252
32508,41262,46268
32496,41287,46286
32532,41221,46300
32636,41223,46319
32756,41204,46308
32792,41169,46305
32760,41188,46359
32732,41212,46394
32712,41255,46393
32664,41297,46343
32672,41325,46400
32760,41343,46364
32980,41289,46292
32892,41309,46484
32888,41273,46336
32968,41247,46537
32984,41249,46511
32960,41277,46561
32856,41260,46599
33052,41319,46597
33100,41383,46590
32904,41399,46468
32772,41390,46684
32708,41373,46700
32652,41340,46734
32636,41269,46748
32688,41312,46769
32664,41333,46767
32592,41367,46800
32570,41409,46657
32548,41446,46692
32528,41415,46708
32557,41398,46711
32568,41393,46752
32592,41402,46764
32648,41344,46839
32660,41364,46862
32632,41391,46932
32588,41383,46920
32689,41462,46900
33073,41508,46908
33024,41535,46916
32817,41513,46983
32644,41476,46915
32492,41415,46817
32452,41439,46848
32440,41435,46804
32856,41445,46992
33592,41471,47004
33552,41512,46999
32764,41553,46989
32160,41577,46980
31948,41575,46949
32020,41540,46956
32224,41468,47013
32421,41428,47012
32352,41413,46913
32296,41497,46812
32328,41520,46996
32192,41568,46968
32196,41600,46977
32464,41623,46988
32784,41613,46952
32956,41586,46950
33089,41556,46983
32792,41529,46964
32684,41527,47005
32728,41541,47020
32625,41573,46989
32668,41620,46980
32942,41669,46911
33560,41664,46927
34400,41649,46916
35028,41623,46943
35198,41590,46880
35060,41552,47079
34396,41565,47086
33269,41588,47092
31324,41639,47120
28888,41688,47111
26160,41724,47132
23144,41750,47141
19916,41741,47148
16704,41725,47144
13757,41688,47140
11140,41625,47132
10192,41622,47161
10242,41702,47145
10840,41748,47197
12409,41789,47239
14890,41816,47254
18606,41821,47268
22966,41800,47263
26597,41732,47260
29184,41700,47236
31073,41700,47172
32480,41689,47079
33500,41701,47060
34160,41743,47233
34553,41784,47239
34848,41782,47212
35128,41797,47197
35400,41812,47157
35468,41786,47164
35548,41753,47184
35660,41719,47146
35880,41719,47061
35912,41724,47068
35780,41767,47110
35640,41815,47109
35504,41845,47111
35452,41845,47106
35508,41847,47050
35713,41812,47056
35984,41789,46936
35928,41756,46968
35756,41757,47096
35512,41772,47089
35349,41824,47032
35248,41831,47084
35320,41901,47004
35500,41902,46892
35720,41884,47065
36076,41850,47069
35772,41808,47044
35380,41805,47054
35032,41760,47076
34760,41821,47020
34672,41857,46948
34639,41888,47064
34672,41932,47048
34828,41892,47097
34876,41921,46953
34892,41887,46889
35500,41860,47054
35872,41836,47022
35504,41785,47060
35010,41853,46916
34560,41888,47008
34404,41934,46949
34352,41924,46997
34422,41926,46935
34524,41964,46808
34612,41931,46749
34720,41892,46692
34924,41868,46847
35092,41871,46816
35004,41891,46782
34756,41924,46709
34524,41963,46689
34488,41991,46724
34348,42000,46631
34420,42006,46521
34536,41938,46436
34565,41929,46580
34576,41908,46517
34676,41903,46472
34752,41927,46468
34532,41951,46463
34324,41991,46304
34188,42041,46209
34180,42044,46358
34272,41991,46311
34340,42011,46221
34400,41965,46208
34464,41951,46112
34444,41937,45999
34376,41940,45959
34300,41950,45908
34224,41980,45892
34188,42045,45855
34184,42076,45991
34356,42057,45924
34268,42009,45886
34220,41990,45868
34276,41979,45774
34392,41967,45624
34412,41991,45561
34208,42020,45521
33957,42056,45486
33836,42087,45428
33964,42097,45396
34064,42069,45355
33988,42071,45484
33944,42032,45276
33737,42012,45252
33733,42008,45260
33760,42020,45308
33774,42061,45256
33744,42071,45253
33652,42112,45217
33636,42116,45180
34128,42116,45078
34042,42084,45052
33500,42060,45012
33276,42047,44976
33120,42037,44957
33129,42052,44909
33116,42088,44884
33068,42125,44857
33070,42130,44815
33056,42181,44807
33084,42161,44770
33172,42132,44729
33452,42091,44684
34112,42015,44716
34092,42060,44633
33600,42071,44550
33077,42113,44453
32780,42151,44572
32661,42174,44541
32672,42192,44488
32784,42185,44444
32904,42148,44453
33028,42061,44460
33253,42080,44296
33252,42071,44389
33064,42087,44383
33084,42141,44372
33056,42160,44309
33094,42204,44287
33236,42212,44308
33172,42196,44303
33132,42159,44292
33248,42120,44247
33328,42095,44197
33300,42088,44199
33704,42122,44093
33772,42126,44049
33416,42199,44148
32928,42236,44141
32628,42245,44132
32500,42225,44108
32608,42188,44112
32756,42140,44108
32857,42133,44063
32897,42132,44092
32952,42148,44047
33044,42193,44060
32872,42181,44068
32720,42196,44063
32637,42247,44028
32705,42244,44007
32832,42207,43948
32900,42182,43812
32948,42119,43972
32952,42149,43964
33013,42158,43916
33004,42212,43920
32832,42193,43937
32760,42225,43924
32764,42273,43905
32804,42209,43911
32828,42230,43876
32912,42193,43871
33016,42167,43868
33108,42164,43861
33044,42173,43815
32890,42217,43809
32820,42238,43695
32792,42297,43612
32761,42301,43648
32792,42286,43576
32825,42260,43548
32872,42217,43540
32896,42171,43556
32960,42193,43520
32884,42205,43527
32720,42240,43527
32676,42284,43461
32676,42312,43464
32685,42287,43615
32720,42300,43596
32796,42263,43556
32864,42221,43524
32888,42182,43582
32896,42213,43548
32836,42231,43441
32752,42269,43380
32704,42301,43353
32653,42329,43348
32724,42276,43372
32888,42316,43501
32772,42276,43448
32732,42245,43493
32804,42231,43496
32756,42167,43311
32724,42247,43460
32700,42260,43423
32632,42307,43452
32536,42335,43412
32485,42351,43304
32508,42328,43249
32536,42232,43421
32592,42261,43380
32620,42236,43387
32621,42220,43323
32630,42256,43196
32569,42293,43372
