ECG,EDA,RR
33000,45596,30533
32984,45619,30629
33005,45575,30525
33096,45503,30631
33100,45529,30482
33133,45496,30594
33133,45461,30447
33140,45523,30554
33088,45492,30396
33092,45567,30496
33032,45575,30309
33013,45609,30343
33020,45605,30254
33100,45492,30252
33140,45528,30210
33118,45501,30108
33097,45493,30164
33093,45505,30062
33088,45485,30134
33044,45503,30049
33000,45588,30137
33008,45591,30068
33040,45596,30124
33040,45562,30013
33060,45535,29989
33061,45444,30069
33048,45487,29950
33018,45477,29870
32972,45522,29874
32957,45557,29764
32884,45535,29860
32880,45593,29825
32894,45560,29679
32960,45512,29905
33000,45520,29757
33004,45495,29693
32986,45461,29642
32960,45494,29544
32892,45447,29669
32836,45540,29613
32801,45550,29457
32788,45565,29610
32820,45575,29512
32872,45558,29412
32904,45529,29463
32912,45484,29292
32944,45469,29401
32906,45463,29312
32812,45468,29307
32800,45532,29332
32772,45564,29276
32756,45572,29244
32760,45572,29207
32760,45492,29048
32796,45511,29144
32833,45478,29062
32828,45460,29215
32736,45476,29029
32728,45500,28913
32684,45517,29044
32656,45494,28953
32620,45567,29028
32645,45543,28865
32692,45547,28746
32744,45446,28831
32765,45404,28703
32756,45461,28773
32696,45447,28674
32668,45495,28855
32648,45530,28710
32616,45495,28578
32564,45568,28769
32564,45558,28604
32616,45535,28520
32692,45501,28648
32676,45434,28540
32701,45421,28577
32686,45447,28484
32612,45479,28369
32568,45511,28444
32556,45529,28381
32544,45544,28397
32596,45554,28287
32641,45532,28412
32668,45492,28353
32660,45471,28224
32621,45460,28468
32608,45383,28256
32616,45477,28188
32586,45525,28200
32572,45548,28254
32576,45484,28180
32644,45541,28324
32700,45505,28132
32708,45495,28088
32688,45455,28252
32712,45400,28100
32712,45447,27944
32680,45471,28036
32648,45495,27935
32624,45545,28151
32620,45541,28001
32652,45471,28045
32704,45507,27921
32704,45481,27830
32778,45453,28046
32688,45400,27864
32728,45444,27787
32692,45455,27829
32692,45501,27753
32644,45484,27942
32652,45477,27772
32648,45540,27654
32672,45492,27877
32733,45477,27692
32778,45368,27647
32760,45423,27634
32734,45428,27636
32708,45470,27590
32672,45484,27513
32613,45519,27548
32604,45543,27445
32634,45470,27630
32652,45500,27509
32716,45484,27340
32740,45432,27495
32750,45423,27438
32760,45428,27268
32676,45463,27439
32616,45434,27359
32608,45509,27296
32620,45540,27270
32612,45460,27374
32700,45503,27272
32765,45473,27108
32816,45372,27333
32846,45421,27205
32852,45412,27052
32784,45447,27211
32756,45487,27103
32740,45500,27252
32732,45469,27125
32770,45517,26958
32798,45487,27086
32840,45464,27005
32821,45437,27108
32776,45396,26956
32692,45360,27084
32604,45447,26999
32592,45485,26856
32496,45447,27029
32412,45524,26936
32404,45510,27054
32516,45493,26953
32620,45428,26818
32600,45399,26933
32592,45412,26812
32532,45404,26964
32432,45444,26817
32368,45456,27015
32352,45510,26930
32352,45517,26830
32392,45516,26887
32432,45495,26788
32545,45389,26969
32576,45431,26914
32568,45405,26868
32544,45376,26884
32492,45444,26788
32432,45484,26872
32400,45497,26721
32440,45506,26884
32458,45447,26836
32495,45485,26868
32536,45447,26820
32580,45412,26820
32580,45404,26810
32552,45412,26838
32480,45380,26768
32380,45465,26681
32368,45499,26725
32332,45492,26587
32380,45495,26767
32472,45477,26670
32565,45447,26821
32613,45405,26661
32620,45397,26542
32568,45343,26777
32528,45424,26607
32466,45455,26484
32460,45484,26586
32532,45511,26527
32668,45495,26702
32904,45471,26554
33053,45429,26570
33312,45405,26503
33620,45384,26361
34080,45394,26509
34624,45349,26400
34893,45436,26470
34880,45481,26436
34753,45446,26325
34228,45484,26523
33240,45471,26401
31620,45408,26343
29600,45415,26257
27204,45396,26509
24408,45423,26356
21296,45357,26272
18332,45484,26480
15638,45501,26356
13276,45544,26200
12504,45468,26373
12521,45404,26265
12976,45476,26468
14357,45447,26325
16645,45422,26178
20124,45433,26353
24020,45453,26212
27237,45407,26396
29420,45501,26292
30836,45503,26156
31992,45501,26284
32893,45478,26158
33680,45428,26295
34256,45400,26254
34572,45391,26404
34744,45397,26260
34892,45406,26337
35017,45447,26248
35065,45471,26094
35116,45492,26364
35216,45445,26223
35304,45452,26109
35376,45439,26255
35368,45399,26165
35420,45382,26388
35412,45383,26308
35368,45396,26252
35300,45444,26285
35232,45412,26217
35206,45471,26148
35204,45479,26326
35208,45463,26314
35236,45398,26409
35228,45335,26300
35188,45371,26424
35168,45377,26218
35096,45393,26381
35044,45431,26223
35028,45447,26332
34981,45473,26165
34924,45460,26304
34872,45446,26212
34872,45420,26229
34944,45359,26253
35016,45372,26112
34940,45359,26266
34852,45396,26153
34816,45428,26285
34752,45463,26108
34717,45413,26270
34740,45467,26165
34732,45440,26317
34784,45415,26133
34824,45380,26119
34828,45367,26205
34788,45364,26089
34692,45391,25924
34624,45395,26088
34624,45460,26013
34592,45470,25885
34550,45469,25964
34624,45399,25846
34660,45405,26056
34733,45368,25863
34668,45356,25751
34656,45361,25893
34572,45379,25676
34472,45412,25830
34425,45436,25691
34385,45452,25860
34416,45453,25700
34452,45431,25652
34464,45409,25633
34472,45375,25477
34480,45287,25624
34408,45359,25539
34380,45375,25582
34312,45412,25537
34260,45425,25464
34244,45457,25476
34192,45463,25324
34188,45364,25568
34272,45391,25404
34353,45367,25293
34352,45348,25357
34264,45347,25225
34180,45380,25445
34118,45403,25324
34113,45372,25132
34064,45385,25266
33992,45428,25100
33953,45429,25197
33952,45393,25244
33900,45362,25176
34028,45344,25172
33992,45335,25127
33944,45340,25045
33848,45412,25076
33748,45447,24922
33684,45444,25028
33652,45439,24866
33640,45423,25068
33648,45386,24911
33600,45369,25079
33568,45353,24901
33492,45343,24953
33420,45354,24874
33324,45397,25012
33272,45423,24836
33216,45428,24804
33152,45447,24945
33180,45431,24784
33200,45392,24864
33216,45295,24752
33184,45348,24849
33080,45348,24719
33044,45353,24529
33014,45385,24661
33016,45428,24498
32904,45447,24627
32920,45407,24465
32948,45421,24636
32996,45385,24537
33044,45356,24480
32996,45349,24528
32980,45349,24341
32925,45369,24463
32856,45319,24386
32864,45421,24454
32896,45431,24396
32936,45431,24405
33008,45407,24350
33028,45380,24194
33040,45333,24313
33060,45341,24142
33096,45341,24313
33052,45364,24120
33038,45353,24300
32949,45364,24181
33002,45428,24289
33056,45431,24176
33100,45410,24231
33156,45372,24016
33204,45340,24116
33228,45292,23992
33192,45328,24132
33136,45349,24007
33096,45319,24144
33052,45399,24052
33060,45420,23998
33080,45421,24004
33212,45392,23859
33324,45345,23996
33316,45342,23917
33300,45255,24100
33280,45316,23985
33216,45340,24050
33104,45368,23975
33048,45404,23919
33072,45404,23960
33104,45427,23882
33104,45396,24058
33148,45359,23935
33173,45316,24068
33152,45319,23941
33132,45313,23790
33096,45279,24012
33048,45367,23941
33000,45388,23815
32952,45431,24052
32936,45356,23937
33008,45389,23790
33089,45332,23999
33085,45312,23936
33104,45297,23815
33056,45317,23988
33033,45313,23982
33012,45348,23926
32988,45373,24053
32960,45393,23956
32950,45404,23927
32968,45395,23824
33016,45301,24030
33032,45318,23970
33060,45296,24109
33036,45300,23998
32964,45327,23852
32992,45297,24052
