ECG,EDA,RR
32524,35484,27775
32480,35505,27778
32284,35551,27788
32157,35572,27792
32249,35596,27791
32312,35567,27791
32464,35575,27795
32496,35532,27815
32504,35492,27823
32613,35473,27828
32628,35469,27842
32356,35501,27842
32520,35530,27842
32596,35557,27848
32560,35583,27852
32384,35580,27868
32276,35559,27884
32480,35517,27896
32576,35477,27893
32776,35452,27873
33020,35453,27860
33140,35468,27869
33172,35511,27875
33144,35535,27868
33684,35564,27856
34280,35564,27864
35240,35529,27868
35456,35487,27902
35244,35456,27873
34508,35433,27868
33216,35448,27885
31328,35452,27868
29040,35512,27886
26368,35556,27895
23501,35596,27893
20248,35592,27896
17290,35591,27900
14536,35462,27916
12466,35463,27917
11898,35508,27919
12170,35502,27937
12704,35525,27934
14056,35460,27951
16533,35588,27957
20260,35584,27980
24265,35582,28005
27340,35540,28020
29412,35496,28037
30650,35460,28061
31668,35416,28080
32376,35388,28108
32989,35438,28136
33637,35477,28162
33908,35508,28201
34012,35516,28232
34240,35516,28276
34404,35500,28308
34500,35446,28337
34592,35421,28384
34600,35396,28424
34632,35364,28513
34780,35416,28553
34700,35445,28599
34652,35487,28649
34588,35497,28721
34468,35498,28774
34316,35468,28821
34624,35442,28887
34664,35404,28943
34408,35377,28999
34494,35376,29052
34604,35399,29092
34645,35433,29156
34636,35460,29202
34644,35468,29248
34584,35490,29302
34692,35455,29365
34696,35429,29391
34544,35399,29472
34464,35368,29532
34424,35365,29589
34532,35384,29642
34540,35417,29688
34380,35459,29745
34069,35479,29807
34120,35463,29834
34652,35455,29873
34612,35414,29948
34280,35380,29991
34128,35332,30036
33992,35364,30087
33940,35377,30132
33508,35415,30180
33996,35436,30229
33920,35463,30289
34016,35463,30343
34080,35431,30392
34316,35405,30443
33840,35361,30493
34484,35335,30540
34500,35335,30599
34152,35357,30653
33436,35399,30712
32829,35431,30776
33060,35445,30830
33260,35462,30892
33048,35431,30976
32972,35391,31063
33048,35335,31132
33020,35332,31212
33172,35325,31312
33489,35356,31408
33060,35363,31509
32840,35420,31612
32772,35436,31716
32844,35436,31816
32813,35412,31844
32632,35383,31998
32524,35327,32157
32460,35327,32244
32752,35316,32356
32872,35335,32484
32601,35356,32591
32367,35418,32687
32200,35437,32783
32116,35429,32862
32264,35409,32956
32188,35375,33053
32002,35343,33132
32004,35324,33202
32148,35302,33287
32108,35335,33371
32000,35377,33432
31788,35400,33409
31568,35397,33437
31296,35422,33569
31320,35388,33645
31408,35369,33648
31456,35335,33677
31488,35313,33703
31496,35305,33732
31396,35335,33759
31248,35365,33774
31528,35404,33799
31117,35425,33829
31332,35404,33825
31273,35405,33812
31204,35369,33820
31328,35335,33821
31150,35301,33825
31076,35305,33833
31206,35324,33756
31226,35360,33728
31197,35389,33709
31288,35409,33793
31696,35415,33809
31716,35386,33799
31552,35357,33761
31424,35316,33797
31394,35306,33727
31280,35295,33725
31716,35316,33807
31677,35348,33820
31580,35385,33764
31444,35404,33725
31792,35406,33732
32016,35367,33767
32288,35356,33826
32004,35308,33823
32056,35285,33807
32080,35293,33916
32076,35303,33965
31988,35344,34003
32136,35391,33997
32296,35403,34034
32380,35404,33996
32342,35367,33988
32533,35335,33996
32484,35310,34132
32392,35284,34140
32196,35270,34129
32596,35298,34159
32472,35322,34119
32208,35377,34128
32400,35386,34177
32577,35384,34251
32532,35364,34239
32436,35335,34265
32664,35291,34197
32820,35273,34156
32749,35251,34273
32654,35300,34333
32728,35301,34342
32648,35378,34356
32916,35385,34380
32644,35393,34286
32846,35369,34436
32632,35335,34396
32724,35300,34413
32584,35271,34460
32901,35268,34417
33152,35301,34404
32996,35316,34513
32844,35355,34556
32980,35375,34535
32972,35397,34552
32836,35365,34573
32720,35327,34572
32796,35293,34636
33140,35261,34564
33128,35261,34530
