ECG,EDA,RR
33344,27110,50992
33300,27121,50786
32965,27127,50889
32788,27124,50788
32760,27125,50572
32512,27110,50524
32208,27106,50516
32284,27096,50397
32680,27105,50237
33188,27102,50247
33505,27117,50042
33436,27131,49959
33224,27126,49951
32976,27125,49812
32916,27124,49725
32628,27113,49671
32285,27101,49388
32364,27101,49440
32744,27102,49313
33134,27107,49236
33372,27118,49083
33321,27133,48672
33152,27133,48932
32952,27124,48815
32870,27121,48544
32760,27116,48604
32552,27106,48504
32557,27104,48255
32824,27101,48246
33304,27111,48164
33388,27119,47900
33212,27132,47932
33020,27133,47832
32856,27127,47532
32768,27139,47500
32588,27113,47494
32393,27101,47352
32488,27097,47207
32872,27109,46871
33184,27104,46970
33416,27122,46933
33528,27135,46623
33404,27135,46693
33140,27132,46595
32948,27124,46441
32592,27112,46335
32300,27108,46215
32429,27107,46063
32677,27114,45885
33060,27109,45781
33340,27127,45767
33376,27129,45607
33204,27135,45447
32980,27137,45164
32956,27135,45280
32628,27119,45204
32280,27105,45077
32356,27108,44999
32653,27111,44741
33109,27115,44701
33497,27129,44452
33524,27143,44431
33241,27140,44140
32970,27142,44234
32825,27139,44181
32512,27125,44052
32180,27119,43960
32288,27110,43719
32680,27119,43560
33120,27121,43588
33304,27137,43487
33293,27142,43230
33165,27142,42969
33004,27143,43121
32880,27140,42949
32640,27125,42604
32370,27117,42756
32428,27116,42631
32766,27116,42185
33316,27116,42300
33506,27131,42365
33356,27143,42161
33154,27143,41853
32968,27143,41941
32896,27140,41705
32728,27129,41621
32569,27125,41606
32678,27123,41406
32992,27127,41341
33324,27125,41184
33516,27140,41020
33509,27143,41015
33376,27157,40828
33256,27143,40827
33240,27143,40733
33053,27127,40556
32796,27119,40525
32816,27123,40416
32940,27117,40351
33293,27128,40220
33576,27143,40164
33548,27156,39916
33252,27153,39647
33024,27148,39906
33084,27143,39735
32904,27138,39588
32628,27124,39613
32684,27127,39418
32964,27131,39084
33268,27127,39325
33381,27143,39097
33364,27147,38871
33172,27148,39021
32965,27154,38823
32860,27153,38780
32676,27143,38608
32441,27133,38566
32512,27132,38533
32788,27134,38463
33293,27132,38336
33600,27143,38171
33604,27158,38103
33352,27159,37919
33028,27156,37997
32721,27155,37698
32200,27142,37956
31637,27131,37787
31552,27135,37780
31790,27140,37383
32236,27135,37628
32350,27157,37438
32214,27157,37281
31972,27167,37262
31904,27171,37050
32476,27164,37222
33164,27161,37072
33820,27143,36981
34900,27149,36852
35932,27156,36717
36068,27156,36735
35796,27165,36583
35616,27174,36559
35640,27177,36355
35520,27169,36356
35124,27171,36169
34596,27153,36133
34500,27143,36093
34560,27143,36036
34636,27143,35701
34584,27154,35847
34392,27163,35620
34028,27175,35395
33760,27175,35384
33568,27175,35183
33512,27173,35328
33025,27159,35017
32397,27143,35092
32216,27156,34892
32444,27150,34927
32824,27156,34733
33128,27165,34836
33108,27174,34757
32725,27181,34616
32160,27177,34567
31876,27174,34381
31756,27161,34417
31612,27151,34414
31752,27152,34271
32113,27143,34212
32556,27156,34085
32824,27173,34248
32788,27182,34145
32576,27185,33922
32297,27181,34011
32137,27180,33765
31968,27166,33780
31769,27153,33623
31844,27157,33637
32208,27160,33443
32738,27152,33444
32936,27173,33415
32836,27180,33318
32562,27183,33198
32282,27180,33088
32104,27183,32955
31848,27181,32748
31644,27161,32689
31797,27165,32521
32132,27165,32617
32528,27158,32492
32797,27177,32253
32752,27191,32275
32412,27188,32237
32132,27190,32019
32036,27189,32039
31852,27169,31892
31604,27164,31875
31676,27167,31748
31921,27167,31613
