ECG,EDA,RR
32708,35029,28256
32720,35031,28348
32976,35028,28449
33236,35005,28532
33310,35055,28625
33244,35073,28723
33080,35068,28823
32940,35065,28912
32860,35073,29015
32709,35048,29112
32489,35028,29221
32807,35028,29330
32860,35029,29432
33176,35045,29540
33368,35063,29644
33344,35079,29752
33252,35074,29861
33088,35071,29964
32992,35071,30055
32809,35053,30152
32525,35036,30267
32548,35010,30369
32832,35035,30463
33132,35041,30572
33356,35063,30669
33408,35063,30760
33252,35084,30807
33072,35057,30895
32936,35079,31007
32725,35055,31111
32596,35044,31223
32688,35017,31320
32952,35044,31416
33159,35033,31522
33216,35057,31614
33192,35093,31691
33156,35079,31801
32864,35078,31900
32672,35087,31992
32457,35057,32105
32320,35053,32164
32416,35047,32263
32640,35047,32364
32964,35029,32447
33116,35066,32543
33156,35087,32633
33060,35094,32741
32948,35103,32839
32920,35079,32860
32816,35068,32989
32632,35059,33028
32550,35054,33111
32752,35053,33196
33004,35052,33280
33076,35079,33356
33044,35093,33420
32972,35101,33511
32844,35079,33549
32748,35105,33703
32598,35084,33823
32464,35063,33895
32640,35063,33943
32756,35057,34039
33024,35065,34124
33177,35076,34204
33128,35100,34148
33116,35101,34185
32912,35107,34324
32796,35098,34454
32709,35089,34498
32613,35069,34604
32688,35052,34679
32896,35063,34751
33156,35074,34828
33292,35079,34832
33312,35087,34948
33158,35109,34989
33028,35100,35053
32888,35077,35097
32724,35089,35088
32570,35073,35172
32593,35065,35375
32888,35069,35428
33190,35071,35463
33268,35084,35533
33221,35109,35610
33133,35117,35716
32804,35084,35788
32772,35101,35727
32670,35095,35796
32516,35075,35860
32468,35069,35938
32648,35079,36009
32892,35079,36076
33088,35091,36158
33125,35117,36348
32924,35115,36423
32780,35110,36507
32688,35118,36416
32488,35101,36479
32209,35085,36551
32058,35052,36765
32092,35079,36815
32132,35079,36719
32144,35109,36885
32084,35132,36981
31900,35132,37079
31788,35133,37127
31690,35139,37207
31732,35114,37215
32304,35101,37287
33544,35095,37343
34677,35097,37350
36148,35092,37447
37536,35104,37556
37656,35129,37445
36949,35129,37604
36600,35143,37693
36632,35128,37767
36544,35111,37814
35836,35101,37749
35264,35094,37806
35248,35095,37886
35336,35077,37956
35128,35112,37996
34718,35125,38061
34140,35141,38113
33644,35136,38289
33260,35141,38332
33000,35121,38404
32645,35109,38460
32312,35103,38513
32249,35109,38584
32226,35108,38676
32085,35125,38749
31996,35146,38847
32012,35148,38757
31770,35148,38881
31717,35125,39116
31560,35137,39188
31444,35104,39354
31404,35115,39430
31612,35111,39447
31952,35108,39489
32084,35132,39566
32056,35152,39661
31904,35155,39815
31764,35150,39943
31752,35132,40052
31636,35139,39908
31680,35127,40037
31653,35111,40332
31796,35119,40315
32008,35125,40341
32068,35133,40509
31910,35162,40600
31772,35167,40442
31592,35167,40583
31532,35151,40772
31478,35113,40823
31440,35123,40852
31704,35124,41030
31792,35118,40849
32084,35124,40999
32216,35142,41176
32142,35157,41361
31936,35170,41368
31690,35159,41375
31624,35169,41543
31508,35153,41369
31384,35124,41461
31432,35130,41619
31692,35119,41785
31913,35143,41985
32008,35124,42060
31936,35177,41919
31772,35180,41975
31504,35175,42084
31516,35168,42224
31318,35144,42355
31173,35136,42433
31265,35137,42532
31420,35145,42657
31624,35147,42703
31776,35164,42853
31760,35183,42927
31804,35191,42946
31532,35185,43060
31436,35188,43164
31304,35150,43247
31168,35155,43396
31277,35138,43524
31530,35149,43719
