ECG,EDA,RR
32832,42050,40060
32688,42043,40341
32704,42047,40540
32936,42055,40767
33136,42040,41011
33180,42061,41247
33573,42065,41622
33500,42065,41860
33396,42062,42085
33304,42064,42292
33168,42062,42486
32840,42047,42676
32372,42052,42845
32408,42052,43053
32549,42045,43305
32608,42020,43469
32612,42021,43583
32493,42072,43647
32324,42075,43804
32112,42071,44167
32080,42061,44294
32116,42063,44428
32232,42050,44618
32365,42063,44617
32472,42055,44909
32476,42071,45011
32444,42055,45108
32373,42055,45293
32259,42080,45415
32262,42076,45444
32188,42055,45466
32198,42060,45599
32024,42061,45741
32047,42059,45932
32252,42055,46071
32208,42065,46119
31872,42086,46196
31384,42023,46305
31036,42037,46409
31016,42059,46504
30996,42062,46589
30972,42061,46617
31080,42063,46676
31063,42056,46740
30984,42060,46845
31038,42072,46941
31320,42084,46983
32088,42094,47048
32844,42093,47092
33605,42097,47124
34428,42085,47141
34508,42031,47104
33978,42039,47101
33644,42052,47135
34052,42056,47097
34500,42081,47098
34704,42103,47037
34205,42089,47229
34212,42092,47172
34432,42080,47111
34308,42068,47152
34152,42060,47084
33952,42066,47061
33848,42063,47014
33804,42019,46964
33872,42036,46903
33772,42045,46799
33372,42055,46663
32880,42067,46580
32502,42029,46479
31958,42055,46613
31649,42013,46574
31628,42028,46521
31876,42033,46484
32056,42028,46423
32037,42052,46396
32060,42087,46368
32000,42095,46376
31964,42079,46365
31925,42064,46309
31829,42015,46354
31856,42012,46336
31772,42050,46326
31776,42058,46255
31972,42054,46209
32056,42077,46177
32074,42087,46124
32008,42066,46055
31904,42029,46031
31772,42071,46188
31716,42069,46129
31720,42063,46081
31814,42058,46012
31956,42068,46055
32060,42063,45977
32076,42087,45889
32004,42092,45765
31904,42092,45921
31864,42087,45871
31924,42079,45856
31908,42079,45809
31816,42071,45793
31845,42044,45840
31928,42071,45745
32124,42068,45772
32224,42087,45712
32322,42093,45592
32056,42087,45605
31912,42095,45760
31776,42085,45758
31764,42076,45741
31880,42077,45716
32180,42069,45692
32268,42078,45665
32256,42081,45628
32022,42081,45583
31849,42055,45532
31860,42092,45543
31905,42086,45496
31772,42095,45484
31504,42087,45436
31536,42086,45453
31839,42085,45393
32284,42085,45404
32524,42089,45335
32380,42092,45333
32224,42111,45280
32088,42100,45223
32020,42100,45057
31908,42100,45037
31834,42087,44975
32024,42087,44904
32064,42052,45039
32324,42093,44983
32684,42093,44889
32812,42093,44867
32660,42109,44853
32590,42111,44776
32600,42060,44655
32668,42109,44495
32720,42095,44639
32816,42095,44508
32988,42093,44485
33212,42053,44439
33420,42100,44284
33517,42108,44127
33476,42116,44063
33384,42114,44159
33388,42110,43911
33416,42112,43844
33352,42103,43927
33324,42085,43804
33429,42085,43743
33605,42101,43684
33764,42096,43580
33820,42111,43470
33886,42117,43244
33520,42118,43116
33432,42117,43215
