ECG,EDA,RR
32426,42619,39005
32492,42631,38977
32485,42615,38873
32414,42631,38900
32400,42625,38887
32316,42613,38765
32336,42596,38785
32486,42601,38760
32668,42595,38640
32840,42601,38691
32806,42623,38684
32704,42631,38572
32488,42631,38500
32400,42631,38556
32488,42631,38488
32484,42612,38407
32572,42607,38349
32856,42591,38363
33164,42559,38333
33344,42613,38219
33108,42623,38150
32820,42631,38169
32760,42631,38126
32536,42631,37988
32516,42631,38012
32400,42609,37953
32368,42567,37851
32440,42605,37788
32620,42607,37772
32932,42610,37728
33065,42615,37612
33020,42631,37565
32904,42631,37540
32812,42628,37492
32649,42625,37345
32536,42561,37357
32509,42605,37280
32668,42596,37239
32920,42599,37097
33141,42596,37111
33316,42621,37039
33457,42631,36951
33312,42629,36876
33044,42622,36852
32910,42620,36783
32644,42588,36682
32484,42583,36683
32720,42598,36621
32853,42594,36542
33140,42596,36454
33342,42612,36431
33328,42631,36358
33119,42629,36305
32884,42622,36207
32852,42620,36136
32688,42607,36082
32660,42596,36012
32744,42548,35940
33000,42592,35863
32964,42598,35780
32996,42620,35712
32992,42599,35615
32956,42620,35540
32912,42621,35476
32912,42621,35406
32670,42580,35335
32632,42591,35261
32848,42591,35157
33140,42596,35112
33333,42604,35053
33348,42575,34989
33286,42628,34917
33268,42630,34831
33105,42621,34767
33030,42580,34721
32819,42607,34653
32685,42591,34605
32800,42592,34541
32998,42599,34463
33232,42597,34407
33332,42604,34340
33284,42628,34311
33284,42620,34207
33300,42620,34159
33296,42623,34114
32948,42565,34023
32774,42577,33969
32842,42591,33927
33040,42607,33829
33216,42601,33766
33278,42623,33723
33268,42631,33604
33196,42628,33551
33100,42631,33511
33081,42588,33407
33002,42604,33359
32948,42580,33294
33220,42591,33256
33328,42599,33143
33327,42599,33077
33232,42615,33054
33116,42629,32932
33040,42581,32852
32983,42628,32854
32976,42619,32757
32928,42605,32615
32917,42546,32587
32988,42596,32492
33112,42605,32487
33081,42604,32374
33172,42579,32263
33180,42628,32228
33068,42631,32117
32828,42583,32060
32737,42628,32071
32693,42596,31881
32732,42599,31827
32956,42583,31790
33272,42583,31772
33464,42593,31613
33469,42623,31489
33255,42596,31462
33168,42631,31391
33024,42620,31325
33013,42571,31324
32948,42596,31148
32920,42588,31053
32985,42599,31103
33054,42598,30945
33180,42597,30892
33256,42613,30775
33192,42631,30680
33040,42576,30652
32968,42629,30565
32968,42620,30607
32800,42613,30354
32701,42593,30348
32868,42596,30237
33124,42598,30273
33280,42598,30052
33177,42618,30048
33035,42589,29944
32946,42623,30013
32896,42623,29743
32886,42621,29713
32744,42604,29625
32640,42570,29593
32868,42587,29540
32916,42600,29532
33044,42594,29305
33156,42566,29308
33112,42615,29203
32989,42625,29232
32934,42629,29148
33000,42629,29028
32984,42607,28935
33020,42591,28948
33176,42591,28767
33088,42599,28744
33144,42597,28706
33248,42564,28750
33356,42629,28503
33356,42620,28533
33280,42622,28439
33180,42605,28487
32996,42586,28252
32889,42599,28280
33108,42582,28197
33408,42601,28188
33533,42565,28118
33476,42612,28055
33376,42625,27967
33396,42620,28084
33116,42618,27772
33100,42626,27753
33030,42596,27783
32972,42580,27686
33000,42565,27629
33012,42592,27646
33116,42581,27711
33205,42614,27404
33184,42620,27375
33196,42628,27378
33172,42623,27378
33136,42607,27252
33016,42596,27176
32792,42588,27157
32854,42577,27138
33090,42586,27197
33349,42588,27063
33472,42573,26876
33436,42620,26872
33208,42623,26884
32960,42612,26804
32960,42575,26850
32952,42589,26738
32944,42575,26568
33140,42572,26625
32956,42583,26551
32684,42580,26555
32366,42608,26340
32072,42622,26393
31960,42620,26326
31877,42616,26381
31932,42625,26328
31780,42580,26057
31796,42599,26015
32253,42589,26093
33225,42551,25998
34272,42605,26023
35361,42621,26021
36252,42631,25786
36160,42620,25684
35576,42645,25668
35344,42647,25685
35472,42627,25589
35736,42605,25637
35684,42566,25452
35572,42613,25275
35805,42596,25222
35958,42620,25255
35440,42597,25142
34980,42631,25156
34436,42620,25113
34017,42631,24793
33752,42601,24817
33640,42581,24780
33652,42557,24780
33616,42589,24531
33536,42596,24577
33280,42617,24494
32832,42629,24452
32448,42631,24409
32321,42617,24400
32273,42621,24438
32144,42571,24306
32124,42585,24210
32228,42588,24272
32484,42582,24256
32720,42588,24389
32860,42604,24084
32916,42599,24225
32768,42581,24179
32592,42593,24069
32380,42615,24066
32140,42593,24105
32020,42580,24247
32244,42580,23941
32120,42581,24068
32220,42543,24040
32384,42567,23869
32392,42620,23955
32300,42612,23933
32296,42614,23930
32384,42613,23853
32276,42590,23726
32162,42517,23813
32172,42580,23840
32358,42578,23648
32556,42575,23745
32601,42594,23713
32485,42612,23604
32324,42612,23564
32164,42565,23692
32136,42606,23660
32050,42599,23817
31992,42581,23511
32089,42573,23619
32305,42589,23657
32652,42582,23629
32764,42549,23536
32752,42604,23626
32556,42604,23630
32092,42607,23597
31888,42605,23488
31744,42583,23585
31756,42575,23721
31964,42516,23467
32216,42576,23627
32476,42580,23621
32656,42591,23779
32468,42612,23488
32344,42606,23638
32157,42607,23639
31993,42607,23805
31836,42575,23555
31652,42575,23685
31784,42565,23814
32116,42543,23589
32414,42581,23716
32516,42598,23849
32384,42607,23606
32148,42609,23775
32104,42612,23791
32160,42583,23780
32197,42535,23713
32172,42572,23782
32296,42565,23964
32377,42580,23729
32592,42577,23813
32729,42598,23778
32756,42609,23766
32644,42607,23847
32416,42591,23902
32318,42604,23897
32320,42583,23744
32348,42576,23847
32520,42548,23921
32760,42583,23876
32993,42568,23919
33066,42591,24068
33070,42615,23908
32956,42601,23766
32904,42596,23812
32897,42567,23913
32885,42572,23907
32882,42569,23870
33080,42567,23919
33312,42572,23903
33485,42574,23775
33472,42596,23838
33188,42604,23894
33193,42598,23854
33018,42597,23729
32980,42582,23762
32864,42567,23798
32796,42575,23888
32980,42532,23775
33254,42563,23666
33492,42567,23778
33556,42576,23761
33374,42596,23828
33080,42597,23895
33020,42556,23627
32812,42579,23609
32704,42559,23636
32732,42549,23740
32852,42547,23716
33100,42532,23793
33356,42556,23710
33448,42575,23608
33284,42580,23682
33104,42580,23773
33049,42575,23605
33060,42517,23564
32949,42551,23684
32908,42543,23633
33188,42541,23740
33257,42547,23573
33509,42533,23521
33584,42564,23622
33512,42575,23616
33312,42568,23725
33133,42517,23544
33124,42564,23520
33020,42545,23597
32952,42527,23595
32936,42529,23736
33118,42543,23464
33364,42536,23582
33488,42561,23671
33484,42567,23449
33320,42559,23526
33152,42551,23651
33156,42564,23485
33156,42540,23552
33188,42528,23404
33174,42525,23346
33177,42533,23445
33268,42533,23492
33392,42517,23405
33428,42527,23327
33429,42551,23412
33164,42564,23599
33197,42544,23308
33208,42527,23435
33193,42503,23555
33240,42519,23325
33216,42517,23461
33160,42471,23512
33284,42540,23586
33293,42556,23332
33301,42548,23486
33272,42551,23628
33285,42543,23353
33072,42474,23508
32936,42503,23526
32992,42500,23469
33104,42503,23399
33272,42516,23465
33490,42522,23604
33524,42545,23350
33436,42543,23508
33300,42535,23537
33220,42534,23359
33108,42495,23505
32868,42503,23531
33088,42492,23411
33120,42502,23436
33305,42502,23484
33369,42486,23546
33244,42535,23349
33060,42533,23495
33008,42535,23524
33032,42524,23340
32928,42503,23464
32908,42498,23486
33134,42441,23449
33380,42484,23444
33518,42481,23344
33586,42518,23448
33425,42524,23607
33124,42518,23333
33020,42532,23457
33000,42500,23431
33017,42492,23559
32876,42478,23314
32881,42454,23420
33136,42491,23398
33380,42489,23572
33436,42503,23376
33372,42519,23393
33360,42469,23508
33144,42503,23260
33118,42501,23322
