ECG,EDA,RR
31630,36668,50205
31424,36652,50097
31376,36637,50333
31528,36637,50429
31704,36647,50366
31881,36647,50588
31880,36645,50663
31744,36671,50559
31624,36676,50807
31784,36679,50909
31628,36637,50695
31444,36649,51012
31329,36653,51047
31412,36644,51207
31596,36647,51324
31716,36652,51111
31733,36663,51458
31560,36679,51565
31349,36680,51682
31277,36676,51773
31301,36677,51768
31373,36663,51836
31388,36645,52028
31453,36640,52119
31460,36653,52258
31620,36663,52285
31696,36679,52303
31608,36685,52516
31524,36685,52628
31472,36682,52416
31544,36681,52823
31616,36663,52820
31640,36659,52936
31645,36652,53077
31896,36652,53092
31968,36655,53140
32036,36671,53358
31892,36689,53439
31756,36688,53435
31653,36685,53623
31564,36673,53615
31578,36668,53712
31716,36650,53830
31856,36628,53855
32040,36656,53999
32192,36660,54101
32280,36676,54069
32176,36692,54236
32116,36700,54100
31884,36677,54361
31880,36684,54471
31968,36665,54492
32056,36667,54496
32208,36667,54628
32400,36657,54556
32592,36667,54791
32629,36679,54819
32456,36684,54884
32304,36684,54791
32341,36689,55028
32264,36684,55022
32076,36679,55152
32064,36665,54919
32100,36660,55205
32240,36657,55328
32340,36660,55345
32566,36673,55337
32596,36685,55508
32245,36694,55559
32045,36693,55452
32032,36685,55588
31976,36673,55650
32004,36652,55701
32208,36655,55772
32452,36656,55808
32593,36665,55824
32496,36674,55756
32366,36677,55960
32273,36692,56013
32168,36673,55887
32068,36682,56084
31972,36677,56056
31964,36663,56167
32044,36633,55815
32428,36665,56188
32472,36646,56216
32564,36674,56317
32560,36692,56024
32564,36695,56357
32512,36687,56325
32376,36694,56380
32141,36678,56305
32032,36629,56452
32078,36655,56500
32218,36657,56293
32456,36663,56516
32457,36672,56530
32296,36687,56431
32188,36699,56541
32132,36693,56464
32096,36693,56432
32056,36687,56569
32056,36664,56532
32176,36661,56604
32340,36661,56613
32548,36662,56604
32636,36684,56573
32565,36690,56621
32324,36685,56666
32264,36692,56517
31980,36700,56684
32008,36678,56599
32040,36668,56722
32180,36665,56600
32416,36671,56477
32720,36672,56704
32700,36681,56710
32424,36710,56656
32316,36693,56764
32284,36700,56711
32257,36686,56639
32064,36684,56756
32248,36678,56648
32276,36677,56738
32512,36668,56607
32721,36678,56749
32800,36692,56680
32704,36711,56613
32557,36706,56711
32372,36711,56693
32316,36711,56616
32316,36693,56647
32352,36679,56517
32448,36679,56641
32728,36687,56653
32648,36693,56488
32684,36689,56615
32586,36719,56596
32380,36717,56385
32264,36685,56536
32232,36710,56503
32153,36703,56404
32197,36658,56480
32252,36680,56365
32493,36660,56429
32720,36687,56129
32764,36704,56367
32692,36713,56248
32596,36721,56316
32496,36708,56172
32416,36719,56224
32168,36692,56214
32174,36693,55884
32300,36692,56053
32472,36679,56086
32724,36700,56007
32756,36708,55903
32644,36718,55933
32440,36730,55629
32404,36724,55792
32160,36725,55791
32180,36692,55751
32204,36697,55623
32336,36709,55636
32560,36701,55581
32724,36703,55455
32712,36719,55445
32592,36732,55343
32488,36735,55364
32408,36727,55004
32400,36730,55264
32361,36724,55229
32344,36703,54999
32472,36708,55124
32572,36707,54960
32744,36711,55007
32844,36721,54941
32744,36732,54893
32644,36742,54573
32574,36730,54748
32560,36725,54661
32516,36717,54660
32372,36709,54583
32332,36679,54592
32680,36708,54524
32684,36717,54350
32732,36731,54436
32736,36716,54396
32636,36733,54188
32524,36724,54268
32392,36738,54063
32365,36733,54176
32366,36712,54108
32492,36714,54044
32656,36719,53969
32844,36719,53956
33004,36725,53925
32889,36743,53823
32721,36743,53812
32592,36716,53613
32560,36743,53671
32464,36737,53653
32413,36724,53279
32434,36709,53476
32452,36721,53473
32590,36720,53287
32672,36732,53341
32629,36756,53213
32464,36759,53108
32220,36759,53103
31648,36757,52992
31276,36743,53042
31096,36735,52951
31132,36731,52900
31248,36700,52525
31358,36734,52668
31396,36727,52653
31225,36768,52295
31216,36780,52468
31784,36773,52455
32812,36767,52341
33712,36761,52228
34660,36751,52085
35460,36743,52124
35356,36751,52056
34950,36759,51940
34780,36769,51805
34900,36783,51776
34784,36786,51661
34392,36767,51281
34088,36736,51420
34304,36758,51356
34280,36743,51252
34116,36740,51133
34144,36743,51092
33832,36743,50807
33588,36764,50853
33401,36772,50765
33225,36788,50543
32956,36780,50536
32556,36778,50460
32272,36757,50212
32068,36751,50285
31968,36743,50202
31952,36753,49862
31988,36750,49964
32024,36767,49924
32012,36775,49893
31920,36782,49812
31780,36783,49784
31780,36777,49599
31789,36743,49650
31764,36752,49616
31676,36755,49398
31860,36756,49458
31952,36748,49432
32001,36773,49223
31992,36757,49292
31944,36781,49221
32084,36785,49053
31908,36783,49045
31877,36770,48877
31864,36761,48834
31744,36731,48612
31868,36763,48637
32010,36761,48488
32032,36774,48428
31912,36783,48196
31838,36786,48244
31724,36787,48096
31649,36764,47862
31684,36773,47900
31641,36754,47799
31764,36753,47672
31908,36757,47591
32008,36735,47380
32116,36775,47423
32012,36749,47253
31872,36796,47164
31748,36791,47186
31680,36784,47101
31588,36783,46872
31516,36757,46948
31588,36760,46887
31968,36745,46825
31965,36764,46695
31972,36764,46623
31936,36788,46644
31880,36786,46569
31800,36751,46445
31720,36781,46464
31600,36775,46272
31472,36756,46397
31352,36727,46111
31436,36761,46268
31550,36769,46255
31740,36780,46247
31792,36793,46148
31733,36801,46036
31637,36797,46137
31656,36781,46103
31628,36759,45885
31608,36758,46029
31632,36759,46024
31800,36765,45764
31996,36764,45900
32100,36743,45921
32056,36793,45735
31952,36799,45876
32072,36788,45807
31924,36781,45769
31952,36775,45660
32020,36765,45752
32192,36725,45626
32328,36767,45636
32404,36734,45653
32396,36775,45613
32409,36765,45337
32340,36785,45499
32428,36788,45460
32409,36777,45468
32445,36770,45378
32472,36759,45283
32544,36748,45095
32776,36757,45276
33064,36757,45215
33136,36762,45020
32940,36783,45137
32692,36780,45097
32588,36781,44796
32620,36775,44990
32648,36770,44927
32628,36743,44737
32696,36743,44857
33108,36748,44719
33136,36743,44599
33177,36761,44628
33032,36774,44533
32804,36773,44564
32600,36775,44494
32444,36777,44229
32336,36759,44324
32344,36743,44292
32458,36705,44228
32636,36738,44108
32836,36721,44100
32936,36743,44039
32896,36767,44007
32828,36763,43684
32729,36756,43775
32708,36759,43796
32652,36742,43722
32580,36725,43662
32736,36732,43414
32964,36732,43495
33120,36724,43485
33228,36742,43232
33084,36750,43357
32828,36725,43212
32884,36743,43125
32641,36725,43124
32552,36729,43033
32532,36701,42972
32632,36719,42828
