ECG,EDA,RR
38064,22657,27645
37608,22671,27816
36832,22668,27788
36136,22702,27718
35520,22738,27668
35076,22712,27823
34712,22712,27789
34413,22679,27761
34149,22662,27779
33816,22630,27764
33428,22655,27804
33012,22645,27741
32644,22649,27748
32348,22680,27740
32128,22680,27756
31984,22703,27778
31920,22677,27766
31956,22685,27780
31956,22644,27862
31976,22620,27839
31938,22620,27783
31868,22637,27814
31784,22648,27861
31710,22655,27982
31628,22684,27991
31636,22673,28004
31589,22659,28006
31688,22657,28020
31788,22626,27932
31865,22630,27911
31880,22610,28038
31864,22617,28038
31816,22627,28022
31784,22662,27951
31760,22668,28052
31788,22654,28060
31864,22639,28047
31924,22653,28036
32032,22612,28095
32100,22615,28023
32068,22598,28068
32004,22594,28061
31992,22627,28098
31948,22637,28069
31892,22637,28018
31896,22669,28080
31952,22637,28060
32020,22620,27993
32084,22621,28020
32148,22588,27996
32136,22573,28039
32080,22601,28001
32028,22608,27988
31980,22615,28048
31960,22649,28061
31984,22639,27936
31996,22621,28044
32052,22629,28029
32092,22588,28019
32084,22578,27988
32040,22566,27960
31976,22596,27943
31932,22597,27930
31884,22610,27911
31845,22620,27921
31868,22629,27910
31936,22613,27896
32004,22594,27772
32016,22593,27728
32036,22575,27688
32032,22561,27715
31980,22565,27713
31893,22590,27788
31850,22607,27799
31796,22608,27810
31800,22614,27717
31849,22601,27766
31886,22609,27781
31916,22580,27759
31960,22553,27766
31958,22565,27778
31864,22565,27783
31781,22572,27664
31696,22604,27632
31628,22607,27588
31612,22602,27751
31636,22604,27701
31680,22577,27695
31688,22569,27608
31713,22543,27540
31680,22553,27516
31589,22551,27506
31504,22559,27508
31456,22594,27565
31432,22597,27655
31428,22591,27579
31476,22588,27581
31512,22562,27485
31548,22564,27420
31552,22544,27495
31560,22524,27527
31524,22548,27512
31488,22549,27429
31456,22569,27517
31468,22596,27497
31480,22593,27426
31584,22572,27396
31660,22569,27399
31756,22537,27460
31841,22552,27446
31876,22538,27445
31892,22531,27354
31888,22566,27271
31880,22575,27255
31876,22575,27399
31932,22597,27420
32048,22583,27324
32152,22561,27321
32240,22551,27321
32334,22521,27367
32372,22519,27352
32412,22548,27400
32433,22543,27308
32441,22552,27264
32388,22582,27239
32432,22575,27258
32492,22583,27324
32564,22561,27348
32640,22533,27404
32740,22528,27413
32782,22517,27356
32781,22535,27371
32752,22535,27392
32684,22552,27247
32660,22567,27276
32724,22573,27380
32788,22569,27325
32868,22545,27366
32896,22529,27226
32908,22503,27216
32924,22524,27174
32908,22518,27269
32872,22527,27361
32840,22563,27260
32832,22552,27320
32842,22565,27195
32892,22553,27156
32977,22535,27316
33036,22535,27215
33096,22511,27252
33104,22531,27286
33020,22511,27185
32958,22513,27095
32944,22565,27080
32876,22556,27205
32876,22571,27196
32948,22552,27161
33008,22554,27221
33016,22506,27052
33052,22513,27035
33008,22501,27112
32984,22495,27080
32929,22519,27166
32916,22531,27124
32884,22547,27128
32896,22550,27132
32953,22547,26941
32984,22526,27036
32996,22518,27023
33032,22493,27064
33036,22508,27074
33025,22505,26987
32968,22543,27028
32912,22535,26871
32872,22539,26836
32879,22548,26876
32936,22524,27005
33020,22528,26930
33112,22521,26969
33152,22486,26878
33116,22496,26788
33044,22484,26793
32984,22517,26877
32941,22514,26900
32876,22543,26857
32864,22533,26887
32928,22536,26788
32976,22505,26735
33024,22505,26759
33068,22514,26853
33020,22480,26765
32959,22512,26836
32862,22498,26742
32796,22527,26660
32744,22526,26804
32737,22535,26751
32804,22544,26725
32880,22506,26679
32941,22508,26813
33000,22471,26696
32992,22479,26784
32932,22470,26662
32896,22509,26597
32872,22509,26757
32824,22535,26742
32798,22529,26670
32832,22530,26612
32908,22509,26713
32961,22492,26693
33032,22473,26719
33064,22477,26584
33005,22473,26536
32940,22504,26697
32888,22502,26612
32805,22540,26664
32784,22519,26543
32824,22535,26498
32856,22502,26676
32900,22500,26576
32957,22470,26599
32949,22482,26636
32920,22465,26469
32881,22500,26574
32892,22497,26528
32840,22529,26591
32852,22522,26503
32888,22525,26427
32928,22522,26551
32953,22481,26509
32988,22492,26543
32992,22471,26556
32928,22465,26560
32864,22484,26435
32820,22496,26420
32750,22522,26372
32756,22519,26519
32804,22529,26520
32838,22495,26498
32912,22495,26511
32972,22461,26521
32992,22462,26354
32964,22492,26382
32940,22484,26530
32912,22495,26518
32848,22520,26436
32830,22509,26478
32864,22520,26503
32940,22493,26357
33020,22485,26509
33084,22453,26478
33077,22455,26400
33000,22480,26487
32920,22471,26430
32876,22508,26502
32808,22506,26413
32780,22529,26326
32856,22504,26495
32960,22517,26493
32968,22476,26421
33024,22485,26473
32996,22452,26502
32889,22449,26498
32810,22480,26517
32744,22486,26421
32712,22518,26392
32716,22504,26372
32788,22512,26532
32920,22484,26468
33009,22479,26554
33046,22448,26583
33064,22460,26504
33017,22446,26460
32944,22476,26565
32853,22485,26681
32753,22495,26721
32752,22512,26741
32796,22495,26738
32872,22485,26685
32889,22464,26673
32920,22452,26705
32932,22436,26928
32892,22449,26940
32876,22480,26935
32852,22483,27050
32808,22493,27037
32824,22513,27060
32868,22522,27257
32960,22479,27212
32960,22485,27355
33006,22444,27415
33028,22431,27333
32980,22444,27452
32900,22487,27520
32813,22470,27650
32692,22501,27638
32624,22497,27652
32632,22501,27716
32624,22476,27936
32637,22473,27932
32708,22433,28078
32752,22437,28002
32720,22436,28038
32652,22460,28121
32622,22463,28335
32608,22495,28439
32624,22482,28448
32644,22484,28496
32712,22492,28460
32786,22452,28612
32844,22430,28753
32845,22429,28763
32810,22423,28792
32776,22462,28823
32718,22457,28964
32681,22494,29036
32681,22485,29100
32680,22496,28992
32708,22460,29110
32764,22453,29206
32797,22453,29292
32832,22428,29345
32740,22422,29404
32640,22456,29443
32540,22460,29480
32436,22473,29383
32428,22479,29413
32544,22469,29484
32640,22471,29649
32720,22468,29662
32812,22432,29612
32812,22428,29764
32780,22420,29628
32716,22447,29852
32688,22470,29745
32672,22470,29860
32668,22484,29916
32716,22482,29792
32780,22451,30008
32828,22455,30044
32860,22422,29936
32868,22433,30055
32840,22414,29950
32780,22434,29977
32740,22445,30194
32648,22464,30191
32632,22470,30165
32664,22474,30205
32732,22462,30265
32796,22433,30145
32836,22418,30335
32832,22407,30380
32820,22431,30312
32732,22420,30388
32664,22444,30421
32572,22455,30290
32508,22476,30305
32460,22458,30406
32390,22445,30497
32228,22441,30548
32092,22404,30417
31960,22408,30562
31868,22422,30586
31836,22415,30661
31741,22443,30537
31772,22468,30693
31896,22460,30639
32078,22463,30615
32220,22469,30628
32596,22436,30692
33036,22436,30888
33592,22401,30844
34212,22404,30720
34916,22433,30854
35780,22433,30853
36800,22457,30968
37620,22491,30833
38404,22460,30860
39116,22433,30886
39360,22426,30897
39224,22396,30964
38792,22406,31046
38417,22390,31136
38197,22429,31162
37988,22429,31110
37356,22463,31110
36600,22444,31161
35977,22462,30999
35484,22426,31215
35060,22415,31129
34704,22421,31180
34388,22388,31209
34004,22406,31074
33564,22399,31248
33144,22438,31222
32756,22433,31156
32485,22459,31239
32320,22450,31236
32248,22424,31068
32148,22420,31141
32096,22389,31236
32084,22388,31213
32016,22412,31256
31928,22402,31109
31788,22424,31166
31712,22431,31249
31664,22449,31084
31692,22445,31166
31696,22416,31292
31704,22415,31148
31780,22380,31245
31802,22385,31087
31717,22397,31280
31661,22394,31172
31648,22428,31211
31640,22432,31221
31636,22448,31168
31676,22431,31269
31748,22429,31140
31832,22396,31229
31912,22383,31072
31936,22373,31077
31952,22377,31238
31876,22386,31279
31804,22415,31181
31716,22423,31120
31704,22429,31211
31750,22427,31225
31824,22426,31084
31856,22416,31227
31920,22391,31198
31936,22388,31184
31948,22369,31190
31918,22389,31051
31870,22396,31159
31838,22420,31220
31836,22424,31172
31909,22436,31050
32004,22407,31116
32108,22409,31101
32228,22381,31105
32268,22370,31081
32240,22384,31076
32180,22377,30873
32160,22407,30962
32096,22419,31042
32056,22445,31028
32116,22428,30908
32156,22436,30922
32192,22406,30902
32244,22393,30738
32264,22363,30766
32196,22375,30845
32148,22378,30642
32085,22413,30642
32004,22417,30790
31948,22447,30772
31944,22429,30625
31996,22425,30708
32048,22389,30703
32060,22381,30500
32080,22368,30668
32044,22375,30657
31972,22397,30620
31892,22396,30465
31772,22436,30461
31700,22420,30618
31745,22421,30513
31808,22423,30413
31836,22390,30387
31885,22388,30486
31856,22366,30529
31832,22385,30381
31792,22405,30473
31736,22403,30292
31660,22431,30382
31557,22423,30314
31532,22427,30404
31580,22431,30228
31676,22392,30404
31743,22378,30343
31785,22383,30180
31800,22369,30193
31768,22382,30291
31784,22416,30097
31740,22414,30287
31684,22434,30202
31709,22439,30211
31752,22409,30052
31792,22402,30148
31824,22386,30161
31872,22368,30003
31868,22375,30167
31837,22407,30028
31832,22400,30101
31852,22433,29918
31848,22429,30100
31914,22436,29988
32016,22409,30031
32108,22405,29852
32220,22400,29889
32350,22372,30014
32396,22391,29861
32340,22386,29943
32285,22416,29808
32276,22423,29772
32296,22440,29815
32404,22452,29791
32516,22415,29845
32630,22426,29837
32748,22391,29679
32850,22390,29703
32828,22372,29839
32820,22393,29777
32816,22447,29644
32808,22431,29717
32829,22452,29672
32904,22436,29712
32976,22433,29701
33056,22406,29525
33120,22398,29560
33168,22401,29657
33158,22380,29565
33145,22410,29612
33104,22410,29430
33068,22443,29420
33000,22441,29557
33024,22454,29512
33080,22463,29506
33120,22419,29321
33192,22411,29311
33245,22387,29471
33200,22394,29350
33149,22425,29387
33084,22417,29375
33020,22444,29197
32964,22444,29169
32976,22455,29158
33038,22432,29124
33092,22437,29249
33140,22405,29130
33176,22397,29184
33160,22428,29198
33112,22428,29037
33024,22444,28976
32908,22440,29143
32840,22464,29028
32864,22456,28983
32936,22469,29025
33020,22436,29031
33104,22441,28900
33156,22409,28839
33140,22405,28810
33076,22437,28812
33020,22441,28885
32976,22468,28809
32968,22470,28860
32964,22473,28864
32996,22455,28844
33032,22462,28788
33056,22430,28766
33092,22436,28813
33072,22419,28676
33032,22444,28628
32992,22449,28646
32992,22488,28622
32956,22484,28588
32984,22508,28580
33008,22483,28723
33056,22455,28688
33108,22450,28596
33128,22423,28581
33052,22444,28652
32924,22443,28649
32864,22479,28651
32808,22485,28645
32768,22495,28468
32796,22505,28461
32852,22488,28433
32877,22464,28432
32856,22466,28431
32798,22440,28420
32724,22465,28419
32696,22464,28412
32668,22472,28372
32640,22511,28468
32680,22521,28396
32732,22500,28536
32812,22501,28448
32924,22486,28457
32956,22465,28455
32984,22464,28484
32976,22471,28477
32908,22468,28461
32828,22506,28473
32788,22517,28477
32769,22521,28453
32780,22525,28308
32832,22509,28300
32896,22509,28287
32940,22513,28255
32972,22489,28236
32920,22481,28259
32869,22505,28263
32813,22511,28349
32784,22548,28387
32728,22541,28288
32764,22559,28375
32813,22530,28236
32873,22546,28220
32920,22508,28240
32960,22524,28385
32980,22500,28371
32972,22508,28262
