ECG,EDA,RR
32933,26055,39884
32985,26057,39897
33000,26062,39928
32952,26079,39785
32908,26095,39716
32873,26124,39666
32868,26141,39620
32952,26140,39428
33040,26130,39325
33076,26113,39589
33133,26094,39535
33172,26099,39512
33176,26093,39486
33140,26119,39394
33089,26137,39405
33074,26158,39420
33080,26175,39191
33140,26173,39260
33234,26167,39192
33280,26159,39213
33276,26139,39060
33296,26135,39104
33240,26138,39001
33196,26146,39108
33173,26183,38871
33152,26199,38773
33100,26215,38886
33072,26211,38812
33088,26210,38702
33132,26155,38769
33188,26173,38494
33244,26167,38396
33221,26175,38612
33169,26191,38548
33160,26209,38585
33068,26228,38518
33005,26247,38338
33008,26253,38284
33024,26237,38244
33106,26220,38200
33145,26204,38246
33180,26197,38145
33112,26210,38208
33040,26225,38009
33044,26245,37860
33064,26275,37748
33036,26286,37716
33053,26288,37751
33104,26281,37868
33196,26262,37795
33188,26247,37685
33237,26236,37716
33184,26245,37772
33117,26254,37676
33040,26277,37525
33002,26306,37340
32976,26319,37555
32996,26323,37496
33036,26311,37424
33112,26297,37391
33120,26273,37308
33105,26273,37328
33104,26276,37375
33056,26290,37189
32976,26317,37097
32944,26337,36908
32908,26351,37109
32952,26353,36952
33029,26345,37083
33082,26324,36905
33156,26312,36827
33176,26305,36672
33136,26310,36804
33028,26324,36738
32982,26348,36802
32964,26375,36708
32960,26393,36634
32984,26389,36509
33040,26375,36462
33076,26367,36309
33076,26345,36492
33124,26341,36352
33124,26341,36469
33093,26365,36433
33032,26384,36332
32992,26413,36196
32940,26429,36132
32968,26431,35981
33000,26411,35973
33084,26399,35949
33132,26382,36119
33176,26375,36055
33164,26383,36045
33116,26402,36069
33096,26423,35889
33004,26450,35743
32976,26460,35676
32936,26460,35887
32956,26452,35846
33017,26433,35759
33008,26422,35676
33040,26408,35644
33072,26422,35783
33048,26437,35656
32992,26454,35524
32964,26468,35431
32992,26496,35599
33014,26498,35556
33080,26491,35524
33036,26477,35511
33004,26456,35488
33004,26442,35429
32952,26453,35374
32902,26470,35326
32894,26492,35362
32856,26519,35188
32840,26532,35292
32848,26533,35153
32936,26525,35252
33000,26511,35200
33064,26500,35226
33113,26490,35196
33072,26497,35024
33060,26511,34937
33032,26541,35047
33012,26561,34998
32912,26579,34928
32924,26582,35012
33000,26574,34823
33064,26560,34780
33104,26545,34680
33112,26535,34687
33032,26538,34836
32952,26564,34797
32880,26583,34747
32813,26605,34677
32772,26628,34764
32788,26623,34652
32808,26620,34519
32854,26605,34645
32888,26585,34502
32928,26585,34620
32928,26591,34465
32848,26610,34394
32842,26623,34340
32800,26655,34468
32736,26672,34378
32752,26671,34422
32804,26660,34460
32876,26648,34259
32889,26625,34188
32880,26621,34172
32856,26623,34342
32812,26645,34215
32776,26660,34335
32728,26685,34196
32680,26701,34117
32676,26709,34074
32696,26697,34206
32705,26680,34103
32730,26662,34217
32752,26653,34024
32724,26660,33972
32664,26668,34140
32600,26689,34015
32548,26708,34121
32512,26726,34003
32520,26731,33865
32550,26717,34024
32608,26700,33903
32672,26680,33948
32708,26668,33820
32706,26677,33956
32656,26692,33926
32628,26712,33821
32624,26726,33868
32672,26746,33799
32756,26751,33852
32808,26738,33812
32842,26722,33703
32892,26696,33761
32936,26687,33582
32932,26689,33732
32888,26705,33764
32821,26724,33656
32757,26748,33529
32684,26764,33652
32730,26760,33569
32815,26755,33592
32905,26733,33465
32928,26712,33401
32916,26698,33540
32936,26708,33437
32872,26717,33461
32800,26740,33313
32752,26757,33463
32688,26776,33364
32708,26772,33424
32734,26767,33252
32824,26755,33231
32825,26730,33349
32880,26716,33263
32889,26719,33356
32856,26724,33173
32788,26751,33136
32732,26770,33279
32725,26789,33236
32784,26791,33204
32836,26776,33124
32909,26759,33216
32916,26743,33218
33012,26731,33156
32997,26733,33183
32953,26743,33092
32880,26759,32944
32800,26788,33098
32732,26799,33063
32745,26799,33086
32744,26785,33014
32812,26773,32940
32860,26750,32889
32880,26734,32841
32808,26741,32973
32700,26752,32876
32600,26773,32913
32504,26798,32861
32328,26814,32722
32144,26812,32700
31940,26802,32841
31788,26784,32808
31748,26764,32756
31764,26752,32673
31676,26759,32732
31660,26769,32569
31708,26784,32704
31824,26809,32630
31892,26816,32685
32204,26823,32596
32668,26806,32518
33182,26793,32452
33948,26782,32407
34816,26757,32551
35764,26758,32449
37008,26774,32524
38036,26796,32504
38828,26814,32469
39500,26833,32465
39784,26839,32432
39572,26844,32255
38956,26790,32218
38584,26776,32364
38420,26774,32340
38280,26770,32281
37772,26772,32167
37020,26789,32124
36332,26823,32239
35740,26821,32228
35232,26834,32072
34836,26823,32199
34472,26798,32132
34172,26779,32142
33788,26771,32076
33316,26765,31973
32869,26781,32108
32464,26804,32072
32140,26823,32007
31936,26834,32064
31860,26837,31872
31800,26820,31860
31764,26801,31845
31744,26789,31884
31740,26768,31879
31720,26772,31807
31656,26788,31788
31600,26797,31782
31528,26824,31769
31472,26828,31769
31485,26834,31751
31508,26820,31743
31548,26796,31800
31588,26789,31745
31653,26772,31758
31644,26773,31703
31546,26783,31704
31520,26793,31697
31440,26822,31711
31364,26837,31775
31396,26836,31785
31472,26826,31820
31556,26801,31800
31604,26781,31792
31636,26766,31684
31596,26766,31584
31564,26783,31572
31536,26799,31557
31464,26818,31536
31454,26839,31520
31472,26833,31511
31560,26824,31641
31605,26805,31527
31664,26782,31592
31728,26772,31526
31748,26764,31381
31708,26780,31362
31636,26798,31492
31600,26817,31463
31533,26839,31425
31568,26832,31325
31638,26823,31396
31592,26799,31221
31636,26789,31188
31680,26770,31303
31708,26761,31249
31692,26785,31209
31644,26804,31214
31604,26817,31134
31557,26831,31181
31572,26833,31210
31600,26823,31012
31633,26805,31173
31668,26787,31153
31740,26768,31133
31676,26769,31124
31600,26781,31100
31508,26792,31156
31465,26823,31012
31440,26839,31024
31448,26831,31077
31436,26824,31118
31452,26812,31132
31468,26788,30992
