ECG,EDA,RR
32649,24019,44492
32688,24014,44455
32821,24009,44391
32916,23980,44332
32960,23972,44215
32980,23957,44085
32980,23949,44001
32948,23972,43816
32924,23983,43753
32884,23996,44006
32832,24014,43963
32833,24018,43901
32862,23994,43809
32932,23983,43680
32976,23973,43620
32980,23943,43621
32908,23954,43572
32840,23951,43373
32792,23975,43119
32748,23991,43399
32740,24006,43247
32756,23997,43084
32788,23992,43199
32825,23966,43047
32856,23948,42928
32900,23939,42814
32876,23943,42537
32845,23956,42473
32824,23967,42767
32780,23989,42626
32728,23998,42498
32728,23996,42469
32812,23991,42493
32849,23956,42484
32880,23943,42289
32880,23925,42128
32780,23932,41965
32716,23948,41765
32652,23953,41735
32612,23981,41975
32576,24007,41905
32588,23992,41797
32656,23982,41717
32704,23959,41615
32748,23943,41713
32792,23922,41604
32788,23930,41317
32688,23928,41431
32598,23958,41229
32549,23967,41423
32448,23986,41197
32404,23977,40796
32268,23982,40996
32088,23956,41141
31908,23925,40895
31764,23921,40724
31670,23923,40836
31636,23936,40702
31596,23962,40692
31644,23961,40756
31764,23983,40676
32048,23973,40522
32364,23963,40325
32752,23948,40063
33272,23936,40309
33821,23909,40240
34260,23911,40156
34728,23923,40008
35228,23940,40030
35952,23977,40098
36560,23965,39925
37124,23977,39809
37572,23977,39509
37761,23929,39772
37408,23920,39671
36792,23934,39742
36340,23903,39621
36157,23927,39295
35904,23935,39468
35484,23963,39359
35244,23959,39480
35112,23959,39441
34924,23964,39337
34724,23929,39037
34449,23905,38948
34128,23903,39137
33784,23892,39012
33436,23916,38980
33096,23940,39064
32728,23943,38919
32432,23968,38764
32216,23972,38537
32060,23943,38801
31976,23934,38765
31912,23920,38599
31868,23897,38764
31781,23909,38607
31676,23901,38500
31616,23931,38260
31548,23950,38508
31478,23956,38343
31540,23963,38461
31552,23943,38181
31542,23932,38357
31536,23913,38292
31588,23895,38399
31564,23893,38300
31504,23904,38074
31488,23927,38234
31452,23953,38189
31410,23964,38055
31428,23945,38229
31496,23945,38023
31556,23928,37993
31621,23902,37765
31644,23888,38023
31637,23891,37895
31600,23902,38063
31601,23924,37944
31620,23941,37648
31616,23951,37655
31600,23956,37866
31652,23951,37820
31636,23920,37749
31632,23909,37700
31660,23900,37733
31636,23888,37483
31576,23906,37653
31548,23930,37613
31540,23940,37639
31546,23958,37397
31553,23950,37517
31608,23942,37441
31668,23926,37308
31709,23902,37396
31728,23897,37420
31740,23895,37300
31740,23900,37166
31664,23919,36956
31656,23946,37176
31652,23953,37151
31676,23954,37101
31720,23948,37026
31722,23929,36921
31740,23910,36997
31764,23901,37054
31756,23888,36999
31780,23904,36812
31756,23937,36719
31704,23957,36860
31692,23959,36719
31705,23960,36860
31772,23960,36692
31764,23924,36658
31788,23923,36478
31812,23923,36720
31774,23903,36581
31752,23921,36671
31708,23932,36708
31684,23961,36560
31638,23972,36383
31597,23974,36595
31584,23967,36589
31645,23944,36649
31700,23931,36656
31720,23919,36656
31740,23926,36649
31700,23925,36593
31652,23946,36615
31620,23964,36463
31588,23990,36550
31608,23978,36545
31612,23969,36557
31628,23960,36500
31656,23948,36448
31680,23921,36311
31672,23927,36436
31612,23956,36377
31604,23967,36471
31564,23991,36357
31540,23993,36221
31592,24006,36340
31688,23985,36285
31760,23975,36428
31796,23966,36236
31820,23943,36060
31792,23951,36301
31744,23954,36256
31676,23973,36178
31656,24000,36263
31628,24030,36341
31672,24014,36231
31758,24013,36206
31828,23999,36125
31912,23983,36117
31968,23957,35965
31989,23962,35953
31981,23983,36181
32000,23994,36182
32000,24024,36176
31992,24039,36173
32024,24050,36148
32096,24026,36045
32184,24016,36148
32316,24006,36198
32400,23976,36129
32400,23989,36036
32408,24005,35977
32432,24012,35857
32436,24044,36050
32456,24056,36067
32508,24060,36005
32576,24064,35807
32644,24040,36023
32692,24027,36015
32752,24004,35998
32748,24013,35965
32720,24029,35929
32724,24057,35884
32692,24062,35991
32672,24092,35876
32712,24105,35751
32772,24078,35854
32844,24071,35864
32876,24065,35831
32900,24037,35732
32884,24036,35748
32861,24071,35832
32841,24077,35686
32812,24100,35621
