ECG,EDA,RR
32652,24422,38062
32684,24400,38174
32684,24382,38303
32724,24369,38100
32732,24351,38145
32716,24356,38033
32684,24371,38057
32714,24400,37884
32676,24418,37678
32714,24412,37849
32716,24401,37895
32788,24407,37676
32844,24378,37700
32924,24352,37535
32924,24343,37660
32878,24365,37422
32796,24367,37460
32724,24380,37393
32608,24409,37350
32568,24418,37206
32570,24407,37217
32588,24389,37052
32594,24366,37055
32588,24337,36805
32684,24306,36949
32677,24349,36761
32640,24353,36879
32657,24371,36645
32629,24400,36437
32634,24407,36644
32652,24392,36456
32720,24375,36588
32772,24366,36399
32780,24335,36172
32748,24317,36368
32640,24344,36207
32629,24352,36350
32654,24367,36140
32632,24383,36207
32608,24404,36142
32616,24388,36188
32685,24364,36151
32720,24354,36061
32740,24327,35872
32712,24311,35997
32676,24338,35944
32652,24349,35820
32612,24369,35965
32580,24378,35771
32557,24390,35615
32576,24384,35790
32633,24365,35839
32688,24344,35648
32740,24322,35724
32764,24317,35718
32736,24334,35623
32732,24337,35472
32704,24359,35604
32680,24373,35537
32696,24389,35607
32752,24380,35447
32748,24362,35474
32744,24349,35445
32816,24323,35387
32818,24315,35357
32764,24327,35396
32724,24336,35223
32704,24349,35063
32680,24370,35269
32712,24388,35220
32744,24381,35201
32814,24359,35156
32828,24341,34968
32848,24311,35127
32804,24311,35139
32756,24313,34965
32714,24349,34852
32684,24356,35039
32656,24379,34900
32624,24388,35040
32644,24373,34861
32684,24357,34961
32696,24333,34863
32728,24329,34969
32776,24316,34823
32724,24312,34749
32668,24332,34836
32629,24365,34818
32588,24378,34711
32576,24377,34857
32558,24372,34710
32612,24365,34612
32620,24344,34726
32664,24324,34597
32668,24310,34735
32648,24327,34544
32597,24338,34413
32616,24354,34621
32588,24388,34600
32624,24387,34535
32684,24377,34621
32817,24359,34513
32912,24324,34327
32972,24325,34500
32976,24319,34484
32968,24325,34455
32950,24352,34293
32901,24372,34430
32860,24391,34288
32864,24389,34361
32904,24385,34230
32920,24362,34354
32994,24364,34228
33044,24340,34370
33060,24332,34311
33020,24325,34189
32956,24356,34148
32940,24364,34139
32936,24382,34037
32900,24391,34223
32924,24401,34197
32984,24380,34230
33008,24355,34117
32992,24357,34015
32964,24341,34164
32950,24344,34078
32908,24357,34190
32872,24372,33988
32816,24388,34095
32792,24415,34062
32806,24403,33945
32844,24388,34037
32854,24371,33892
32904,24355,34005
32917,24342,33962
32872,24351,33892
32804,24359,33968
32740,24388,33807
32701,24405,33749
32688,24413,33789
32694,24415,33916
32752,24391,33853
32800,24384,33687
32830,24357,33799
32828,24345,33760
32807,24349,33742
32780,24380,33608
32716,24399,33508
32628,24422,33612
32564,24428,33716
32496,24421,33472
32376,24407,33586
32137,24389,33645
31976,24370,33561
31836,24360,33520
31768,24364,33438
31684,24394,33292
31620,24408,33452
31636,24428,33490
31780,24440,33287
31924,24431,33216
32192,24430,33381
32668,24400,33287
33088,24385,33388
33748,24377,33234
34528,24360,33153
35344,24407,33285
36432,24417,33336
37585,24444,33085
38320,24450,33151
39064,24439,33298
39476,24455,33092
39400,24433,33219
38864,24400,33105
38232,24389,33052
37812,24388,33173
37600,24428,33125
37336,24433,33197
36760,24450,32994
36140,24455,33124
35688,24450,33061
35268,24439,32941
34904,24439,33067
34508,24420,33031
34148,24403,33000
33752,24405,33077
33284,24427,32807
32852,24450,32986
32484,24465,32945
32172,24475,32839
31984,24476,32861
31860,24471,32921
31768,24450,32804
31714,24428,32928
31672,24417,32727
31604,24416,32856
31500,24447,32733
31421,24461,32832
31384,24484,32644
31340,24496,32791
31352,24493,32775
31364,24487,32735
31390,24471,32631
31404,24445,32752
31392,24439,32670
31372,24441,32783
31336,24467,32622
31332,24482,32576
31296,24500,32717
31276,24508,32775
31340,24517,32637
31420,24500,32729
31456,24492,32661
31516,24468,32679
31540,24452,32575
31516,24460,32703
31492,24487,32751
31478,24496,32571
31460,24523,32695
31420,24535,32631
31432,24533,32671
31461,24517,32580
31592,24502,32456
31672,24485,32616
31652,24474,32630
31580,24476,32544
31544,24492,32436
31508,24517,32581
31468,24539,32484
31452,24556,32581
31488,24559,32464
31544,24534,32356
31604,24527,32484
31664,24515,32422
31732,24494,32385
31712,24506,32468
31692,24516,32354
31688,24536,32236
31692,24564,32196
31696,24579,32324
31717,24569,32373
31788,24561,32180
31840,24549,32319
31901,24523,32287
31916,24515,32128
31876,24521,32263
31832,24537,32145
31804,24566,32266
31776,24582,32082
31756,24590,32049
31792,24593,32226
31812,24586,32196
31861,24570,32020
31852,24548,32195
31840,24536,32117
31856,24544,32135
31824,24564,32010
31796,24589,32186
31732,24607,32084
31716,24629,32189
31725,24621,32021
31752,24607,32177
31796,24592,32169
31860,24565,32060
31860,24558,32041
31805,24574,32152
31692,24591,32192
31716,24607,32007
31680,24628,32148
31644,24634,32206
31644,24642,32024
31680,24633,32017
31692,24625,32008
31765,24589,32196
31801,24583,32166
31764,24596,32119
31720,24607,32216
31697,24629,32037
31692,24659,32169
31680,24671,32224
31728,24663,32220
31778,24653,32087
31829,24646,32065
31852,24615,32245
31892,24610,32229
31920,24616,32158
31920,24632,32288
31936,24659,32138
31960,24651,32116
31968,24692,32105
32024,24688,32295
32120,24693,32209
32228,24657,32325
32312,24645,32257
32356,24629,32166
32416,24637,32324
32422,24661,32226
32436,24681,32345
32436,24703,32391
32464,24721,32198
32560,24716,32373
32680,24701,32258
32772,24682,32409
32868,24676,32358
32920,24660,32232
32920,24664,32396
32892,24679,32312
32872,24697,32397
32896,24739,32252
32904,24742,32393
32956,24738,32469
33024,24723,32288
33082,24706,32285
33148,24708,32425
33172,24680,32402
33148,24687,32316
33116,24702,32466
33112,24725,32476
