ECG,EDA,RR
33118,22418,28740
33046,22436,28773
32980,22479,28626
32985,22480,28764
33004,22465,28756
33084,22447,28725
33144,22444,28667
33212,22405,28748
33292,22393,28737
33255,22416,28601
33188,22425,28750
33132,22435,28788
33056,22461,28596
33016,22460,28647
32992,22452,28765
33008,22457,28724
33112,22429,28676
33168,22401,28631
33204,22388,28740
33180,22408,28784
33104,22415,28744
33049,22419,28613
32992,22441,28789
32928,22470,28703
32952,22469,28780
33024,22436,28623
33078,22409,28636
33124,22390,28806
33160,22375,28718
33156,22403,28780
33080,22404,28661
32972,22421,28820
32880,22433,28769
32824,22436,28788
32844,22436,28824
32896,22425,28721
32949,22420,28709
33052,22383,28823
33076,22372,28745
33008,22373,28828
32960,22414,28719
32896,22424,28823
32816,22433,28671
32756,22434,28822
32741,22438,28791
32697,22415,28718
32596,22396,28836
32444,22373,28835
32288,22369,28676
32156,22367,28821
32056,22396,28860
31924,22414,28679
31824,22432,28828
31848,22437,28768
31996,22431,28841
32204,22415,28702
32400,22389,28830
32776,22391,28745
33302,22364,28870
33910,22361,28692
34568,22372,28854
35328,22393,28769
36284,22438,28836
37193,22445,28758
37964,22433,28804
38724,22426,28847
39120,22383,28772
39125,22352,28749
38788,22348,28868
38424,22409,28885
38188,22397,28749
37960,22407,28841
37348,22420,28870
36558,22414,28788
35918,22411,28814
35412,22399,28768
34996,22386,28836
34624,22374,28812
34252,22360,28845
33840,22352,28918
33408,22363,28826
32944,22383,28864
32560,22406,28810
32300,22408,28980
32116,22397,28945
32000,22382,28820
31960,22364,28993
31944,22367,29022
31924,22347,28841
31880,22337,28989
31808,22351,29012
31728,22364,28846
31640,22385,29008
31580,22397,29010
31540,22386,28860
31585,22378,29005
31624,22356,29016
31664,22353,28876
31680,22344,29014
31636,22346,28957
31576,22350,29057
31540,22372,29022
31484,22388,28900
31452,22396,28914
31500,22389,29072
31568,22394,29036
31620,22367,29117
31684,22336,29076
31732,22325,28950
31716,22316,29112
31677,22332,29020
31636,22348,29074
31596,22388,29140
31608,22401,29103
31640,22388,28999
31690,22375,29036
31768,22344,29174
31822,22337,29206
31852,22316,29061
31852,22309,29164
31820,22324,29221
31789,22354,29074
31732,22375,29128
31764,22370,29159
31772,22372,29077
31840,22356,29224
31912,22335,29260
31940,22342,29062
31941,22321,29222
31964,22311,29135
31920,22331,29102
31897,22336,29085
31844,22356,29106
31816,22375,29014
31828,22361,29143
31874,22352,29089
31896,22343,29149
31916,22317,29120
31972,22294,28965
31980,22296,29111
31924,22309,29065
31880,22327,29105
31832,22343,29124
31820,22359,28982
31874,22356,29065
31912,22340,28927
31944,22333,28973
