ECG,EDA,RR
32532,9132,31454
32396,9228,31670
32240,9252,31650
32328,9255,31525
32546,9251,31569
32756,9287,31620
32808,9256,31649
32824,9188,31484
32752,9218,31437
32693,9268,31430
32604,9318,31428
32477,9276,31620
32368,9328,31597
32414,9301,31629
32573,9164,31612
32782,9228,31590
32976,9186,31589
33044,9235,31486
32832,9308,31423
32592,9281,31417
32492,9304,31420
32472,9284,31540
32424,9358,31560
32448,9245,31406
32505,9162,31408
32728,9149,31394
32960,9141,31476
33072,9109,31535
33008,9131,31588
32824,9114,31602
32624,9278,31444
32528,9268,31329
32572,9335,31393
32676,9276,31473
32764,9317,31400
32856,9275,31415
32960,9290,31400
32936,9254,31312
32893,9313,31306
32776,9218,31415
32601,9152,31580
32436,9152,31444
32492,9308,31284
32634,9282,31388
32744,9174,31348
32860,9135,31312
32946,9135,31381
32894,9100,31525
32704,9157,31521
32592,9215,31543
32540,9206,31524
32434,9243,31556
32420,9253,31522
32524,9225,31461
32708,9232,31308
32877,9210,31303
32956,9247,31479
32924,9300,31508
32889,9270,31524
32836,9307,31414
32740,9157,31508
32412,9180,31471
32204,9169,31484
32324,9229,31407
32620,9234,31389
32784,9236,31312
32968,9263,31300
33088,9197,31292
33016,9301,31432
32865,9239,31460
32688,9157,31491
32577,9139,31497
32540,9164,31485
32612,9251,31204
32684,9288,31200
32752,9132,31305
32734,9125,31202
32692,9098,31190
32649,9124,31196
32504,9108,31221
32320,9297,31337
32136,9290,31340
32164,9246,31232
32400,9263,31262
32660,9236,31383
32924,9237,31351
33196,9213,31372
33304,9225,31416
33252,9287,31380
33156,9256,31365
33000,9295,31422
32840,9303,31381
32776,9307,31148
32762,9322,31250
32740,9273,31156
32760,9303,31261
32870,9297,31197
32908,9280,31273
32857,9274,31404
32764,9239,31206
32704,9265,31281
32436,9323,31367
32224,9332,31237
32237,9268,31239
32440,9309,31288
32693,9287,31199
32908,9245,31264
33068,9229,31296
33068,9202,31293
32952,9245,31278
32732,9249,31288
32512,9285,31292
32400,9324,31279
32452,9141,31228
32728,9150,31239
32964,9115,31285
33084,9119,31295
33048,9094,31281
32988,9172,31298
32868,9213,31263
32752,9234,31200
32574,9239,31270
32480,9250,31265
32460,9235,31136
32584,9253,31226
32796,9301,31292
32984,9245,31176
33008,9112,31268
32966,9160,31255
32904,9201,31160
32796,9216,31108
32708,9236,31209
32680,9242,31234
32544,9240,31236
32484,9214,31337
32676,9217,31244
32953,9186,31372
32940,9198,31383
32748,9215,31308
32624,9255,31194
32504,9252,31212
32484,9257,31332
32556,9237,31324
32749,9248,31286
32968,9213,31281
33064,9236,31261
33060,9212,31236
33032,9233,31166
32816,9242,30972
32524,9257,31239
32384,9321,31260
32333,9248,31231
32340,9163,31212
32386,9154,31105
32622,9190,31124
32850,9189,31079
32970,9202,31254
32924,9201,31322
32816,9230,31364
32664,9230,31228
32500,9277,31349
32360,9283,31221
32372,9190,31140
32553,9217,31026
32692,9161,31072
32768,9186,31143
32776,9179,31120
32812,9174,31140
32766,9155,31148
32776,9191,31128
32688,9223,31161
32544,9237,31132
32568,9222,31193
32684,9251,31201
32852,9224,31220
32944,9221,31224
33048,9197,31217
33017,9213,31267
32932,9198,31268
32824,9239,31264
32760,9238,31316
32670,9277,31269
32640,9335,31127
32632,9298,31116
32708,9311,31109
32872,9258,31102
33080,9265,31106
33152,9238,31126
33136,9238,31100
33084,9198,31105
32974,9267,31120
32836,9134,31102
32728,9162,30997
32576,9236,31203
32584,9245,31050
32764,9285,31238
33024,9118,30956
33134,9187,31159
33044,9195,31020
32836,9240,31200
32560,9295,31260
32456,9131,30912
32556,9161,31172
32760,9134,31188
32986,9198,31169
33176,9147,31183
33296,9185,31129
33300,9184,31084
33172,9180,31054
32980,9111,31117
32628,9227,31181
32140,9216,31092
31692,9248,31031
31424,9206,31148
31321,9225,31085
31345,9204,31173
31380,9190,31077
31624,9189,30983
32169,9188,31072
33310,9194,31127
34608,9226,31112
35992,9225,31148
37752,9249,30908
39728,9223,31145
41540,9242,31151
42894,9226,31140
43940,9232,31141
44748,9266,30973
44932,9207,31004
43436,9245,31100
41052,9175,31222
39064,9211,31108
37540,9229,31066
36156,9249,31044
35072,9225,31037
34436,9271,30857
34033,9130,31159
33764,9192,31014
33460,9215,30976
33052,9226,30989
32640,9287,31112
32320,9290,31207
32108,9292,31109
31960,9308,30996
31804,9269,30983
31772,9264,30990
31684,9108,31124
31556,9146,31025
31296,9146,31007
31104,9130,30928
31012,9218,31127
31004,9237,31160
31052,9247,31100
31136,9300,31047
31240,9303,31059
31416,9240,30967
31560,9252,30894
31488,9096,30853
31246,9116,30832
31042,9111,30850
30964,9138,30677
31008,9207,30940
31069,9238,30927
31148,9208,30928
31340,9267,30756
31509,9274,30964
31680,9243,30889
31781,9253,30796
31764,9089,30621
31612,9126,30628
31432,9149,30881
31288,9152,30889
31352,9230,30901
31484,9223,30888
31576,9219,30865
31628,9238,30740
31756,9278,30820
31737,9201,30909
31700,9123,30948
31616,9184,30940
31568,9214,30878
31484,9266,30595
31508,9305,30855
31599,9286,30839
31648,9249,30795
31692,9294,30798
31640,9216,30695
31604,9111,30695
31644,9137,30842
31740,9202,30839
31744,9195,30788
31685,9229,30758
31612,9223,30672
31496,9253,30664
31461,9306,30601
31604,9229,30535
31852,9117,30709
32042,9108,30718
32097,9180,30720
32056,9188,30703
31964,9189,30660
31672,9140,30665
31524,9164,30658
31633,9229,30593
31816,9216,30552
31876,9191,30520
31950,9233,30683
31932,9264,30622
31924,9236,30476
31897,9122,30551
31884,9111,30562
31824,9209,30565
31860,9223,30520
31941,9229,30513
32000,9219,30512
32122,9200,30521
32276,9190,30500
32312,9188,30214
32192,9165,30465
32144,9220,30466
32172,9303,30456
32216,9130,30417
32272,9149,30424
32400,9206,30400
32536,9223,30312
32664,9201,30313
32777,9223,30456
32836,9233,30356
32756,9247,30229
32736,9264,30265
32616,9237,30333
32588,9265,30309
32703,9302,30264
32937,9330,30165
33172,9247,30279
33376,9180,30024
33588,9189,29988
33700,9199,30244
33740,9230,30196
33692,9261,30196
33566,9114,30160
33500,9185,30071
33508,9218,30019
33576,9239,30276
33672,9277,30064
33856,9276,30026
34008,9257,29871
34044,9108,30117
34028,9186,30111
33996,9202,30046
33944,9241,30060
33880,9278,30158
33892,9130,30100
33928,9155,30041
33968,9207,29959
34048,9207,29871
34132,9173,29832
34156,9197,29749
33988,9209,30000
33696,9214,29911
33500,9154,29931
33380,9198,29914
33384,9236,29892
33406,9214,30074
33428,9245,29886
33360,9297,29661
33152,9230,29919
33068,9099,29910
32992,9083,29892
32944,9176,29742
32630,9188,29959
32380,9245,29976
32372,9234,29844
32564,9241,29745
32680,9197,29699
32753,9205,29718
32784,9176,29739
32712,9198,29798
32508,9187,29826
32204,9224,29810
31942,9213,29814
31776,9257,29780
31660,9291,29623
31672,9278,29684
31780,9260,29720
32001,9270,29799
32268,9250,29863
32364,9230,29860
32374,9199,29607
32376,9271,29774
32392,9307,29745
32364,9224,29754
32188,9153,29777
32164,9136,29574
32092,9274,29678
32096,9215,29708
32112,9116,29684
32188,9180,29690
32284,9242,29703
32300,9201,29703
32265,9312,29700
32188,9271,29702
32168,9305,29688
32172,9219,29702
32256,9139,29686
32368,9209,29692
32335,9265,29545
32272,9224,29599
32249,9192,29622
32228,9193,29646
32128,9197,29806
32020,9151,29604
31996,9188,29620
32116,9148,29527
32248,9220,29532
32380,9290,29633
32552,9225,29532
32636,9249,29529
32616,9263,29540
32508,9271,29624
32384,9241,29601
32172,9303,29542
31980,9285,29638
31928,9265,29671
32032,9118,29685
32149,9185,29696
32360,9180,29736
32549,9185,29681
32448,9162,29641
32268,9202,29721
32233,9202,29770
32268,9198,29725
32312,9137,29608
32320,9151,29701
32240,9160,29749
32304,9188,29735
32600,9188,29597
32808,9141,29655
32792,9084,29732
32732,9246,29662
32641,9273,29481
32529,9274,29484
32445,9257,29628
32360,9299,29640
32332,9262,29624
32526,9215,29428
32684,9237,29373
32652,9226,29632
32476,9138,29612
32380,9110,29620
32392,9147,29615
32356,9148,29597
32336,9127,29340
32312,9151,29335
32393,9139,29606
32552,9117,29582
32568,9124,29600
32540,9139,29560
32532,9181,29452
32570,9191,29596
32584,9188,29703
32512,9229,29703
32456,9231,29500
32524,9234,29560
32652,9206,29597
32800,9177,29697
32904,9140,29703
32892,9161,29710
32776,9143,29685
32673,9147,29667
32604,9206,29726
32529,9216,29657
32416,9208,29642
32412,9222,29692
32492,9207,29701
32528,9196,29701
32556,9169,29656
32648,9184,29703
32720,9160,29601
32781,9223,29538
32692,9242,29514
32468,9266,29535
32356,9308,29400
32440,9267,29632
32638,9263,29636
32892,9220,29613
33088,9168,29412
33180,9183,29494
33052,9158,29625
32816,9199,29637
32640,9182,29629
32536,9225,29380
32512,9210,29602
32556,9222,29639
32668,9198,29622
32796,9212,29556
32920,9189,29476
32968,9180,29559
32924,9196,29718
32644,9267,29560
32300,9284,29521
32208,9281,29441
32312,9302,29361
32496,9226,29584
32628,9265,29494
32800,9095,29725
33044,9180,29605
33137,9175,29537
33032,9179,29361
32901,9194,29613
32784,9247,29575
32668,9281,29588
32672,9305,29480
32724,9284,29693
32788,9288,29683
32900,9251,29696
33016,9233,29695
33048,9238,29634
32966,9246,29544
32840,9281,29486
32704,9241,29380
32506,9309,29476
32261,9274,29479
32240,9277,29461
32484,9104,29312
32857,9134,29564
33032,9167,29571
32976,9185,29559
32984,9160,29530
32953,9221,29540
32888,9313,29576
32768,9139,29319
32736,9221,29541
32688,9205,29551
32644,9243,29502
32780,9207,29384
33064,9233,29562
33200,9243,29575
33148,9158,29428
33084,9193,29543
32892,9244,29401
32752,9228,29625
32748,9191,29496
32828,9237,29536
32936,9258,29479
33024,9205,29647
32992,9212,29317
32910,9270,29531
32924,9119,29428
32994,9197,29633
32928,9236,29470
32856,9296,29277
32780,9255,29526
32784,9158,29501
32825,9247,29580
32948,9244,29401
33103,9120,29535
33089,9193,29517
33040,9217,29380
32944,9266,29637
32830,9223,29366
