ECG,EDA,RR
31892,30556,33689
31724,30516,33647
31832,30504,33584
31872,30505,33524
31641,30533,33394
31860,30559,33354
32204,30580,33311
32344,30598,33409
32160,30588,33380
31724,30573,33333
31893,30541,33303
32208,30511,33239
32222,30499,33150
32224,30493,33153
32296,30520,33045
32405,30552,32965
32340,30572,32996
32040,30583,33052
31840,30585,32989
31892,30564,32948
32148,30519,32937
32550,30485,32756
32840,30484,32781
32952,30484,32797
32904,30508,32689
32840,30539,32645
32780,30585,32673
32744,30576,32681
32788,30572,32613
32796,30555,32601
32856,30513,32585
32944,30484,32404
33080,30481,32354
33216,30488,32449
33272,30506,32395
33257,30532,32407
32996,30566,32367
32992,30582,32252
33200,30573,32296
33316,30537,32140
33364,30519,32095
33424,30471,32068
33513,30471,32177
33576,30485,32084
33552,30504,32087
33536,30528,32092
33544,30567,31929
33568,30572,31876
33472,30569,31848
33245,30536,31943
33300,30505,31964
33423,30470,31916
33442,30470,31924
33088,30469,31751
32964,30492,31799
33117,30533,31864
33080,30543,31849
33028,30565,31761
33004,30559,31776
32900,30533,31802
32766,30504,31684
32648,30471,31604
32704,30455,31660
32868,30466,31678
32704,30488,31681
32288,30527,31672
32208,30557,31541
32200,30567,31552
32348,30543,31609
32496,30535,31593
32148,30501,31580
32160,30461,31516
32556,30452,31550
32760,30459,31540
32776,30488,31432
32780,30509,31382
32700,30542,31398
32552,30561,31469
32492,30550,31404
32496,30520,31430
32584,30495,31314
32748,30436,31263
32816,30445,31370
32772,30454,31388
32704,30480,31341
32608,30505,31359
32516,30543,31260
32436,30562,31207
32352,30537,31270
32396,30513,31301
32464,30500,31343
32416,30450,31260
32336,30442,31212
32436,30444,31342
32600,30481,31305
32604,30495,31286
32592,30536,31296
32624,30543,31338
32556,30546,31196
32548,30516,31220
32624,30481,31204
32692,30432,31186
32696,30429,31186
32557,30440,31190
32367,30462,31189
32152,30501,31172
32048,30533,31196
32140,30543,31188
32296,30534,31145
32540,30498,31292
32604,30470,31239
32364,30445,31303
32464,30437,31175
32836,30436,31172
33008,30467,31284
32989,30492,31262
32928,30527,31239
32868,30529,31273
32808,30524,31197
32724,30498,31180
32664,30464,31260
32685,30432,31273
32758,30430,31237
32849,30424,31268
32896,30453,31263
32848,30490,31164
32696,30524,31105
32484,30529,31109
32164,30527,31108
31936,30498,31084
31813,30452,31225
32310,30432,31189
32900,30423,31225
