ECG,EDA,RR
32532,34821,32712
32464,34823,32653
32485,34812,32718
32616,34788,32751
32692,34756,32741
32708,34734,32820
32628,34748,32871
32656,34761,32880
32692,34805,32917
32590,34853,32904
32509,34887,32957
32532,34909,32964
32632,34880,32911
32652,34823,32984
32690,34808,32937
32736,34778,33053
32753,34798,33055
32768,34823,33031
32686,34860,33092
32616,34908,33103
32606,34941,33148
32696,34959,33085
32712,34941,33188
32656,34895,33167
32664,34868,33231
32752,34823,33156
32757,34868,33253
32736,34893,33220
32688,34935,33287
32628,34959,33287
32596,35017,33333
32632,35015,33337
32672,35000,33237
32724,34961,33348
32772,34937,33311
32836,34913,33393
32908,34916,33415
32921,34958,33436
32784,34980,33440
32736,35037,33357
32729,35079,33444
32728,35057,33352
32720,35061,33496
32781,35031,33524
32834,34985,33521
32874,34973,33543
32832,34961,33495
32688,35020,33561
32468,35054,33532
32108,35113,33516
31620,35133,33580
31344,35137,33548
31200,35088,33607
31048,35092,33578
30968,35063,33660
31072,35045,33621
31428,35039,33678
32160,35097,33708
33544,35108,33602
35232,35157,33695
37076,35188,33636
38968,35180,33732
41044,35152,33746
42996,35124,33665
44500,35097,33740
45408,35079,33652
45464,35087,33740
44108,35116,33660
41476,35161,33785
38996,35216,33752
37428,35241,33788
36278,35264,33735
35132,35246,33828
34220,35212,33829
33804,35185,33751
33604,35157,33785
33336,35173,33748
32984,35183,33756
32672,35249,33813
32392,35281,33752
32116,35329,33828
31872,35335,33828
31732,35316,33826
31632,35277,33824
31500,35236,33732
31344,35229,33799
31232,35207,33688
31124,35279,33740
31096,35316,33713
31108,35349,33745
31132,35399,33720
31112,35392,33649
31128,35377,33590
31140,35340,33621
31072,35302,33493
31093,35288,33565
31080,35304,33492
31036,35335,33561
31092,35369,33448
31128,35431,33472
31168,35458,33356
31196,35453,33465
31244,35439,33428
31384,35399,33321
31469,35335,33381
31492,35357,33260
31464,35371,33338
31360,35399,33372
31280,35425,33332
31244,35487,33346
31180,35520,33310
31196,35504,33330
31249,35502,33236
31352,35463,33296
31465,35428,33204
31540,35399,33284
31572,35417,33210
31536,35431,33312
31416,35503,33304
31368,35532,33303
31328,35568,33192
31257,35575,33271
31356,35534,33159
31408,35512,33260
31488,35481,33175
31524,35463,33239
31520,35476,33127
31564,35509,33180
31608,35544,33205
31628,35591,33100
31648,35605,33137
31713,35609,33068
31752,35591,33083
31788,35540,33095
31809,35493,32958
31812,35519,33023
31720,35524,32962
31736,35559,32900
31816,35603,32940
31856,35628,32933
31900,35660,32876
31988,35671,32844
32024,35653,32740
32048,35608,32768
32044,35581,32666
32026,35569,32705
32028,35588,32630
32060,35613,32660
32078,35654,32612
32100,35690,32489
32152,35716,32528
32244,35726,32453
32325,35703,32476
32364,35679,32422
32464,35630,32329
32536,35620,32300
32533,35600,32346
32588,35650,32293
32584,35661,32240
32592,35749,32161
32572,35773,32196
32570,35766,32181
32708,35741,32116
32840,35717,32097
32897,35680,32099
33008,35662,32030
33070,35669,31992
33192,35703,32012
33264,35751,32004
33356,35804,31972
33360,35827,31952
33332,35837,31869
33380,35807,31892
33472,35777,31801
33576,35724,31841
33740,35719,31785
33864,35732,31813
33936,35763,31786
33925,35800,31724
34016,35843,31694
34128,35899,31716
34256,35892,31702
34332,35864,31620
34416,35832,31677
34520,35796,31631
34572,35784,31588
34636,35797,31600
34724,35829,31588
34744,35874,31548
34785,35899,31563
34814,35932,31521
34864,35941,31516
34926,35916,31521
34852,35860,31506
34780,35858,31484
34741,35805,31461
34624,35837,31398
34425,35878,31441
34292,35914,31432
34172,35965,31426
34048,35996,31407
33884,35975,31405
33696,35980,31388
33512,35943,31380
33388,35912,31361
33272,35898,31346
33172,35904,31293
33004,35935,31336
32854,35972,31341
32660,36018,31282
32492,36044,31311
32398,36044,31304
32288,36023,31267
32180,36000,31289
32136,35948,31289
32080,35948,31281
32004,35967,31264
31968,35983,31268
31876,36034,31223
31780,36084,31268
31692,36103,31258
31653,36100,31263
31624,36061,31205
31530,36053,31238
31448,36004,31196
31420,35972,31228
31364,35989,31193
31372,36035,31229
31364,36080,31228
31356,36125,31164
31380,36145,31209
31388,36150,31160
