ECG,EDA,RR
32668,30103,20967
32692,30119,21088
32608,30117,21058
32772,30111,21104
32864,30087,21119
32700,30055,21194
32604,30037,21201
32708,30038,21196
32808,30045,21326
32772,30066,21274
32688,30071,21314
32756,30103,21304
32788,30101,21448
32544,30086,21344
32512,30071,21414
32660,30037,21412
32656,30017,21537
32756,30020,21466
32688,30028,21477
32804,30055,21602
32778,30080,21534
32800,30084,21540
32896,30094,21557
32916,30073,21565
32848,30058,21663
32768,30030,21592
32781,30013,21615
32828,30007,21673
32893,30022,21686
32792,30036,21667
32752,30052,21639
32768,30068,21652
32608,30065,21765
32754,30058,21676
32782,30031,21669
32766,30004,21674
32968,29976,21727
32884,29980,21742
32788,29993,21689
32842,29996,21720
32713,30038,21691
32829,30049,21754
33036,30048,21700
32865,30028,21732
32741,30013,21697
32789,29985,21796
32916,29965,21762
33004,29967,21688
32968,29985,21716
32672,30001,21688
32840,30024,21765
32748,30044,21719
32856,30044,21684
32841,30029,21684
32836,30004,21776
32734,29958,21716
32804,29951,21698
32700,29959,21665
32416,29959,21665
32204,29988,21753
32049,30008,21686
31753,30031,21681
31200,30033,21680
30952,29996,21646
30960,29977,21673
31236,29951,21636
31648,29932,21703
32252,29937,21660
33220,29952,21612
34424,29977,21660
35724,29990,21661
37364,30008,21604
38916,30012,21604
40280,30017,21696
41208,29996,21594
42140,29956,21588
43325,29954,21700
43480,29937,21575
42428,29953,21600
40704,29995,21586
39390,30008,21692
38512,30021,21596
37172,30008,21632
35976,29993,21604
35000,29969,21617
34444,29937,21719
33853,29919,21704
33416,29919,21644
32888,29925,21649
32536,29950,21658
32108,29973,21684
31914,29992,21772
31660,29988,21692
31408,29981,21677
31380,29947,21692
31392,29935,21739
31324,29904,21721
31280,29908,21818
31212,29932,21728
31112,29949,21757
31133,29951,21789
31200,29960,21847
31248,29968,21749
31172,29965,21761
31196,29939,21846
31180,29919,21845
31164,29898,21790
30964,29894,21788
30965,29895,21883
31032,29914,21820
30996,29934,21810
30976,29956,21879
31104,29944,21823
31361,29951,21861
31396,29903,21884
31400,29878,21905
31325,29868,21944
31408,29867,21913
31244,29886,21952
31264,29911,22004
31112,29936,21985
31208,29935,22004
31340,29927,22105
31508,29923,22036
31460,29889,22087
31581,29861,22132
31473,29854,22201
31424,29855,22176
31480,29865,22184
31380,29881,22266
31261,29909,22235
31224,29926,22280
31282,29927,22351
31548,29910,22312
31649,29895,22342
31612,29866,22442
31448,29844,22395
31460,29824,22433
31421,29848,22525
31420,29867,22473
31584,29896,22496
31641,29924,22582
31500,29905,22516
31560,29892,22549
31576,29871,22633
31577,29839,22586
31440,29826,22592
31521,29826,22672
31584,29830,22666
31628,29858,22649
31676,29894,22639
31526,29902,22729
31436,29911,22662
31535,29861,22671
31664,29855,22749
31656,29821,22696
31600,29807,22684
31628,29816,22769
31704,29826,22697
31556,29845,22716
31509,29881,22701
31540,29903,22734
31560,29890,22724
31740,29878,22716
31692,29863,22709
31796,29824,22770
31918,29805,22722
31728,29809,22721
31732,29829,22708
31904,29836,22698
31973,29862,22732
31868,29870,22769
31944,29871,22713
32193,29860,22672
32364,29841,22692
32416,29804,22674
32204,29797,22717
32016,29801,22704
32125,29802,22665
32364,29822,22652
32204,29856,22681
32352,29871,22668
32497,29870,22627
32644,29845,22608
32752,29820,22657
32912,29788,22661
32952,29776,22583
32957,29777,22597
32908,29794,22581
32941,29816,22553
32865,29831,22536
33008,29849,22573
33164,29844,22600
33142,29838,22585
33168,29815,22502
33317,29790,22476
33356,29783,22497
33312,29777,22501
33344,29788,22452
33356,29809,22456
33384,29830,22420
33280,29841,22463
33208,29840,22425
33252,29831,22411
33372,29805,22373
33248,29780,22358
33176,29766,22399
32908,29766,22396
33008,29769,22312
33000,29792,22304
33084,29805,22317
32965,29824,22271
32840,29829,22260
32756,29810,22329
32804,29779,22238
32796,29759,22218
32676,29756,22228
32552,29750,22193
32612,29767,22168
32476,29789,22241
32254,29805,22127
32388,29813,22131
32540,29804,22095
32236,29789,22144
32180,29764,22148
32261,29741,22073
32312,29722,22023
32372,29733,22022
32280,29735,22026
32216,29763,21996
32236,29783,21999
32240,29804,22044
32240,29804,21945
32408,29789,21932
32288,29764,21903
32172,29744,21938
32314,29724,21910
32288,29724,21844
32268,29727,21860
32440,29748,21808
32424,29772,21846
32340,29791,21812
32284,29791,21759
32256,29774,21748
32285,29757,21717
32388,29726,21729
32484,29700,21767
32572,29702,21659
32426,29703,21642
32364,29728,21701
32484,29756,21636
32424,29765,21615
32596,29762,21565
32592,29760,21660
32584,29731,21596
32604,29710,21541
32424,29684,21488
32524,29688,21571
32532,29698,21461
32516,29718,21450
32504,29747,21396
32416,29764,21462
32368,29768,21412
32221,29749,21344
32328,29718,21312
32540,29692,21288
