ECG,EDA,RR
33870,16927,58028
33924,16962,58476
33940,16989,58533
34004,16983,58569
34152,16953,58556
34304,16988,57928
34372,16955,58477
34468,16917,58545
34533,16889,58476
34416,16904,58468
34181,16943,58384
33876,16970,58473
33786,16999,58365
33940,16993,58424
34200,16976,58285
34376,16939,58392
34496,16896,58296
34536,16880,58277
34464,16946,58284
34380,16918,58196
34224,16933,58159
34032,16952,58247
33921,17033,58188
33756,17005,58148
33664,16982,58044
33568,16936,58020
33381,16924,58097
33200,16957,57956
32900,16914,58036
32712,16916,57516
32665,16936,57924
32577,16965,57796
32424,16982,57732
32450,17071,57772
32548,17041,57772
32548,17015,57740
32568,16967,57477
32544,16941,57661
32456,16932,57520
32336,16919,57447
32080,16937,57479
31800,16964,57396
31696,16976,57396
31688,16978,57260
31748,16968,57332
31776,16940,57222
31874,16907,57196
31924,16885,57025
31852,16885,56989
31892,16903,57016
31944,16932,56921
31964,16975,56873
32000,17004,56878
31961,17001,56788
31884,16983,56781
31740,16946,56217
31660,16921,56577
31645,16908,56573
31520,16910,56580
31260,16930,56392
31133,16946,56455
31149,16967,56110
31404,16984,56344
31560,17039,56297
31812,16989,56117
32076,16967,56180
32156,16928,56065
32176,16903,56071
32105,16902,55472
32041,16928,55892
32044,16951,55903
32044,16985,55732
32132,16999,55736
32180,17011,55623
32308,16994,55679
32492,16944,55604
32492,16977,55496
32484,16936,55389
32372,16924,55447
32232,16917,55248
32184,16938,55229
32104,17055,55196
32156,17022,55158
32189,17006,55029
32340,16971,55047
32388,16953,54936
32288,16986,54978
32161,16956,54876
32186,16959,54775
32184,16965,54764
32104,16962,54572
31996,16979,54636
31837,16987,54565
31849,16993,54532
31998,16978,54375
32196,17030,54292
32268,16990,54288
32184,16969,54277
32260,16939,54112
32508,16927,54084
32640,16954,53612
32656,16987,53940
32488,17008,53905
32428,16997,53887
32528,17040,53631
32496,16981,53750
32368,16949,53700
32292,16932,53597
32260,16933,53472
32232,16933,53479
32304,16961,53449
32428,16996,53408
32436,17012,52798
32476,17012,52916
32640,17012,53124
32852,16981,53101
32968,16942,53078
32965,16932,53103
32872,16924,53028
32646,16940,52988
32452,16974,52864
32393,16990,52879
32412,17005,52828
32191,17087,52512
32044,17035,52700
32012,17022,52660
32144,16969,52678
32376,16975,52615
32544,16965,52605
32624,17007,52508
32676,17006,52416
32712,17024,52416
32764,17030,52408
32680,17039,51844
32592,17001,52264
32508,16977,52293
32516,16949,52231
32512,16933,52128
32445,16948,52124
32413,16948,52079
32372,16965,52091
32360,17010,52042
32312,17037,51998
32361,17039,51988
32496,17017,51940
32620,17004,51860
32728,16976,51636
32750,16961,51732
32660,16964,51820
32436,16974,51805
32436,16984,51709
32512,17062,51648
32724,17059,51710
32860,17039,51631
32828,17009,51684
32796,16988,51567
32804,16961,51588
32756,16999,51236
32677,16981,51526
32632,16971,51471
32644,16989,51548
32456,17002,51393
32348,17097,51503
32240,17075,51389
32320,17047,51463
32472,17017,50920
32572,16960,51290
32680,16940,51408
32696,16942,51356
32716,16960,51245
32748,16981,51316
32788,17012,51321
32821,17039,51283
32944,17040,51236
33060,17095,51204
33104,17061,51207
33044,17007,51199
32940,16974,51103
32936,16961,51181
32968,16978,51116
32936,17004,51092
32793,17036,51114
32630,17060,50944
32524,17063,51063
32590,17046,51028
32640,17021,50964
32717,16998,50972
32828,16972,50956
32888,16964,50940
32888,16995,50861
32928,17039,50909
32936,17050,50833
32936,17048,50620
32740,17057,50770
32564,17122,50776
32328,17049,50772
32000,17007,50604
31788,16965,50677
31588,17040,50684
31300,17036,50437
30794,17045,50628
30612,17068,50496
30765,17097,50564
31374,17071,50103
32660,17066,50496
34366,17020,50395
36136,16991,50377
38096,17060,50381
40084,17020,50310
42012,17012,49836
43544,17044,50300
44456,17047,50173
44612,17185,49796
43536,17108,50164
41212,17088,50177
38952,17037,50005
37545,17010,50071
36444,17047,50055
35304,17028,49880
34540,17024,49959
34104,17041,49957
33824,17091,49493
33548,17108,49855
33333,17092,49735
33088,17080,49796
32789,17073,49701
32548,17041,49663
32194,17003,49652
31900,16997,49628
31726,17028,49308
31604,17040,49565
31508,17081,49469
31434,17090,49500
31376,17083,49223
31236,17069,49391
31228,17080,49368
31220,17028,49175
31232,16993,49237
31128,16992,49197
31148,17069,48888
31132,17062,49112
31196,17077,48980
31308,17109,49016
31408,17095,48568
31460,17076,48834
31525,17052,48775
31604,17093,48812
31601,17031,48671
31444,17018,48679
31354,17033,48647
31356,17063,48616
31429,17088,48245
31524,17107,48413
31700,17119,48508
31792,17093,48428
31904,17059,48088
31924,17024,48391
32108,17066,48336
32128,17047,47948
31980,17057,48293
31852,17068,48212
31540,17085,48221
31298,17108,47973
