ECG,EDA,RR
32784,29228,50964
32760,29233,50980
32764,29220,50892
32797,29189,50617
32796,29152,50939
32753,29133,50892
32748,29119,50840
32728,29121,50780
32724,29159,50501
32733,29185,50797
32729,29215,50719
32756,29224,50759
32756,29207,50564
32760,29188,50688
32749,29143,50575
32760,29121,50620
32720,29104,50485
32708,29124,50524
32724,29149,50460
32725,29181,50439
32748,29212,50149
32756,29220,50292
32756,29199,50316
32772,29173,50224
32764,29136,50150
32740,29114,50135
32752,29097,49871
32745,29113,49968
32732,29140,49902
32736,29173,49897
32758,29204,49693
32752,29213,49748
32784,29191,49670
32724,29175,49472
32688,29134,49529
32697,29102,49424
32736,29092,49061
32736,29105,49133
32740,29134,49156
32784,29165,48998
32812,29191,48940
32830,29205,48877
32848,29180,48456
32824,29158,48541
32846,29122,48557
32789,29102,48416
32764,29092,48324
32790,29100,48231
32828,29127,47984
32889,29156,48021
32940,29180,47840
32950,29191,47705
32976,29183,47684
32993,29150,47269
33000,29110,47388
32948,29086,47340
32830,29081,47175
32813,29095,47098
32864,29125,46732
32868,29164,46765
32844,29182,46757
32864,29185,46599
32900,29183,46542
32953,29148,46213
33000,29105,46302
32996,29084,46173
32974,29077,46100
32948,29085,45847
32916,29119,45849
32880,29151,45709
32902,29166,45368
32904,29191,45464
32884,29175,45363
32840,29140,45295
32792,29100,44975
32744,29075,45036
32648,29071,44848
32516,29077,44764
32280,29108,44720
31992,29140,44340
31764,29171,44437
31420,29185,44279
30836,29167,44248
30238,29141,44143
29722,29102,44015
29276,29086,43631
28936,29069,43783
28652,29095,43576
28640,29121,43573
28196,29145,43456
27196,29191,43329
26616,29207,43015
27086,29160,43108
28180,29140,42914
29660,29116,42881
32574,29065,42588
35100,29052,42622
36068,29068,42548
36336,29095,42273
36288,29125,42370
36100,29159,42168
35772,29159,41820
35384,29153,42032
35008,29117,41830
34664,29085,41777
34376,29055,41567
34136,29053,41688
33976,29061,41476
33872,29092,41388
33804,29125,41042
33708,29149,41095
33616,29152,41213
33528,29145,40976
33512,29105,40967
33512,29078,40769
33480,29055,40910
33464,29038,40709
33428,29055,40513
33392,29078,40628
33380,29109,40478
33376,29141,40487
33373,29144,40320
33392,29139,40236
33352,29104,40160
33352,29063,40024
33304,29045,39722
33260,29031,39916
33276,29045,39887
33296,29072,39639
33268,29110,39645
33273,29133,39436
33252,29134,39572
33271,29123,39352
33244,29090,39300
33208,29052,39109
33208,29029,39199
33176,29017,39041
33140,29028,38828
33124,29054,38941
33104,29080,38784
33092,29102,38598
33072,29113,38623
33072,29108,38342
33040,29079,38574
33076,29036,38428
33068,29009,38215
33046,29004,38305
33028,29008,38097
32980,29044,38108
32972,29076,37981
32973,29095,37965
32985,29101,37796
33028,29095,37791
32976,29056,37524
32852,29028,37600
32812,28992,37559
32832,28987,37505
32796,28998,37218
32756,29023,37309
32736,29063,37191
32716,29086,37204
32685,29085,36963
32660,29076,37040
32684,29046,37025
32656,29009,36839
32648,28983,36727
32656,28971,36644
32648,28977,36636
32622,29015,36384
32604,29039,36384
32592,29064,36487
32586,29068,36401
32584,29062,36179
32588,29023,36144
32560,28996,35924
32528,28965,35899
32466,28956,36005
32456,28972,35777
32452,28999,35800
32428,29023,35681
32409,29053,35621
32396,29063,35425
32400,29044,35439
32412,29020,35450
32404,28981,35278
32452,28951,35252
32520,28935,35215
32508,28948,34985
32424,28975,35085
32376,29015,34928
32356,29035,34964
32376,29039,34735
32416,29028,34711
32432,29007,34756
32396,28965,34693
32409,28935,34482
32434,28924,34587
32446,28935,34503
32456,28967,34457
32452,28995,34273
32473,29023,34300
32489,29028,34332
32520,29013,34234
32508,28982,34055
32548,28952,34039
32561,28918,34148
32576,28911,33998
32592,28919,33999
32728,28949,33983
32825,28978,33789
32908,29004,33861
33004,29007,33808
33084,29000,33783
33124,28967,33767
33224,28943,33590
33296,28908,33556
33356,28895,33676
33424,28901,33596
33496,28935,33604
33548,28959,33588
33588,28986,33415
33668,28993,33383
33760,28984,33446
33840,28948,33405
33832,28915,33477
33848,28892,33300
33900,28876,33465
33956,28880,33375
34076,28916,33409
34184,28935,33244
34174,28975,33280
34080,28977,33395
34085,28964,33279
34125,28935,33353
34092,28901,33245
34112,28871,33287
34133,28865,33318
34152,28867,33342
34156,28898,33204
34176,28935,33244
34201,28954,33365
34216,28965,33319
34160,28951,33364
34136,28921,33209
34100,28887,33340
34048,28855,33317
34044,28841,33302
34004,28861,33388
33988,28881,33262
33976,28917,33391
33992,28946,33350
33988,28951,33305
34024,28935,33468
34016,28908,33449
33916,28875,33348
33852,28847,33471
33860,28828,33493
33832,28840,33392
33816,28874,33529
33817,28902,33582
33792,28933,33633
33804,28933,33602
33784,28926,33486
33784,28897,33627
33780,28865,33564
33761,28837,33760
33738,28822,33676
33676,28833,33752
33668,28853,33716
33696,28894,33700
33700,28911,33844
33712,28927,33892
33660,28911,33784
33660,28884,33943
33630,28847,33985
33612,28823,33900
33593,28815,34028
33632,28822,34080
33612,28842,33956
33608,28886,34173
33604,28906,34188
33580,28916,34079
33584,28905,34205
33592,28872,34286
33608,28837,34172
33584,28809,34353
33566,28799,34322
33592,28807,34293
33620,28833,34311
33632,28871,34529
33648,28897,34516
33633,28898,34421
33610,28884,34589
33600,28856,34607
33596,28829,34511
33572,28807,34684
33592,28791,34705
33580,28804,34573
33590,28820,34713
33561,28858,34695
33548,28881,34647
33565,28893,34752
33557,28876,34885
33520,28857,34788
33500,28815,34892
33516,28788,34764
33516,28782,34872
33509,28793,34928
33492,28821,34853
33496,28848,34964
33441,28874,34951
33452,28884,34912
33493,28871,34989
33528,28851,34823
33504,28810,35015
33492,28787,34980
33512,28775,34853
33496,28783,35004
33472,28807,34916
33496,28847,34932
33537,28863,34940
33536,28878,35028
33544,28861,35021
33520,28836,34948
33500,28809,35029
33484,28780,34956
33441,28775,34936
33444,28772,35029
33444,28807,34853
33420,28844,34993
33444,28871,34924
33456,28866,35013
33441,28863,34860
33420,28839,34991
33404,28788,35033
33400,28774,34965
33396,28763,35007
33406,28773,34856
33384,28793,35034
33372,28829,34900
33388,28860,35000
33392,28864,34856
33376,28859,34973
33328,28828,34924
33336,28800,35012
33324,28764,34873
33332,28763,35055
33316,28768,35019
33304,28798,34903
33288,28831,34965
33284,28863,35044
33288,28865,34929
33292,28852,35077
33300,28829,34980
33268,28789,35071
33236,28760,34945
33216,28759,35088
33157,28759,35116
33120,28791,35024
33088,28831,35040
33092,28857,35161
33056,28862,35119
33037,28848,35132
33020,28829,35060
33016,28786,35261
33016,28764,35261
32988,28751,35255
32964,28767,35221
32944,28788,35285
32929,28822,35327
32928,28847,35309
32910,28855,35328
32876,28861,35229
32854,28823,35463
32872,28789,35447
32852,28773,35390
32877,28754,35510
32936,28767,35468
32924,28799,35364
32944,28828,35528
32924,28858,35492
32860,28862,35564
32801,28860,35453
32800,28831,35573
32752,28795,35636
32701,28769,35504
32672,28754,35591
32656,28777,35613
32704,28801,35540
32724,28828,35693
32788,28861,35689
32788,28866,35601
32804,28863,35717
32836,28833,35719
32824,28796,35791
32744,28781,35652
32716,28762,35783
32692,28775,35809
32700,28805,35823
32680,28845,35696
32712,28863,35881
32728,28882,35801
32716,28866,35845
32748,28836,35669
32764,28807,35728
32744,28780,35863
32728,28773,35813
32706,28777,35647
32716,28807,35727
32672,28844,35744
32688,28870,35781
32696,28878,35631
32684,28868,35796
32644,28852,35676
32585,28813,35757
32568,28796,35596
32512,28781,35756
32408,28790,35652
32296,28823,35543
32040,28853,35623
31813,28879,35633
31516,28907,35461
30976,28894,35609
30317,28862,35575
29704,28836,35449
29185,28793,35454
28741,28798,35492
28376,28821,35314
28276,28842,35404
28032,28870,35360
27128,28925,35292
26336,28935,35127
26333,28940,35190
27136,28897,35153
28396,28861,35152
30912,28816,34954
33993,28796,35103
35432,28807,34940
35916,28838,34813
35944,28869,34945
35692,28903,34782
35252,28913,34837
34769,28909,34636
34328,28884,34761
33888,28848,34695
33604,28823,34505
33412,28812,34629
33264,28823,34508
33220,28855,34567
33160,28889,34397
33028,28919,34557
32876,28933,34468
32848,28924,34329
32793,28895,34376
32800,28863,34460
32744,28837,34300
32732,28831,34352
32692,28840,34254
32660,28871,34379
32628,28901,34405
32576,28927,34388
32557,28954,34268
32516,28935,34180
32509,28903,34342
32524,28887,34260
32516,28850,34130
32492,28839,34196
32508,28855,34108
32480,28879,34173
32452,28918,34149
32452,28949,34022
32464,28962,34037
32472,28959,33923
32436,28921,33973
32380,28903,33981
32328,28863,33813
32329,28856,33952
32320,28869,33892
32316,28898,33716
32304,28935,33816
32310,28967,33777
32308,28985,33639
32280,28973,33644
32252,28942,33693
32232,28916,33543
32236,28885,33564
32197,28868,33455
32180,28893,33566
32108,28911,33522
32080,28959,33477
32040,28989,33444
32068,29001,33378
32028,28986,33348
32020,28973,33191
32000,28932,33228
31960,28903,33133
31900,28903,33241
31884,28914,33185
31874,28941,33165
31828,28972,33105
31812,29013,32980
31812,29023,32947
31808,29018,32844
31780,28991,32944
31792,28954,32927
31756,28927,32796
31750,28923,32856
31757,28932,32828
31700,28964,32647
31636,29001,32748
31619,29034,32743
31652,29041,32601
31637,29036,32660
31616,29013,32559
31616,28980,32660
31573,28949,32617
31560,28951,32495
31508,28965,32642
31486,28987,32586
31472,29029,32486
31460,29056,32537
31493,29069,32528
31540,29068,32599
31560,29040,32472
31546,29001,32633
31574,28985,32590
31564,28967,32540
31497,28996,32501
31476,29021,32644
31510,29055,32620
31552,29086,32677
31560,29103,32604
31550,29092,32679
31524,29073,32590
31550,29039,32740
31576,29015,32763
31572,29000,32732
31560,29014,32769
31608,29045,32644
31656,29081,32765
31710,29114,32789
31716,29134,32831
31724,29119,32705
31756,29097,32768
31796,29063,32857
31844,29039,32708
31896,29030,32848
31956,29044,32881
32024,29079,32877
32068,29111,32864
32125,29136,32740
32185,29161,32903
32208,29152,32899
32236,29125,32764
32276,29093,32860
32388,29072,32901
32496,29057,32813
32616,29078,32847
32752,29108,32881
32840,29145,32756
32948,29164,32911
33056,29191,32866
33104,29173,32733
33156,29156,32735
33188,29124,32897
33224,29103,32775
33256,29092,32845
33292,29110,32689
33309,29135,32754
33365,29172,32816
33396,29202,32668
33412,29223,32780
33412,29221,32745
33432,29186,32601
33440,29165,32708
33412,29143,32715
33421,29125,32557
33448,29141,32656
33453,29177,32675
33465,29212,32504
33452,29241,32646
33452,29262,32590
33441,29260,32452
33445,29226,32543
33416,29197,32493
33396,29185,32420
33380,29167,32448
33380,29180,32460
33344,29213,32337
33324,29249,32431
33337,29284,32374
33341,29300,32412
33344,29293,32255
33292,29266,32397
33304,29247,32323
33316,29210,32206
33328,29207,32348
33336,29221,32289
33324,29255,32164
33345,29292,32263
33357,29321,32140
