ECG,EDA,RR
32536,28105,26380
32688,28087,26477
32680,28061,26493
32684,28044,26501
32700,28045,26487
32765,28073,26533
32664,28103,26497
32672,28143,26536
32740,28162,26478
32762,28167,26564
32816,28153,26525
32820,28126,26597
32857,28102,26527
32897,28085,26620
32824,28087,26545
32752,28101,26652
32728,28141,26645
32692,28172,26664
32625,28197,26692
32725,28203,26625
32725,28189,26713
32660,28164,26681
32742,28137,26759
32776,28118,26720
32740,28132,26796
32744,28138,26750
32752,28185,26815
32720,28213,26733
32732,28233,26810
32632,28245,26873
32672,28233,26819
32704,28197,26886
32724,28181,26817
32713,28157,26903
32669,28165,26849
32644,28189,26949
32668,28220,26969
32694,28248,26981
32680,28265,26902
32653,28285,26996
32668,28264,26945
32664,28247,27020
32640,28223,26989
32632,28201,27084
32584,28204,27105
32524,28233,27015
32392,28258,27136
32441,28295,27142
32357,28319,27047
32126,28324,27184
31780,28309,27199
31648,28285,27132
31445,28257,27204
31040,28248,27133
30380,28246,27244
29840,28265,27205
29376,28311,27304
28956,28344,27305
28728,28375,27232
28636,28381,27329
28628,28365,27264
28256,28334,27352
27608,28325,27320
27476,28308,27405
28032,28309,27379
28958,28311,27369
30700,28338,27420
33772,28370,27408
35670,28391,27400
36404,28393,27478
36332,28383,27428
36104,28356,27528
35788,28325,27534
35044,28311,27495
34524,28313,27463
34212,28335,27602
33792,28373,27605
33528,28399,27532
33396,28420,27655
33308,28428,27690
33164,28413,27680
33080,28385,27706
33028,28362,27782
32996,28351,27800
32900,28349,27740
32920,28367,27845
32908,28401,27844
32868,28440,27920
32868,28457,27949
32821,28461,28013
32768,28444,27917
32740,28423,28065
32692,28397,28063
32660,28385,28135
32645,28383,28116
32676,28399,28193
32729,28443,28241
32764,28472,28155
32796,28492,28319
32808,28493,28345
32796,28480,28285
32752,28460,28402
32721,28431,28360
32718,28413,28476
32736,28414,28447
32720,28447,28556
32668,28471,28564
32594,28508,28692
32564,28531,28721
32572,28530,28664
32545,28519,28838
32508,28492,28868
32490,28468,28801
32440,28453,28964
32396,28455,28964
32389,28481,29122
32384,28501,29191
32404,28548,29105
32404,28566,29312
32488,28564,29351
32548,28556,29292
32568,28527,29480
32492,28500,29544
32440,28487,29528
32392,28493,29700
32404,28511,29752
32432,28540,29693
32464,28580,29844
32496,28596,29973
32476,28605,29975
32456,28596,30047
32420,28564,30087
32342,28530,30087
32302,28529,30237
32272,28524,30372
32276,28551,30404
32312,28581,30369
32304,28613,30532
32212,28633,30484
32174,28641,30661
32137,28628,30673
32096,28596,30804
32062,28574,30814
32060,28552,30957
32044,28565,30953
32016,28572,31171
31992,28613,31209
31940,28640,31375
31888,28664,31468
31876,28665,31440
31892,28653,31692
31860,28626,31704
31872,28599,31933
31896,28588,32038
31852,28586,32033
31844,28608,32231
31864,28642,32313
31862,28675,32590
31852,28692,32728
31821,28701,32868
31761,28686,32872
31701,28654,33116
31664,28632,33148
31667,28612,33391
31660,28621,33470
31684,28639,33753
31644,28665,33942
31632,28713,34087
31628,28730,34231
31676,28725,34383
31708,28725,34412
31680,28672,34713
31598,28660,34900
31568,28645,34895
31600,28650,35132
31708,28679,35272
31640,28708,35463
31664,28741,35544
31760,28757,35889
31808,28760,35888
31852,28739,36287
31905,28714,36404
31920,28692,36577
31961,28675,36556
31940,28676,36868
31968,28698,36972
32029,28726,37273
32104,28763,37474
32156,28791,37660
32248,28785,37868
32376,28775,38015
32524,28748,38174
32648,28718,38302
32744,28701,38357
32769,28701,38709
32740,28724,38885
32812,28760,39196
32844,28794,39349
32900,28820,39485
32925,28821,39785
32952,28804,40056
33004,28780,39965
33084,28749,40416
33088,28733,40397
33060,28743,40800
33088,28761,40876
33136,28797,41287
33144,28833,41311
33144,28849,41711
33200,28850,41900
33228,28839,42188
33252,28807,42247
33224,28788,42798
33196,28772,43037
33176,28772,43260
33216,28803,43440
33181,28834,43455
33168,28866,43943
33168,28890,44191
33192,28893,44412
33208,28869,44657
33148,28851,44884
33164,28820,45122
33172,28797,45337
33180,28812,45564
33120,28831,45661
33076,28871,45997
33056,28896,46069
33069,28921,46424
33061,28921,46524
33056,28901,46932
33044,28879,47173
33032,28858,47334
33060,28839,47528
33085,28849,47612
32996,28869,47956
32924,28903,48204
32886,28940,48407
32952,28964,48580
32980,28960,48812
32952,28948,48819
32980,28920,49111
32980,28903,49121
32913,28880,49541
32928,28889,49748
32908,28911,49853
32904,28940,50019
32888,28981,49932
32852,29000,50448
32788,29005,50567
32793,28986,50695
32806,28963,50823
32748,28935,51068
32748,28913,51156
32788,28932,51396
32790,28954,51551
32788,28993,51694
32776,29013,51855
32736,29039,51940
32748,29045,52024
32724,29029,52101
32736,28992,52341
32772,28982,52414
32720,28961,52602
32766,28977,52741
32786,28999,52736
32752,29030,52925
32796,29063,52999
32677,29085,53157
32624,29087,53212
32636,29073,53232
32660,29037,53412
32680,29020,53457
32708,29001,53544
32704,29010,53575
32704,29031,53756
32725,29064,53704
32736,29100,53940
32760,29114,53999
32817,29128,54005
32766,29100,54047
32724,29085,54044
32700,29056,54151
32732,29053,54148
32764,29052,54244
32820,29082,54300
32804,29113,54373
32784,29145,54245
32684,29173,54501
32812,29172,54532
32773,29156,54407
32764,29128,54493
32736,29111,54556
32713,29085,54613
32724,29095,54629
32749,29119,54644
32760,29156,54653
32773,29191,54600
32760,29215,54557
32750,29219,54580
32750,29200,54272
32712,29174,54636
32732,29142,54597
32756,29128,54628
32773,29142,54552
32766,29158,54509
32764,29205,54500
32764,29237,54357
32748,29252,54452
32756,29252,54439
32768,29242,54437
32768,29213,54368
32772,29188,54276
32824,29179,54271
32800,29181,54115
32784,29215,54124
32772,29245,54116
32784,29277,54082
32808,29292,53948
32825,29300,53884
32848,29284,53620
32864,29259,53868
32808,29224,53784
32792,29220,53612
32828,29225,53590
32869,29255,53356
32864,29293,53503
32860,29316,53383
32892,29346,53202
32832,29345,53172
32820,29324,53029
32828,29302,52996
32792,29278,52964
32764,29249,52901
32744,29282,52769
32752,29302,52615
32796,29335,52550
32804,29373,52514
32834,29397,52432
32832,29388,52333
32788,29379,52244
32784,29351,52124
32776,29332,52036
32777,29317,51916
32772,29321,51803
32781,29351,51695
32760,29385,51462
32760,29420,51404
32788,29443,51004
32832,29444,51255
32900,29437,51111
32924,29405,50836
32940,29383,50852
32936,29377,50725
32909,29383,50631
32924,29405,50420
32928,29437,50041
32912,29478,50241
32912,29499,50079
32928,29499,49716
32988,29481,49848
33004,29456,49698
33028,29436,49564
33056,29426,49404
33068,29433,49257
33048,29458,49135
33028,29504,48992
33008,29534,48796
33020,29548,48564
33052,29556,48495
33068,29541,48180
33088,29511,48281
33080,29493,47853
33120,29482,47940
33100,29485,47604
33080,29524,47696
33072,29548,47556
33088,29585,47407
33096,29605,47284
33148,29615,47112
33080,29595,46983
33036,29574,46820
33020,29548,46686
33008,29540,46404
33017,29553,46318
32960,29575,46271
32872,29616,45956
32816,29652,45976
32710,29669,45852
32532,29669,45597
32236,29663,45504
31880,29623,45241
31484,29615,45215
31084,29600,45180
30532,29620,44830
29896,29638,44808
29352,29692,44520
28892,29720,44600
28542,29742,44500
28293,29758,44228
28317,29740,44167
28125,29711,43876
27404,29703,43857
27112,29693,43832
27676,29692,43556
28776,29727,43444
30436,29749,43428
33244,29766,43271
35400,29783,43120
36104,29787,42936
36192,29772,42893
36164,29742,42667
35972,29721,42503
35676,29718,42496
35280,29724,42300
34972,29757,42181
34705,29790,41813
34408,29826,42016
34134,29847,41828
33884,29852,41551
33776,29832,41573
