ECG,EDA,RR
31904,22501,31103
31912,22479,31066
31904,22486,31196
31896,22520,31261
31908,22544,31214
31928,22586,31316
31924,22577,31349
31924,22557,31284
31960,22544,31453
31933,22503,31303
31949,22479,31319
31968,22473,31509
31972,22473,31522
32008,22519,31571
32056,22535,31644
32088,22559,31502
32148,22572,31683
32172,22565,31778
32186,22525,31622
32252,22507,31802
32285,22471,31836
32368,22474,31773
32424,22470,31973
32525,22511,31991
32621,22528,31964
32684,22559,31908
32732,22566,31900
32773,22554,31959
32820,22528,32191
32880,22521,32108
32938,22476,32293
32994,22458,32320
33080,22487,32351
33132,22505,32519
33192,22518,32426
33287,22561,32434
33337,22553,32445
33368,22557,32518
33384,22525,32746
33388,22489,32801
33398,22468,32808
33436,22453,32989
33472,22473,33015
33476,22492,32959
33449,22532,33027
33500,22551,33100
33528,22567,33170
33556,22537,33297
33552,22515,33325
33540,22498,33393
33532,22460,33465
33476,22464,33582
33481,22466,33728
33480,22506,33799
33440,22521,33860
33420,22564,33869
33392,22560,33953
33364,22564,34041
33316,22524,34116
33300,22501,34205
33312,22463,34180
33340,22443,34492
33324,22468,34574
33320,22487,34593
33320,22546,34780
33284,22546,34864
33280,22543,34796
33260,22559,34796
33240,22520,35071
33232,22480,35079
33217,22453,35320
33225,22461,35349
33224,22466,35313
33197,22474,35311
33210,22527,35399
33240,22559,35706
33252,22554,35784
33233,22535,35861
33196,22517,35896
33175,22480,36156
33140,22471,36223
33133,22452,36274
33104,22477,36304
33140,22490,36169
33153,22516,36494
33160,22554,36524
33149,22547,36604
33156,22532,36800
33156,22519,36965
33145,22482,36980
33146,22455,36959
33132,22455,36887
33096,22453,37245
33097,22510,37271
33120,22518,37472
33136,22535,37546
33128,22561,37452
33144,22549,37717
33166,22501,37772
33136,22490,37952
33104,22461,37821
33088,22441,38071
33064,22484,38292
33050,22496,38205
33068,22516,38381
33072,22535,38436
33109,22559,38551
33117,22540,38684
33168,22511,38765
33172,22481,38775
33164,22477,39082
33132,22452,39015
33092,22461,39164
33064,22508,39152
33048,22529,39396
33048,22553,39559
33048,22551,39647
33036,22557,39593
33052,22515,39472
33036,22500,39852
33052,22460,39871
33082,22445,40070
33096,22477,40260
33108,22496,40165
33108,22511,40351
33128,22563,40351
33134,22556,40628
33120,22530,40652
33116,22522,40628
33088,22479,40832
33080,22474,40892
33064,22459,41090
33022,22457,41095
33036,22487,40868
33064,22534,41297
33088,22540,41461
33101,22548,41617
33069,22538,41708
33064,22535,41788
33032,22489,41799
33032,22476,41831
33012,22452,41831
33004,22468,41977
33007,22485,41863
32976,22525,42332
32936,22535,42391
32929,22559,42516
32928,22528,42700
32916,22521,42589
32884,22484,42797
32876,22468,42932
32832,22452,42924
32788,22478,43008
32804,22491,43208
32820,22544,43143
32816,22543,43133
32824,22564,43508
32864,22535,43540
32888,22524,43541
32884,22484,43630
32820,22460,43732
32773,22468,43966
32781,22468,43911
32800,22501,44032
32792,22521,44229
32756,22534,44244
32780,22568,44375
32820,22547,44308
32836,22511,44599
32818,22505,44608
32774,22461,44738
32720,22470,44802
32714,22468,44820
32696,22500,44816
32724,22523,44807
32743,22557,45180
32756,22553,45206
32724,22554,45276
32720,22513,45401
32744,22503,45501
32736,22471,45429
32730,22454,45406
32744,22486,45789
32724,22501,45770
32708,22532,45925
32716,22549,45991
32701,22566,46026
32758,22542,46111
32741,22524,46272
32726,22489,46335
32732,22471,46312
32696,22486,46367
32664,22480,46326
32588,22519,46695
32592,22535,46767
32632,22567,46856
32640,22564,46584
32644,22556,46852
32676,22534,46949
32692,22481,46996
32696,22468,47204
32620,22482,47076
32580,22485,47420
32559,22502,47401
32556,22530,47530
32553,22575,47484
32548,22575,47732
32600,22554,47700
32628,22549,47864
32640,22502,47892
32676,22472,47876
32628,22474,47735
32596,22495,48168
32545,22506,48220
32524,22558,48220
32545,22572,48359
32532,22569,48391
32514,22569,48492
32512,22535,48524
32504,22523,48660
32506,22483,48664
32512,22469,48663
32541,22496,48688
32592,22520,48765
