ECG,EDA,RR
32450,24010,26596
32444,24035,26662
32436,24021,26588
32428,23978,26553
32405,23964,26631
32364,23932,26740
32384,23916,26733
32392,23935,26745
32380,23955,26802
32348,23981,26816
32336,24014,26724
32340,24035,26728
32352,24015,26872
32332,24003,26809
32352,23958,26876
32304,23921,26760
32241,23916,26852
32220,23925,26938
32204,23959,26870
32180,23990,26918
32156,24017,26942
32112,24031,26877
32120,24010,26879
32084,23993,26983
32036,23948,27007
32024,23921,26926
32056,23920,26976
32036,23923,26978
32016,23951,26917
32024,23992,26887
32012,24012,27015
32004,24029,27025
31992,24012,27086
31957,23990,27036
31936,23959,27080
31908,23926,27104
31944,23913,27084
31932,23924,27069
31876,23954,27062
31872,23983,27172
31884,24017,27224
31928,24021,27268
31940,24018,27200
31972,23986,27220
31984,23943,27217
31997,23925,27204
32013,23908,27405
32012,23926,27414
32008,23951,27432
32013,23983,27377
32004,24016,27463
32024,24015,27473
32064,24012,27559
32100,23983,27611
32080,23951,27572
32101,23924,27532
32112,23918,27641
32102,23919,27770
32146,23963,27776
32192,23983,27832
32249,24006,27869
32284,24025,27905
32316,24007,27954
32316,23988,27882
32348,23937,27908
32396,23927,27941
32448,23911,28000
32516,23921,28055
32576,23940,28096
32624,23977,28095
32696,24005,28172
32792,24008,28229
32852,24015,28252
32956,23968,28364
33000,23949,28421
33036,23909,28473
33092,23896,28565
33104,23919,28649
33176,23943,28704
33204,23983,28639
33224,24002,28677
33280,24024,28711
33268,24005,28806
33284,23981,28961
33288,23937,29040
33281,23921,29071
33317,23903,29084
33388,23906,29221
33457,23941,29197
33424,23969,29223
33424,24004,29386
33452,24011,29476
33453,24004,29534
33436,23971,29639
33408,23933,29720
33428,23915,29636
33461,23893,29709
33416,23916,29780
33380,23933,29988
33421,23971,29997
33388,24007,30152
33340,24009,30108
33344,24006,30164
33312,23971,30249
33260,23933,30373
33281,23905,30596
33280,23886,30557
33240,23906,30637
33240,23932,30748
33240,23980,30892
33216,23998,30973
33216,24002,30949
33201,24001,31175
33180,23966,31104
33144,23943,31370
33096,23900,31410
33106,23908,31524
33128,23907,31479
33152,23931,31567
33196,23973,31776
33189,23996,31940
33128,24004,31959
33100,23993,31909
33032,23981,32204
33068,23933,32184
33076,23916,32183
33052,23892,32413
33024,23903,32601
33006,23921,32588
33032,23973,32780
33032,23999,32744
33050,23999,32920
33040,24002,32831
33020,23971,32977
33024,23942,33221
33008,23903,33218
33036,23906,33381
33032,23903,33338
33028,23920,33437
33036,23960,33663
33020,23999,33716
33020,23995,33887
33024,23996,33868
33020,23955,34108
33004,23936,34260
32961,23896,34199
32925,23895,34404
32932,23894,34322
32932,23927,34647
32876,23953,34627
32909,23989,34788
32960,23992,34684
32980,23990,34951
32988,23972,35185
32968,23929,35117
32968,23906,35304
32944,23886,35228
32964,23895,35396
32972,23929,35516
32956,23964,35669
32952,23982,35813
32916,24004,35919
32889,23984,35836
32884,23965,36012
32868,23925,36157
32872,23897,36204
32892,23885,36324
32880,23885,36484
32880,23921,36669
32894,23951,36829
32848,23991,36727
32824,23993,36845
32798,23969,37007
32808,23957,37139
32836,23917,36991
32780,23898,37233
32736,23895,37485
32760,23897,37566
32796,23913,37582
32844,23960,37748
32868,23977,37609
32836,23997,37860
32868,23974,38048
32857,23965,38151
32836,23927,38296
32820,23902,38437
32772,23889,38588
32716,23898,38476
32685,23919,38686
32697,23956,38711
32688,23984,38745
32668,23989,38969
32632,23983,39175
32628,23957,39303
32622,23914,39324
32624,23896,39333
32604,23879,39460
32600,23897,39607
32604,23916,39549
32568,23949,39580
32560,23981,39828
32540,23995,39978
32526,23980,40140
32516,23964,40253
32484,23919,40191
32469,23877,40359
32469,23882,40442
32492,23888,40533
32468,23909,40676
32464,23953,40764
32494,23973,40665
32492,23999,40859
32488,23980,40985
32468,23943,41252
32464,23918,41124
32460,23887,41284
32464,23881,41401
32456,23884,41177
32468,23919,41445
32516,23943,41701
32488,23967,41868
32472,23994,41926
32458,23979,41847
32480,23961,42021
32470,23919,42109
32404,23894,41940
32364,23876,42132
32360,23880,42279
32341,23916,42388
32320,23950,42464
32328,23964,42503
32345,23990,42768
32367,23979,42837
32364,23954,42894
32392,23904,42839
32400,23880,43060
32421,23877,43116
32424,23879,42908
32404,23905,43108
32377,23948,43293
32368,23964,43444
32320,23991,43455
32320,23972,43480
32304,23943,43644
32304,23908,43783
32252,23884,43647
32220,23865,43676
32200,23892,43844
32188,23909,44008
32180,23938,44105
32192,23968,44199
32232,23987,44166
32260,23965,44236
32264,23932,44409
32268,23905,44439
32220,23885,44566
32208,23864,44359
32225,23881,44548
32228,23907,44756
32184,23943,44753
32176,23962,44920
32156,23977,44703
32153,23960,44848
32128,23948,45016
32134,23900,45105
32158,23878,45105
32224,23864,45168
32276,23882,45285
32324,23903,45385
32388,23931,45423
32385,23968,45479
32352,23983,45508
32340,23960,45568
32324,23932,45591
32304,23901,45575
32304,23876,45637
32260,23856,45760
32280,23887,45839
32336,23902,45861
32348,23940,45933
32412,23952,46004
32428,23974,45725
32393,23958,45791
32348,23929,46149
32248,23898,46175
32208,23877,46165
32220,23860,46292
32229,23868,46324
32194,23901,46243
32180,23933,46241
32200,23972,46452
32184,23974,46495
32153,23964,46541
32120,23927,46295
32116,23906,46430
32120,23877,46628
32132,23868,46716
32128,23867,46657
32084,23899,46737
32080,23935,46836
32104,23972,46557
32088,23974,46672
32044,23969,46870
32004,23924,46955
31949,23892,46941
31840,23870,47056
31620,23853,47101
31389,23870,47145
31150,23898,47165
30844,23938,46997
30448,23959,47236
29940,23974,47276
29446,23959,47312
29056,23936,47292
28774,23907,47384
28492,23873,47398
28440,23864,47161
28386,23869,47315
27568,23907,47472
26716,23938,47498
26624,23972,47573
27408,23975,47433
28420,23965,47573
30416,23929,47652
33184,23897,47604
34600,23861,47725
35032,23868,47465
35144,23873,47689
35084,23901,47783
34864,23924,47849
34565,23946,47879
34236,23976,47879
33964,23965,47890
33624,23922,47921
33360,23890,48048
33168,23863,47908
33076,23863,48041
32952,23867,48157
32797,23897,48104
32676,23921,48237
32657,23955,48041
32668,23957,48245
32657,23955,48345
32644,23918,48385
32600,23892,48348
32568,23862,48377
32544,23852,48477
32474,23865,48540
32504,23888,48597
32556,23915,48621
32576,23959,48656
32568,23960,48417
32588,23954,48728
32552,23921,48668
32517,23876,48780
32464,23861,48805
32404,23839,48685
32380,23862,48864
32396,23897,48892
32404,23917,48948
32404,23949,48615
32404,23965,48782
32420,23962,48985
32484,23921,49084
32456,23879,49028
32405,23862,49108
32356,23845,49180
32300,23853,49172
32292,23886,49276
32280,23919,49319
32293,23957,49308
32320,23965,49048
32332,23943,49424
32281,23916,49480
32281,23893,49509
32276,23857,49229
32292,23855,49424
32284,23852,49527
32260,23894,49476
32260,23923,49428
32264,23943,49448
32256,23953,49824
32244,23942,49884
32232,23924,49943
32193,23887,49974
32152,23847,50028
32064,23850,50061
32020,23858,50084
32012,23884,49880
31980,23920,50084
31956,23943,50133
32000,23950,50005
32068,23943,49972
32124,23924,50051
32116,23885,50150
32060,23859,50447
31988,23849,50207
31917,23852,50212
31913,23877,50380
31900,23925,50606
31908,23946,50695
31912,23945,50772
31904,23945,50816
31879,23916,50797
31864,23888,50887
31828,23859,50936
31832,23841,50909
31760,23863,51063
31748,23879,51012
31732,23919,51126
31712,23943,51156
31702,23952,51237
31728,23941,51292
31744,23909,51327
31692,23882,51356
31716,23848,51425
31737,23844,51455
31754,23854,51111
31757,23879,51516
31832,23921,51182
31933,23938,51388
31972,23948,51576
31968,23943,51685
31976,23903,51767
31976,23878,51744
31964,23843,51828
31956,23849,51863
32008,23849,51911
32036,23877,51975
32056,23924,52020
32048,23942,52031
32020,23948,51708
32021,23949,51741
32024,23908,51775
32032,23865,51847
32058,23844,52207
32070,23845,52260
32028,23859,52316
32032,23877,52348
32048,23921,52365
32129,23941,52470
32204,23943,52465
32253,23942,52144
32348,23908,52207
32472,23869,52633
32561,23837,52608
32604,23847,52720
32648,23854,52773
32629,23873,52828
32696,23921,52847
32784,23940,52894
32844,23946,52916
32844,23942,52991
32892,23904,53029
32932,23882,53039
32950,23839,52991
33024,23841,53031
33142,23844,53125
33192,23882,53228
33236,23910,53255
33300,23933,53300
33317,23938,53328
33412,23942,53383
33453,23909,53444
33484,23870,53389
33466,23851,53460
33472,23837,53525
33488,23849,53578
33494,23881,53209
33456,23916,53381
33449,23933,53512
33444,23950,53716
33444,23939,53757
33429,23898,53839
33408,23872,53827
33388,23840,53813
33408,23828,53916
33384,23844,53935
33373,23879,53948
33340,23908,54017
33340,23940,53680
33317,23937,54043
33256,23934,54009
33200,23902,54134
33252,23871,54087
33309,23837,54055
33292,23842,54204
33292,23841,54140
33321,23882,54230
33340,23916,54207
33316,23933,54284
33300,23942,54293
33208,23932,54215
33176,23901,54276
33188,23870,54336
33204,23838,54039
33236,23841,54181
33256,23847,54249
33276,23872,54335
33300,23917,54381
33320,23935,54288
33292,23945,54397
33264,23935,54388
33280,23907,54344
33292,23879,54349
33292,23841,54392
33284,23845,54348
33300,23848,54329
33300,23873,54321
33316,23912,54375
33312,23936,54380
33288,23942,54036
33300,23933,54295
33340,23904,54351
33385,23860,54345
33404,23854,54328
33376,23839,54279
33308,23845,54276
33253,23885,54279
33240,23913,54277
33236,23937,54240
33224,23961,54193
33244,23943,54111
33297,23903,54104
33340,23867,53967
33362,23845,53937
33400,23828,54023
33412,23860,54067
33448,23880,54038
33444,23921,54010
33436,23942,53980
33485,23953,53860
33421,23935,53847
33376,23916,53854
33364,23862,53809
33344,23851,53696
33357,23836,53743
33424,23852,53265
33468,23884,53524
33472,23913,53572
33444,23946,53576
33401,23951,53524
33400,23934,53489
33408,23904,53433
33365,23879,53375
33314,23847,53255
33345,23846,53287
33408,23862,53221
33420,23884,53138
33412,23919,52816
33424,23952,52652
33412,23956,52961
33396,23940,52925
33344,23904,52852
33376,23881,52564
33384,23849,52585
33348,23840,52588
33328,23857,52639
33292,23884,52572
33268,23925,52543
33280,23943,52417
33280,23957,52301
33300,23935,52320
33292,23918,52276
33272,23887,52205
33276,23855,52142
33268,23840,52076
33328,23852,51999
33364,23895,51921
33340,23925,51825
33332,23940,51743
33328,23964,51559
33320,23938,51572
33321,23921,51543
33293,23884,51463
33276,23858,51396
33236,23852,51232
33228,23870,51196
33232,23888,51168
33220,23935,51089
33216,23954,50612
33185,23967,50719
33196,23944,50732
33288,23924,50765
33296,23880,50673
33268,23865,50540
33221,23845,50516
33160,23862,50429
33127,23892,50364
33120,23939,50270
33100,23959,50183
33092,23965,50093
33089,23961,49988
33070,23924,49900
33080,23886,49828
33084,23874,49732
33088,23860,49639
33056,23876,49495
33060,23896,49389
33104,23938,49377
33105,23956,48926
33120,23981,49133
