ECG,EDA,RR
32024,38869,29100
32044,38829,29148
32184,38823,29116
32306,38806,29166
32304,38791,29149
32236,38805,29164
32184,38812,29165
32064,38845,29184
31972,38863,29280
32004,38856,29223
32064,38827,29248
32096,38845,29245
32244,38791,29313
32364,38777,29267
32349,38776,29332
32272,38788,29255
32212,38759,29223
32098,38831,29257
32008,38853,29241
32073,38828,29313
32141,38825,29257
32204,38815,29225
32300,38782,29251
32408,38727,29207
32420,38775,29260
32364,38781,29205
32288,38775,29260
32174,38814,29175
32084,38833,29177
32140,38821,29142
32193,38823,29185
32268,38812,29102
32392,38785,29134
32526,38716,29063
32528,38769,29028
32448,38772,28992
32436,38760,28976
32332,38799,29020
32264,38820,28917
32270,38814,28872
32324,38807,28922
32392,38765,28831
32540,38728,28829
32704,38749,28761
32688,38751,28716
32620,38749,28718
32592,38761,28693
32502,38765,28732
32417,38807,28631
32448,38791,28623
32548,38789,28637
32580,38782,28543
32728,38759,28584
32846,38717,28516
32864,38737,28530
32837,38756,28453
32816,38745,28503
32704,38781,28413
32608,38797,28455
32632,38801,28356
32712,38788,28404
32756,38775,28271
32900,38751,28240
33048,38727,28308
33048,38729,28222
32996,38708,28283
32928,38749,28157
32789,38789,28172
32653,38791,28079
32704,38789,28167
32764,38787,28053
32832,38743,28098
32970,38739,27982
33080,38719,28036
33060,38719,27928
32976,38724,27980
32872,38727,27861
32756,38735,27920
32632,38759,27804
32661,38740,27857
32720,38736,27732
32764,38719,27771
32880,38735,27671
32994,38717,27710
32956,38724,27581
32852,38735,27582
32738,38732,27516
32592,38751,27581
32510,38773,27494
32540,38773,27511
32596,38761,27412
32636,38763,27512
32728,38722,27380
32848,38695,27354
32884,38703,27300
32792,38719,27289
32732,38727,27295
32592,38753,27269
32512,38764,27332
32536,38770,27212
32645,38729,27209
32673,38743,27143
32768,38715,27172
32880,38700,27119
32860,38693,27108
32816,38684,27090
32780,38687,27077
32668,38738,27077
32540,38753,27084
32572,38751,27164
32624,38740,27052
32701,38740,27117
32835,38687,26993
32984,38663,26967
32948,38660,27102
32892,38695,26964
32853,38695,26945
32709,38729,26983
32592,38728,26919
32620,38729,26936
32677,38701,26938
32720,38721,26884
32845,38679,26912
32980,38655,26865
32985,38655,26860
32932,38663,26855
32848,38679,26850
32700,38708,26909
32584,38681,26877
32588,38716,26930
32620,38717,26885
32676,38704,26964
32813,38660,26831
32962,38647,26837
32980,38652,26829
32892,38657,26854
32836,38663,26895
32688,38693,26871
32564,38719,26924
32609,38703,26887
32692,38659,26869
32736,38694,26905
32850,38661,26907
32948,38629,26991
32953,38631,26951
32865,38653,27060
32802,38613,26988
32670,38663,27065
32568,38717,27001
32585,38690,27127
32656,38687,26999
32688,38668,27020
32820,38645,27084
32940,38628,27068
32920,38633,27207
32880,38645,27087
32808,38596,27087
32704,38685,27190
32616,38675,27169
32649,38652,27205
32684,38640,27151
32694,38637,27171
32788,38613,27290
32904,38596,27208
32916,38625,27228
32848,38636,27183
32821,38643,27205
32712,38663,27310
32600,38691,27177
32620,38663,27227
32694,38662,27183
32752,38657,27235
32888,38582,27180
32984,38577,27180
32956,38580,27228
32857,38617,27221
32808,38599,27317
32680,38620,27183
32580,38643,27252
32612,38663,27194
32672,38655,27201
32692,38655,27237
32832,38607,27212
32950,38587,27229
32956,38596,27236
32856,38609,27303
32812,38589,27269
32728,38661,27320
32604,38660,27306
32629,38653,27372
32690,38636,27343
32716,38629,27480
32856,38570,27373
32960,38548,27380
32928,38583,27486
32860,38580,27444
32828,38605,27557
32676,38641,27492
32588,38639,27586
32590,38633,27511
32640,38627,27564
32696,38604,27655
32809,38569,27607
32912,38572,27631
32888,38557,27663
32821,38535,27756
32768,38588,27734
32617,38630,27736
32500,38639,27741
32546,38641,27853
32624,38590,27836
32676,38627,27922
