ECG,EDA,RR
33108,64765,26623
32965,64791,26448
32968,64813,26615
33048,64733,26304
33080,64773,26585
33116,64774,26494
33255,64751,26524
33225,64757,26568
33092,64743,26288
33012,64751,26569
32944,64775,26545
32844,64807,26552
32900,64804,26589
32996,64800,26513
33020,64796,26543
33080,64795,26532
33212,64687,26246
33184,64775,26612
33068,64775,26326
32972,64775,26598
32872,64797,26516
32772,64831,26493
32838,64823,26548
32964,64800,26306
33032,64887,26556
33140,64775,26381
33300,64775,26545
33232,64701,26428
33166,64716,26479
33072,64727,26536
32992,64742,26420
32820,64775,26580
32840,64832,26421
32900,64820,26561
32912,64812,26481
32984,64812,26560
33145,64788,26497
33128,64775,26296
33040,64748,26489
32998,64807,26463
32892,64812,26478
32772,64839,26450
32824,64840,26551
32908,64832,26284
32980,64748,26508
33064,64807,26332
33166,64772,26500
33120,64765,26357
33016,64775,26536
32965,64805,26469
32908,64824,26457
32772,64853,26442
32804,64772,26420
32872,64832,26391
32944,64829,26444
33068,64775,26177
33220,64796,26432
33156,64789,26450
32997,64797,26405
32888,64775,26506
32752,64813,26415
32512,64845,26388
32332,64871,26380
32192,64861,26400
31964,64839,26252
31808,64823,26442
31740,64775,26309
31632,64800,26375
31436,64770,26127
31208,64815,26414
31093,64855,26064
31101,64887,26400
31580,64878,26199
32616,64887,26388
34080,64871,26262
35720,64868,26357
37424,64869,26038
38736,64823,26327
39644,64895,26389
40136,64903,26204
39932,64925,26300
39280,64972,26004
38928,64893,26283
38832,64951,26367
38516,64940,26243
38144,64903,26308
37776,64901,26050
37204,64871,26358
36376,64885,26066
35504,64807,26290
34596,64839,26276
33804,64908,26388
33290,64863,26141
32972,64852,26372
32677,64840,26339
32460,64869,26331
32400,64846,26435
32232,64816,26249
32020,64806,26353
31828,64840,26433
31665,64901,26396
31516,64900,26423
31540,64895,26166
31633,64900,26453
31668,64903,26191
31736,64872,26492
31862,64863,26410
31876,64853,26153
31781,64775,26454
31704,64800,26324
31624,64884,26447
31508,64903,26345
31537,64885,26463
31632,64871,26437
31676,64876,26503
31792,64879,26428
31916,64844,26512
31854,64847,26323
31740,64861,26532
31669,64860,26398
31572,64876,26601
31412,64903,26333
31446,64839,26611
31576,64893,26697
31636,64887,26474
31788,64847,26716
32008,64847,26460
32048,64840,26790
31884,64764,26527
31786,64852,26841
31769,64861,26780
31628,64895,26861
31588,64903,26556
31657,64816,26941
31740,64893,26676
31872,64852,26908
32037,64824,26897
32036,64849,26887
31928,64775,26953
31852,64852,26647
31794,64871,26901
31612,64900,26920
31604,64900,26612
31672,64815,26903
31740,64884,26985
31822,64853,26674
31954,64821,26900
31940,64765,26916
31860,64775,26609
31860,64868,26848
31824,64868,26852
31720,64885,26667
31724,64902,26870
31845,64889,26842
31928,64893,26621
31984,64844,26766
32096,64812,26829
32132,64834,26557
32060,64841,26804
31962,64767,26685
31844,64876,26690
31688,64972,26721
31700,64895,26385
31798,64900,26688
31872,64822,26366
32016,64834,26648
32192,64846,26352
32172,64823,26585
32014,64844,26631
31920,64815,26317
31872,64873,26692
31764,64903,26656
31852,64903,26504
31972,64876,26662
32033,64893,26567
32164,64868,26571
32324,64832,26594
32312,64844,26387
32225,64840,26560
32148,64861,26519
32024,64871,26540
31880,64903,26249
31956,64892,26572
32056,64884,26509
32120,64876,26208
32208,64868,26546
32342,64836,26473
32332,64788,26436
32228,64853,26478
32112,64855,26455
32008,64871,26452
31940,64916,26426
31960,64838,26453
32093,64830,26389
32164,64816,26460
32232,64879,26242
32364,64835,26358
32332,64853,26397
32217,64775,26105
32160,64827,26335
32106,64893,26159
32004,64903,26337
32036,64893,26172
32228,64885,26321
32312,64884,26270
32432,64863,26060
32560,64826,26294
32544,64844,26225
32464,64863,26290
32404,64863,26212
32360,64879,26284
32292,64871,26207
32332,64893,26158
32437,64900,26223
32504,64893,25893
32609,64871,26197
32776,64834,26204
32824,64816,26188
32744,64839,26189
32708,64852,26262
32628,64879,25956
32512,64885,26213
32544,64895,26181
32662,64847,26210
32724,64868,26300
32784,64839,26244
32956,64821,26268
32960,64824,25961
32844,64827,26349
32752,64831,26247
32696,64852,26286
32576,64893,26279
32592,64828,26336
32688,64871,26357
32740,64844,26082
32840,64838,26458
33016,64759,26488
33008,64788,26436
32893,64825,26508
32820,64821,26485
32701,64836,26521
32580,64853,26536
32580,64855,26279
32660,64868,26675
32720,64869,26488
32780,64839,26725
32879,64775,26657
32908,64742,26759
32852,64757,26744
32812,64730,26580
32735,64839,26837
32577,64775,26794
32596,64815,26895
32668,64820,26928
32704,64845,26945
32788,64796,26990
32964,64772,27035
32948,64802,27085
32844,64813,27104
32765,64725,27169
32648,64769,27197
32501,64839,27311
32532,64828,27111
32641,64839,27377
32728,64833,27229
32824,64807,27454
32929,64775,27477
32908,64767,27503
32772,64775,27566
32681,64797,27516
32596,64807,27635
32476,64824,27669
32488,64820,27407
32576,64813,27740
32552,64821,27745
32620,64793,27540
32788,64765,27836
32770,64768,27749
32671,64793,27876
32636,64796,27879
32588,64821,27649
32476,64852,27941
32472,64774,27835
32548,64807,27983
32600,64821,27960
32680,64775,27936
32792,64743,28000
32756,64757,27717
32642,64775,28085
32592,64775,28036
32480,64799,28002
32332,64820,28114
32356,64828,27845
32460,64815,28117
32510,64821,28081
32626,64793,28084
32752,64775,28180
32728,64743,27943
32664,64701,28165
32624,64757,28156
32584,64815,27904
32448,64835,28242
32484,64833,28200
32600,64809,27944
32676,64804,28324
32744,64775,28245
32925,64772,27964
32924,64768,28319
32824,64701,28095
32716,64701,28372
32628,64727,28319
32508,64775,28356
32488,64805,28350
32564,64815,28353
32637,64797,28429
32724,64767,28351
32870,64732,28415
32864,64685,28105
32714,64751,28431
32656,64741,28384
32580,64775,28511
32468,64820,28226
32516,64796,28514
32640,64775,28351
32712,64775,28541
32773,64756,28520
32836,64740,28309
