ECG,EDA,RR
32620,61916,32220
32528,62023,32284
32586,62005,32298
32672,61935,32228
32700,61957,32466
32804,61959,32517
32888,61959,32637
32854,61959,32477
32752,61984,32561
32684,61948,32628
32556,61997,32839
32457,62020,32877
32524,62023,33027
32640,62031,32878
32672,61911,32911
32760,61996,33081
32868,61959,33165
32806,61879,33252
32692,61996,33346
32625,61878,33392
32516,62017,33397
32452,61959,33345
32520,62047,33497
32604,61943,33604
32644,62023,33618
32736,62007,33633
32837,61911,33796
32812,61991,33874
32700,62007,33924
32608,62004,33908
32512,62020,33721
32441,61941,33985
32540,62048,34134
32621,61940,34148
32612,62055,34272
32740,61996,34116
32856,62013,34351
32784,61935,34401
32680,62020,34415
32640,62007,34413
32516,62040,34509
32381,62044,34612
32440,62071,34700
32524,62023,34736
32572,61959,34779
32712,61940,34764
32792,62023,34762
32728,62023,34735
32612,62031,34949
32534,62020,35018
32412,61959,35053
32340,62070,35071
32432,62087,35093
32552,62076,35225
32576,62084,35293
32676,61997,35340
32772,62047,35194
32688,61959,35436
32588,61959,35457
32524,62055,35388
32396,62076,35440
32300,62124,35620
32376,62112,35671
32496,62061,35645
32564,62077,35735
32661,62083,35824
32724,62068,35813
32672,61959,35810
32588,62087,35956
32569,62085,35972
32464,62129,36124
32365,62031,35920
32448,62133,36129
32536,62052,36149
32560,62135,36178
32688,62087,36148
32784,62077,36302
32725,62087,36384
32630,62005,36197
32568,62101,36405
32437,62079,36437
32364,62137,36460
32436,62131,36562
32516,62151,36280
32548,62136,36488
32668,62119,36587
32780,62071,36660
32752,62007,36655
32676,62127,36764
32640,62124,36676
32508,62175,36663
32432,62197,36799
32484,62191,36820
32584,62173,36609
32632,62183,36719
32766,62055,36885
32877,62119,36924
32843,62150,36956
32756,62115,36932
32677,62136,36780
32556,62183,36999
32479,62215,37013
32544,62148,37044
32616,62204,36980
32688,62039,37013
32816,62134,37095
32904,62158,37084
32852,62148,36973
32764,62176,37151
32708,62183,37172
32636,62213,37140
32544,62131,37212
32596,62215,36939
32700,62215,37082
32728,62105,37217
32848,62201,37207
32916,62085,37196
32789,62183,37031
32552,62199,37168
32372,62215,37228
31982,62199,37205
31660,62175,37255
31517,62263,37173
31468,62233,37013
31432,62268,37236
31472,62235,37287
31424,62085,37121
31420,62238,37233
31509,62133,37209
32004,62252,37288
32920,62288,37160
34160,62340,37116
35672,62318,37225
37160,62297,37213
38360,62343,37172
39196,62319,37111
39520,62340,37200
39180,62293,37209
38764,62264,37184
38612,62340,37228
38288,62362,37255
37820,62402,37122
37377,62300,37121
36836,62380,37164
36125,62373,37182
35420,62232,37149
34728,62340,37165
34052,62215,37197
33500,62340,37093
33076,62343,36942
32672,62380,37117
32360,62331,37141
32232,62324,37116
32184,62389,37100
32128,62381,37095
32188,62363,37172
32280,62356,37097
32196,62356,37047
32072,62366,37044
32020,62339,36881
31884,62398,37022
31800,62407,37034
31884,62391,37025
31944,62423,36967
31992,62421,36971
32152,62368,36799
32256,62343,36900
32190,62383,36895
32084,62396,36852
32056,62332,36852
31944,62416,36807
31876,62445,36513
31928,62423,36653
32021,62445,36743
32064,62340,36719
32212,62407,36780
32324,62336,36495
32269,62397,36660
32184,62311,36649
32132,62404,36682
32036,62431,36417
31956,62468,36595
31992,62453,36636
32080,62436,36470
32150,62471,36519
32277,62439,36391
32408,62420,36489
32376,62335,36506
32276,62436,36182
32212,62452,36436
32124,62431,36396
32040,62471,36276
32124,62471,36332
32220,62471,36102
32260,62501,36297
32400,62423,36253
32504,62442,36135
32420,62471,36121
32308,62431,36188
32280,62471,36145
32172,62527,35807
32068,62455,35989
32141,62520,36037
32228,62524,36032
32295,62520,35960
32416,62436,35885
32508,62383,35816
32496,62495,35585
32408,62501,35666
32372,62461,35738
32252,62552,35727
32172,62560,35437
32264,62557,35591
32374,62519,35557
32408,62551,35553
32540,62421,35290
32676,62508,35303
32584,62519,35334
32508,62535,35297
32461,62461,35157
32400,62575,35145
32320,62599,35110
32404,62487,35054
32536,62599,34916
32576,62588,34964
32705,62568,34895
32820,62468,34868
32785,62572,34767
32680,62580,34661
32656,62470,34733
32577,62629,34660
32498,62624,34484
32609,62649,34430
32697,62632,34500
32754,62535,34481
32904,62612,34420
33036,62580,34374
32980,62599,34304
32916,62588,34193
32900,62625,34053
32801,62660,34168
32748,62663,34156
32828,62683,34107
32940,62659,33696
32968,62581,33900
33108,62651,33917
33221,62546,33935
33200,62647,33589
33136,62631,33765
33076,62663,33716
32992,62641,33540
32892,62727,33613
32932,62687,33616
33020,62725,33520
33095,62708,33439
33212,62692,33181
33300,62682,33244
33256,62623,33293
33156,62688,33345
33128,62688,33335
33024,62749,32950
32952,62676,33173
33020,62748,33159
33112,62680,33133
33192,62757,33021
33356,62727,32897
33464,62610,32822
33428,62705,32959
33344,62750,32919
33316,62713,32827
33194,62719,32737
33108,62807,32617
33164,62783,32738
33268,62791,32724
33324,62671,32724
33500,62744,32498
33632,62727,32609
33580,62749,32617
33488,62759,32606
33446,62756,32209
33316,62804,32493
33232,62788,32475
33348,62712,32437
33428,62791,32352
33479,62800,32279
33608,62775,32352
33726,62718,32372
33678,62764,32356
33584,62780,31973
33532,62705,32182
33420,62823,32239
33341,62792,32205
33430,62759,32119
33530,62820,32157
33572,62676,32148
33668,62721,32158
33756,62780,32068
33716,62775,31789
33644,62817,32008
33600,62804,32100
33452,62835,32064
33345,62813,31992
33404,62855,31719
33516,62748,31824
33544,62849,31883
33696,62800,31968
33772,62807,31956
33708,62831,31994
33580,62767,31981
33538,62832,31824
33392,62852,31804
33292,62888,31909
33324,62799,31943
33432,62870,31921
33469,62868,31800
33576,62852,31796
33663,62750,31869
33576,62839,31906
33504,62846,31876
33460,62871,31932
33288,62893,31821
33196,62833,31535
33256,62910,31706
33356,62892,31825
33400,62894,31901
33504,62785,31885
33588,62855,31857
33528,62855,31772
33428,62887,31733
33372,62880,31863
33244,62917,31893
33128,62951,31885
33180,62935,31701
33300,62816,31852
33310,62900,31909
33397,62889,31861
33500,62885,31860
33436,62895,31921
33340,62911,31746
33300,62910,31599
33188,62840,31646
33092,62900,31790
33144,62967,31829
33208,62967,31839
33252,62919,31848
33348,62876,31828
33464,62916,31725
33384,62941,31696
33296,62933,31820
33225,62933,31767
33124,62983,31824
33032,63013,31728
33116,62949,31423
33158,62964,31554
33205,62982,31652
33334,62949,31733
33406,62943,31712
33336,62951,31608
33256,62948,31536
33188,62961,31730
33088,62983,31677
32992,63028,31719
33089,63012,31353
33140,63015,31628
33184,62932,31689
33336,62951,31745
33452,62965,31644
33388,62970,31495
33300,62982,31674
33252,62980,31712
33144,63028,31704
33024,63045,31636
33077,62943,31533
33198,62957,31714
33253,63041,31708
33380,62983,31797
33465,62983,31685
33420,62983,31426
33308,62911,31687
33233,63016,31764
33112,63061,31821
33004,63079,31817
33108,63060,31487
33192,63063,31809
33242,63055,31813
33360,63005,31812
33428,62996,31528
33364,62943,31746
33232,62975,31887
33164,63038,31924
33032,63076,31960
32940,63065,31940
32992,63079,31728
33093,62976,31983
33128,63079,32010
33216,63015,31802
33301,63004,32034
33264,62973,32096
33172,62948,31915
33104,62924,32007
32984,63079,32088
32884,63100,32115
32932,63087,31808
33044,63084,32099
33072,63100,32183
33188,63064,32176
33288,62968,32236
33244,63031,32025
33140,63079,32136
33092,63031,32233
32980,63100,32242
32888,63127,32332
32928,63063,32293
33028,63044,31980
33057,63015,32319
33156,62983,32353
33252,62964,32117
33184,62983,32365
33100,63076,32398
33016,63079,32173
32908,63143,32420
32796,63159,32420
32884,63140,32519
32981,63095,32145
33016,63137,32386
33160,63100,32471
33241,62983,32485
33192,63103,32509
33120,63061,32566
33053,63092,32548
32928,63141,32511
32816,63163,32442
32920,63135,32594
33002,63140,32603
33040,63127,32504
33156,63109,32615
33268,63093,32629
33192,63095,32671
33084,63109,32417
33012,63135,32650
32897,63152,32688
32798,63188,32684
32860,63164,32660
32984,63159,32570
33016,63167,32721
33120,63028,32775
33212,63068,32733
33148,63077,32729
33076,63143,32495
33001,63140,32705
32892,63181,32785
32804,63188,32819
32828,63191,32882
32908,63199,32660
32952,63182,32879
33096,63158,32909
33204,63136,32529
33168,63140,32775
33070,63158,32887
33040,63164,32877
32916,63189,32917
32792,63207,32886
32848,63185,32729
32920,63195,32927
32969,63181,32974
33072,63165,32863
33196,63140,32901
33132,63148,33005
33018,63156,32988
32956,63097,33018
32888,63207,33002
32844,63231,32837
32936,63223,33014
32996,63221,33016
33024,63205,33077
33148,63183,32773
33232,63151,33053
33188,63079,33109
33080,63174,32775
33045,63184,33020
32916,63205,33053
32828,63141,33125
32920,63140,33133
33016,63149,32997
33076,63229,32907
33146,63092,33031
33220,63183,33053
33180,63184,33104
33052,63185,33154
33016,63189,33143
32898,63229,33175
32800,63239,32981
32889,63239,33156
32968,63175,33204
32984,63223,33237
33100,63212,32839
