ECG,EDA,RR
32340,59765,30357
32438,59772,30118
32504,59716,30357
32712,59679,30289
32744,59709,30319
32644,59745,30409
32616,59743,30282
32580,59685,30319
32458,59692,30374
32400,59797,30245
32442,59685,30416
32464,59783,30348
32412,59673,30400
32516,59741,30375
32556,59716,30332
32456,59747,30488
32388,59747,30152
32352,59759,30456
32248,59783,30416
32260,59815,30476
32344,59783,30496
32428,59741,30244
32458,59709,30511
32581,59741,30500
32672,59759,30472
32604,59751,30557
32500,59781,30468
32393,59767,30544
32229,59812,30557
32124,59812,30471
32204,59812,30511
32356,59807,30559
32452,59801,30561
32573,59692,30351
32596,59760,30604
32489,59716,30564
32384,59767,30444
32260,59732,30477
32089,59815,30599
32024,59721,30573
32056,59815,30372
32132,59835,30636
32220,59736,30599
32340,59774,30488
32436,59783,30621
32456,59783,30544
32360,59783,30500
32232,59823,30557
32040,59835,30342
31960,59693,30606
32062,59732,30532
32192,59820,30367
32256,59781,30568
32380,59797,30500
32388,59799,30349
32296,59713,30479
32164,59805,30468
32084,59799,30279
31955,59847,30512
31948,59832,30436
32088,59813,30181
32128,59845,30437
32188,59860,30421
32401,59805,30116
32497,59783,30394
32436,59823,30229
32388,59818,30434
32300,59719,30385
32092,59792,30200
32068,59874,30432
32160,59868,30372
32301,59798,30130
32360,59846,30394
32458,59847,30372
32504,59806,30170
32428,59830,30359
32341,59841,30354
32260,59831,30060
32124,59876,30365
32076,59831,30204
32228,59874,30364
32352,59880,30353
32340,59759,30058
32520,59834,30357
32524,59834,30197
32444,59828,30400
32264,59842,30336
32160,59868,30343
31993,59892,30429
31952,59903,30335
32038,59823,30468
32148,59879,30409
32284,59879,30406
32552,59780,30426
32633,59847,30422
32536,59765,30448
32416,59865,30393
32320,59775,30461
32192,59903,30439
32192,59903,30433
32342,59909,30476
32340,59847,30407
32368,59895,30498
32508,59847,30394
32500,59860,30532
32356,59809,30471
32176,59853,30585
31964,59877,30574
31648,59821,30621
31436,59911,30599
31393,59911,30533
31348,59911,30652
31316,59895,30357
31356,59808,30691
31357,59862,30635
31160,59895,30780
31000,59804,30753
30912,59911,30489
31124,59967,30807
31884,59870,30749
32976,59945,30897
34191,59968,30900
35236,59873,30655
35892,59951,31028
36132,59887,30791
35856,59887,31088
35252,59967,30950
34864,59911,31108
34908,59911,31104
35296,60014,31239
35664,60015,31185
35716,59999,31317
35452,59968,31327
35128,59852,31301
34680,59911,31434
34226,59840,31441
33796,59940,31611
33360,59988,31606
32852,59999,31444
32468,60007,31702
32304,59961,31468
32180,59996,31797
32021,59911,31687
31974,59949,31879
31982,59959,31765
31912,59863,32026
31920,59951,31929
31972,59973,32152
31768,59997,32164
