ECG,EDA,RR
30964,51772,37071
31108,51778,37017
31264,51701,37085
31304,51687,37056
31456,51671,37188
31546,51669,37151
31472,51719,37297
31345,51737,37199
31228,51719,37294
31096,51775,37171
31109,51748,37181
31228,51779,37288
31384,51766,37215
31504,51687,37220
31752,51711,37305
31872,51708,37191
31832,51660,37221
31732,51719,37208
31640,51660,37134
31416,51743,37191
31288,51797,37135
31348,51719,37135
31508,51740,37121
31686,51751,37234
31940,51713,37132
32056,51716,37255
32000,51646,37112
31905,51668,37229
31812,51719,37108
31644,51781,37127
31596,51795,37064
31702,51759,37069
31816,51764,37071
31916,51753,37105
32160,51643,37039
32276,51652,37046
32268,51651,37083
32209,51700,37056
32165,51719,37061
31993,51791,37172
31920,51752,37056
32013,51768,36996
32148,51767,37037
32228,51757,37045
32457,51719,36990
32584,51710,37117
32600,51719,37056
32545,51652,37172
32525,51719,37060
32440,51791,37171
32396,51783,37048
32452,51778,37175
32560,51740,37052
32504,51702,37101
32496,51750,37015
32544,51719,37012
32500,51749,37077
32512,51759,36993
32569,51755,36992
32508,51769,37124
32472,51799,36964
32504,51776,36871
32492,51778,37039
32544,51775,36986
32644,51663,37092
32720,51660,36935
32676,51695,36932
32555,51684,36868
32496,51775,37015
32352,51799,36893
32320,51813,36871
32449,51793,36992
32518,51777,36905
32476,51781,36981
32501,51709,36890
32512,51655,36997
32364,51744,36860
32250,51764,36992
32284,51719,36849
32172,51780,36975
32100,51791,36833
32208,51804,36789
32364,51693,36831
32440,51692,36794
32561,51674,36936
32612,51740,36818
32584,51749,36766
32536,51751,36813
32517,51748,36813
32412,51752,36812
32320,51784,36759
32324,51783,36741
32432,51693,36868
32428,51719,36764
32536,51750,36684
32685,51733,36788
32612,51740,36752
32520,51667,36825
32508,51718,36743
32416,51772,36636
32308,51791,36676
32372,51719,36612
32508,51781,36679
32584,51751,36645
32756,51740,36678
32876,51719,36706
32912,51719,36636
32809,51673,36716
32668,51719,36622
32530,51764,36653
32416,51783,36615
32517,51782,36635
32608,51701,36592
32760,51780,36780
32992,51702,36655
33100,51717,36768
33016,51649,36669
32896,51741,36764
32833,51740,36628
32704,51776,36687
32672,51706,36629
32756,51793,36735
32876,51783,36737
