ECG,EDA,RR
32428,53761,31884
32344,53703,32006
32228,53692,32030
32036,53612,32063
31816,53713,31975
31684,53696,31915
31552,53702,32019
31360,53725,32056
31286,53760,32108
31424,53740,32068
31760,53757,31912
32580,53687,32044
33680,53728,32095
34896,53714,32112
36168,53743,32201
37313,53764,32132
38144,53767,31951
38536,53823,32040
38488,53734,32141
38192,53814,32151
37964,53804,32204
37900,53752,32191
37768,53737,32111
37336,53759,32165
36800,53740,32210
36158,53728,32228
35397,53791,32228
34636,53799,32237
34016,53708,32113
33612,53791,32293
33289,53767,32309
33028,53737,32385
32868,53623,32141
32656,53740,32232
32405,53717,32293
32253,53685,32396
32128,53767,32405
32026,53727,32468
32016,53767,32524
32044,53663,32444
32076,53761,32315
32120,53710,32465
32176,53703,32496
32176,53607,32581
32120,53724,32437
32037,53703,32375
31975,53728,32536
31884,53669,32539
31916,53717,32655
31968,53750,32385
31990,53751,32561
32084,53689,32595
32184,53679,32388
32184,53676,32578
32140,53687,32580
32120,53697,32625
32044,53636,32413
31952,53759,32519
31976,53718,32573
32046,53732,32621
32104,53631,32613
32172,53705,32637
32256,53652,32632
32276,53668,32646
32260,53692,32693
32265,53676,32648
32180,53639,32675
32080,53749,32689
32109,53727,32718
32168,53712,32772
32236,53728,32823
32336,53635,32600
32445,53663,32699
32416,53679,32806
32356,53661,32740
32337,53671,32499
32292,53638,32603
32200,53669,32646
32232,53712,32485
32268,53631,32468
32311,53718,32487
32393,53673,32484
32474,53599,32476
32488,53631,32439
32444,53669,32448
32400,53660,32436
32320,53711,32456
32222,53716,32388
32261,53712,32331
32328,53694,32308
32396,53615,32449
32448,53661,32551
32556,53639,32497
32568,53671,32484
32505,53631,32311
32473,53663,32212
32405,53684,32149
32364,53715,32142
32364,53695,32111
32452,53711,32204
32516,53712,32108
32588,53663,32004
32684,53628,31988
32670,53636,31991
32610,53661,32035
32552,53620,32023
32500,53639,32031
32437,53708,31999
32448,53631,31950
32548,53695,31805
32608,53671,31852
32670,53677,31880
32796,53639,31887
32828,53575,31876
32797,53677,31847
32756,53646,31818
32680,53693,31821
32584,53628,31748
32616,53720,31561
32684,53687,31612
32724,53700,31675
32805,53678,31669
32912,53663,31634
32912,53639,31649
32864,53663,31494
32820,53662,31513
32770,53700,31486
32677,53712,31485
32685,53717,31433
32716,53676,31423
32720,53694,31380
32764,53693,31373
32880,53560,31391
32868,53668,31261
32816,53639,31102
32760,53661,31143
32676,53621,31172
32576,53724,31140
32576,53704,31154
32648,53703,31001
32704,53700,31040
32780,53670,30975
32864,53557,30898
32848,53663,30938
32764,53579,30900
32720,53663,30886
32653,53703,30825
32568,53629,30651
32568,53729,30765
32644,53695,30727
32676,53613,30727
32744,53695,30711
32852,53637,30544
32858,53648,30519
32784,53605,30596
32764,53668,30573
32708,53685,30535
32608,53639,30614
32620,53685,30397
32664,53657,30356
32700,53681,30452
32784,53583,30441
32862,53629,30414
32884,53639,30375
32816,53663,30419
32800,53655,30192
32734,53620,30343
32640,53695,30309
32656,53629,30380
32740,53663,30364
32812,53681,30090
32880,53597,30111
32960,53639,30244
32948,53623,30237
32884,53623,30294
32836,53573,30036
32766,53599,30194
32656,53703,30188
32648,53653,30260
32696,53668,29984
