ECG,EDA,RR
32636,20756,26332
32624,20746,26276
32580,20758,26248
32500,20784,26283
32452,20785,26364
32396,20807,26213
32372,20814,26375
32396,20805,26327
32437,20803,26380
32480,20782,26223
32460,20788,26308
32433,20785,26396
32449,20783,26353
32512,20809,26398
32560,20821,26408
32600,20841,26276
32636,20849,26368
32688,20836,26367
32712,20839,26436
32740,20821,26287
32708,20806,26465
32744,20813,26375
32768,20835,26372
32708,20845,26292
32580,20867,26493
32484,20882,26420
32488,20885,26361
32480,20885,26313
32444,20859,26397
32488,20855,26501
32486,20845,26464
32536,20847,26448
32604,20858,26359
32677,20885,26460
32768,20894,26445
32985,20912,26523
33236,20903,26359
33552,20905,26429
33852,20900,26528
34088,20871,26437
34256,20869,26436
34455,20876,26462
34736,20881,26496
35064,20902,26522
35360,20927,26384
35576,20953,26460
35808,20951,26557
36088,20952,26422
36480,20955,26383
36660,20933,26580
36168,20920,26550
35280,20931,26441
34200,20941,26592
33116,20966,26550
32372,20973,26476
31840,20991,26462
31316,20999,26581
30996,20998,26554
31180,20969,26490
31608,20958,26472
32068,20951,26616
32448,20957,26574
32708,20956,26605
32812,20977,26471
32924,20993,26469
32984,21007,26551
32981,21017,26601
32893,20999,26441
32829,20987,26561
32740,20980,26515
32704,20965,26452
32676,20973,26570
32688,20979,26627
32756,21005,26503
32788,21025,26595
32832,21029,26535
32849,21041,26633
32898,21036,26567
32940,21012,26631
32997,20999,26497
33020,20985,26458
33036,20994,26669
33088,20999,26615
33096,21024,26645
33080,21030,26484
33020,21055,26660
32952,21068,26614
32925,21044,26653
32956,21049,26492
32992,21021,26680
33028,21017,26604
33064,21007,26559
33076,21025,26498
33060,21039,26685
33017,21063,26656
32980,21069,26695
32960,21084,26557
32936,21069,26536
32961,21063,26663
32924,21036,26759
32933,21038,26669
32904,21036,26768
32862,21050,26637
32789,21071,26777
32752,21083,26796
32776,21104,26839
32816,21103,26722
32857,21087,26730
32820,21085,26806
32797,21057,26890
32793,21061,26789
32824,21068,26913
32820,21069,26919
32796,21095,26935
32805,21117,26980
32868,21114,27009
32932,21124,27015
32914,21106,27051
32956,21096,26935
32992,21095,26900
33044,21084,27039
33100,21088,27073
33092,21087,27106
33060,21108,26941
33040,21130,27063
33020,21135,27120
33000,21143,27033
32941,21125,26982
32888,21121,27097
32892,21101,27168
32924,21101,27104
32989,21093,27105
33126,21106,27057
33200,21143,27155
33252,21144,27013
33308,21161,27004
33372,21152,27167
33376,21151,27042
33416,21130,27109
33420,21122,27127
33432,21111,27124
33516,21114,27031
33584,21132,27032
33556,21141,27037
33549,21167,27108
33552,21173,26956
33564,21186,27102
33516,21162,27013
33480,21155,27088
33405,21133,26996
33381,21127,26978
33384,21139,27111
33348,21135,27057
33320,21157,27071
33292,21173,26973
33308,21184,26908
33320,21188,27029
33312,21182,26922
33244,21160,27024
33161,21161,26988
33080,21140,27047
32972,21157,26933
32916,21159,26965
32848,21167,26948
32804,21193,27037
32796,21206,26861
32824,21209,27061
32844,21193,27011
32800,21184,26978
32815,21163,26924
32788,21153,26845
32728,21156,27021
32640,21166,27005
32556,21185,26869
32495,21196,26973
32436,21215,26956
32436,21209,26985
32480,21207,26829
32504,21190,26903
32532,21185,26924
