ECG,EDA,RR
32468,20289,36660
32528,20266,36655
32560,20245,36505
32548,20228,36591
32565,20217,36450
32572,20221,36554
32600,20231,36687
32597,20269,36453
32616,20277,36532
32588,20281,36549
32620,20277,36439
32576,20255,36521
32556,20237,36505
32532,20215,36413
32540,20210,36581
32548,20223,36435
32528,20228,36212
32576,20255,36369
32560,20257,36503
32533,20274,36313
32529,20253,36093
32536,20240,36325
32564,20244,36316
32596,20215,36248
32592,20206,35990
32592,20215,36044
32642,20223,36103
32640,20241,36116
32640,20257,36248
32593,20255,36181
32608,20257,36013
32613,20238,36061
32604,20225,35829
32612,20204,36132
32624,20192,35975
32648,20194,35734
32676,20225,35932
32697,20237,36037
32724,20247,35796
32692,20247,35887
32668,20244,35771
32666,20225,35919
32648,20217,35809
32665,20198,35693
32652,20190,35858
32613,20184,35625
32640,20191,35676
32670,20231,35424
32704,20231,35545
32728,20244,35660
32745,20231,35540
32736,20245,35558
32704,20210,35429
32705,20193,35588
32720,20183,35436
32688,20180,35263
32694,20201,35513
32700,20215,35316
32704,20234,35353
32724,20231,35135
32720,20222,35231
32748,20231,35305
32775,20206,35197
32756,20186,35110
32720,20180,35149
32716,20189,34886
32704,20189,35105
32709,20204,35060
32725,20231,34997
32736,20235,34981
32758,20231,34969
32792,20197,34889
32788,20189,34877
32780,20179,34713
32756,20167,34886
32750,20171,34840
32780,20178,34686
32780,20205,34708
32796,20200,34575
32840,20225,34733
32885,20217,34580
32896,20192,34332
32924,20180,34436
32928,20167,34455
32888,20168,34431
32858,20161,34412
32852,20168,34270
32832,20189,34417
32816,20231,34224
32772,20204,34196
32736,20231,34218
32712,20202,34054
32718,20181,34113
32660,20167,34037
32637,20157,34050
32601,20152,34116
32636,20159,33941
32677,20197,33934
32757,20204,33815
32756,20212,33848
32784,20209,33821
32769,20182,33711
32797,20162,33669
32808,20145,33687
32784,20157,33447
32788,20151,33652
32809,20159,33535
32812,20169,33559
32845,20196,33415
32916,20204,33564
32920,20191,33433
32972,20169,33236
32992,20168,33465
32976,20148,33325
32920,20132,33199
32896,20146,33177
32888,20153,33049
32848,20165,33132
32828,20187,33159
32869,20185,32925
32876,20181,33188
32892,20180,33069
32917,20160,33109
32896,20131,32992
32888,20125,32801
32912,20150,32860
32911,20146,32801
32912,20160,32647
32932,20171,32805
32940,20190,32708
32933,20176,32575
32936,20165,32672
32924,20143,32588
32921,20137,32439
32924,20122,32647
32956,20123,32543
33004,20137,32372
33084,20167,32548
33169,20169,32381
33295,20166,32252
33532,20162,32413
33860,20177,32249
34144,20145,32324
34416,20126,32180
34684,20117,32233
34896,20125,32263
35208,20132,32173
35556,20151,32020
35857,20174,32116
36110,20177,32065
36404,20172,31849
36712,20162,31942
37092,20141,31902
37476,20145,31748
37406,20133,31811
36800,20150,31803
35900,20149,31669
34720,20177,31867
33669,20189,31751
32776,20182,31732
31905,20193,31564
31264,20171,31729
31140,20143,31591
31424,20131,31442
31868,20132,31470
32304,20128,31474
32641,20133,31525
32854,20144,31372
32961,20173,31421
32980,20181,31460
32948,20162,31309
32916,20161,31409
32884,20147,31380
32826,20133,31292
32812,20113,31239
32776,20115,31134
32768,20129,31359
32752,20154,31162
32744,20149,31238
32740,20165,31116
32736,20154,31176
32732,20155,31157
32744,20116,31098
32752,20114,31119
32752,20111,31109
32732,20097,30983
32729,20129,31153
32756,20143,31060
32796,20135,30917
32796,20164,31103
32776,20147,31005
32800,20127,30858
32825,20124,31004
32840,20097,30965
32852,20081,30813
32856,20097,30868
32809,20113,30765
32853,20137,30910
32894,20132,30701
32920,20153,30900
32900,20143,30857
32904,20116,30704
32864,20109,30892
32900,20085,30825
32900,20111,30672
32868,20085,30776
32872,20096,30804
32892,20111,30636
32880,20148,30664
32904,20140,30799
32925,20135,30686
32944,20106,30788
32968,20089,30617
32988,20085,30661
33016,20078,30769
33016,20087,30833
33054,20093,30766
33060,20109,30752
33060,20127,30804
33092,20127,30632
33124,20115,30705
33136,20102,30799
33144,20076,30818
33156,20068,30701
33176,20059,30797
33174,20076,30618
33172,20092,30802
33188,20109,30709
33200,20110,30772
33212,20113,30644
33232,20137,30724
33256,20106,30813
33285,20085,30720
33300,20068,30700
33364,20065,30727
33352,20066,30708
33388,20076,30513
33380,20086,30693
33376,20103,30665
33384,20108,30596
33364,20102,30632
33384,20084,30436
33392,20068,30461
33380,20071,30524
33388,20060,30559
33388,20061,30489
33404,20079,30516
33404,20087,30351
33404,20103,30348
33380,20111,30412
33409,20105,30444
33413,20083,30412
33384,20069,30404
33372,20057,30214
33316,20044,30262
33288,20047,30407
33262,20063,30228
33244,20076,30316
33228,20105,30140
33232,20106,30152
33220,20100,30308
33164,20089,30144
33124,20067,30224
33112,20060,30063
33100,20049,30105
33052,20047,30085
33032,20059,30156
33004,20075,30043
32908,20085,30151
32868,20091,30072
32808,20095,29925
32768,20085,30052
32676,20067,29980
32632,20043,30040
32544,20039,30028
32480,20048,29828
32438,20057,29920
32384,20068,29965
32304,20084,29919
32272,20101,29788
32236,20093,29829
32228,20071,29905
32193,20050,29870
32200,20034,29725
32188,20026,29867
32140,20045,29828
32112,20052,29836
32128,20069,29740
32129,20087,29658
32128,20080,29718
32128,20069,29663
32121,20080,29740
32096,20055,29546
32076,20032,29741
32103,20031,29668
32112,20025,29512
32092,20050,29699
32076,20065,29512
32084,20065,29682
32044,20079,29623
32044,20074,29562
32072,20046,29604
32112,20044,29567
32109,20031,29580
32128,20010,29453
32144,20031,29536
32160,20041,29397
32164,20049,29517
32184,20075,29377
32212,20080,29559
32166,20057,29380
32180,20058,29445
32212,20045,29386
32236,20016,29588
32252,20017,29486
32294,20014,29386
32320,20037,29428
32328,20052,29369
32344,20055,29503
32372,20055,29460
32368,20064,29528
32384,20043,29361
32404,20025,29513
32388,20004,29409
32421,19996,29365
32430,20013,29556
32458,20022,29511
32448,20037,29359
32460,20041,29486
32484,20046,29509
32500,20047,29352
32504,20037,29533
32508,20016,29508
32517,19997,29340
32510,20001,29433
32520,20002,29501
32468,20008,29356
32480,20029,29509
32508,20057,29505
32528,20055,29345
32504,20043,29484
32510,20037,29472
32464,20004,29508
32432,19993,29341
32384,19993,29484
32381,19993,29492
32404,20009,29524
32413,20029,29356
32440,20034,29382
32484,20050,29425
32472,20039,29527
32480,20022,29361
32500,19996,29472
32516,19996,29541
32492,19983,29533
32520,20004,29378
32512,19996,29565
32540,20020,29371
32564,20047,29372
32556,20028,29580
32568,20028,29448
32552,20024,29533
32544,19999,29500
32574,19983,29445
32548,19969,29501
32533,19980,29532
32528,20005,29373
32552,20016,29510
32549,20021,29540
32545,20039,29373
32541,20025,29434
32544,20009,29557
32576,19985,29502
32580,19989,29541
32573,19975,29402
32608,19973,29548
32596,20004,29516
32585,20012,29429
32586,20021,29439
32561,20025,29574
32580,20020,29540
32576,19996,29386
32561,20002,29596
32576,19975,29461
32588,19969,29552
32584,19975,29397
32577,19988,29428
32556,20019,29561
32576,20013,29567
32556,20012,29486
32549,20005,29591
32580,19986,29441
32584,19981,29492
32560,19967,29604
32592,19959,29612
32566,19966,29474
32557,19975,29594
32544,19997,29695
32597,20015,29638
32576,20026,29609
32602,20007,29562
32572,19991,29652
32608,19969,29653
32596,19959,29647
32606,19961,29701
32636,19967,29718
32656,19975,29552
32660,19990,29624
32648,20010,29798
32684,20013,29674
32728,20005,29780
32712,19989,29630
32724,19960,29757
32704,19948,29868
32696,19943,29750
32678,19953,29785
32680,19969,29863
32664,19999,29881
32696,20012,29908
32692,20009,29925
32700,19998,29789
32725,19982,29812
32716,19969,29978
32748,19942,29959
32772,19939,29918
32768,19945,30024
32724,19975,29901
32686,19983,30125
32708,19998,30066
32708,19997,30095
32713,19986,29950
32676,19967,29988
32676,19956,30000
32676,19943,30135
32645,19935,30196
32584,19944,30204
32546,19948,30087
32504,19982,30159
32464,19990,30249
32472,19999,30092
32532,19990,30129
32568,19975,30301
32588,19957,30220
32620,19939,30346
32644,19940,30225
32640,19939,30388
32656,19952,30380
32660,19969,30382
32648,19982,30245
32676,19981,30248
32704,19972,30280
32736,19957,30430
32733,19932,30501
32728,19921,30447
32741,19924,30508
32781,19951,30369
32733,19959,30492
32704,19972,30590
32696,19982,30466
32692,19975,30569
32696,19972,30464
