ECG,EDA,RR
32637,24385,39584
32644,24369,39722
32668,24360,39469
32700,24351,39554
32668,24351,39516
32686,24356,39461
32670,24364,39588
32646,24388,39431
32640,24396,39441
32664,24399,39372
32668,24388,39499
32740,24368,39353
32792,24358,39124
32804,24357,39324
32804,24351,39316
32832,24357,39245
32814,24370,39384
32772,24391,39240
32812,24389,38985
32828,24389,39204
32860,24390,39366
32896,24371,39205
32900,24359,39214
32878,24346,39175
32873,24351,39301
32887,24359,38905
32889,24372,39149
32925,24380,39287
32948,24393,39252
32960,24391,39152
32942,24386,38852
32948,24375,39134
32972,24354,39055
32988,24358,39133
32994,24353,38853
32933,24359,39072
32988,24372,39029
33040,24388,39061
33072,24397,39094
33096,24396,38850
33112,24389,38943
33148,24383,39040
33172,24364,38877
33177,24354,38957
33180,24359,38862
33196,24367,38982
33181,24375,38852
33180,24390,38772
33208,24400,38908
33250,24404,38717
33272,24392,38773
33300,24385,38716
33305,24366,38682
33360,24357,38684
33380,24354,38621
33352,24367,38604
33368,24374,38644
33368,24396,38559
33380,24402,38455
33389,24399,38576
33388,24393,38233
33384,24386,38397
33392,24366,38500
33413,24359,38148
33400,24359,38306
33413,24372,38377
33348,24385,37983
33340,24399,38317
33336,24403,37933
33320,24400,38207
33278,24394,37894
33264,24383,38076
33240,24368,38165
33200,24359,38032
33192,24356,38007
33156,24367,38070
33156,24384,37693
33153,24388,38012
33096,24406,37639
33008,24404,37781
32928,24399,37849
32864,24384,37831
32780,24362,37831
32706,24359,37692
32628,24360,37637
32592,24365,37637
32576,24380,37718
32516,24392,37765
32484,24413,37671
32454,24400,37727
32380,24393,37358
32300,24382,37548
32308,24362,37670
32268,24361,37460
32248,24356,37489
32234,24372,37604
32212,24383,37508
32132,24391,37223
32100,24398,37439
32148,24403,37460
32178,24388,37471
32148,24385,37302
32132,24369,37135
32108,24358,37374
32040,24357,37252
32044,24372,37361
32068,24379,37064
32052,24388,37208
32076,24405,37327
32104,24403,37180
32076,24395,37252
32064,24373,37127
32072,24365,37276
32096,24357,37100
32103,24353,37196
32136,24367,37072
32160,24374,37219
32156,24391,36903
32172,24399,37073
32216,24401,37138
32260,24395,37159
32216,24377,37004
32200,24361,36832
32192,24356,37054
32160,24356,36935
32172,24363,37063
32180,24375,36748
32184,24388,37077
32233,24399,36868
32224,24399,36949
32246,24388,37029
32276,24366,36836
32289,24365,36917
32350,24351,36845
32380,24351,36783
32324,24358,36871
32312,24376,36740
32292,24388,36836
32320,24397,36893
32348,24396,36855
32344,24385,36764
32337,24373,36679
32340,24360,36511
32357,24350,36737
32340,24357,36676
32348,24356,36665
32340,24374,36676
32360,24389,36541
32380,24395,36652
32412,24393,36621
32392,24385,36516
32408,24370,36558
32420,24356,36332
32472,24346,36572
32497,24352,36535
32500,24354,36483
32505,24372,36559
32508,24396,36369
32492,24392,36455
32496,24395,36368
32504,24388,36462
32477,24372,36322
32504,24357,36258
32540,24351,36103
32564,24357,36292
32548,24357,36373
32536,24372,36188
32528,24388,36261
32559,24389,36132
32548,24398,36182
32544,24385,35947
32584,24366,36065
32608,24361,36089
32608,24358,36097
32628,24353,35975
32677,24359,36116
32656,24377,35941
32648,24391,35974
32630,24404,35879
32628,24398,35948
32560,24389,35689
32533,24373,35871
32544,24360,35815
32560,24356,35847
32568,24355,35684
32580,24370,35724
32592,24376,35703
32604,24389,35637
32604,24398,35612
32608,24399,35514
32660,24398,35658
32614,24377,35494
32588,24364,35299
32628,24357,35502
32640,24367,35398
32620,24366,35405
32640,24386,35412
32624,24404,35218
32645,24397,35129
32692,24405,35308
32680,24399,35271
32640,24381,35237
32592,24373,35266
32596,24359,35154
32608,24361,35025
32634,24367,34909
32676,24385,35064
32652,24398,34949
32676,24407,35073
32664,24405,34956
32641,24398,34837
32608,24388,34724
32653,24373,34868
32632,24362,34904
32676,24364,34878
32708,24377,34764
32761,24392,34620
32736,24404,34758
32736,24407,34717
32764,24415,34677
32788,24400,34645
32808,24396,34632
32800,24374,34639
32745,24373,34598
32677,24372,34531
32696,24383,34513
32640,24391,34500
32628,24408,34554
32724,24420,34557
32737,24418,34438
32770,24412,34342
32760,24394,34444
32768,24385,34425
32801,24386,34353
32768,24375,34303
32740,24384,34292
32796,24404,34284
32760,24412,34391
32696,24425,34260
32732,24423,34157
32744,24410,34113
32712,24402,34060
32704,24390,34029
32673,24372,34220
32676,24381,34205
32672,24396,34165
32716,24404,34073
32656,24421,34205
