ECG,EDA,RR
32364,27836,34023
32360,27812,34084
32364,27783,34268
32376,27764,34271
32413,27767,34572
32424,27780,34533
32480,27797,34724
32484,27813,34965
32473,27837,35080
32508,27831,35068
32460,27811,35297
32316,27796,35367
32276,27765,35564
32332,27747,35637
32336,27748,35609
32328,27756,35950
32376,27772,35997
32528,27799,35986
32600,27812,36193
32672,27812,36128
32668,27796,36316
32605,27761,36385
32520,27746,36548
32452,27726,36511
32492,27722,36824
32568,27735,36880
32484,27749,36868
32376,27783,36968
32448,27783,36927
32528,27783,37276
32536,27775,37314
32464,27745,37372
32480,27723,37428
32504,27703,37433
32465,27703,37541
32420,27718,37535
32436,27734,37732
32460,27749,37614
32480,27770,37988
32481,27767,37992
32484,27748,37959
32408,27729,38162
32389,27703,38217
32372,27684,38249
32420,27676,38356
32465,27690,38421
32516,27713,38479
32528,27735,38529
32508,27746,38636
32496,27746,38772
32468,27726,38780
32528,27706,38869
32548,27679,38873
32508,27669,38753
32444,27655,39141
32604,27679,39087
32680,27697,39076
32704,27717,39245
32680,27732,39345
32636,27733,39479
32594,27716,39481
32596,27692,39573
32616,27665,39523
32672,27649,39684
32700,27648,39837
32736,27660,39804
32756,27689,39828
32757,27711,39864
32776,27716,40061
32740,27712,39996
32664,27707,40132
32572,27677,40052
32584,27651,40383
32644,27641,40372
32608,27636,40332
32549,27649,40455
32564,27676,40517
32664,27695,40496
32814,27704,40616
32840,27706,40471
32744,27693,40924
32752,27671,40844
32728,27645,40957
32613,27631,40661
32536,27631,41026
32516,27643,41077
32536,27667,41089
32588,27685,41079
32654,27698,41105
32645,27696,41189
32641,27683,41198
32573,27655,41348
32560,27621,41295
32556,27623,41556
32556,27623,41380
32584,27625,41533
32572,27655,41436
32584,27673,41696
32564,27687,41588
32576,27685,41524
32568,27666,41599
32529,27639,41545
32476,27623,41618
32497,27600,41437
32505,27604,41703
32520,27616,41761
32526,27636,41787
32532,27655,41880
32508,27678,41797
32516,27683,41911
32489,27652,41829
32500,27625,41900
32598,27605,41820
32573,27590,41684
32552,27591,41745
32516,27605,41805
32540,27626,41845
32556,27652,41807
32592,27655,41637
32692,27655,41863
32848,27636,41681
32980,27612,41445
33220,27594,41764
33605,27578,41699
33952,27573,41808
34168,27587,41692
34332,27611,41546
34526,27633,41566
34692,27645,41313
34824,27641,41673
34896,27631,41560
34866,27597,41663
34900,27580,41479
35109,27575,41476
35220,27574,41551
35032,27594,41430
34320,27620,41259
33576,27646,41277
32696,27655,41201
32044,27661,41248
31560,27650,41240
31109,27616,41078
30656,27599,41197
30744,27579,41093
31165,27570,40735
31644,27589,40893
32124,27597,40863
32404,27620,40873
32596,27625,40922
32636,27625,40735
32548,27602,40701
32572,27586,40696
32484,27559,40544
32528,27543,40450
32504,27546,40310
32520,27557,40324
32505,27577,40136
32480,27601,40221
32524,27609,39973
32528,27607,39716
32604,27580,39943
32588,27559,39687
32452,27537,39653
32381,27524,39431
32442,27524,39412
32536,27529,39301
32552,27558,39060
32576,27581,39136
32492,27588,38932
32452,27585,38776
32504,27572,38436
32548,27543,38593
32556,27521,38364
32570,27505,38303
32528,27511,38076
32565,27516,37989
32564,27537,37753
32556,27557,37640
32561,27564,37461
32572,27573,37228
32578,27553,37133
32564,27527,36870
32569,27501,36735
32544,27487,36436
32592,27491,36477
32676,27503,36108
32711,27526,36169
32740,27544,35936
