ECG,EDA,RR
32144,25223,32800
32164,25214,32596
32142,25200,32639
32088,25179,32608
32064,25167,32699
32085,25168,32584
32100,25169,32725
32068,25186,32557
32080,25205,32697
32110,25218,32724
32172,25215,32593
32216,25215,32713
32237,25189,32565
32240,25169,32643
32172,25159,32618
32132,25157,32751
32184,25161,32669
32224,25173,32589
32288,25195,32711
32289,25207,32774
32328,25214,32587
32352,25204,32769
32344,25189,32732
32320,25163,32696
32321,25151,32709
32313,25143,32617
32321,25148,32704
32364,25170,32646
32400,25184,32720
32440,25207,32581
32572,25201,32692
32604,25195,32732
32580,25175,32713
32534,25158,32748
32468,25148,32542
32424,25135,32684
32412,25149,32552
32442,25159,32620
32472,25177,32548
32524,25196,32718
32556,25189,32700
32576,25188,32721
32608,25168,32669
32597,25149,32536
32586,25134,32590
32540,25132,32568
32516,25140,32668
32500,25148,32551
32476,25168,32660
32508,25182,32693
32560,25188,32566
32573,25181,32598
32576,25165,32555
32556,25141,32612
32532,25129,32560
32500,25125,32618
32516,25128,32565
32504,25143,32629
32528,25160,32581
32528,25176,32641
32556,25175,32610
32557,25168,32597
32556,25153,32658
32568,25143,32732
32540,25121,32743
32524,25116,32727
32524,25119,32660
32559,25139,32687
32608,25155,32708
32629,25170,32741
32620,25175,32775
32644,25167,32748
32654,25149,32644
32640,25133,32615
32640,25114,32722
32596,25109,32749
32609,25119,32759
32608,25134,32740
32620,25148,32767
32592,25170,32782
32576,25169,32757
32592,25157,32806
32597,25138,32612
32616,25124,32815
32612,25109,32785
32610,25094,32830
32636,25115,32628
32641,25127,32805
32680,25145,32800
32672,25154,32839
32689,25158,32815
32702,25150,32855
32704,25138,32836
32684,25114,32852
32672,25100,32869
32573,25095,32910
32533,25102,32895
32532,25125,32965
32580,25141,32911
32613,25154,32818
32620,25159,32948
32604,25145,32836
32576,25127,33021
32596,25117,33039
32616,25092,33048
32636,25090,33040
32628,25095,32951
32632,25117,33057
32632,25137,32997
32670,25148,33175
32658,25156,33090
32668,25141,33117
32652,25121,33319
32548,25108,33319
32494,25090,33209
32460,25086,33306
32477,25095,33226
32528,25113,33481
32549,25137,33469
32592,25149,33416
32592,25150,33527
32612,25143,33580
32600,25126,33573
32584,25103,33553
32612,25089,33623
32628,25087,33615
32600,25092,33656
32636,25108,33732
32652,25130,33532
32700,25147,33733
32716,25151,33556
32720,25139,33792
32756,25125,33785
32768,25103,33766
32724,25089,33823
32672,25080,33799
32596,25089,33846
32602,25112,33832
32652,25124,33754
32708,25140,33883
32764,25149,33940
32790,25138,33941
32744,25125,33853
32701,25095,33772
32677,25092,33885
32732,25084,33837
32770,25090,33927
32805,25103,33888
32840,25126,34028
32832,25138,34050
32784,25145,34052
32732,25131,33999
32676,25125,34084
32600,25095,34137
32580,25076,33917
32596,25080,34111
32600,25093,33949
32612,25109,34212
32672,25122,33982
32733,25134,34221
32768,25142,34040
32748,25130,34212
32752,25117,34037
32720,25095,34243
32712,25087,34255
32725,25078,34336
32668,25090,34294
32672,25103,34381
32708,25119,34149
