ECG,EDA,RR
32680,21585,32960
32736,21600,32961
32729,21605,32884
32768,21615,33062
32824,21632,32996
32964,21628,32903
33056,21639,32892
33060,21611,32828
33116,21604,33027
33158,21586,33009
33188,21587,32982
33196,21586,33092
33176,21607,33013
33150,21629,32959
33088,21628,32895
33060,21639,32999
33144,21631,32968
33216,21621,32887
33244,21601,33055
33264,21586,32976
33242,21583,32839
33189,21597,32817
33176,21605,32806
33164,21616,32754
33200,21628,32768
33204,21638,32732
33224,21625,32856
33268,21625,32845
33288,21605,32820
33309,21589,32701
33292,21581,32807
33317,21589,32645
33329,21599,32753
33313,21622,32681
33296,21636,32760
33328,21636,32556
33320,21628,32677
33312,21620,32669
33336,21604,32609
33392,21581,32511
33432,21588,32421
33424,21591,32562
33453,21609,32587
33472,21631,32429
33428,21628,32348
33344,21639,32428
33245,21633,32436
33097,21613,32498
32976,21600,32473
32924,21593,32383
32828,21584,32473
32688,21586,32250
32576,21613,32357
32480,21631,32456
32396,21631,32213
32380,21637,32391
32392,21629,32421
32444,21627,32225
32464,21603,32345
32416,21596,32308
32436,21588,32356
32452,21597,32176
32436,21615,32297
32372,21628,32256
32300,21643,32164
32168,21631,32126
32096,21634,32038
32041,21629,32041
32000,21601,32212
31960,21589,32093
31996,21595,32239
32056,21591,32046
32084,21621,32148
32088,21621,32124
32036,21636,31992
31950,21645,32119
31808,21636,32132
31713,21620,31956
31648,21609,32071
31656,21588,32015
31688,21591,31940
31672,21598,32060
31696,21615,31876
31736,21630,31809
31800,21631,31989
31920,21644,31885
32064,21631,31988
32176,21622,31780
32244,21605,31764
32293,21592,31815
32316,21596,31932
32328,21597,31936
32248,21613,31909
32236,21617,31813
32224,21636,31922
32232,21650,31892
32257,21637,31700
32250,21618,31692
32232,21601,31868
32228,21596,31829
32240,21601,31852
32277,21595,31724
32268,21614,31648
32288,21619,31829
32385,21638,31821
32457,21639,31848
32524,21639,31812
32574,21617,31677
32600,21609,31672
32616,21601,31684
32605,21588,31671
32582,21599,31804
32540,21605,31817
32516,21629,31713
32488,21635,31836
32476,21636,31632
32428,21636,31781
32365,21617,31885
32252,21610,31684
32148,21605,31823
32032,21589,31802
31848,21602,31723
31814,21605,31660
31816,21628,31800
31792,21639,31727
31816,21646,31780
31806,21637,31660
31852,21628,31847
31918,21607,31809
31989,21605,31888
32040,21597,31824
32085,21605,31727
32128,21607,31746
32156,21629,31672
32197,21636,31876
32193,21651,31774
32200,21631,31911
32180,21631,31839
32156,21607,31701
32136,21596,31876
32064,21599,31799
32020,21607,31960
32066,21612,31800
32088,21633,31717
32160,21639,31896
32260,21653,31889
32325,21647,31816
32344,21636,31976
32356,21605,31945
32340,21601,31783
32372,21591,31929
32412,21599,31932
32440,21611,31920
32429,21632,31927
32416,21636,31871
32357,21649,31816
32336,21652,31777
32332,21644,31782
32428,21613,31956
32526,21598,31965
32684,21605,31948
32820,21600,31879
32844,21611,31876
32848,21635,32039
32788,21645,32041
32764,21648,31855
32762,21649,31876
32772,21621,31864
32836,21613,31832
32856,21598,32005
32856,21598,31930
32856,21607,31944
32874,21614,32048
32888,21628,31923
32832,21642,31860
32720,21646,32039
32621,21655,32028
32584,21628,31985
32536,21612,32119
