ECG,EDA,RR
33344,27759,32942
33368,27716,32890
33416,27684,32942
33428,27685,32980
33453,27711,32827
33472,27751,32889
33520,27800,33001
33597,27828,32940
33668,27829,32864
33684,27803,32844
33764,27756,32855
33824,27702,33013
33814,27672,33038
33840,27675,33036
33844,27697,33024
33804,27748,32938
33834,27788,32999
33836,27820,33025
33792,27827,33038
33692,27797,32893
33588,27748,32881
33500,27705,32972
33485,27669,33061
33524,27675,32940
33576,27703,33031
33597,27750,32879
33580,27794,32903
33628,27817,33020
33626,27821,33053
33624,27791,32947
33661,27746,33020
33644,27701,32885
33688,27665,32982
33732,27671,33059
33716,27690,32926
33640,27738,33029
33596,27785,32871
33572,27820,32877
33606,27804,32996
33604,27785,32993
33616,27743,32849
33617,27695,32903
33592,27671,33009
33560,27662,33030
33556,27693,32903
33516,27745,32964
33505,27781,33004
33538,27813,32837
33510,27815,32836
33536,27788,32988
33516,27738,32967
33516,27694,32844
33508,27668,32830
33492,27655,32838
33480,27689,32823
33424,27733,32968
33397,27783,32914
33392,27812,32884
33428,27813,32944
33376,27783,32972
33370,27740,32903
33316,27693,32877
33308,27655,32955
33276,27655,32964
33220,27690,32957
33113,27736,32956
33032,27781,32959
33056,27809,32945
33124,27810,32796
33272,27782,32785
33348,27732,32775
33432,27689,32761
33497,27655,32760
33505,27655,32751
33488,27687,32847
33464,27735,32921
33408,27783,32828
33368,27807,32836
33317,27807,32893
33275,27776,32889
33276,27730,32879
33276,27685,32869
33300,27652,32859
33300,27654,32692
33288,27686,32695
33216,27727,32692
33212,27776,32775
33224,27807,32832
33228,27802,32751
33220,27778,32812
33248,27730,32652
33272,27687,32784
33254,27646,32823
33282,27648,32731
33280,27678,32791
33272,27722,32617
33228,27770,32608
33184,27799,32775
33192,27799,32652
33176,27769,32740
33236,27724,32583
33218,27680,32680
33188,27648,32695
33168,27655,32676
33168,27676,32712
33192,27719,32545
33228,27767,32700
33204,27797,32593
33108,27798,32680
33052,27762,32500
33004,27716,32684
33000,27672,32553
33032,27645,32623
33048,27637,32487
33052,27669,32535
33104,27709,32543
33164,27765,32608
33148,27791,32435
33088,27783,32492
33028,27765,32593
32983,27712,32476
32936,27669,32480
32909,27637,32544
32976,27635,32551
33044,27666,32380
33096,27709,32363
33116,27759,32502
33120,27781,32496
33132,27783,32329
33065,27751,32454
33008,27711,32398
33012,27655,32478
32993,27623,32325
33016,27628,32444
33072,27653,32271
33080,27695,32273
33092,27748,32285
33088,27777,32415
33072,27776,32341
33056,27740,32345
33086,27702,32358
33021,27650,32351
32972,27623,32353
32929,27628,32190
32913,27651,32340
32904,27693,32217
32957,27737,32295
33000,27765,32135
33024,27768,32168
33040,27738,32248
33012,27697,32161
32984,27653,32232
32926,27613,32069
32880,27608,32228
32829,27644,32167
32824,27689,32124
32836,27739,32168
32864,27762,32028
32900,27758,32062
32864,27735,32141
32832,27689,32109
32788,27644,32118
32720,27616,31964
32692,27612,32063
32716,27642,32084
32720,27684,31996
32732,27730,32052
32784,27756,31908
32780,27760,32036
32740,27737,31968
32736,27684,31885
32740,27634,31855
32774,27609,31997
32756,27604,31948
32778,27630,31965
32776,27673,31814
32736,27727,31853
32740,27754,31886
32741,27756,31817
32728,27727,31768
32720,27677,31913
32720,27632,31793
32756,27607,31855
32752,27607,31852
32754,27625,31741
32732,27679,31676
32724,27722,31852
32724,27749,31734
32740,27749,31789
32724,27721,31646
32708,27671,31753
32736,27620,31719
32756,27597,31694
32721,27596,31729
32688,27624,31740
32684,27671,31588
32664,27713,31625
32628,27745,31699
32584,27744,31663
32544,27713,31684
32524,27668,31680
32544,27621,31496
32564,27589,31646
32560,27588,31624
32572,27611,31636
32564,27668,31470
32558,27714,31536
32568,27736,31604
32576,27735,31580
32549,27713,31529
32544,27655,31569
32560,27612,31423
32520,27583,31532
32500,27586,31460
32484,27609,31533
32449,27652,31407
32436,27703,31357
32428,27733,31488
32464,27732,31447
32484,27696,31480
32524,27655,31336
32604,27606,31361
32604,27574,31468
32560,27571,31418
32544,27599,31297
32566,27646,31447
32580,27687,31361
32564,27717,31423
32576,27720,31302
32609,27695,31263
32648,27645,31325
32692,27601,31384
32697,27573,31246
32660,27564,31271
32640,27585,31377
32633,27636,31364
32662,27679,31189
32628,27713,31262
32616,27709,31167
32588,27684,31244
32588,27632,31178
32584,27589,31234
32548,27559,31178
32506,27559,31308
32508,27588,31300
32524,27632,31136
32564,27677,31285
32532,27706,31263
32484,27709,31142
32466,27677,31253
32448,27630,31225
32385,27583,31197
32409,27552,31228
32426,27548,31093
32488,27580,31216
32528,27623,31157
32480,27675,31158
32437,27694,31214
32412,27706,31056
32376,27670,31037
32352,27629,31204
32374,27583,31105
32444,27545,31169
32528,27549,31060
32620,27568,31050
32660,27613,31173
32673,27665,31080
32652,27695,31116
32608,27692,31153
32580,27666,30988
32602,27617,31111
